"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Finland (FI)","01.01.2018 00:00 - 01.01.2018 01:00 (CET)","873","n/e","n/e","568","671","1","n/e","435","n/e","n/e","n/e","1377","n/e","n/e","2791","87","43","n/e","7","n/e","904"
"Finland (FI)","01.01.2018 01:00 - 01.01.2018 02:00 (CET)","856","n/e","n/e","573","664","1","n/e","445","n/e","n/e","n/e","1277","n/e","n/e","2791","87","43","n/e","7","n/e","923"
"Finland (FI)","01.01.2018 02:00 - 01.01.2018 03:00 (CET)","858","n/e","n/e","583","657","1","n/e","440","n/e","n/e","n/e","1199","n/e","n/e","2791","87","43","n/e","7","n/e","911"
"Finland (FI)","01.01.2018 03:00 - 01.01.2018 04:00 (CET)","874","n/e","n/e","598","655","1","n/e","445","n/e","n/e","n/e","1175","n/e","n/e","2792","87","43","n/e","7","n/e","924"
"Finland (FI)","01.01.2018 04:00 - 01.01.2018 05:00 (CET)","870","n/e","n/e","606","653","1","n/e","453","n/e","n/e","n/e","1195","n/e","n/e","2792","87","43","n/e","7","n/e","867"
"Finland (FI)","01.01.2018 05:00 - 01.01.2018 06:00 (CET)","861","n/e","n/e","597","653","1","n/e","458","n/e","n/e","n/e","1231","n/e","n/e","2792","88","43","n/e","7","n/e","863"
"Finland (FI)","01.01.2018 06:00 - 01.01.2018 07:00 (CET)","850","n/e","n/e","591","647","1","n/e","455","n/e","n/e","n/e","1321","n/e","n/e","2792","89","43","n/e","7","n/e","829"
"Finland (FI)","01.01.2018 07:00 - 01.01.2018 08:00 (CET)","863","n/e","n/e","595","643","1","n/e","444","n/e","n/e","n/e","1399","n/e","n/e","2792","89","43","n/e","7","n/e","798"
"Finland (FI)","01.01.2018 08:00 - 01.01.2018 09:00 (CET)","885","n/e","n/e","589","645","1","n/e","447","n/e","n/e","n/e","1389","n/e","n/e","2792","88","43","n/e","7","n/e","792"
"Finland (FI)","01.01.2018 09:00 - 01.01.2018 10:00 (CET)","883","n/e","n/e","579","643","1","n/e","449","n/e","n/e","n/e","1300","n/e","n/e","2792","87","43","n/e","7","n/e","760"
"Finland (FI)","01.01.2018 10:00 - 01.01.2018 11:00 (CET)","874","n/e","n/e","567","631","1","n/e","449","n/e","n/e","n/e","1355","n/e","n/e","2792","86","43","n/e","7","n/e","728"
"Finland (FI)","01.01.2018 11:00 - 01.01.2018 12:00 (CET)","867","n/e","n/e","571","626","1","n/e","449","n/e","n/e","n/e","1410","n/e","n/e","2792","85","43","n/e","7","n/e","670"
"Finland (FI)","01.01.2018 12:00 - 01.01.2018 13:00 (CET)","888","n/e","n/e","575","629","1","n/e","455","n/e","n/e","n/e","1432","n/e","n/e","2792","85","43","n/e","7","n/e","646"
"Finland (FI)","01.01.2018 13:00 - 01.01.2018 14:00 (CET)","867","n/e","n/e","585","631","1","n/e","461","n/e","n/e","n/e","1547","n/e","n/e","2792","83","43","n/e","7","n/e","593"
"Finland (FI)","01.01.2018 14:00 - 01.01.2018 15:00 (CET)","868","n/e","n/e","607","638","1","n/e","469","n/e","n/e","n/e","1702","n/e","n/e","2793","83","43","n/e","7","n/e","582"
"Finland (FI)","01.01.2018 15:00 - 01.01.2018 16:00 (CET)","875","n/e","n/e","600","637","1","n/e","469","n/e","n/e","n/e","1774","n/e","n/e","2792","83","43","n/e","7","n/e","600"
"Finland (FI)","01.01.2018 16:00 - 01.01.2018 17:00 (CET)","884","n/e","n/e","587","642","1","n/e","473","n/e","n/e","n/e","1895","n/e","n/e","2792","83","43","n/e","7","n/e","555"
"Finland (FI)","01.01.2018 17:00 - 01.01.2018 18:00 (CET)","879","n/e","n/e","583","647","1","n/e","461","n/e","n/e","n/e","1947","n/e","n/e","2793","83","43","n/e","7","n/e","521"
"Finland (FI)","01.01.2018 18:00 - 01.01.2018 19:00 (CET)","873","n/e","n/e","596","658","1","n/e","458","n/e","n/e","n/e","1968","n/e","n/e","2792","83","43","n/e","7","n/e","499"
"Finland (FI)","01.01.2018 19:00 - 01.01.2018 20:00 (CET)","873","n/e","n/e","609","661","1","n/e","455","n/e","n/e","n/e","1875","n/e","n/e","2791","83","43","n/e","7","n/e","474"
"Finland (FI)","01.01.2018 20:00 - 01.01.2018 21:00 (CET)","863","n/e","n/e","627","654","1","n/e","453","n/e","n/e","n/e","1676","n/e","n/e","2791","83","43","n/e","7","n/e","466"
