"Production Type","2018 [MW]"
"Biomass","350"
"Fossil Brown coal/Lignite","8542"
"Fossil Coal-derived gas","380"
"Fossil Gas","1226"
"Fossil Hard coal","1200"
"Fossil Oil","0"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1172"
"Hydro Run-of-river and poundage","334"
"Hydro Water Reservoir","753"
"Marine","n/e"
"Nuclear","4040"
"Other","0"
"Other renewable","400"
"Solar","2040"
"Waste","100"
"Wind Offshore","n/e"
"Wind Onshore","308"
"Total Grand capacity","20845"
