"Production Type","2018 [MW]"
"Biomass","1696"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","1826"
"Fossil Hard coal","3656"
"Fossil Oil","1007"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","6"
"Hydro Water Reservoir","n/e"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","146"
"Solar","1002"
"Waste","384"
"Wind Offshore","1700"
"Wind Onshore","4423"
"Total Grand capacity","15846"
