"Production Type","2018 [MW]"
"Biomass","1354"
"Fossil Brown coal/Lignite","0"
"Fossil Coal-derived gas","2025"
"Fossil Gas","39103"
"Fossil Hard coal","6030"
"Fossil Oil","2475"
"Fossil Oil shale","n/e"
"Fossil Peat","0"
"Geothermal","869"
"Hydro Pumped Storage","6453"
"Hydro Run-of-river and poundage","10826"
"Hydro Water Reservoir","4733"
"Marine","0"
"Nuclear","N/A"
"Other","5788"
"Other renewable","2"
"Solar","4719"
"Waste","142"
"Wind Offshore","0"
"Wind Onshore","9261"
"Total Grand capacity","93780"
