"Production Type","2018 [MW]"
"Biomass","n/e"
"Fossil Brown coal/Lignite","n/e"
"Fossil Coal-derived gas","n/e"
"Fossil Gas","635"
"Fossil Hard coal","n/e"
"Fossil Oil","n/e"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","n/e"
"Hydro Run-of-river and poundage","1328"
"Hydro Water Reservoir","26819"
"Marine","n/e"
"Nuclear","n/e"
"Other","0"
"Other renewable","n/e"
"Solar","n/e"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","1197"
"Total Grand capacity","29979"
