"Production Type","2018 [MW]"
"Biomass","603"
"Fossil Brown coal/Lignite","8559"
"Fossil Coal-derived gas","158"
"Fossil Gas","2140"
"Fossil Hard coal","20076"
"Fossil Oil","415"
"Fossil Oil shale","n/e"
"Fossil Peat","n/e"
"Geothermal","n/e"
"Hydro Pumped Storage","1780"
"Hydro Run-of-river and poundage","455"
"Hydro Water Reservoir","157"
"Marine","n/e"
"Nuclear","n/e"
"Other","n/e"
"Other renewable","n/e"
"Solar","231"
"Waste","n/e"
"Wind Offshore","n/e"
"Wind Onshore","5791"
"Total Grand capacity","40365"
