,ECHV_G1____,ECHV_G2____,ECHV_G3____,ECHV_G4____,EDAL_G1____,EDAL_G2____,EDAL_G3____,EDAL_G4____,EDET_G1____,EDET_G2____,EDET_G3____,EDET_G4____,EDST_G1____,EDST_G2____,EDUK_B1____,EDUK_B2____,EDUK_B3____,EDUK_B4____,EECK_G4____,EECK_G5____,EECK_G7____,ELED_G6____,EME3_G11___,EPC1_G2____,EPC1_G3____,EPC1_G4____,EPC1_G5____,EPC1_G6____,EPC2_B21___,EPR2_G23___,EPR2_G24___,EPR2_G25___,ETEM_G1____,ETEM_G2____,ETU2_G21___,ETU2_G22___,ETU2_G23___,ETU2_G24___
,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Fossil Hard coal,Fossil Hard coal,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Gas,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Nuclear,Nuclear,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite,Fossil Brown coal/Lignite
2018-01-01 00:00:00+01:00,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0,0.0,469.0,412.0,67.0,75.0,70.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,885.0,112.0,0.0,0.0,118.0
2018-01-01 01:00:00+01:00,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,470.0,412.0,69.0,82.0,72.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,885.0,115.0,0.0,0.0,120.0
2018-01-01 02:00:00+01:00,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,471.0,412.0,67.0,79.0,69.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,885.0,113.0,0.0,0.0,118.0
2018-01-01 03:00:00+01:00,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,472.0,412.0,62.0,74.0,67.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,885.0,112.0,0.0,0.0,118.0
2018-01-01 04:00:00+01:00,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,472.0,412.0,69.0,81.0,73.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,885.0,113.0,0.0,0.0,114.0
2018-01-01 05:00:00+01:00,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,471.0,412.0,70.0,82.0,73.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,885.0,115.0,0.0,0.0,121.0
2018-01-01 06:00:00+01:00,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,472.0,412.0,55.0,60.0,56.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,885.0,102.0,0.0,0.0,108.0
2018-01-01 07:00:00+01:00,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0,472.0,412.0,58.0,64.0,60.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,885.0,106.0,0.0,0.0,111.0
2018-01-01 08:00:00+01:00,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,473.0,412.0,52.0,54.0,53.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,885.0,100.0,0.0,0.0,105.0
