,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> UK,NL -> UK,demand,UK -> FR,UK -> NL,mismatch
0,914.686113,6924.048576,1626.387089,441.0541257,9104.259311,111.5165261,0.025299468,4762.632761,6860.145847,1767.247388,723.9,33235.85,1.38E-10,0.053035596,-5.73E-12
1,914.7486763,7059.052616,1932.346079,550.5431848,8783.281271,106.4786819,0.020998502,4623.352767,6508.509431,1737.79349,737.42,32953.49,1.52E-10,0.05719533,-2.74E-12
2,883.9211064,6099.055634,1903.376783,395.9966557,8553.999187,104.8919713,0.017856148,4478.533606,6142.662409,1572.899536,688.41,30823.71,1.82E-10,0.054744869,1.98E-12
3,854.3081594,5148.419846,1872.255266,318.2495389,8186.461544,100.4404573,0.012854447,4257.998264,5866.174125,1510.540888,689.23,28804.03,2.48E-10,0.06094306,-5.23E-12
4,857.9329823,4192.069361,1717.000797,312.0787965,8241.149891,101.0000469,0.013483199,4236.327808,5726.362207,1522.352502,466,27372.23,2.32E-10,0.057874619,4.28E-12
5,873.7143322,4248.695288,1886.900213,307.7595339,8365.987629,102.5865113,0.015265743,4236.016056,5611.136371,1550.305495,225.82,27408.88,2.03E-10,0.056696267,-1.65E-12
6,889.8059311,5544.265716,2070.735702,360.383141,8523.589532,104.4758943,4.695545811,4255.338391,5273.097945,1574.160432,369.58,28970.07,1.84E-10,0.058231041,-3.74E-12
7,923.906551,7151.085718,2118.613298,545.2764127,8900.8716,109.0552825,0.022534025,4446.759779,5216.273458,1025.622219,5.58E-11,30192.84,1.41E-10,244.6468535,-2.76E-12
8,974.0262375,8537.507021,2121.526805,871.2266346,9336.773934,113.0795632,7.709970218,4388.258049,4844.431287,916.1658971,6.08E-11,31925.35,1.21E-10,185.3553988,4.46E-12
9,952.6848087,10693.6336,2103.001041,1188.322275,9201.262986,111.4843925,412.9989995,3912.088683,4627.869157,1675.237073,249.01,35127.54,1.28E-10,0.053019817,-1.77E-12
10,919.2143369,12499.34348,2071.312735,1367.731788,8945.705209,109.6649812,956.1800609,3716.287453,4529.533382,2262.550206,644.13,38021.59,1.44E-10,0.063629902,-2.64E-12
11,908.8707364,14532.3141,2124.305015,1336.857485,8726.842164,106.9966872,1544.83981,3506.846479,4483.040974,2203.540469,918.42,40392.8,1.67E-10,0.073923392,1.06E-11
