"Time (CET)","Serbia (RS) > Bulgaria (BG) [MW]","Bulgaria (BG) > Serbia (RS) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","16"
"01.01.2018 01:00 - 01.01.2018 02:00","0","22"
"01.01.2018 02:00 - 01.01.2018 03:00","1","0"
"01.01.2018 03:00 - 01.01.2018 04:00","37","0"
"01.01.2018 04:00 - 01.01.2018 05:00","43","0"
"01.01.2018 05:00 - 01.01.2018 06:00","78","0"
"01.01.2018 06:00 - 01.01.2018 07:00","107","0"
"01.01.2018 07:00 - 01.01.2018 08:00","103","0"
"01.01.2018 08:00 - 01.01.2018 09:00","48","0"
"01.01.2018 09:00 - 01.01.2018 10:00","0","17"
"01.01.2018 10:00 - 01.01.2018 11:00","0","32"
"01.01.2018 11:00 - 01.01.2018 12:00","0","57"
"01.01.2018 12:00 - 01.01.2018 13:00","0","74"
"01.01.2018 13:00 - 01.01.2018 14:00","0","52"
"01.01.2018 14:00 - 01.01.2018 15:00","0","57"
"01.01.2018 15:00 - 01.01.2018 16:00","8","0"
"01.01.2018 16:00 - 01.01.2018 17:00","0","51"
"01.01.2018 17:00 - 01.01.2018 18:00","0","126"
"01.01.2018 18:00 - 01.01.2018 19:00","0","150"
"01.01.2018 19:00 - 01.01.2018 20:00","0","158"
"01.01.2018 20:00 - 01.01.2018 21:00","0","171"
"01.01.2018 21:00 - 01.01.2018 22:00","0","176"
"01.01.2018 22:00 - 01.01.2018 23:00","0","190"
"01.01.2018 23:00 - 02.01.2018 00:00","0","155"
"02.01.2018 00:00 - 02.01.2018 01:00","0","215"
"02.01.2018 01:00 - 02.01.2018 02:00","0","198"
"02.01.2018 02:00 - 02.01.2018 03:00","0","186"
"02.01.2018 03:00 - 02.01.2018 04:00","0","179"
"02.01.2018 04:00 - 02.01.2018 05:00","0","145"
"02.01.2018 05:00 - 02.01.2018 06:00","0","183"
"02.01.2018 06:00 - 02.01.2018 07:00","0","178"
"02.01.2018 07:00 - 02.01.2018 08:00","0","174"
"02.01.2018 08:00 - 02.01.2018 09:00","0","177"
"02.01.2018 09:00 - 02.01.2018 10:00","0","189"
"02.01.2018 10:00 - 02.01.2018 11:00","0","205"
"02.01.2018 11:00 - 02.01.2018 12:00","0","225"
"02.01.2018 12:00 - 02.01.2018 13:00","0","224"
"02.01.2018 13:00 - 02.01.2018 14:00","0","228"
"02.01.2018 14:00 - 02.01.2018 15:00","0","161"
"02.01.2018 15:00 - 02.01.2018 16:00","0","163"
"02.01.2018 16:00 - 02.01.2018 17:00","0","166"
"02.01.2018 17:00 - 02.01.2018 18:00","0","237"
"02.01.2018 18:00 - 02.01.2018 19:00","0","201"
"02.01.2018 19:00 - 02.01.2018 20:00","0","158"
"02.01.2018 20:00 - 02.01.2018 21:00","0","166"
"02.01.2018 21:00 - 02.01.2018 22:00","0","166"
"02.01.2018 22:00 - 02.01.2018 23:00","0","161"
"02.01.2018 23:00 - 03.01.2018 00:00","0","151"
"03.01.2018 00:00 - 03.01.2018 01:00","0","78"
"03.01.2018 01:00 - 03.01.2018 02:00","0","57"
"03.01.2018 02:00 - 03.01.2018 03:00","0","42"
"03.01.2018 03:00 - 03.01.2018 04:00","0","5"
