"Time (CET)","Slovakia (SK) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Slovakia (SK) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1183"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1154"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1128"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1067"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1088"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1120"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1207"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1240"
"01.01.2018 08:00 - 01.01.2018 09:00","0","1386"
"01.01.2018 09:00 - 01.01.2018 10:00","0","1313"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1254"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1297"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1157"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1055"
"01.01.2018 14:00 - 01.01.2018 15:00","0","929"
"01.01.2018 15:00 - 01.01.2018 16:00","0","821"
"01.01.2018 16:00 - 01.01.2018 17:00","0","886"
"01.01.2018 17:00 - 01.01.2018 18:00","0","788"
"01.01.2018 18:00 - 01.01.2018 19:00","0","815"
"01.01.2018 19:00 - 01.01.2018 20:00","0","817"
"01.01.2018 20:00 - 01.01.2018 21:00","0","847"
"01.01.2018 21:00 - 01.01.2018 22:00","0","735"
"01.01.2018 22:00 - 01.01.2018 23:00","0","608"
"01.01.2018 23:00 - 02.01.2018 00:00","0","511"
"02.01.2018 00:00 - 02.01.2018 01:00","0","212"
"02.01.2018 01:00 - 02.01.2018 02:00","21","0"
"02.01.2018 02:00 - 02.01.2018 03:00","121","0"
"02.01.2018 03:00 - 02.01.2018 04:00","174","0"
"02.01.2018 04:00 - 02.01.2018 05:00","8","0"
"02.01.2018 05:00 - 02.01.2018 06:00","0","212"
"02.01.2018 06:00 - 02.01.2018 07:00","0","505"
"02.01.2018 07:00 - 02.01.2018 08:00","0","592"
"02.01.2018 08:00 - 02.01.2018 09:00","0","582"
"02.01.2018 09:00 - 02.01.2018 10:00","0","490"
"02.01.2018 10:00 - 02.01.2018 11:00","0","459"
"02.01.2018 11:00 - 02.01.2018 12:00","0","631"
"02.01.2018 12:00 - 02.01.2018 13:00","0","530"
"02.01.2018 13:00 - 02.01.2018 14:00","0","543"
"02.01.2018 14:00 - 02.01.2018 15:00","0","546"
"02.01.2018 15:00 - 02.01.2018 16:00","0","342"
"02.01.2018 16:00 - 02.01.2018 17:00","0","557"
"02.01.2018 17:00 - 02.01.2018 18:00","0","606"
"02.01.2018 18:00 - 02.01.2018 19:00","0","689"
"02.01.2018 19:00 - 02.01.2018 20:00","0","638"
"02.01.2018 20:00 - 02.01.2018 21:00","0","662"
"02.01.2018 21:00 - 02.01.2018 22:00","0","660"
"02.01.2018 22:00 - 02.01.2018 23:00","0","782"
"02.01.2018 23:00 - 03.01.2018 00:00","0","671"
"03.01.2018 00:00 - 03.01.2018 01:00","0","640"
"03.01.2018 01:00 - 03.01.2018 02:00","0","502"
"03.01.2018 02:00 - 03.01.2018 03:00","0","738"
"03.01.2018 03:00 - 03.01.2018 04:00","0","839"
"03.01.2018 04:00 - 03.01.2018 05:00","0","849"
"03.01.2018 05:00 - 03.01.2018 06:00","0","930"
"03.01.2018 06:00 - 03.01.2018 07:00","0","1087"
"03.01.2018 07:00 - 03.01.2018 08:00","0","1149"
"03.01.2018 08:00 - 03.01.2018 09:00","0","1155"
"03.01.2018 09:00 - 03.01.2018 10:00","0","1115"
"03.01.2018 10:00 - 03.01.2018 11:00","0","1086"
"03.01.2018 11:00 - 03.01.2018 12:00","0","1149"
"03.01.2018 12:00 - 03.01.2018 13:00","0","1177"
"03.01.2018 13:00 - 03.01.2018 14:00","0","1216"
"03.01.2018 14:00 - 03.01.2018 15:00","0","1268"
"03.01.2018 15:00 - 03.01.2018 16:00","0","1306"
"03.01.2018 16:00 - 03.01.2018 17:00","0","1514"
"03.01.2018 17:00 - 03.01.2018 18:00","0","1434"
"03.01.2018 18:00 - 03.01.2018 19:00","0","1418"
"03.01.2018 19:00 - 03.01.2018 20:00","0","1313"
"03.01.2018 20:00 - 03.01.2018 21:00","0","1326"
"03.01.2018 21:00 - 03.01.2018 22:00","0","1184"
"03.01.2018 22:00 - 03.01.2018 23:00","0","1054"
"03.01.2018 23:00 - 04.01.2018 00:00","0","882"
"04.01.2018 00:00 - 04.01.2018 01:00","0","961"
"04.01.2018 01:00 - 04.01.2018 02:00","0","998"
"04.01.2018 02:00 - 04.01.2018 03:00","0","990"
"04.01.2018 03:00 - 04.01.2018 04:00","0","938"
"04.01.2018 04:00 - 04.01.2018 05:00","0","944"
"04.01.2018 05:00 - 04.01.2018 06:00","0","914"
"04.01.2018 06:00 - 04.01.2018 07:00","0","1057"
"04.01.2018 07:00 - 04.01.2018 08:00","0","1059"
"04.01.2018 08:00 - 04.01.2018 09:00","0","1072"
"04.01.2018 09:00 - 04.01.2018 10:00","0","1146"
"04.01.2018 10:00 - 04.01.2018 11:00","0","1254"
"04.01.2018 11:00 - 04.01.2018 12:00","0","1190"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1068"
"04.01.2018 13:00 - 04.01.2018 14:00","0","1007"
"04.01.2018 14:00 - 04.01.2018 15:00","0","960"
"04.01.2018 15:00 - 04.01.2018 16:00","0","934"
"04.01.2018 16:00 - 04.01.2018 17:00","0","1037"
"04.01.2018 17:00 - 04.01.2018 18:00","0","982"
"04.01.2018 18:00 - 04.01.2018 19:00","0","921"
"04.01.2018 19:00 - 04.01.2018 20:00","0","985"
"04.01.2018 20:00 - 04.01.2018 21:00","0","1125"
"04.01.2018 21:00 - 04.01.2018 22:00","0","1006"
"04.01.2018 22:00 - 04.01.2018 23:00","0","1072"
"04.01.2018 23:00 - 05.01.2018 00:00","0","1008"
"05.01.2018 00:00 - 05.01.2018 01:00","0","1044"
"05.01.2018 01:00 - 05.01.2018 02:00","0","1066"
"05.01.2018 02:00 - 05.01.2018 03:00","0","1057"
"05.01.2018 03:00 - 05.01.2018 04:00","0","1072"
"05.01.2018 04:00 - 05.01.2018 05:00","0","1073"
"05.01.2018 05:00 - 05.01.2018 06:00","0","1047"
"05.01.2018 06:00 - 05.01.2018 07:00","0","1164"
"05.01.2018 07:00 - 05.01.2018 08:00","0","1062"
"05.01.2018 08:00 - 05.01.2018 09:00","0","1093"
"05.01.2018 09:00 - 05.01.2018 10:00","0","1083"
"05.01.2018 10:00 - 05.01.2018 11:00","0","1001"
"05.01.2018 11:00 - 05.01.2018 12:00","0","1047"
"05.01.2018 12:00 - 05.01.2018 13:00","0","964"
"05.01.2018 13:00 - 05.01.2018 14:00","0","923"
"05.01.2018 14:00 - 05.01.2018 15:00","0","741"
"05.01.2018 15:00 - 05.01.2018 16:00","0","731"
"05.01.2018 16:00 - 05.01.2018 17:00","0","786"
"05.01.2018 17:00 - 05.01.2018 18:00","0","679"
"05.01.2018 18:00 - 05.01.2018 19:00","0","485"
"05.01.2018 19:00 - 05.01.2018 20:00","0","471"
"05.01.2018 20:00 - 05.01.2018 21:00","0","466"
"05.01.2018 21:00 - 05.01.2018 22:00","0","587"
"05.01.2018 22:00 - 05.01.2018 23:00","0","669"
"05.01.2018 23:00 - 06.01.2018 00:00","0","654"
"06.01.2018 00:00 - 06.01.2018 01:00","0","364"
"06.01.2018 01:00 - 06.01.2018 02:00","0","122"
"06.01.2018 02:00 - 06.01.2018 03:00","0","99"
"06.01.2018 03:00 - 06.01.2018 04:00","0","184"
"06.01.2018 04:00 - 06.01.2018 05:00","0","275"
"06.01.2018 05:00 - 06.01.2018 06:00","0","509"
"06.01.2018 06:00 - 06.01.2018 07:00","0","640"
"06.01.2018 07:00 - 06.01.2018 08:00","0","644"
"06.01.2018 08:00 - 06.01.2018 09:00","0","687"
"06.01.2018 09:00 - 06.01.2018 10:00","0","687"
"06.01.2018 10:00 - 06.01.2018 11:00","0","749"
"06.01.2018 11:00 - 06.01.2018 12:00","0","776"
"06.01.2018 12:00 - 06.01.2018 13:00","0","750"
"06.01.2018 13:00 - 06.01.2018 14:00","0","563"
"06.01.2018 14:00 - 06.01.2018 15:00","0","372"
"06.01.2018 15:00 - 06.01.2018 16:00","0","317"
"06.01.2018 16:00 - 06.01.2018 17:00","0","549"
"06.01.2018 17:00 - 06.01.2018 18:00","0","525"
"06.01.2018 18:00 - 06.01.2018 19:00","0","236"
"06.01.2018 19:00 - 06.01.2018 20:00","0","514"
"06.01.2018 20:00 - 06.01.2018 21:00","0","554"
"06.01.2018 21:00 - 06.01.2018 22:00","0","443"
"06.01.2018 22:00 - 06.01.2018 23:00","0","494"
"06.01.2018 23:00 - 07.01.2018 00:00","0","383"
"07.01.2018 00:00 - 07.01.2018 01:00","0","566"
"07.01.2018 01:00 - 07.01.2018 02:00","0","561"
"07.01.2018 02:00 - 07.01.2018 03:00","0","332"
"07.01.2018 03:00 - 07.01.2018 04:00","0","201"
"07.01.2018 04:00 - 07.01.2018 05:00","0","178"
"07.01.2018 05:00 - 07.01.2018 06:00","0","369"
"07.01.2018 06:00 - 07.01.2018 07:00","0","420"
"07.01.2018 07:00 - 07.01.2018 08:00","0","520"
"07.01.2018 08:00 - 07.01.2018 09:00","0","862"
"07.01.2018 09:00 - 07.01.2018 10:00","0","1029"
"07.01.2018 10:00 - 07.01.2018 11:00","0","1040"
"07.01.2018 11:00 - 07.01.2018 12:00","0","1151"
"07.01.2018 12:00 - 07.01.2018 13:00","0","1145"
"07.01.2018 13:00 - 07.01.2018 14:00","0","912"
"07.01.2018 14:00 - 07.01.2018 15:00","0","762"
"07.01.2018 15:00 - 07.01.2018 16:00","0","800"
"07.01.2018 16:00 - 07.01.2018 17:00","0","1069"
"07.01.2018 17:00 - 07.01.2018 18:00","0","1259"
"07.01.2018 18:00 - 07.01.2018 19:00","0","1280"
"07.01.2018 19:00 - 07.01.2018 20:00","0","1268"
"07.01.2018 20:00 - 07.01.2018 21:00","0","1235"
"07.01.2018 21:00 - 07.01.2018 22:00","0","1059"
"07.01.2018 22:00 - 07.01.2018 23:00","0","936"
"07.01.2018 23:00 - 08.01.2018 00:00","0","721"
"08.01.2018 00:00 - 08.01.2018 01:00","0","560"
"08.01.2018 01:00 - 08.01.2018 02:00","0","422"
"08.01.2018 02:00 - 08.01.2018 03:00","0","460"
"08.01.2018 03:00 - 08.01.2018 04:00","0","490"
"08.01.2018 04:00 - 08.01.2018 05:00","0","598"
"08.01.2018 05:00 - 08.01.2018 06:00","0","782"
"08.01.2018 06:00 - 08.01.2018 07:00","0","1126"
"08.01.2018 07:00 - 08.01.2018 08:00","0","1282"
"08.01.2018 08:00 - 08.01.2018 09:00","0","999"
