"Time (CET)","Austria (AT) > Germany (DE) [MW]","Germany (DE) > Austria (AT) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","2903"
"01.01.2018 01:00 - 01.01.2018 02:00","0","3196"
"01.01.2018 02:00 - 01.01.2018 03:00","0","3218"
"01.01.2018 03:00 - 01.01.2018 04:00","0","3245"
"01.01.2018 04:00 - 01.01.2018 05:00","0","3036"
"01.01.2018 05:00 - 01.01.2018 06:00","0","2977"
"01.01.2018 06:00 - 01.01.2018 07:00","0","3034"
"01.01.2018 07:00 - 01.01.2018 08:00","0","2918"
"01.01.2018 08:00 - 01.01.2018 09:00","0","2769"
"01.01.2018 09:00 - 01.01.2018 10:00","0","2904"
"01.01.2018 10:00 - 01.01.2018 11:00","0","3209"
"01.01.2018 11:00 - 01.01.2018 12:00","0","3280"
"01.01.2018 12:00 - 01.01.2018 13:00","0","3378"
"01.01.2018 13:00 - 01.01.2018 14:00","0","3289"
"01.01.2018 14:00 - 01.01.2018 15:00","0","2384"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1952"
"01.01.2018 16:00 - 01.01.2018 17:00","0","1623"
"01.01.2018 17:00 - 01.01.2018 18:00","0","917"
"01.01.2018 18:00 - 01.01.2018 19:00","0","996"
"01.01.2018 19:00 - 01.01.2018 20:00","0","1238"
"01.01.2018 20:00 - 01.01.2018 21:00","0","1685"
"01.01.2018 21:00 - 01.01.2018 22:00","0","1808"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1520"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1761"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1895"
"02.01.2018 01:00 - 02.01.2018 02:00","0","1768"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1765"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1678"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1832"
"02.01.2018 05:00 - 02.01.2018 06:00","0","2141"
"02.01.2018 06:00 - 02.01.2018 07:00","0","1830"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1555"
"02.01.2018 08:00 - 02.01.2018 09:00","0","1272"
"02.01.2018 09:00 - 02.01.2018 10:00","0","1176"
"02.01.2018 10:00 - 02.01.2018 11:00","0","1094"
"02.01.2018 11:00 - 02.01.2018 12:00","0","1329"
"02.01.2018 12:00 - 02.01.2018 13:00","0","1365"
"02.01.2018 13:00 - 02.01.2018 14:00","0","1085"
"02.01.2018 14:00 - 02.01.2018 15:00","0","1055"
"02.01.2018 15:00 - 02.01.2018 16:00","0","1045"
"02.01.2018 16:00 - 02.01.2018 17:00","0","1043"
"02.01.2018 17:00 - 02.01.2018 18:00","0","779"
"02.01.2018 18:00 - 02.01.2018 19:00","0","877"
"02.01.2018 19:00 - 02.01.2018 20:00","0","743"
"02.01.2018 20:00 - 02.01.2018 21:00","0","1369"
"02.01.2018 21:00 - 02.01.2018 22:00","0","1586"
"02.01.2018 22:00 - 02.01.2018 23:00","0","2138"
"02.01.2018 23:00 - 03.01.2018 00:00","0","2561"
"03.01.2018 00:00 - 03.01.2018 01:00","0","2613"
"03.01.2018 01:00 - 03.01.2018 02:00","0","2625"
"03.01.2018 02:00 - 03.01.2018 03:00","0","2928"
"03.01.2018 03:00 - 03.01.2018 04:00","0","3016"
"03.01.2018 04:00 - 03.01.2018 05:00","0","2936"
"03.01.2018 05:00 - 03.01.2018 06:00","0","3082"
"03.01.2018 06:00 - 03.01.2018 07:00","0","2946"
"03.01.2018 07:00 - 03.01.2018 08:00","0","2862"
"03.01.2018 08:00 - 03.01.2018 09:00","0","2554"
"03.01.2018 09:00 - 03.01.2018 10:00","0","2276"
"03.01.2018 10:00 - 03.01.2018 11:00","0","2261"
"03.01.2018 11:00 - 03.01.2018 12:00","0","2111"
"03.01.2018 12:00 - 03.01.2018 13:00","0","2044"
"03.01.2018 13:00 - 03.01.2018 14:00","0","2263"
"03.01.2018 14:00 - 03.01.2018 15:00","0","2301"
"03.01.2018 15:00 - 03.01.2018 16:00","0","2212"
"03.01.2018 16:00 - 03.01.2018 17:00","0","2307"
"03.01.2018 17:00 - 03.01.2018 18:00","0","2122"
"03.01.2018 18:00 - 03.01.2018 19:00","0","2206"
"03.01.2018 19:00 - 03.01.2018 20:00","0","2341"
"03.01.2018 20:00 - 03.01.2018 21:00","0","2681"
"03.01.2018 21:00 - 03.01.2018 22:00","0","2682"
"03.01.2018 22:00 - 03.01.2018 23:00","0","2898"
"03.01.2018 23:00 - 04.01.2018 00:00","0","3095"
"04.01.2018 00:00 - 04.01.2018 01:00","0","3185"
"04.01.2018 01:00 - 04.01.2018 02:00","0","3308"
"04.01.2018 02:00 - 04.01.2018 03:00","0","3638"
"04.01.2018 03:00 - 04.01.2018 04:00","0","3281"
"04.01.2018 04:00 - 04.01.2018 05:00","0","3271"
"04.01.2018 05:00 - 04.01.2018 06:00","0","2790"
"04.01.2018 06:00 - 04.01.2018 07:00","0","2154"
"04.01.2018 07:00 - 04.01.2018 08:00","0","1652"
"04.01.2018 08:00 - 04.01.2018 09:00","0","1447"
"04.01.2018 09:00 - 04.01.2018 10:00","0","1478"
"04.01.2018 10:00 - 04.01.2018 11:00","0","1723"
"04.01.2018 11:00 - 04.01.2018 12:00","0","1399"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1178"
"04.01.2018 13:00 - 04.01.2018 14:00","0","1309"
"04.01.2018 14:00 - 04.01.2018 15:00","0","1470"
"04.01.2018 15:00 - 04.01.2018 16:00","0","1271"
"04.01.2018 16:00 - 04.01.2018 17:00","0","1173"
"04.01.2018 17:00 - 04.01.2018 18:00","0","720"
"04.01.2018 18:00 - 04.01.2018 19:00","0","839"
"04.01.2018 19:00 - 04.01.2018 20:00","0","1461"
"04.01.2018 20:00 - 04.01.2018 21:00","0","1882"
"04.01.2018 21:00 - 04.01.2018 22:00","0","2154"
"04.01.2018 22:00 - 04.01.2018 23:00","0","2556"
"04.01.2018 23:00 - 05.01.2018 00:00","0","2828"
"05.01.2018 00:00 - 05.01.2018 01:00","0","3018"
"05.01.2018 01:00 - 05.01.2018 02:00","0","3021"
"05.01.2018 02:00 - 05.01.2018 03:00","0","3168"
"05.01.2018 03:00 - 05.01.2018 04:00","0","3297"
"05.01.2018 04:00 - 05.01.2018 05:00","0","3121"
"05.01.2018 05:00 - 05.01.2018 06:00","0","2909"
"05.01.2018 06:00 - 05.01.2018 07:00","0","2661"
"05.01.2018 07:00 - 05.01.2018 08:00","0","1776"
"05.01.2018 08:00 - 05.01.2018 09:00","0","1855"
"05.01.2018 09:00 - 05.01.2018 10:00","0","2065"
"05.01.2018 10:00 - 05.01.2018 11:00","0","1978"
"05.01.2018 11:00 - 05.01.2018 12:00","0","2085"
"05.01.2018 12:00 - 05.01.2018 13:00","0","2002"
"05.01.2018 13:00 - 05.01.2018 14:00","0","1486"
"05.01.2018 14:00 - 05.01.2018 15:00","0","852"
"05.01.2018 15:00 - 05.01.2018 16:00","0","580"
"05.01.2018 16:00 - 05.01.2018 17:00","0","574"
"05.01.2018 17:00 - 05.01.2018 18:00","0","71"
"05.01.2018 18:00 - 05.01.2018 19:00","34","0"
"05.01.2018 19:00 - 05.01.2018 20:00","0","257"
"05.01.2018 20:00 - 05.01.2018 21:00","0","776"
"05.01.2018 21:00 - 05.01.2018 22:00","0","1426"
"05.01.2018 22:00 - 05.01.2018 23:00","0","1273"
"05.01.2018 23:00 - 06.01.2018 00:00","0","1469"
"06.01.2018 00:00 - 06.01.2018 01:00","0","1420"
"06.01.2018 01:00 - 06.01.2018 02:00","0","1361"
"06.01.2018 02:00 - 06.01.2018 03:00","0","1383"
"06.01.2018 03:00 - 06.01.2018 04:00","0","1540"
"06.01.2018 04:00 - 06.01.2018 05:00","0","1424"
"06.01.2018 05:00 - 06.01.2018 06:00","0","1907"
"06.01.2018 06:00 - 06.01.2018 07:00","0","2000"
"06.01.2018 07:00 - 06.01.2018 08:00","0","1728"
"06.01.2018 08:00 - 06.01.2018 09:00","0","1452"
"06.01.2018 09:00 - 06.01.2018 10:00","0","1466"
"06.01.2018 10:00 - 06.01.2018 11:00","0","1526"
"06.01.2018 11:00 - 06.01.2018 12:00","0","1605"
"06.01.2018 12:00 - 06.01.2018 13:00","0","1573"
"06.01.2018 13:00 - 06.01.2018 14:00","0","1272"
"06.01.2018 14:00 - 06.01.2018 15:00","0","1019"
"06.01.2018 15:00 - 06.01.2018 16:00","0","850"
"06.01.2018 16:00 - 06.01.2018 17:00","0","582"
"06.01.2018 17:00 - 06.01.2018 18:00","0","346"
"06.01.2018 18:00 - 06.01.2018 19:00","139","0"
"06.01.2018 19:00 - 06.01.2018 20:00","0","632"
"06.01.2018 20:00 - 06.01.2018 21:00","0","896"
"06.01.2018 21:00 - 06.01.2018 22:00","0","885"
"06.01.2018 22:00 - 06.01.2018 23:00","0","1460"
"06.01.2018 23:00 - 07.01.2018 00:00","0","1477"
"07.01.2018 00:00 - 07.01.2018 01:00","0","1679"
"07.01.2018 01:00 - 07.01.2018 02:00","0","1868"
"07.01.2018 02:00 - 07.01.2018 03:00","0","1972"
"07.01.2018 03:00 - 07.01.2018 04:00","0","1711"
"07.01.2018 04:00 - 07.01.2018 05:00","0","1693"
"07.01.2018 05:00 - 07.01.2018 06:00","0","2095"
"07.01.2018 06:00 - 07.01.2018 07:00","0","2072"
"07.01.2018 07:00 - 07.01.2018 08:00","0","2126"
"07.01.2018 08:00 - 07.01.2018 09:00","0","2175"
"07.01.2018 09:00 - 07.01.2018 10:00","0","2395"
"07.01.2018 10:00 - 07.01.2018 11:00","0","2329"
"07.01.2018 11:00 - 07.01.2018 12:00","0","2186"
"07.01.2018 12:00 - 07.01.2018 13:00","0","2089"
"07.01.2018 13:00 - 07.01.2018 14:00","0","1992"
"07.01.2018 14:00 - 07.01.2018 15:00","0","1827"
"07.01.2018 15:00 - 07.01.2018 16:00","0","1815"
"07.01.2018 16:00 - 07.01.2018 17:00","0","1824"
"07.01.2018 17:00 - 07.01.2018 18:00","0","2049"
"07.01.2018 18:00 - 07.01.2018 19:00","0","2214"
"07.01.2018 19:00 - 07.01.2018 20:00","0","2211"
"07.01.2018 20:00 - 07.01.2018 21:00","0","2232"
"07.01.2018 21:00 - 07.01.2018 22:00","0","2032"
"07.01.2018 22:00 - 07.01.2018 23:00","0","2120"
"07.01.2018 23:00 - 08.01.2018 00:00","0","2115"
"08.01.2018 00:00 - 08.01.2018 01:00","0","2157"
"08.01.2018 01:00 - 08.01.2018 02:00","0","2139"
"08.01.2018 02:00 - 08.01.2018 03:00","0","2296"
"08.01.2018 03:00 - 08.01.2018 04:00","0","2016"
"08.01.2018 04:00 - 08.01.2018 05:00","0","2081"
"08.01.2018 05:00 - 08.01.2018 06:00","0","2446"
"08.01.2018 06:00 - 08.01.2018 07:00","0","2042"
"08.01.2018 07:00 - 08.01.2018 08:00","0","1445"
