"Time (CET)","France (FR) > Germany (DE) [MW]","Germany (DE) > France (FR) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1390"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1810"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1651"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1570"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1458"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1489"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1422"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1124"
"01.01.2018 08:00 - 01.01.2018 09:00","0","667"
"01.01.2018 09:00 - 01.01.2018 10:00","0","532"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1412"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1971"
"01.01.2018 12:00 - 01.01.2018 13:00","0","2307"
"01.01.2018 13:00 - 01.01.2018 14:00","0","2268"
"01.01.2018 14:00 - 01.01.2018 15:00","0","449"
"01.01.2018 15:00 - 01.01.2018 16:00","781","0"
"01.01.2018 16:00 - 01.01.2018 17:00","1571","0"
"01.01.2018 17:00 - 01.01.2018 18:00","1975","0"
"01.01.2018 18:00 - 01.01.2018 19:00","1477","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1480","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1328","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1036","0"
"01.01.2018 22:00 - 01.01.2018 23:00","1404","0"
"01.01.2018 23:00 - 02.01.2018 00:00","1716","0"
"02.01.2018 00:00 - 02.01.2018 01:00","1882","0"
"02.01.2018 01:00 - 02.01.2018 02:00","1877","0"
"02.01.2018 02:00 - 02.01.2018 03:00","1796","0"
"02.01.2018 03:00 - 02.01.2018 04:00","1789","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1807","0"
"02.01.2018 05:00 - 02.01.2018 06:00","1969","0"
"02.01.2018 06:00 - 02.01.2018 07:00","2153","0"
"02.01.2018 07:00 - 02.01.2018 08:00","1210","0"
"02.01.2018 08:00 - 02.01.2018 09:00","973","0"
"02.01.2018 09:00 - 02.01.2018 10:00","762","0"
"02.01.2018 10:00 - 02.01.2018 11:00","727","0"
"02.01.2018 11:00 - 02.01.2018 12:00","520","0"
"02.01.2018 12:00 - 02.01.2018 13:00","347","0"
"02.01.2018 13:00 - 02.01.2018 14:00","634","0"
"02.01.2018 14:00 - 02.01.2018 15:00","942","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1579","0"
"02.01.2018 16:00 - 02.01.2018 17:00","2048","0"
"02.01.2018 17:00 - 02.01.2018 18:00","1871","0"
"02.01.2018 18:00 - 02.01.2018 19:00","1196","0"
"02.01.2018 19:00 - 02.01.2018 20:00","1758","0"
"02.01.2018 20:00 - 02.01.2018 21:00","1958","0"
"02.01.2018 21:00 - 02.01.2018 22:00","2504","0"
"02.01.2018 22:00 - 02.01.2018 23:00","2388","0"
"02.01.2018 23:00 - 03.01.2018 00:00","1854","0"
"03.01.2018 00:00 - 03.01.2018 01:00","2371","0"
"03.01.2018 01:00 - 03.01.2018 02:00","2429","0"
"03.01.2018 02:00 - 03.01.2018 03:00","2114","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1913","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1923","0"
"03.01.2018 05:00 - 03.01.2018 06:00","1685","0"
"03.01.2018 06:00 - 03.01.2018 07:00","1781","0"
"03.01.2018 07:00 - 03.01.2018 08:00","1669","0"
"03.01.2018 08:00 - 03.01.2018 09:00","1760","0"
"03.01.2018 09:00 - 03.01.2018 10:00","1990","0"
"03.01.2018 10:00 - 03.01.2018 11:00","1863","0"
"03.01.2018 11:00 - 03.01.2018 12:00","2048","0"
"03.01.2018 12:00 - 03.01.2018 13:00","2098","0"
"03.01.2018 13:00 - 03.01.2018 14:00","2105","0"
"03.01.2018 14:00 - 03.01.2018 15:00","2024","0"
"03.01.2018 15:00 - 03.01.2018 16:00","2084","0"
"03.01.2018 16:00 - 03.01.2018 17:00","2310","0"
"03.01.2018 17:00 - 03.01.2018 18:00","1975","0"
"03.01.2018 18:00 - 03.01.2018 19:00","1572","0"
"03.01.2018 19:00 - 03.01.2018 20:00","1463","0"
"03.01.2018 20:00 - 03.01.2018 21:00","1636","0"
"03.01.2018 21:00 - 03.01.2018 22:00","1615","0"
"03.01.2018 22:00 - 03.01.2018 23:00","910","0"
"03.01.2018 23:00 - 04.01.2018 00:00","0","100"
"04.01.2018 00:00 - 04.01.2018 01:00","0","286"
"04.01.2018 01:00 - 04.01.2018 02:00","0","614"
"04.01.2018 02:00 - 04.01.2018 03:00","0","562"
"04.01.2018 03:00 - 04.01.2018 04:00","137","0"
"04.01.2018 04:00 - 04.01.2018 05:00","848","0"
"04.01.2018 05:00 - 04.01.2018 06:00","1419","0"
"04.01.2018 06:00 - 04.01.2018 07:00","2210","0"
"04.01.2018 07:00 - 04.01.2018 08:00","1649","0"
"04.01.2018 08:00 - 04.01.2018 09:00","1342","0"
"04.01.2018 09:00 - 04.01.2018 10:00","1511","0"
"04.01.2018 10:00 - 04.01.2018 11:00","1988","0"
"04.01.2018 11:00 - 04.01.2018 12:00","2214","0"
"04.01.2018 12:00 - 04.01.2018 13:00","2382","0"
"04.01.2018 13:00 - 04.01.2018 14:00","2843","0"
"04.01.2018 14:00 - 04.01.2018 15:00","3426","0"
"04.01.2018 15:00 - 04.01.2018 16:00","3730","0"
"04.01.2018 16:00 - 04.01.2018 17:00","3528","0"
"04.01.2018 17:00 - 04.01.2018 18:00","3168","0"
"04.01.2018 18:00 - 04.01.2018 19:00","2029","0"
"04.01.2018 19:00 - 04.01.2018 20:00","1536","0"
