"Time (CET)","Sweden (SE) > Germany (DE) [MW]","Germany (DE) > Sweden (SE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","76"
"01.01.2018 01:00 - 01.01.2018 02:00","0","76"
"01.01.2018 02:00 - 01.01.2018 03:00","0","76"
"01.01.2018 03:00 - 01.01.2018 04:00","0","76"
"01.01.2018 04:00 - 01.01.2018 05:00","0","76"
"01.01.2018 05:00 - 01.01.2018 06:00","0","76"
"01.01.2018 06:00 - 01.01.2018 07:00","0","76"
"01.01.2018 07:00 - 01.01.2018 08:00","0","76"
"01.01.2018 08:00 - 01.01.2018 09:00","0","76"
"01.01.2018 09:00 - 01.01.2018 10:00","0","69"
"01.01.2018 10:00 - 01.01.2018 11:00","0","66"
"01.01.2018 11:00 - 01.01.2018 12:00","0","66"
"01.01.2018 12:00 - 01.01.2018 13:00","0","66"
"01.01.2018 13:00 - 01.01.2018 14:00","0","66"
"01.01.2018 14:00 - 01.01.2018 15:00","0","66"
"01.01.2018 15:00 - 01.01.2018 16:00","0","66"
"01.01.2018 16:00 - 01.01.2018 17:00","0","66"
"01.01.2018 17:00 - 01.01.2018 18:00","0","66"
"01.01.2018 18:00 - 01.01.2018 19:00","0","101"
"01.01.2018 19:00 - 01.01.2018 20:00","0","173"
"01.01.2018 20:00 - 01.01.2018 21:00","0","199"
"01.01.2018 21:00 - 01.01.2018 22:00","0","248"
"01.01.2018 22:00 - 01.01.2018 23:00","0","297"
"01.01.2018 23:00 - 02.01.2018 00:00","0","378"
"02.01.2018 00:00 - 02.01.2018 01:00","0","241"
"02.01.2018 01:00 - 02.01.2018 02:00","0","244"
"02.01.2018 02:00 - 02.01.2018 03:00","0","245"
"02.01.2018 03:00 - 02.01.2018 04:00","0","273"
"02.01.2018 04:00 - 02.01.2018 05:00","0","303"
"02.01.2018 05:00 - 02.01.2018 06:00","0","365"
"02.01.2018 06:00 - 02.01.2018 07:00","0","45"
"02.01.2018 07:00 - 02.01.2018 08:00","454","0"
"02.01.2018 08:00 - 02.01.2018 09:00","608","0"
"02.01.2018 09:00 - 02.01.2018 10:00","610","0"
"02.01.2018 10:00 - 02.01.2018 11:00","611","0"
"02.01.2018 11:00 - 02.01.2018 12:00","611","0"
"02.01.2018 12:00 - 02.01.2018 13:00","611","0"
"02.01.2018 13:00 - 02.01.2018 14:00","611","0"
"02.01.2018 14:00 - 02.01.2018 15:00","611","0"
"02.01.2018 15:00 - 02.01.2018 16:00","610","0"
"02.01.2018 16:00 - 02.01.2018 17:00","610","0"
"02.01.2018 17:00 - 02.01.2018 18:00","610","0"
"02.01.2018 18:00 - 02.01.2018 19:00","610","0"
"02.01.2018 19:00 - 02.01.2018 20:00","611","0"
"02.01.2018 20:00 - 02.01.2018 21:00","596","0"
"02.01.2018 21:00 - 02.01.2018 22:00","105","0"
"02.01.2018 22:00 - 02.01.2018 23:00","0","97"
"02.01.2018 23:00 - 03.01.2018 00:00","0","76"
"03.01.2018 00:00 - 03.01.2018 01:00","0","75"
"03.01.2018 01:00 - 03.01.2018 02:00","0","75"
"03.01.2018 02:00 - 03.01.2018 03:00","0","75"
"03.01.2018 03:00 - 03.01.2018 04:00","0","72"
"03.01.2018 04:00 - 03.01.2018 05:00","0","48"
"03.01.2018 05:00 - 03.01.2018 06:00","0","2"
"03.01.2018 06:00 - 03.01.2018 07:00","0","2"
"03.01.2018 07:00 - 03.01.2018 08:00","0","2"
"03.01.2018 08:00 - 03.01.2018 09:00","0","65"
"03.01.2018 09:00 - 03.01.2018 10:00","0","66"
"03.01.2018 10:00 - 03.01.2018 11:00","0","67"
"03.01.2018 11:00 - 03.01.2018 12:00","0","67"
"03.01.2018 12:00 - 03.01.2018 13:00","0","67"
"03.01.2018 13:00 - 03.01.2018 14:00","0","67"
"03.01.2018 14:00 - 03.01.2018 15:00","0","67"
"03.01.2018 15:00 - 03.01.2018 16:00","0","67"
"03.01.2018 16:00 - 03.01.2018 17:00","0","67"
"03.01.2018 17:00 - 03.01.2018 18:00","0","67"
"03.01.2018 18:00 - 03.01.2018 19:00","0","67"
"03.01.2018 19:00 - 03.01.2018 20:00","0","67"
"03.01.2018 20:00 - 03.01.2018 21:00","0","67"
"03.01.2018 21:00 - 03.01.2018 22:00","0","67"
"03.01.2018 22:00 - 03.01.2018 23:00","0","67"
"03.01.2018 23:00 - 04.01.2018 00:00","0","67"
"04.01.2018 00:00 - 04.01.2018 01:00","0","67"
"04.01.2018 01:00 - 04.01.2018 02:00","0","67"
"04.01.2018 02:00 - 04.01.2018 03:00","0","67"
"04.01.2018 03:00 - 04.01.2018 04:00","0","67"
"04.01.2018 04:00 - 04.01.2018 05:00","0","67"
"04.01.2018 05:00 - 04.01.2018 06:00","0","67"
"04.01.2018 06:00 - 04.01.2018 07:00","0","4"
"04.01.2018 07:00 - 04.01.2018 08:00","450","0"
"04.01.2018 08:00 - 04.01.2018 09:00","591","0"
"04.01.2018 09:00 - 04.01.2018 10:00","610","0"
"04.01.2018 10:00 - 04.01.2018 11:00","610","0"
"04.01.2018 11:00 - 04.01.2018 12:00","610","0"
"04.01.2018 12:00 - 04.01.2018 13:00","610","0"
"04.01.2018 13:00 - 04.01.2018 14:00","610","0"
"04.01.2018 14:00 - 04.01.2018 15:00","610","0"
"04.01.2018 15:00 - 04.01.2018 16:00","610","0"
"04.01.2018 16:00 - 04.01.2018 17:00","610","0"
"04.01.2018 17:00 - 04.01.2018 18:00","610","0"
"04.01.2018 18:00 - 04.01.2018 19:00","610","0"
"04.01.2018 19:00 - 04.01.2018 20:00","610","0"
"04.01.2018 20:00 - 04.01.2018 21:00","610","0"
"04.01.2018 21:00 - 04.01.2018 22:00","611","0"
"04.01.2018 22:00 - 04.01.2018 23:00","466","0"
"04.01.2018 23:00 - 05.01.2018 00:00","0","6"
"05.01.2018 00:00 - 05.01.2018 01:00","0","240"
"05.01.2018 01:00 - 05.01.2018 02:00","0","200"
"05.01.2018 02:00 - 05.01.2018 03:00","0","151"
"05.01.2018 03:00 - 05.01.2018 04:00","0","74"
"05.01.2018 04:00 - 05.01.2018 05:00","0","65"
"05.01.2018 05:00 - 05.01.2018 06:00","0","65"
"05.01.2018 06:00 - 05.01.2018 07:00","0","146"
"05.01.2018 07:00 - 05.01.2018 08:00","0","11"
"05.01.2018 08:00 - 05.01.2018 09:00","453","0"
"05.01.2018 09:00 - 05.01.2018 10:00","471","0"
"05.01.2018 10:00 - 05.01.2018 11:00","602","0"
"05.01.2018 11:00 - 05.01.2018 12:00","610","0"
"05.01.2018 12:00 - 05.01.2018 13:00","610","0"
"05.01.2018 13:00 - 05.01.2018 14:00","610","0"
"05.01.2018 14:00 - 05.01.2018 15:00","610","0"
"05.01.2018 15:00 - 05.01.2018 16:00","610","0"
"05.01.2018 16:00 - 05.01.2018 17:00","610","0"
"05.01.2018 17:00 - 05.01.2018 18:00","610","0"
"05.01.2018 18:00 - 05.01.2018 19:00","610","0"
"05.01.2018 19:00 - 05.01.2018 20:00","610","0"
"05.01.2018 20:00 - 05.01.2018 21:00","610","0"
"05.01.2018 21:00 - 05.01.2018 22:00","611","0"
"05.01.2018 22:00 - 05.01.2018 23:00","610","0"
"05.01.2018 23:00 - 06.01.2018 00:00","610","0"
"06.01.2018 00:00 - 06.01.2018 01:00","109","0"
"06.01.2018 01:00 - 06.01.2018 02:00","0","2"
"06.01.2018 02:00 - 06.01.2018 03:00","0","2"
"06.01.2018 03:00 - 06.01.2018 04:00","0","58"
"06.01.2018 04:00 - 06.01.2018 05:00","0","318"
"06.01.2018 05:00 - 06.01.2018 06:00","0","40"
"06.01.2018 06:00 - 06.01.2018 07:00","0","3"
"06.01.2018 07:00 - 06.01.2018 08:00","456","0"
"06.01.2018 08:00 - 06.01.2018 09:00","598","0"
"06.01.2018 09:00 - 06.01.2018 10:00","610","0"
"06.01.2018 10:00 - 06.01.2018 11:00","610","0"
"06.01.2018 11:00 - 06.01.2018 12:00","610","0"
"06.01.2018 12:00 - 06.01.2018 13:00","610","0"
"06.01.2018 13:00 - 06.01.2018 14:00","610","0"
"06.01.2018 14:00 - 06.01.2018 15:00","610","0"
"06.01.2018 15:00 - 06.01.2018 16:00","610","0"
"06.01.2018 16:00 - 06.01.2018 17:00","600","0"
"06.01.2018 17:00 - 06.01.2018 18:00","610","0"
"06.01.2018 18:00 - 06.01.2018 19:00","610","0"
"06.01.2018 19:00 - 06.01.2018 20:00","610","0"
"06.01.2018 20:00 - 06.01.2018 21:00","610","0"
"06.01.2018 21:00 - 06.01.2018 22:00","610","0"
"06.01.2018 22:00 - 06.01.2018 23:00","610","0"
"06.01.2018 23:00 - 07.01.2018 00:00","109","0"
"07.01.2018 00:00 - 07.01.2018 01:00","0","227"
"07.01.2018 01:00 - 07.01.2018 02:00","0","248"
"07.01.2018 02:00 - 07.01.2018 03:00","0","249"
"07.01.2018 03:00 - 07.01.2018 04:00","0","249"
"07.01.2018 04:00 - 07.01.2018 05:00","0","249"
"07.01.2018 05:00 - 07.01.2018 06:00","0","272"
"07.01.2018 06:00 - 07.01.2018 07:00","0","298"
"07.01.2018 07:00 - 07.01.2018 08:00","0","298"
"07.01.2018 08:00 - 07.01.2018 09:00","0","298"
"07.01.2018 09:00 - 07.01.2018 10:00","0","392"
"07.01.2018 10:00 - 07.01.2018 11:00","0","492"
"07.01.2018 11:00 - 07.01.2018 12:00","0","122"
"07.01.2018 12:00 - 07.01.2018 13:00","0","5"
"07.01.2018 13:00 - 07.01.2018 14:00","0","479"
"07.01.2018 14:00 - 07.01.2018 15:00","0","594"
"07.01.2018 15:00 - 07.01.2018 16:00","0","594"
"07.01.2018 16:00 - 07.01.2018 17:00","0","581"
"07.01.2018 17:00 - 07.01.2018 18:00","0","103"
"07.01.2018 18:00 - 07.01.2018 19:00","460","0"
"07.01.2018 19:00 - 07.01.2018 20:00","608","0"
"07.01.2018 20:00 - 07.01.2018 21:00","610","0"
"07.01.2018 21:00 - 07.01.2018 22:00","110","0"
"07.01.2018 22:00 - 07.01.2018 23:00","483","0"
"07.01.2018 23:00 - 08.01.2018 00:00","104","0"
"08.01.2018 00:00 - 08.01.2018 01:00","0","313"
"08.01.2018 01:00 - 08.01.2018 02:00","0","333"
"08.01.2018 02:00 - 08.01.2018 03:00","0","357"
"08.01.2018 03:00 - 08.01.2018 04:00","0","357"
"08.01.2018 04:00 - 08.01.2018 05:00","0","375"
"08.01.2018 05:00 - 08.01.2018 06:00","0","503"
"08.01.2018 06:00 - 08.01.2018 07:00","0","82"
"08.01.2018 07:00 - 08.01.2018 08:00","128","0"
"08.01.2018 08:00 - 08.01.2018 09:00","245","0"
"08.01.2018 09:00 - 08.01.2018 10:00","141","0"
"08.01.2018 10:00 - 08.01.2018 11:00","90","0"
"08.01.2018 11:00 - 08.01.2018 12:00","219","0"
"08.01.2018 12:00 - 08.01.2018 13:00","188","0"
"08.01.2018 13:00 - 08.01.2018 14:00","212","0"
