"Time (CET)","Norway (NO) > Denmark (DK) [MW]","Denmark (DK) > Norway (NO) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1396"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1213"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1040"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1187"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1331"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1327"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1475"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1330"
"01.01.2018 08:00 - 01.01.2018 09:00","0","1340"
"01.01.2018 09:00 - 01.01.2018 10:00","0","1480"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1529"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1438"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1455"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1618"
"01.01.2018 14:00 - 01.01.2018 15:00","0","1569"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1471"
"01.01.2018 16:00 - 01.01.2018 17:00","0","1472"
"01.01.2018 17:00 - 01.01.2018 18:00","0","1393"
"01.01.2018 18:00 - 01.01.2018 19:00","0","1505"
"01.01.2018 19:00 - 01.01.2018 20:00","0","1456"
"01.01.2018 20:00 - 01.01.2018 21:00","0","1536"
"01.01.2018 21:00 - 01.01.2018 22:00","0","1509"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1437"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1448"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1512"
"02.01.2018 01:00 - 02.01.2018 02:00","0","1556"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1600"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1539"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1125"
"02.01.2018 05:00 - 02.01.2018 06:00","0","510"
"02.01.2018 06:00 - 02.01.2018 07:00","125","0"
"02.01.2018 07:00 - 02.01.2018 08:00","716","0"
"02.01.2018 08:00 - 02.01.2018 09:00","1296","0"
"02.01.2018 09:00 - 02.01.2018 10:00","1515","0"
"02.01.2018 10:00 - 02.01.2018 11:00","1530","0"
"02.01.2018 11:00 - 02.01.2018 12:00","1527","0"
"02.01.2018 12:00 - 02.01.2018 13:00","1528","0"
"02.01.2018 13:00 - 02.01.2018 14:00","1527","0"
"02.01.2018 14:00 - 02.01.2018 15:00","1528","0"
"02.01.2018 15:00 - 02.01.2018 16:00","1527","0"
"02.01.2018 16:00 - 02.01.2018 17:00","1531","0"
"02.01.2018 17:00 - 02.01.2018 18:00","1532","0"
