"Time (CET)","Belgium (BE) > France (FR) [MW]","France (FR) > Belgium (BE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1943","0"
"01.01.2018 01:00 - 01.01.2018 02:00","2548","0"
"01.01.2018 02:00 - 01.01.2018 03:00","2509","0"
"01.01.2018 03:00 - 01.01.2018 04:00","2533","0"
"01.01.2018 04:00 - 01.01.2018 05:00","2205","0"
"01.01.2018 05:00 - 01.01.2018 06:00","2197","0"
"01.01.2018 06:00 - 01.01.2018 07:00","2155","0"
"01.01.2018 07:00 - 01.01.2018 08:00","2236","0"
"01.01.2018 08:00 - 01.01.2018 09:00","1669","0"
"01.01.2018 09:00 - 01.01.2018 10:00","1372","0"
"01.01.2018 10:00 - 01.01.2018 11:00","2082","0"
"01.01.2018 11:00 - 01.01.2018 12:00","2507","0"
"01.01.2018 12:00 - 01.01.2018 13:00","2383","0"
"01.01.2018 13:00 - 01.01.2018 14:00","1910","0"
"01.01.2018 14:00 - 01.01.2018 15:00","0","221"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1588"
"01.01.2018 16:00 - 01.01.2018 17:00","0","2216"
"01.01.2018 17:00 - 01.01.2018 18:00","0","2068"
"01.01.2018 18:00 - 01.01.2018 19:00","0","2256"
"01.01.2018 19:00 - 01.01.2018 20:00","0","2407"
"01.01.2018 20:00 - 01.01.2018 21:00","0","1944"
"01.01.2018 21:00 - 01.01.2018 22:00","0","1511"
"01.01.2018 22:00 - 01.01.2018 23:00","0","1775"
"01.01.2018 23:00 - 02.01.2018 00:00","0","1957"
"02.01.2018 00:00 - 02.01.2018 01:00","0","1799"
"02.01.2018 01:00 - 02.01.2018 02:00","0","2086"
"02.01.2018 02:00 - 02.01.2018 03:00","0","1861"
"02.01.2018 03:00 - 02.01.2018 04:00","0","1629"
"02.01.2018 04:00 - 02.01.2018 05:00","0","1410"
"02.01.2018 05:00 - 02.01.2018 06:00","0","1393"
"02.01.2018 06:00 - 02.01.2018 07:00","0","1417"
"02.01.2018 07:00 - 02.01.2018 08:00","0","714"
"02.01.2018 08:00 - 02.01.2018 09:00","0","481"
"02.01.2018 09:00 - 02.01.2018 10:00","0","289"
"02.01.2018 10:00 - 02.01.2018 11:00","0","83"
"02.01.2018 11:00 - 02.01.2018 12:00","0","49"
"02.01.2018 12:00 - 02.01.2018 13:00","0","100"
"02.01.2018 13:00 - 02.01.2018 14:00","0","667"
"02.01.2018 14:00 - 02.01.2018 15:00","0","1071"
"02.01.2018 15:00 - 02.01.2018 16:00","0","1114"
"02.01.2018 16:00 - 02.01.2018 17:00","0","1431"
