"Time (CET)","Ukraine (UA) > Hungary (HU) [MW]","Hungary (HU) > Ukraine (UA) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","504","0"
"01.01.2018 01:00 - 01.01.2018 02:00","526","0"
"01.01.2018 02:00 - 01.01.2018 03:00","463","0"
"01.01.2018 03:00 - 01.01.2018 04:00","446","0"
"01.01.2018 04:00 - 01.01.2018 05:00","456","0"
"01.01.2018 05:00 - 01.01.2018 06:00","414","0"
"01.01.2018 06:00 - 01.01.2018 07:00","368","0"
"01.01.2018 07:00 - 01.01.2018 08:00","344","0"
"01.01.2018 08:00 - 01.01.2018 09:00","329","0"
"01.01.2018 09:00 - 01.01.2018 10:00","392","0"
"01.01.2018 10:00 - 01.01.2018 11:00","460","0"
"01.01.2018 11:00 - 01.01.2018 12:00","480","0"
"01.01.2018 12:00 - 01.01.2018 13:00","483","0"
"01.01.2018 13:00 - 01.01.2018 14:00","437","0"
"01.01.2018 14:00 - 01.01.2018 15:00","412","0"
"01.01.2018 15:00 - 01.01.2018 16:00","370","0"
"01.01.2018 16:00 - 01.01.2018 17:00","404","0"
"01.01.2018 17:00 - 01.01.2018 18:00","450","0"
"01.01.2018 18:00 - 01.01.2018 19:00","462","0"
"01.01.2018 19:00 - 01.01.2018 20:00","468","0"
"01.01.2018 20:00 - 01.01.2018 21:00","486","0"
"01.01.2018 21:00 - 01.01.2018 22:00","489","0"
"01.01.2018 22:00 - 01.01.2018 23:00","502","0"
"01.01.2018 23:00 - 02.01.2018 00:00","468","0"
"02.01.2018 00:00 - 02.01.2018 01:00","513","0"
"02.01.2018 01:00 - 02.01.2018 02:00","504","0"
"02.01.2018 02:00 - 02.01.2018 03:00","490","0"
"02.01.2018 03:00 - 02.01.2018 04:00","477","0"
"02.01.2018 04:00 - 02.01.2018 05:00","481","0"
"02.01.2018 05:00 - 02.01.2018 06:00","479","0"
"02.01.2018 06:00 - 02.01.2018 07:00","480","0"
"02.01.2018 07:00 - 02.01.2018 08:00","443","0"
"02.01.2018 08:00 - 02.01.2018 09:00","451","0"
"02.01.2018 09:00 - 02.01.2018 10:00","466","0"
"02.01.2018 10:00 - 02.01.2018 11:00","475","0"
"02.01.2018 11:00 - 02.01.2018 12:00","476","0"
"02.01.2018 12:00 - 02.01.2018 13:00","470","0"
"02.01.2018 13:00 - 02.01.2018 14:00","461","0"
"02.01.2018 14:00 - 02.01.2018 15:00","438","0"
"02.01.2018 15:00 - 02.01.2018 16:00","463","0"
"02.01.2018 16:00 - 02.01.2018 17:00","485","0"
"02.01.2018 17:00 - 02.01.2018 18:00","491","0"
"02.01.2018 18:00 - 02.01.2018 19:00","491","0"
"02.01.2018 19:00 - 02.01.2018 20:00","449","0"
"02.01.2018 20:00 - 02.01.2018 21:00","473","0"
"02.01.2018 21:00 - 02.01.2018 22:00","515","0"
"02.01.2018 22:00 - 02.01.2018 23:00","543","0"
"02.01.2018 23:00 - 03.01.2018 00:00","585","0"
"03.01.2018 00:00 - 03.01.2018 01:00","546","0"
"03.01.2018 01:00 - 03.01.2018 02:00","592","0"
"03.01.2018 02:00 - 03.01.2018 03:00","615","0"
"03.01.2018 03:00 - 03.01.2018 04:00","605","0"
"03.01.2018 04:00 - 03.01.2018 05:00","576","0"
"03.01.2018 05:00 - 03.01.2018 06:00","485","0"
"03.01.2018 06:00 - 03.01.2018 07:00","491","0"
"03.01.2018 07:00 - 03.01.2018 08:00","512","0"
"03.01.2018 08:00 - 03.01.2018 09:00","463","0"
"03.01.2018 09:00 - 03.01.2018 10:00","433","0"
"03.01.2018 10:00 - 03.01.2018 11:00","432","0"
"03.01.2018 11:00 - 03.01.2018 12:00","458","0"
"03.01.2018 12:00 - 03.01.2018 13:00","455","0"
"03.01.2018 13:00 - 03.01.2018 14:00","456","0"
"03.01.2018 14:00 - 03.01.2018 15:00","448","0"
"03.01.2018 15:00 - 03.01.2018 16:00","440","0"
"03.01.2018 16:00 - 03.01.2018 17:00","426","0"
"03.01.2018 17:00 - 03.01.2018 18:00","435","0"
"03.01.2018 18:00 - 03.01.2018 19:00","418","0"
"03.01.2018 19:00 - 03.01.2018 20:00","418","0"
"03.01.2018 20:00 - 03.01.2018 21:00","417","0"
"03.01.2018 21:00 - 03.01.2018 22:00","453","0"
"03.01.2018 22:00 - 03.01.2018 23:00","487","0"
"03.01.2018 23:00 - 04.01.2018 00:00","529","0"
"04.01.2018 00:00 - 04.01.2018 01:00","534","0"
"04.01.2018 01:00 - 04.01.2018 02:00","505","0"
"04.01.2018 02:00 - 04.01.2018 03:00","484","0"
"04.01.2018 03:00 - 04.01.2018 04:00","455","0"
"04.01.2018 04:00 - 04.01.2018 05:00","445","0"
"04.01.2018 05:00 - 04.01.2018 06:00","437","0"
"04.01.2018 06:00 - 04.01.2018 07:00","439","0"
"04.01.2018 07:00 - 04.01.2018 08:00","433","0"
"04.01.2018 08:00 - 04.01.2018 09:00","432","0"
"04.01.2018 09:00 - 04.01.2018 10:00","461","0"
"04.01.2018 10:00 - 04.01.2018 11:00","513","0"
"04.01.2018 11:00 - 04.01.2018 12:00","510","0"
"04.01.2018 12:00 - 04.01.2018 13:00","504","0"
"04.01.2018 13:00 - 04.01.2018 14:00","493","0"
"04.01.2018 14:00 - 04.01.2018 15:00","476","0"
"04.01.2018 15:00 - 04.01.2018 16:00","445","0"
"04.01.2018 16:00 - 04.01.2018 17:00","454","0"
"04.01.2018 17:00 - 04.01.2018 18:00","498","0"
"04.01.2018 18:00 - 04.01.2018 19:00","508","0"
"04.01.2018 19:00 - 04.01.2018 20:00","518","0"
"04.01.2018 20:00 - 04.01.2018 21:00","534","0"
"04.01.2018 21:00 - 04.01.2018 22:00","568","0"
"04.01.2018 22:00 - 04.01.2018 23:00","621","0"
"04.01.2018 23:00 - 05.01.2018 00:00","484","0"
"05.01.2018 00:00 - 05.01.2018 01:00","459","0"
"05.01.2018 01:00 - 05.01.2018 02:00","469","0"
"05.01.2018 02:00 - 05.01.2018 03:00","468","0"
"05.01.2018 03:00 - 05.01.2018 04:00","429","0"
"05.01.2018 04:00 - 05.01.2018 05:00","410","0"
"05.01.2018 05:00 - 05.01.2018 06:00","424","0"
"05.01.2018 06:00 - 05.01.2018 07:00","446","0"
"05.01.2018 07:00 - 05.01.2018 08:00","421","0"
"05.01.2018 08:00 - 05.01.2018 09:00","411","0"
"05.01.2018 09:00 - 05.01.2018 10:00","449","0"
"05.01.2018 10:00 - 05.01.2018 11:00","501","0"
"05.01.2018 11:00 - 05.01.2018 12:00","498","0"
"05.01.2018 12:00 - 05.01.2018 13:00","503","0"
"05.01.2018 13:00 - 05.01.2018 14:00","517","0"
"05.01.2018 14:00 - 05.01.2018 15:00","487","0"
"05.01.2018 15:00 - 05.01.2018 16:00","468","0"
"05.01.2018 16:00 - 05.01.2018 17:00","437","0"
"05.01.2018 17:00 - 05.01.2018 18:00","499","0"
"05.01.2018 18:00 - 05.01.2018 19:00","498","0"
"05.01.2018 19:00 - 05.01.2018 20:00","500","0"
"05.01.2018 20:00 - 05.01.2018 21:00","504","0"
"05.01.2018 21:00 - 05.01.2018 22:00","563","0"
"05.01.2018 22:00 - 05.01.2018 23:00","665","0"
"05.01.2018 23:00 - 06.01.2018 00:00","600","0"
"06.01.2018 00:00 - 06.01.2018 01:00","544","0"
"06.01.2018 01:00 - 06.01.2018 02:00","546","0"
"06.01.2018 02:00 - 06.01.2018 03:00","507","0"
"06.01.2018 03:00 - 06.01.2018 04:00","505","0"
"06.01.2018 04:00 - 06.01.2018 05:00","488","0"
"06.01.2018 05:00 - 06.01.2018 06:00","464","0"
"06.01.2018 06:00 - 06.01.2018 07:00","445","0"
"06.01.2018 07:00 - 06.01.2018 08:00","457","0"
"06.01.2018 08:00 - 06.01.2018 09:00","479","0"
"06.01.2018 09:00 - 06.01.2018 10:00","562","0"
