"Time (CET)","Poland (PL) > Lithuania (LT) [MW]","Lithuania (LT) > Poland (PL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","0"
"01.01.2018 01:00 - 01.01.2018 02:00","2","0"
"01.01.2018 02:00 - 01.01.2018 03:00","232","0"
"01.01.2018 03:00 - 01.01.2018 04:00","378","0"
"01.01.2018 04:00 - 01.01.2018 05:00","467","0"
"01.01.2018 05:00 - 01.01.2018 06:00","428","0"
"01.01.2018 06:00 - 01.01.2018 07:00","233","0"
"01.01.2018 07:00 - 01.01.2018 08:00","90","0"
"01.01.2018 08:00 - 01.01.2018 09:00","141","0"
"01.01.2018 09:00 - 01.01.2018 10:00","273","0"
"01.01.2018 10:00 - 01.01.2018 11:00","2","0"
"01.01.2018 11:00 - 01.01.2018 12:00","0","0"
"01.01.2018 12:00 - 01.01.2018 13:00","0","0"
"01.01.2018 13:00 - 01.01.2018 14:00","0","0"
"01.01.2018 14:00 - 01.01.2018 15:00","0","0"
"01.01.2018 15:00 - 01.01.2018 16:00","0","0"
"01.01.2018 16:00 - 01.01.2018 17:00","0","12"
"01.01.2018 17:00 - 01.01.2018 18:00","0","481"
"01.01.2018 18:00 - 01.01.2018 19:00","0","486"
"01.01.2018 19:00 - 01.01.2018 20:00","0","487"
"01.01.2018 20:00 - 01.01.2018 21:00","0","487"
"01.01.2018 21:00 - 01.01.2018 22:00","0","487"
"01.01.2018 22:00 - 01.01.2018 23:00","0","478"
"01.01.2018 23:00 - 02.01.2018 00:00","0","62"
"02.01.2018 00:00 - 02.01.2018 01:00","0","0"
"02.01.2018 01:00 - 02.01.2018 02:00","0","0"
"02.01.2018 02:00 - 02.01.2018 03:00","0","0"
"02.01.2018 03:00 - 02.01.2018 04:00","0","0"
"02.01.2018 04:00 - 02.01.2018 05:00","0","0"
"02.01.2018 05:00 - 02.01.2018 06:00","0","0"
"02.01.2018 06:00 - 02.01.2018 07:00","0","0"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1"
"02.01.2018 08:00 - 02.01.2018 09:00","0","296"
"02.01.2018 09:00 - 02.01.2018 10:00","0","487"
"02.01.2018 10:00 - 02.01.2018 11:00","0","487"
"02.01.2018 11:00 - 02.01.2018 12:00","0","487"
"02.01.2018 12:00 - 02.01.2018 13:00","0","487"
"02.01.2018 13:00 - 02.01.2018 14:00","0","487"
"02.01.2018 14:00 - 02.01.2018 15:00","0","487"
"02.01.2018 15:00 - 02.01.2018 16:00","0","487"
"02.01.2018 16:00 - 02.01.2018 17:00","0","487"
"02.01.2018 17:00 - 02.01.2018 18:00","0","487"
"02.01.2018 18:00 - 02.01.2018 19:00","0","487"
"02.01.2018 19:00 - 02.01.2018 20:00","0","487"
"02.01.2018 20:00 - 02.01.2018 21:00","0","487"
"02.01.2018 21:00 - 02.01.2018 22:00","0","487"
"02.01.2018 22:00 - 02.01.2018 23:00","0","487"
"02.01.2018 23:00 - 03.01.2018 00:00","0","486"
"03.01.2018 00:00 - 03.01.2018 01:00","0","372"
"03.01.2018 01:00 - 03.01.2018 02:00","0","155"
"03.01.2018 02:00 - 03.01.2018 03:00","0","47"
"03.01.2018 03:00 - 03.01.2018 04:00","0","0"
"03.01.2018 04:00 - 03.01.2018 05:00","0","2"
"03.01.2018 05:00 - 03.01.2018 06:00","0","126"
"03.01.2018 06:00 - 03.01.2018 07:00","0","485"
"03.01.2018 07:00 - 03.01.2018 08:00","0","487"
"03.01.2018 08:00 - 03.01.2018 09:00","0","487"
"03.01.2018 09:00 - 03.01.2018 10:00","0","487"
"03.01.2018 10:00 - 03.01.2018 11:00","0","487"
"03.01.2018 11:00 - 03.01.2018 12:00","0","487"
"03.01.2018 12:00 - 03.01.2018 13:00","0","487"
"03.01.2018 13:00 - 03.01.2018 14:00","0","487"
"03.01.2018 14:00 - 03.01.2018 15:00","0","486"
"03.01.2018 15:00 - 03.01.2018 16:00","0","487"
"03.01.2018 16:00 - 03.01.2018 17:00","0","487"
"03.01.2018 17:00 - 03.01.2018 18:00","0","487"
"03.01.2018 18:00 - 03.01.2018 19:00","0","487"
"03.01.2018 19:00 - 03.01.2018 20:00","0","488"
"03.01.2018 20:00 - 03.01.2018 21:00","0","486"
"03.01.2018 21:00 - 03.01.2018 22:00","0","483"
"03.01.2018 22:00 - 03.01.2018 23:00","0","191"
"03.01.2018 23:00 - 04.01.2018 00:00","0","0"
"04.01.2018 00:00 - 04.01.2018 01:00","0","0"
"04.01.2018 01:00 - 04.01.2018 02:00","0","0"
"04.01.2018 02:00 - 04.01.2018 03:00","50","0"
"04.01.2018 03:00 - 04.01.2018 04:00","50","0"
"04.01.2018 04:00 - 04.01.2018 05:00","0","0"
"04.01.2018 05:00 - 04.01.2018 06:00","0","0"
"04.01.2018 06:00 - 04.01.2018 07:00","0","0"
"04.01.2018 07:00 - 04.01.2018 08:00","0","1"
"04.01.2018 08:00 - 04.01.2018 09:00","0","419"
"04.01.2018 09:00 - 04.01.2018 10:00","0","486"
"04.01.2018 10:00 - 04.01.2018 11:00","0","486"
"04.01.2018 11:00 - 04.01.2018 12:00","0","486"
"04.01.2018 12:00 - 04.01.2018 13:00","0","486"
"04.01.2018 13:00 - 04.01.2018 14:00","0","486"
"04.01.2018 14:00 - 04.01.2018 15:00","0","486"
"04.01.2018 15:00 - 04.01.2018 16:00","0","485"
"04.01.2018 16:00 - 04.01.2018 17:00","0","485"
"04.01.2018 17:00 - 04.01.2018 18:00","0","486"
"04.01.2018 18:00 - 04.01.2018 19:00","0","486"
"04.01.2018 19:00 - 04.01.2018 20:00","0","486"
"04.01.2018 20:00 - 04.01.2018 21:00","0","485"
"04.01.2018 21:00 - 04.01.2018 22:00","0","486"
"04.01.2018 22:00 - 04.01.2018 23:00","0","486"
"04.01.2018 23:00 - 05.01.2018 00:00","0","438"
"05.01.2018 00:00 - 05.01.2018 01:00","0","6"
"05.01.2018 01:00 - 05.01.2018 02:00","0","0"
"05.01.2018 02:00 - 05.01.2018 03:00","0","0"
"05.01.2018 03:00 - 05.01.2018 04:00","72","0"
"05.01.2018 04:00 - 05.01.2018 05:00","0","0"
