"Time (CET)","Sweden (SE) > Lithuania (LT) [MW]","Lithuania (LT) > Sweden (SE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","222","0"
"01.01.2018 01:00 - 01.01.2018 02:00","206","0"
"01.01.2018 02:00 - 01.01.2018 03:00","0","138"
"01.01.2018 03:00 - 01.01.2018 04:00","0","158"
"01.01.2018 04:00 - 01.01.2018 05:00","0","157"
"01.01.2018 05:00 - 01.01.2018 06:00","0","129"
"01.01.2018 06:00 - 01.01.2018 07:00","0","20"
"01.01.2018 07:00 - 01.01.2018 08:00","0","116"
"01.01.2018 08:00 - 01.01.2018 09:00","0","121"
"01.01.2018 09:00 - 01.01.2018 10:00","0","125"
"01.01.2018 10:00 - 01.01.2018 11:00","65","0"
"01.01.2018 11:00 - 01.01.2018 12:00","70","0"
"01.01.2018 12:00 - 01.01.2018 13:00","97","0"
"01.01.2018 13:00 - 01.01.2018 14:00","23","0"
"01.01.2018 14:00 - 01.01.2018 15:00","10","0"
"01.01.2018 15:00 - 01.01.2018 16:00","191","0"
"01.01.2018 16:00 - 01.01.2018 17:00","212","0"
"01.01.2018 17:00 - 01.01.2018 18:00","546","0"
"01.01.2018 18:00 - 01.01.2018 19:00","536","0"
"01.01.2018 19:00 - 01.01.2018 20:00","430","0"
"01.01.2018 20:00 - 01.01.2018 21:00","283","0"
"01.01.2018 21:00 - 01.01.2018 22:00","325","0"
"01.01.2018 22:00 - 01.01.2018 23:00","155","0"
"01.01.2018 23:00 - 02.01.2018 00:00","28","0"
"02.01.2018 00:00 - 02.01.2018 01:00","0","48"
"02.01.2018 01:00 - 02.01.2018 02:00","0","43"
"02.01.2018 02:00 - 02.01.2018 03:00","0","33"
"02.01.2018 03:00 - 02.01.2018 04:00","0","76"
"02.01.2018 04:00 - 02.01.2018 05:00","0","8"
"02.01.2018 05:00 - 02.01.2018 06:00","39","0"
"02.01.2018 06:00 - 02.01.2018 07:00","0","11"
"02.01.2018 07:00 - 02.01.2018 08:00","101","0"
"02.01.2018 08:00 - 02.01.2018 09:00","413","0"
"02.01.2018 09:00 - 02.01.2018 10:00","230","0"
"02.01.2018 10:00 - 02.01.2018 11:00","238","0"
"02.01.2018 11:00 - 02.01.2018 12:00","302","0"
"02.01.2018 12:00 - 02.01.2018 13:00","263","0"
"02.01.2018 13:00 - 02.01.2018 14:00","320","0"
"02.01.2018 14:00 - 02.01.2018 15:00","290","0"
"02.01.2018 15:00 - 02.01.2018 16:00","90","0"
"02.01.2018 16:00 - 02.01.2018 17:00","0","71"
"02.01.2018 17:00 - 02.01.2018 18:00","0","49"
"02.01.2018 18:00 - 02.01.2018 19:00","62","0"
"02.01.2018 19:00 - 02.01.2018 20:00","184","0"
"02.01.2018 20:00 - 02.01.2018 21:00","374","0"
"02.01.2018 21:00 - 02.01.2018 22:00","322","0"
"02.01.2018 22:00 - 02.01.2018 23:00","13","0"
"02.01.2018 23:00 - 03.01.2018 00:00","40","0"
"03.01.2018 00:00 - 03.01.2018 01:00","4","0"
"03.01.2018 01:00 - 03.01.2018 02:00","3","0"
"03.01.2018 02:00 - 03.01.2018 03:00","3","0"
"03.01.2018 03:00 - 03.01.2018 04:00","4","0"
"03.01.2018 04:00 - 03.01.2018 05:00","5","0"
"03.01.2018 05:00 - 03.01.2018 06:00","123","0"
"03.01.2018 06:00 - 03.01.2018 07:00","642","0"
"03.01.2018 07:00 - 03.01.2018 08:00","730","0"
"03.01.2018 08:00 - 03.01.2018 09:00","731","0"
"03.01.2018 09:00 - 03.01.2018 10:00","730","0"
"03.01.2018 10:00 - 03.01.2018 11:00","656","0"
"03.01.2018 11:00 - 03.01.2018 12:00","728","0"
"03.01.2018 12:00 - 03.01.2018 13:00","648","0"
"03.01.2018 13:00 - 03.01.2018 14:00","682","0"
"03.01.2018 14:00 - 03.01.2018 15:00","663","0"
"03.01.2018 15:00 - 03.01.2018 16:00","570","0"
"03.01.2018 16:00 - 03.01.2018 17:00","524","0"
"03.01.2018 17:00 - 03.01.2018 18:00","589","0"
"03.01.2018 18:00 - 03.01.2018 19:00","624","0"
"03.01.2018 19:00 - 03.01.2018 20:00","513","0"
"03.01.2018 20:00 - 03.01.2018 21:00","261","0"
"03.01.2018 21:00 - 03.01.2018 22:00","140","0"
"03.01.2018 22:00 - 03.01.2018 23:00","0","83"
"03.01.2018 23:00 - 04.01.2018 00:00","0","309"
"04.01.2018 00:00 - 04.01.2018 01:00","0","375"
"04.01.2018 01:00 - 04.01.2018 02:00","0","338"
"04.01.2018 02:00 - 04.01.2018 03:00","0","335"
"04.01.2018 03:00 - 04.01.2018 04:00","0","306"
"04.01.2018 04:00 - 04.01.2018 05:00","0","364"
"04.01.2018 05:00 - 04.01.2018 06:00","0","54"
"04.01.2018 06:00 - 04.01.2018 07:00","0","20"
"04.01.2018 07:00 - 04.01.2018 08:00","108","0"
"04.01.2018 08:00 - 04.01.2018 09:00","0","55"
"04.01.2018 09:00 - 04.01.2018 10:00","36","0"
"04.01.2018 10:00 - 04.01.2018 11:00","134","0"
"04.01.2018 11:00 - 04.01.2018 12:00","259","0"
"04.01.2018 12:00 - 04.01.2018 13:00","208","0"
"04.01.2018 13:00 - 04.01.2018 14:00","164","0"
"04.01.2018 14:00 - 04.01.2018 15:00","112","0"
"04.01.2018 15:00 - 04.01.2018 16:00","0","92"
"04.01.2018 16:00 - 04.01.2018 17:00","0","121"
"04.01.2018 17:00 - 04.01.2018 18:00","0","361"
"04.01.2018 18:00 - 04.01.2018 19:00","0","148"
"04.01.2018 19:00 - 04.01.2018 20:00","162","0"
"04.01.2018 20:00 - 04.01.2018 21:00","32","0"
"04.01.2018 21:00 - 04.01.2018 22:00","243","0"
"04.01.2018 22:00 - 04.01.2018 23:00","568","0"
"04.01.2018 23:00 - 05.01.2018 00:00","487","0"
"05.01.2018 00:00 - 05.01.2018 01:00","0","65"
"05.01.2018 01:00 - 05.01.2018 02:00","0","200"
"05.01.2018 02:00 - 05.01.2018 03:00","0","171"
"05.01.2018 03:00 - 05.01.2018 04:00","0","296"
"05.01.2018 04:00 - 05.01.2018 05:00","0","181"
"05.01.2018 05:00 - 05.01.2018 06:00","0","325"
"05.01.2018 06:00 - 05.01.2018 07:00","0","73"
"05.01.2018 07:00 - 05.01.2018 08:00","0","63"
"05.01.2018 08:00 - 05.01.2018 09:00","0","55"
"05.01.2018 09:00 - 05.01.2018 10:00","62","0"
"05.01.2018 10:00 - 05.01.2018 11:00","0","69"
"05.01.2018 11:00 - 05.01.2018 12:00","0","50"
"05.01.2018 12:00 - 05.01.2018 13:00","0","32"
"05.01.2018 13:00 - 05.01.2018 14:00","0","52"
"05.01.2018 14:00 - 05.01.2018 15:00","56","0"
"05.01.2018 15:00 - 05.01.2018 16:00","33","0"
"05.01.2018 16:00 - 05.01.2018 17:00","0","65"
"05.01.2018 17:00 - 05.01.2018 18:00","0","65"
"05.01.2018 18:00 - 05.01.2018 19:00","0","31"
"05.01.2018 19:00 - 05.01.2018 20:00","134","0"
"05.01.2018 20:00 - 05.01.2018 21:00","108","0"
"05.01.2018 21:00 - 05.01.2018 22:00","249","0"
"05.01.2018 22:00 - 05.01.2018 23:00","32","0"
"05.01.2018 23:00 - 06.01.2018 00:00","0","291"
"06.01.2018 00:00 - 06.01.2018 01:00","0","254"
"06.01.2018 01:00 - 06.01.2018 02:00","0","225"
"06.01.2018 02:00 - 06.01.2018 03:00","0","253"
"06.01.2018 03:00 - 06.01.2018 04:00","0","229"
"06.01.2018 04:00 - 06.01.2018 05:00","0","167"
"06.01.2018 05:00 - 06.01.2018 06:00","0","155"
"06.01.2018 06:00 - 06.01.2018 07:00","0","7"
"06.01.2018 07:00 - 06.01.2018 08:00","1","0"
"06.01.2018 08:00 - 06.01.2018 09:00","162","0"
"06.01.2018 09:00 - 06.01.2018 10:00","59","0"
"06.01.2018 10:00 - 06.01.2018 11:00","63","0"
"06.01.2018 11:00 - 06.01.2018 12:00","259","0"
"06.01.2018 12:00 - 06.01.2018 13:00","220","0"
"06.01.2018 13:00 - 06.01.2018 14:00","246","0"
"06.01.2018 14:00 - 06.01.2018 15:00","303","0"
"06.01.2018 15:00 - 06.01.2018 16:00","420","0"
"06.01.2018 16:00 - 06.01.2018 17:00","296","0"
"06.01.2018 17:00 - 06.01.2018 18:00","245","0"
