"Time (CET)","Norway (NO) > Netherlands (NL) [MW]","Netherlands (NL) > Norway (NO) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","26"
"01.01.2018 01:00 - 01.01.2018 02:00","75","0"
"01.01.2018 02:00 - 01.01.2018 03:00","0","169"
"01.01.2018 03:00 - 01.01.2018 04:00","0","629"
"01.01.2018 04:00 - 01.01.2018 05:00","0","247"
"01.01.2018 05:00 - 01.01.2018 06:00","0","312"
"01.01.2018 06:00 - 01.01.2018 07:00","0","151"
"01.01.2018 07:00 - 01.01.2018 08:00","273","0"
"01.01.2018 08:00 - 01.01.2018 09:00","0","253"
"01.01.2018 09:00 - 01.01.2018 10:00","0","254"
"01.01.2018 10:00 - 01.01.2018 11:00","219","0"
"01.01.2018 11:00 - 01.01.2018 12:00","413","0"
"01.01.2018 12:00 - 01.01.2018 13:00","580","0"
"01.01.2018 13:00 - 01.01.2018 14:00","653","0"
"01.01.2018 14:00 - 01.01.2018 15:00","606","0"
"01.01.2018 15:00 - 01.01.2018 16:00","703","0"
"01.01.2018 16:00 - 01.01.2018 17:00","705","0"
"01.01.2018 17:00 - 01.01.2018 18:00","705","0"
"01.01.2018 18:00 - 01.01.2018 19:00","705","0"
"01.01.2018 19:00 - 01.01.2018 20:00","705","0"
"01.01.2018 20:00 - 01.01.2018 21:00","705","0"
"01.01.2018 21:00 - 01.01.2018 22:00","658","0"
"01.01.2018 22:00 - 01.01.2018 23:00","146","0"
"01.01.2018 23:00 - 02.01.2018 00:00","0","447"
"02.01.2018 00:00 - 02.01.2018 01:00","0","725"
"02.01.2018 01:00 - 02.01.2018 02:00","0","723"
"02.01.2018 02:00 - 02.01.2018 03:00","0","394"
"02.01.2018 03:00 - 02.01.2018 04:00","0","591"
"02.01.2018 04:00 - 02.01.2018 05:00","0","609"
"02.01.2018 05:00 - 02.01.2018 06:00","0","717"
"02.01.2018 06:00 - 02.01.2018 07:00","0","298"
"02.01.2018 07:00 - 02.01.2018 08:00","277","0"
"02.01.2018 08:00 - 02.01.2018 09:00","303","0"
"02.01.2018 09:00 - 02.01.2018 10:00","303","0"
"02.01.2018 10:00 - 02.01.2018 11:00","304","0"
"02.01.2018 11:00 - 02.01.2018 12:00","303","0"
"02.01.2018 12:00 - 02.01.2018 13:00","304","0"
"02.01.2018 13:00 - 02.01.2018 14:00","304","0"
"02.01.2018 14:00 - 02.01.2018 15:00","304","0"
"02.01.2018 15:00 - 02.01.2018 16:00","304","0"
"02.01.2018 16:00 - 02.01.2018 17:00","303","0"
"02.01.2018 17:00 - 02.01.2018 18:00","304","0"
