"Time (CET)","Finland (FI) > Norway (NO) [MW]","Norway (NO) > Finland (FI) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","17","0"
"01.01.2018 01:00 - 01.01.2018 02:00","15","0"
"01.01.2018 02:00 - 01.01.2018 03:00","13","0"
"01.01.2018 03:00 - 01.01.2018 04:00","10","0"
"01.01.2018 04:00 - 01.01.2018 05:00","7","0"
"01.01.2018 05:00 - 01.01.2018 06:00","10","0"
"01.01.2018 06:00 - 01.01.2018 07:00","12","0"
"01.01.2018 07:00 - 01.01.2018 08:00","8","0"
"01.01.2018 08:00 - 01.01.2018 09:00","13","0"
"01.01.2018 09:00 - 01.01.2018 10:00","13","0"
"01.01.2018 10:00 - 01.01.2018 11:00","6","0"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1"
"01.01.2018 12:00 - 01.01.2018 13:00","0","0"
"01.01.2018 13:00 - 01.01.2018 14:00","3","0"
"01.01.2018 14:00 - 01.01.2018 15:00","2","0"
"01.01.2018 15:00 - 01.01.2018 16:00","0","5"
"01.01.2018 16:00 - 01.01.2018 17:00","0","10"
"01.01.2018 17:00 - 01.01.2018 18:00","0","18"
"01.01.2018 18:00 - 01.01.2018 19:00","0","18"
"01.01.2018 19:00 - 01.01.2018 20:00","0","16"
"01.01.2018 20:00 - 01.01.2018 21:00","0","13"
"01.01.2018 21:00 - 01.01.2018 22:00","0","18"
"01.01.2018 22:00 - 01.01.2018 23:00","0","8"
"01.01.2018 23:00 - 02.01.2018 00:00","0","3"
"02.01.2018 00:00 - 02.01.2018 01:00","30","0"
"02.01.2018 01:00 - 02.01.2018 02:00","46","0"
"02.01.2018 02:00 - 02.01.2018 03:00","37","0"
"02.01.2018 03:00 - 02.01.2018 04:00","27","0"
"02.01.2018 04:00 - 02.01.2018 05:00","8","0"
"02.01.2018 05:00 - 02.01.2018 06:00","0","32"
"02.01.2018 06:00 - 02.01.2018 07:00","0","39"
"02.01.2018 07:00 - 02.01.2018 08:00","0","35"
"02.01.2018 08:00 - 02.01.2018 09:00","0","36"
"02.01.2018 09:00 - 02.01.2018 10:00","0","39"
"02.01.2018 10:00 - 02.01.2018 11:00","0","38"
"02.01.2018 11:00 - 02.01.2018 12:00","0","40"
"02.01.2018 12:00 - 02.01.2018 13:00","0","35"
"02.01.2018 13:00 - 02.01.2018 14:00","0","29"
"02.01.2018 14:00 - 02.01.2018 15:00","0","27"
"02.01.2018 15:00 - 02.01.2018 16:00","0","25"
"02.01.2018 16:00 - 02.01.2018 17:00","0","24"
"02.01.2018 17:00 - 02.01.2018 18:00","0","17"
"02.01.2018 18:00 - 02.01.2018 19:00","0","23"
"02.01.2018 19:00 - 02.01.2018 20:00","0","21"
"02.01.2018 20:00 - 02.01.2018 21:00","0","10"
"02.01.2018 21:00 - 02.01.2018 22:00","0","20"
"02.01.2018 22:00 - 02.01.2018 23:00","0","11"
"02.01.2018 23:00 - 03.01.2018 00:00","0","7"
"03.01.2018 00:00 - 03.01.2018 01:00","0","2"
"03.01.2018 01:00 - 03.01.2018 02:00","10","0"
"03.01.2018 02:00 - 03.01.2018 03:00","20","0"
"03.01.2018 03:00 - 03.01.2018 04:00","28","0"
"03.01.2018 04:00 - 03.01.2018 05:00","31","0"
"03.01.2018 05:00 - 03.01.2018 06:00","29","0"
"03.01.2018 06:00 - 03.01.2018 07:00","6","0"
"03.01.2018 07:00 - 03.01.2018 08:00","12","0"
"03.01.2018 08:00 - 03.01.2018 09:00","26","0"
"03.01.2018 09:00 - 03.01.2018 10:00","29","0"
"03.01.2018 10:00 - 03.01.2018 11:00","29","0"
"03.01.2018 11:00 - 03.01.2018 12:00","33","0"
"03.01.2018 12:00 - 03.01.2018 13:00","34","0"
"03.01.2018 13:00 - 03.01.2018 14:00","34","0"
"03.01.2018 14:00 - 03.01.2018 15:00","37","0"
"03.01.2018 15:00 - 03.01.2018 16:00","34","0"
"03.01.2018 16:00 - 03.01.2018 17:00","29","0"
"03.01.2018 17:00 - 03.01.2018 18:00","29","0"
"03.01.2018 18:00 - 03.01.2018 19:00","26","0"
"03.01.2018 19:00 - 03.01.2018 20:00","30","0"
"03.01.2018 20:00 - 03.01.2018 21:00","31","0"
"03.01.2018 21:00 - 03.01.2018 22:00","25","0"
"03.01.2018 22:00 - 03.01.2018 23:00","40","0"
"03.01.2018 23:00 - 04.01.2018 00:00","44","0"
"04.01.2018 00:00 - 04.01.2018 01:00","46","0"
"04.01.2018 01:00 - 04.01.2018 02:00","48","0"
"04.01.2018 02:00 - 04.01.2018 03:00","48","0"
"04.01.2018 03:00 - 04.01.2018 04:00","45","0"
"04.01.2018 04:00 - 04.01.2018 05:00","38","0"
"04.01.2018 05:00 - 04.01.2018 06:00","33","0"
"04.01.2018 06:00 - 04.01.2018 07:00","25","0"
"04.01.2018 07:00 - 04.01.2018 08:00","16","0"
"04.01.2018 08:00 - 04.01.2018 09:00","25","0"
"04.01.2018 09:00 - 04.01.2018 10:00","23","0"
"04.01.2018 10:00 - 04.01.2018 11:00","9","0"
"04.01.2018 11:00 - 04.01.2018 12:00","0","8"
"04.01.2018 12:00 - 04.01.2018 13:00","0","27"
"04.01.2018 13:00 - 04.01.2018 14:00","0","51"
"04.01.2018 14:00 - 04.01.2018 15:00","0","58"
"04.01.2018 15:00 - 04.01.2018 16:00","0","60"
"04.01.2018 16:00 - 04.01.2018 17:00","0","64"
"04.01.2018 17:00 - 04.01.2018 18:00","0","69"
"04.01.2018 18:00 - 04.01.2018 19:00","0","76"
"04.01.2018 19:00 - 04.01.2018 20:00","0","73"
"04.01.2018 20:00 - 04.01.2018 21:00","0","64"
"04.01.2018 21:00 - 04.01.2018 22:00","0","67"
"04.01.2018 22:00 - 04.01.2018 23:00","0","55"
"04.01.2018 23:00 - 05.01.2018 00:00","0","38"
"05.01.2018 00:00 - 05.01.2018 01:00","0","21"
"05.01.2018 01:00 - 05.01.2018 02:00","0","4"
"05.01.2018 02:00 - 05.01.2018 03:00","2","0"
"05.01.2018 03:00 - 05.01.2018 04:00","8","0"
"05.01.2018 04:00 - 05.01.2018 05:00","13","0"
"05.01.2018 05:00 - 05.01.2018 06:00","5","0"
"05.01.2018 06:00 - 05.01.2018 07:00","0","2"
"05.01.2018 07:00 - 05.01.2018 08:00","0","5"
"05.01.2018 08:00 - 05.01.2018 09:00","4","0"
"05.01.2018 09:00 - 05.01.2018 10:00","15","0"
"05.01.2018 10:00 - 05.01.2018 11:00","26","0"
"05.01.2018 11:00 - 05.01.2018 12:00","26","0"
"05.01.2018 12:00 - 05.01.2018 13:00","40","0"
"05.01.2018 13:00 - 05.01.2018 14:00","46","0"
"05.01.2018 14:00 - 05.01.2018 15:00","45","0"
"05.01.2018 15:00 - 05.01.2018 16:00","43","0"
"05.01.2018 16:00 - 05.01.2018 17:00","32","0"
"05.01.2018 17:00 - 05.01.2018 18:00","29","0"
"05.01.2018 18:00 - 05.01.2018 19:00","26","0"
"05.01.2018 19:00 - 05.01.2018 20:00","28","0"
"05.01.2018 20:00 - 05.01.2018 21:00","34","0"
"05.01.2018 21:00 - 05.01.2018 22:00","20","0"
"05.01.2018 22:00 - 05.01.2018 23:00","22","0"
"05.01.2018 23:00 - 06.01.2018 00:00","29","0"
"06.01.2018 00:00 - 06.01.2018 01:00","16","0"
"06.01.2018 01:00 - 06.01.2018 02:00","18","0"
"06.01.2018 02:00 - 06.01.2018 03:00","6","0"
"06.01.2018 03:00 - 06.01.2018 04:00","0","3"
"06.01.2018 04:00 - 06.01.2018 05:00","0","14"
"06.01.2018 05:00 - 06.01.2018 06:00","0","32"
"06.01.2018 06:00 - 06.01.2018 07:00","0","39"
"06.01.2018 07:00 - 06.01.2018 08:00","0","51"
"06.01.2018 08:00 - 06.01.2018 09:00","0","21"
"06.01.2018 09:00 - 06.01.2018 10:00","0","2"
"06.01.2018 10:00 - 06.01.2018 11:00","4","0"
"06.01.2018 11:00 - 06.01.2018 12:00","0","9"
"06.01.2018 12:00 - 06.01.2018 13:00","0","1"
"06.01.2018 13:00 - 06.01.2018 14:00","5","0"
"06.01.2018 14:00 - 06.01.2018 15:00","9","0"
"06.01.2018 15:00 - 06.01.2018 16:00","3","0"
"06.01.2018 16:00 - 06.01.2018 17:00","6","0"
"06.01.2018 17:00 - 06.01.2018 18:00","2","0"
"06.01.2018 18:00 - 06.01.2018 19:00","1","0"
"06.01.2018 19:00 - 06.01.2018 20:00","4","0"
"06.01.2018 20:00 - 06.01.2018 21:00","0","1"
"06.01.2018 21:00 - 06.01.2018 22:00","0","7"
"06.01.2018 22:00 - 06.01.2018 23:00","0","0"
"06.01.2018 23:00 - 07.01.2018 00:00","6","0"
"07.01.2018 00:00 - 07.01.2018 01:00","43","0"
"07.01.2018 01:00 - 07.01.2018 02:00","45","0"
"07.01.2018 02:00 - 07.01.2018 03:00","32","0"
"07.01.2018 03:00 - 07.01.2018 04:00","15","0"
"07.01.2018 04:00 - 07.01.2018 05:00","10","0"
"07.01.2018 05:00 - 07.01.2018 06:00","10","0"
"07.01.2018 06:00 - 07.01.2018 07:00","11","0"
"07.01.2018 07:00 - 07.01.2018 08:00","0","3"
"07.01.2018 08:00 - 07.01.2018 09:00","0","1"
"07.01.2018 09:00 - 07.01.2018 10:00","2","0"
"07.01.2018 10:00 - 07.01.2018 11:00","0","14"
"07.01.2018 11:00 - 07.01.2018 12:00","0","24"
"07.01.2018 12:00 - 07.01.2018 13:00","0","23"
"07.01.2018 13:00 - 07.01.2018 14:00","0","3"
"07.01.2018 14:00 - 07.01.2018 15:00","0","8"
"07.01.2018 15:00 - 07.01.2018 16:00","0","36"
"07.01.2018 16:00 - 07.01.2018 17:00","0","45"
"07.01.2018 17:00 - 07.01.2018 18:00","0","51"
"07.01.2018 18:00 - 07.01.2018 19:00","0","57"
"07.01.2018 19:00 - 07.01.2018 20:00","0","56"
"07.01.2018 20:00 - 07.01.2018 21:00","0","50"
"07.01.2018 21:00 - 07.01.2018 22:00","0","53"
"07.01.2018 22:00 - 07.01.2018 23:00","0","48"
"07.01.2018 23:00 - 08.01.2018 00:00","0","28"
"08.01.2018 00:00 - 08.01.2018 01:00","7","0"
"08.01.2018 01:00 - 08.01.2018 02:00","13","0"
"08.01.2018 02:00 - 08.01.2018 03:00","7","0"
"08.01.2018 03:00 - 08.01.2018 04:00","12","0"
"08.01.2018 04:00 - 08.01.2018 05:00","8","0"
"08.01.2018 05:00 - 08.01.2018 06:00","0","14"
"08.01.2018 06:00 - 08.01.2018 07:00","0","37"
"08.01.2018 07:00 - 08.01.2018 08:00","0","32"
"08.01.2018 08:00 - 08.01.2018 09:00","0","37"
"08.01.2018 09:00 - 08.01.2018 10:00","0","37"
"08.01.2018 10:00 - 08.01.2018 11:00","0","29"
"08.01.2018 11:00 - 08.01.2018 12:00","0","4"
"08.01.2018 12:00 - 08.01.2018 13:00","2","0"
"08.01.2018 13:00 - 08.01.2018 14:00","22","0"
"08.01.2018 14:00 - 08.01.2018 15:00","36","0"
"08.01.2018 15:00 - 08.01.2018 16:00","26","0"
"08.01.2018 16:00 - 08.01.2018 17:00","19","0"
"08.01.2018 17:00 - 08.01.2018 18:00","8","0"
"08.01.2018 18:00 - 08.01.2018 19:00","0","2"
"08.01.2018 19:00 - 08.01.2018 20:00","0","2"
"08.01.2018 20:00 - 08.01.2018 21:00","1","0"
"08.01.2018 21:00 - 08.01.2018 22:00","0","5"
"08.01.2018 22:00 - 08.01.2018 23:00","0","17"
"08.01.2018 23:00 - 09.01.2018 00:00","0","6"
"09.01.2018 00:00 - 09.01.2018 01:00","0","7"
"09.01.2018 01:00 - 09.01.2018 02:00","0","3"
"09.01.2018 02:00 - 09.01.2018 03:00","0","2"
"09.01.2018 03:00 - 09.01.2018 04:00","0","8"
"09.01.2018 04:00 - 09.01.2018 05:00","0","13"
"09.01.2018 05:00 - 09.01.2018 06:00","0","21"
"09.01.2018 06:00 - 09.01.2018 07:00","0","34"
"09.01.2018 07:00 - 09.01.2018 08:00","0","40"
"09.01.2018 08:00 - 09.01.2018 09:00","0","37"
"09.01.2018 09:00 - 09.01.2018 10:00","0","26"
"09.01.2018 10:00 - 09.01.2018 11:00","0","21"
"09.01.2018 11:00 - 09.01.2018 12:00","0","20"
"09.01.2018 12:00 - 09.01.2018 13:00","0","18"
"09.01.2018 13:00 - 09.01.2018 14:00","0","12"
"09.01.2018 14:00 - 09.01.2018 15:00","10","0"
"09.01.2018 15:00 - 09.01.2018 16:00","25","0"
"09.01.2018 16:00 - 09.01.2018 17:00","17","0"
"09.01.2018 17:00 - 09.01.2018 18:00","14","0"
"09.01.2018 18:00 - 09.01.2018 19:00","18","0"
"09.01.2018 19:00 - 09.01.2018 20:00","23","0"
"09.01.2018 20:00 - 09.01.2018 21:00","29","0"
"09.01.2018 21:00 - 09.01.2018 22:00","29","0"
"09.01.2018 22:00 - 09.01.2018 23:00","42","0"
"09.01.2018 23:00 - 10.01.2018 00:00","45","0"
"10.01.2018 00:00 - 10.01.2018 01:00","48","0"
"10.01.2018 01:00 - 10.01.2018 02:00","52","0"
"10.01.2018 02:00 - 10.01.2018 03:00","55","0"
"10.01.2018 03:00 - 10.01.2018 04:00","55","0"
"10.01.2018 04:00 - 10.01.2018 05:00","49","0"
"10.01.2018 05:00 - 10.01.2018 06:00","22","0"
"10.01.2018 06:00 - 10.01.2018 07:00","17","0"
"10.01.2018 07:00 - 10.01.2018 08:00","16","0"
"10.01.2018 08:00 - 10.01.2018 09:00","29","0"
"10.01.2018 09:00 - 10.01.2018 10:00","30","0"
"10.01.2018 10:00 - 10.01.2018 11:00","26","0"
"10.01.2018 11:00 - 10.01.2018 12:00","25","0"
"10.01.2018 12:00 - 10.01.2018 13:00","23","0"
"10.01.2018 13:00 - 10.01.2018 14:00","24","0"
"10.01.2018 14:00 - 10.01.2018 15:00","22","0"
"10.01.2018 15:00 - 10.01.2018 16:00","20","0"
"10.01.2018 16:00 - 10.01.2018 17:00","19","0"
"10.01.2018 17:00 - 10.01.2018 18:00","18","0"
"10.01.2018 18:00 - 10.01.2018 19:00","11","0"
"10.01.2018 19:00 - 10.01.2018 20:00","9","0"
"10.01.2018 20:00 - 10.01.2018 21:00","11","0"
"10.01.2018 21:00 - 10.01.2018 22:00","12","0"
"10.01.2018 22:00 - 10.01.2018 23:00","21","0"
"10.01.2018 23:00 - 11.01.2018 00:00","19","0"
"11.01.2018 00:00 - 11.01.2018 01:00","3","0"
"11.01.2018 01:00 - 11.01.2018 02:00","0","0"
"11.01.2018 02:00 - 11.01.2018 03:00","2","0"
"11.01.2018 03:00 - 11.01.2018 04:00","0","5"
"11.01.2018 04:00 - 11.01.2018 05:00","0","9"
"11.01.2018 05:00 - 11.01.2018 06:00","0","20"
"11.01.2018 06:00 - 11.01.2018 07:00","0","26"
"11.01.2018 07:00 - 11.01.2018 08:00","0","29"
"11.01.2018 08:00 - 11.01.2018 09:00","0","20"
"11.01.2018 09:00 - 11.01.2018 10:00","0","17"
"11.01.2018 10:00 - 11.01.2018 11:00","0","14"
"11.01.2018 11:00 - 11.01.2018 12:00","0","17"
