"Time (CET)","Sweden (SE) > Norway (NO) [MW]","Norway (NO) > Sweden (SE) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","1412","0"
"01.01.2018 01:00 - 01.01.2018 02:00","1299","0"
"01.01.2018 02:00 - 01.01.2018 03:00","1921","0"
"01.01.2018 03:00 - 01.01.2018 04:00","2232","0"
"01.01.2018 04:00 - 01.01.2018 05:00","2485","0"
"01.01.2018 05:00 - 01.01.2018 06:00","2407","0"
"01.01.2018 06:00 - 01.01.2018 07:00","2297","0"
"01.01.2018 07:00 - 01.01.2018 08:00","2515","0"
"01.01.2018 08:00 - 01.01.2018 09:00","2729","0"
"01.01.2018 09:00 - 01.01.2018 10:00","2643","0"
"01.01.2018 10:00 - 01.01.2018 11:00","2532","0"
"01.01.2018 11:00 - 01.01.2018 12:00","2615","0"
"01.01.2018 12:00 - 01.01.2018 13:00","2715","0"
"01.01.2018 13:00 - 01.01.2018 14:00","2780","0"
"01.01.2018 14:00 - 01.01.2018 15:00","2562","0"
"01.01.2018 15:00 - 01.01.2018 16:00","1989","0"
"01.01.2018 16:00 - 01.01.2018 17:00","1374","0"
"01.01.2018 17:00 - 01.01.2018 18:00","598","0"
"01.01.2018 18:00 - 01.01.2018 19:00","564","0"
"01.01.2018 19:00 - 01.01.2018 20:00","1227","0"
"01.01.2018 20:00 - 01.01.2018 21:00","1729","0"
"01.01.2018 21:00 - 01.01.2018 22:00","1894","0"
"01.01.2018 22:00 - 01.01.2018 23:00","2102","0"
"01.01.2018 23:00 - 02.01.2018 00:00","2251","0"
"02.01.2018 00:00 - 02.01.2018 01:00","2304","0"
"02.01.2018 01:00 - 02.01.2018 02:00","2576","0"
"02.01.2018 02:00 - 02.01.2018 03:00","2457","0"
"02.01.2018 03:00 - 02.01.2018 04:00","2351","0"
"02.01.2018 04:00 - 02.01.2018 05:00","1825","0"
"02.01.2018 05:00 - 02.01.2018 06:00","770","0"
"02.01.2018 06:00 - 02.01.2018 07:00","302","0"
"02.01.2018 07:00 - 02.01.2018 08:00","0","1517"
"02.01.2018 08:00 - 02.01.2018 09:00","0","1856"
"02.01.2018 09:00 - 02.01.2018 10:00","0","2052"
"02.01.2018 10:00 - 02.01.2018 11:00","0","2360"
"02.01.2018 11:00 - 02.01.2018 12:00","0","2557"
"02.01.2018 12:00 - 02.01.2018 13:00","0","2708"
"02.01.2018 13:00 - 02.01.2018 14:00","0","2732"
"02.01.2018 14:00 - 02.01.2018 15:00","0","3042"
"02.01.2018 15:00 - 02.01.2018 16:00","0","2938"
"02.01.2018 16:00 - 02.01.2018 17:00","0","2767"
"02.01.2018 17:00 - 02.01.2018 18:00","0","2846"
"02.01.2018 18:00 - 02.01.2018 19:00","0","2966"
"02.01.2018 19:00 - 02.01.2018 20:00","0","2990"
"02.01.2018 20:00 - 02.01.2018 21:00","0","1896"
"02.01.2018 21:00 - 02.01.2018 22:00","0","930"
"02.01.2018 22:00 - 02.01.2018 23:00","0","80"
"02.01.2018 23:00 - 03.01.2018 00:00","141","0"
"03.01.2018 00:00 - 03.01.2018 01:00","0","269"
"03.01.2018 01:00 - 03.01.2018 02:00","468","0"
"03.01.2018 02:00 - 03.01.2018 03:00","813","0"
"03.01.2018 03:00 - 03.01.2018 04:00","1017","0"
"03.01.2018 04:00 - 03.01.2018 05:00","1054","0"
"03.01.2018 05:00 - 03.01.2018 06:00","288","0"
"03.01.2018 06:00 - 03.01.2018 07:00","0","660"
"03.01.2018 07:00 - 03.01.2018 08:00","0","763"
"03.01.2018 08:00 - 03.01.2018 09:00","0","957"
"03.01.2018 09:00 - 03.01.2018 10:00","0","1040"
"03.01.2018 10:00 - 03.01.2018 11:00","0","1666"
"03.01.2018 11:00 - 03.01.2018 12:00","0","1787"
"03.01.2018 12:00 - 03.01.2018 13:00","0","1805"
"03.01.2018 13:00 - 03.01.2018 14:00","0","2009"
"03.01.2018 14:00 - 03.01.2018 15:00","0","2396"
"03.01.2018 15:00 - 03.01.2018 16:00","0","2497"
"03.01.2018 16:00 - 03.01.2018 17:00","0","2557"
"03.01.2018 17:00 - 03.01.2018 18:00","0","2721"
"03.01.2018 18:00 - 03.01.2018 19:00","0","2734"
"03.01.2018 19:00 - 03.01.2018 20:00","0","2431"
"03.01.2018 20:00 - 03.01.2018 21:00","0","1830"
"03.01.2018 21:00 - 03.01.2018 22:00","0","1526"
"03.01.2018 22:00 - 03.01.2018 23:00","0","1096"
"03.01.2018 23:00 - 04.01.2018 00:00","0","268"
"04.01.2018 00:00 - 04.01.2018 01:00","483","0"
"04.01.2018 01:00 - 04.01.2018 02:00","874","0"
"04.01.2018 02:00 - 04.01.2018 03:00","1410","0"
"04.01.2018 03:00 - 04.01.2018 04:00","1599","0"
"04.01.2018 04:00 - 04.01.2018 05:00","1599","0"
"04.01.2018 05:00 - 04.01.2018 06:00","869","0"
"04.01.2018 06:00 - 04.01.2018 07:00","0","358"
"04.01.2018 07:00 - 04.01.2018 08:00","0","1547"
"04.01.2018 08:00 - 04.01.2018 09:00","0","2191"
"04.01.2018 09:00 - 04.01.2018 10:00","0","1919"
"04.01.2018 10:00 - 04.01.2018 11:00","0","2371"
"04.01.2018 11:00 - 04.01.2018 12:00","0","2551"
"04.01.2018 12:00 - 04.01.2018 13:00","0","2582"
"04.01.2018 13:00 - 04.01.2018 14:00","0","2521"
"04.01.2018 14:00 - 04.01.2018 15:00","0","2538"
"04.01.2018 15:00 - 04.01.2018 16:00","0","2535"
"04.01.2018 16:00 - 04.01.2018 17:00","0","2454"
