"Time (CET)","Slovakia (SK) > Poland (PL) [MW]","Poland (PL) > Slovakia (SK) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","349"
"01.01.2018 01:00 - 01.01.2018 02:00","0","432"
"01.01.2018 02:00 - 01.01.2018 03:00","0","432"
"01.01.2018 03:00 - 01.01.2018 04:00","0","424"
"01.01.2018 04:00 - 01.01.2018 05:00","0","435"
"01.01.2018 05:00 - 01.01.2018 06:00","0","439"
"01.01.2018 06:00 - 01.01.2018 07:00","0","444"
"01.01.2018 07:00 - 01.01.2018 08:00","0","462"
"01.01.2018 08:00 - 01.01.2018 09:00","0","479"
"01.01.2018 09:00 - 01.01.2018 10:00","0","464"
"01.01.2018 10:00 - 01.01.2018 11:00","0","466"
"01.01.2018 11:00 - 01.01.2018 12:00","0","487"
"01.01.2018 12:00 - 01.01.2018 13:00","0","441"
"01.01.2018 13:00 - 01.01.2018 14:00","0","336"
"01.01.2018 14:00 - 01.01.2018 15:00","0","290"
"01.01.2018 15:00 - 01.01.2018 16:00","0","285"
"01.01.2018 16:00 - 01.01.2018 17:00","0","269"
"01.01.2018 17:00 - 01.01.2018 18:00","0","218"
"01.01.2018 18:00 - 01.01.2018 19:00","0","215"
"01.01.2018 19:00 - 01.01.2018 20:00","0","185"
"01.01.2018 20:00 - 01.01.2018 21:00","0","262"
"01.01.2018 21:00 - 01.01.2018 22:00","0","206"
"01.01.2018 22:00 - 01.01.2018 23:00","0","152"
"01.01.2018 23:00 - 02.01.2018 00:00","0","140"
"02.01.2018 00:00 - 02.01.2018 01:00","0","181"
"02.01.2018 01:00 - 02.01.2018 02:00","0","136"
"02.01.2018 02:00 - 02.01.2018 03:00","0","129"
"02.01.2018 03:00 - 02.01.2018 04:00","0","110"
"02.01.2018 04:00 - 02.01.2018 05:00","0","199"
"02.01.2018 05:00 - 02.01.2018 06:00","0","273"
"02.01.2018 06:00 - 02.01.2018 07:00","0","320"
"02.01.2018 07:00 - 02.01.2018 08:00","0","322"
"02.01.2018 08:00 - 02.01.2018 09:00","0","191"
"02.01.2018 09:00 - 02.01.2018 10:00","0","169"
"02.01.2018 10:00 - 02.01.2018 11:00","0","165"
"02.01.2018 11:00 - 02.01.2018 12:00","0","190"
"02.01.2018 12:00 - 02.01.2018 13:00","0","177"
"02.01.2018 13:00 - 02.01.2018 14:00","0","143"
"02.01.2018 14:00 - 02.01.2018 15:00","0","175"
"02.01.2018 15:00 - 02.01.2018 16:00","0","181"
"02.01.2018 16:00 - 02.01.2018 17:00","0","252"
"02.01.2018 17:00 - 02.01.2018 18:00","0","221"
"02.01.2018 18:00 - 02.01.2018 19:00","0","220"
"02.01.2018 19:00 - 02.01.2018 20:00","0","221"
"02.01.2018 20:00 - 02.01.2018 21:00","0","230"
"02.01.2018 21:00 - 02.01.2018 22:00","0","237"
"02.01.2018 22:00 - 02.01.2018 23:00","0","275"
"02.01.2018 23:00 - 03.01.2018 00:00","0","316"
"03.01.2018 00:00 - 03.01.2018 01:00","0","389"
"03.01.2018 01:00 - 03.01.2018 02:00","0","392"
"03.01.2018 02:00 - 03.01.2018 03:00","0","424"
"03.01.2018 03:00 - 03.01.2018 04:00","0","446"
"03.01.2018 04:00 - 03.01.2018 05:00","0","401"
"03.01.2018 05:00 - 03.01.2018 06:00","0","367"
"03.01.2018 06:00 - 03.01.2018 07:00","0","328"
"03.01.2018 07:00 - 03.01.2018 08:00","0","355"
"03.01.2018 08:00 - 03.01.2018 09:00","0","318"
"03.01.2018 09:00 - 03.01.2018 10:00","0","318"
"03.01.2018 10:00 - 03.01.2018 11:00","0","297"
"03.01.2018 11:00 - 03.01.2018 12:00","0","307"
"03.01.2018 12:00 - 03.01.2018 13:00","0","331"
"03.01.2018 13:00 - 03.01.2018 14:00","0","340"
"03.01.2018 14:00 - 03.01.2018 15:00","0","374"
"03.01.2018 15:00 - 03.01.2018 16:00","0","376"
"03.01.2018 16:00 - 03.01.2018 17:00","0","387"
"03.01.2018 17:00 - 03.01.2018 18:00","0","375"
"03.01.2018 18:00 - 03.01.2018 19:00","0","423"
"03.01.2018 19:00 - 03.01.2018 20:00","0","405"
"03.01.2018 20:00 - 03.01.2018 21:00","0","392"
"03.01.2018 21:00 - 03.01.2018 22:00","0","397"
"03.01.2018 22:00 - 03.01.2018 23:00","0","418"
"03.01.2018 23:00 - 04.01.2018 00:00","0","396"
"04.01.2018 00:00 - 04.01.2018 01:00","0","371"
"04.01.2018 01:00 - 04.01.2018 02:00","0","392"
"04.01.2018 02:00 - 04.01.2018 03:00","0","401"
"04.01.2018 03:00 - 04.01.2018 04:00","0","395"
"04.01.2018 04:00 - 04.01.2018 05:00","0","401"
"04.01.2018 05:00 - 04.01.2018 06:00","0","363"
"04.01.2018 06:00 - 04.01.2018 07:00","0","366"
"04.01.2018 07:00 - 04.01.2018 08:00","0","338"
"04.01.2018 08:00 - 04.01.2018 09:00","0","444"
"04.01.2018 09:00 - 04.01.2018 10:00","0","557"
"04.01.2018 10:00 - 04.01.2018 11:00","0","600"
"04.01.2018 11:00 - 04.01.2018 12:00","0","539"
"04.01.2018 12:00 - 04.01.2018 13:00","0","493"
"04.01.2018 13:00 - 04.01.2018 14:00","0","438"
"04.01.2018 14:00 - 04.01.2018 15:00","0","397"
"04.01.2018 15:00 - 04.01.2018 16:00","0","345"
"04.01.2018 16:00 - 04.01.2018 17:00","0","272"
"04.01.2018 17:00 - 04.01.2018 18:00","0","303"
"04.01.2018 18:00 - 04.01.2018 19:00","0","317"
"04.01.2018 19:00 - 04.01.2018 20:00","0","365"
"04.01.2018 20:00 - 04.01.2018 21:00","0","437"
"04.01.2018 21:00 - 04.01.2018 22:00","0","407"
"04.01.2018 22:00 - 04.01.2018 23:00","0","484"
"04.01.2018 23:00 - 05.01.2018 00:00","0","546"
"05.01.2018 00:00 - 05.01.2018 01:00","0","606"
"05.01.2018 01:00 - 05.01.2018 02:00","0","617"
"05.01.2018 02:00 - 05.01.2018 03:00","0","631"
"05.01.2018 03:00 - 05.01.2018 04:00","0","621"
"05.01.2018 04:00 - 05.01.2018 05:00","0","613"
"05.01.2018 05:00 - 05.01.2018 06:00","0","576"
"05.01.2018 06:00 - 05.01.2018 07:00","0","584"
"05.01.2018 07:00 - 05.01.2018 08:00","0","468"
"05.01.2018 08:00 - 05.01.2018 09:00","0","521"
"05.01.2018 09:00 - 05.01.2018 10:00","0","577"
"05.01.2018 10:00 - 05.01.2018 11:00","0","631"
"05.01.2018 11:00 - 05.01.2018 12:00","0","638"
"05.01.2018 12:00 - 05.01.2018 13:00","0","584"
"05.01.2018 13:00 - 05.01.2018 14:00","0","609"
"05.01.2018 14:00 - 05.01.2018 15:00","0","577"
"05.01.2018 15:00 - 05.01.2018 16:00","0","526"
"05.01.2018 16:00 - 05.01.2018 17:00","0","469"
"05.01.2018 17:00 - 05.01.2018 18:00","0","438"
"05.01.2018 18:00 - 05.01.2018 19:00","0","320"
"05.01.2018 19:00 - 05.01.2018 20:00","0","328"
