"Time (CET)","Bulgaria (BG) > Serbia (RS) [MW]","Serbia (RS) > Bulgaria (BG) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","16","0"
"01.01.2018 01:00 - 01.01.2018 02:00","22","0"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1"
"01.01.2018 03:00 - 01.01.2018 04:00","0","37"
"01.01.2018 04:00 - 01.01.2018 05:00","0","43"
"01.01.2018 05:00 - 01.01.2018 06:00","0","78"
"01.01.2018 06:00 - 01.01.2018 07:00","0","107"
"01.01.2018 07:00 - 01.01.2018 08:00","0","103"
"01.01.2018 08:00 - 01.01.2018 09:00","0","48"
"01.01.2018 09:00 - 01.01.2018 10:00","17","0"
"01.01.2018 10:00 - 01.01.2018 11:00","32","0"
"01.01.2018 11:00 - 01.01.2018 12:00","57","0"
"01.01.2018 12:00 - 01.01.2018 13:00","74","0"
"01.01.2018 13:00 - 01.01.2018 14:00","52","0"
"01.01.2018 14:00 - 01.01.2018 15:00","57","0"
"01.01.2018 15:00 - 01.01.2018 16:00","0","8"
"01.01.2018 16:00 - 01.01.2018 17:00","51","0"
"01.01.2018 17:00 - 01.01.2018 18:00","126","0"
"01.01.2018 18:00 - 01.01.2018 19:00","150","0"
"01.01.2018 19:00 - 01.01.2018 20:00","158","0"
"01.01.2018 20:00 - 01.01.2018 21:00","171","0"
"01.01.2018 21:00 - 01.01.2018 22:00","176","0"
"01.01.2018 22:00 - 01.01.2018 23:00","190","0"
"01.01.2018 23:00 - 02.01.2018 00:00","155","0"
"02.01.2018 00:00 - 02.01.2018 01:00","215","0"
"02.01.2018 01:00 - 02.01.2018 02:00","198","0"
"02.01.2018 02:00 - 02.01.2018 03:00","186","0"
"02.01.2018 03:00 - 02.01.2018 04:00","179","0"
"02.01.2018 04:00 - 02.01.2018 05:00","145","0"
"02.01.2018 05:00 - 02.01.2018 06:00","183","0"
"02.01.2018 06:00 - 02.01.2018 07:00","178","0"
"02.01.2018 07:00 - 02.01.2018 08:00","174","0"
"02.01.2018 08:00 - 02.01.2018 09:00","177","0"
"02.01.2018 09:00 - 02.01.2018 10:00","189","0"
"02.01.2018 10:00 - 02.01.2018 11:00","205","0"
"02.01.2018 11:00 - 02.01.2018 12:00","225","0"
"02.01.2018 12:00 - 02.01.2018 13:00","224","0"
"02.01.2018 13:00 - 02.01.2018 14:00","228","0"
"02.01.2018 14:00 - 02.01.2018 15:00","161","0"
"02.01.2018 15:00 - 02.01.2018 16:00","163","0"
"02.01.2018 16:00 - 02.01.2018 17:00","166","0"
"02.01.2018 17:00 - 02.01.2018 18:00","237","0"
"02.01.2018 18:00 - 02.01.2018 19:00","201","0"
"02.01.2018 19:00 - 02.01.2018 20:00","158","0"
"02.01.2018 20:00 - 02.01.2018 21:00","166","0"
"02.01.2018 21:00 - 02.01.2018 22:00","166","0"
"02.01.2018 22:00 - 02.01.2018 23:00","161","0"
"02.01.2018 23:00 - 03.01.2018 00:00","151","0"
"03.01.2018 00:00 - 03.01.2018 01:00","78","0"
"03.01.2018 01:00 - 03.01.2018 02:00","57","0"
"03.01.2018 02:00 - 03.01.2018 03:00","42","0"
"03.01.2018 03:00 - 03.01.2018 04:00","5","0"
"03.01.2018 04:00 - 03.01.2018 05:00","6","0"
"03.01.2018 05:00 - 03.01.2018 06:00","31","0"
"03.01.2018 06:00 - 03.01.2018 07:00","35","0"
"03.01.2018 07:00 - 03.01.2018 08:00","53","0"
"03.01.2018 08:00 - 03.01.2018 09:00","73","0"
"03.01.2018 09:00 - 03.01.2018 10:00","65","0"
"03.01.2018 10:00 - 03.01.2018 11:00","76","0"
"03.01.2018 11:00 - 03.01.2018 12:00","81","0"
"03.01.2018 12:00 - 03.01.2018 13:00","50","0"
"03.01.2018 13:00 - 03.01.2018 14:00","31","0"
"03.01.2018 14:00 - 03.01.2018 15:00","16","0"
"03.01.2018 15:00 - 03.01.2018 16:00","0","3"
"03.01.2018 16:00 - 03.01.2018 17:00","28","0"
"03.01.2018 17:00 - 03.01.2018 18:00","91","0"
"03.01.2018 18:00 - 03.01.2018 19:00","70","0"
"03.01.2018 19:00 - 03.01.2018 20:00","97","0"
"03.01.2018 20:00 - 03.01.2018 21:00","138","0"
"03.01.2018 21:00 - 03.01.2018 22:00","143","0"
"03.01.2018 22:00 - 03.01.2018 23:00","114","0"
"03.01.2018 23:00 - 04.01.2018 00:00","112","0"
"04.01.2018 00:00 - 04.01.2018 01:00","84","0"
"04.01.2018 01:00 - 04.01.2018 02:00","10","0"
"04.01.2018 02:00 - 04.01.2018 03:00","0","20"
"04.01.2018 03:00 - 04.01.2018 04:00","0","60"
"04.01.2018 04:00 - 04.01.2018 05:00","0","61"
"04.01.2018 05:00 - 04.01.2018 06:00","0","20"
"04.01.2018 06:00 - 04.01.2018 07:00","0","45"
"04.01.2018 07:00 - 04.01.2018 08:00","0","7"
"04.01.2018 08:00 - 04.01.2018 09:00","14","0"
"04.01.2018 09:00 - 04.01.2018 10:00","8","0"
"04.01.2018 10:00 - 04.01.2018 11:00","42","0"
"04.01.2018 11:00 - 04.01.2018 12:00","37","0"
"04.01.2018 12:00 - 04.01.2018 13:00","36","0"
"04.01.2018 13:00 - 04.01.2018 14:00","20","0"
"04.01.2018 14:00 - 04.01.2018 15:00","16","0"
"04.01.2018 15:00 - 04.01.2018 16:00","16","0"
"04.01.2018 16:00 - 04.01.2018 17:00","70","0"
"04.01.2018 17:00 - 04.01.2018 18:00","110","0"
"04.01.2018 18:00 - 04.01.2018 19:00","113","0"
"04.01.2018 19:00 - 04.01.2018 20:00","104","0"
"04.01.2018 20:00 - 04.01.2018 21:00","117","0"
"04.01.2018 21:00 - 04.01.2018 22:00","170","0"
"04.01.2018 22:00 - 04.01.2018 23:00","134","0"
"04.01.2018 23:00 - 05.01.2018 00:00","89","0"
"05.01.2018 00:00 - 05.01.2018 01:00","12","0"
"05.01.2018 01:00 - 05.01.2018 02:00","0","64"
"05.01.2018 02:00 - 05.01.2018 03:00","0","63"
"05.01.2018 03:00 - 05.01.2018 04:00","0","102"
"05.01.2018 04:00 - 05.01.2018 05:00","0","118"
"05.01.2018 05:00 - 05.01.2018 06:00","0","49"
"05.01.2018 06:00 - 05.01.2018 07:00","0","44"
"05.01.2018 07:00 - 05.01.2018 08:00","0","42"
"05.01.2018 08:00 - 05.01.2018 09:00","0","49"
"05.01.2018 09:00 - 05.01.2018 10:00","0","24"
"05.01.2018 10:00 - 05.01.2018 11:00","19","0"
"05.01.2018 11:00 - 05.01.2018 12:00","12","0"
"05.01.2018 12:00 - 05.01.2018 13:00","36","0"
"05.01.2018 13:00 - 05.01.2018 14:00","30","0"
"05.01.2018 14:00 - 05.01.2018 15:00","22","0"
"05.01.2018 15:00 - 05.01.2018 16:00","27","0"
"05.01.2018 16:00 - 05.01.2018 17:00","64","0"
"05.01.2018 17:00 - 05.01.2018 18:00","123","0"
"05.01.2018 18:00 - 05.01.2018 19:00","159","0"
"05.01.2018 19:00 - 05.01.2018 20:00","162","0"
"05.01.2018 20:00 - 05.01.2018 21:00","217","0"
"05.01.2018 21:00 - 05.01.2018 22:00","228","0"
"05.01.2018 22:00 - 05.01.2018 23:00","230","0"
"05.01.2018 23:00 - 06.01.2018 00:00","235","0"
"06.01.2018 00:00 - 06.01.2018 01:00","221","0"
"06.01.2018 01:00 - 06.01.2018 02:00","202","0"
"06.01.2018 02:00 - 06.01.2018 03:00","172","0"
"06.01.2018 03:00 - 06.01.2018 04:00","130","0"
"06.01.2018 04:00 - 06.01.2018 05:00","96","0"
"06.01.2018 05:00 - 06.01.2018 06:00","74","0"
"06.01.2018 06:00 - 06.01.2018 07:00","4","0"
"06.01.2018 07:00 - 06.01.2018 08:00","0","19"
"06.01.2018 08:00 - 06.01.2018 09:00","54","0"
"06.01.2018 09:00 - 06.01.2018 10:00","139","0"
"06.01.2018 10:00 - 06.01.2018 11:00","171","0"
"06.01.2018 11:00 - 06.01.2018 12:00","153","0"
"06.01.2018 12:00 - 06.01.2018 13:00","122","0"
"06.01.2018 13:00 - 06.01.2018 14:00","136","0"
"06.01.2018 14:00 - 06.01.2018 15:00","151","0"
"06.01.2018 15:00 - 06.01.2018 16:00","165","0"
"06.01.2018 16:00 - 06.01.2018 17:00","214","0"
"06.01.2018 17:00 - 06.01.2018 18:00","282","0"
"06.01.2018 18:00 - 06.01.2018 19:00","257","0"
"06.01.2018 19:00 - 06.01.2018 20:00","257","0"
"06.01.2018 20:00 - 06.01.2018 21:00","225","0"
"06.01.2018 21:00 - 06.01.2018 22:00","200","0"
"06.01.2018 22:00 - 06.01.2018 23:00","234","0"
"06.01.2018 23:00 - 07.01.2018 00:00","204","0"
"07.01.2018 00:00 - 07.01.2018 01:00","163","0"
"07.01.2018 01:00 - 07.01.2018 02:00","131","0"
"07.01.2018 02:00 - 07.01.2018 03:00","115","0"
"07.01.2018 03:00 - 07.01.2018 04:00","99","0"
"07.01.2018 04:00 - 07.01.2018 05:00","84","0"
"07.01.2018 05:00 - 07.01.2018 06:00","12","0"
"07.01.2018 06:00 - 07.01.2018 07:00","27","0"
"07.01.2018 07:00 - 07.01.2018 08:00","0","1"
"07.01.2018 08:00 - 07.01.2018 09:00","12","0"
"07.01.2018 09:00 - 07.01.2018 10:00","30","0"
"07.01.2018 10:00 - 07.01.2018 11:00","48","0"
"07.01.2018 11:00 - 07.01.2018 12:00","46","0"
"07.01.2018 12:00 - 07.01.2018 13:00","30","0"
"07.01.2018 13:00 - 07.01.2018 14:00","42","0"
"07.01.2018 14:00 - 07.01.2018 15:00","25","0"
"07.01.2018 15:00 - 07.01.2018 16:00","0","21"
"07.01.2018 16:00 - 07.01.2018 17:00","0","22"
"07.01.2018 17:00 - 07.01.2018 18:00","59","0"
"07.01.2018 18:00 - 07.01.2018 19:00","91","0"
"07.01.2018 19:00 - 07.01.2018 20:00","81","0"
"07.01.2018 20:00 - 07.01.2018 21:00","53","0"
"07.01.2018 21:00 - 07.01.2018 22:00","66","0"
"07.01.2018 22:00 - 07.01.2018 23:00","91","0"
"07.01.2018 23:00 - 08.01.2018 00:00","112","0"
"08.01.2018 00:00 - 08.01.2018 01:00","47","0"
"08.01.2018 01:00 - 08.01.2018 02:00","1","0"
"08.01.2018 02:00 - 08.01.2018 03:00","0","14"
"08.01.2018 03:00 - 08.01.2018 04:00","0","40"
"08.01.2018 04:00 - 08.01.2018 05:00","0","49"
"08.01.2018 05:00 - 08.01.2018 06:00","0","72"
"08.01.2018 06:00 - 08.01.2018 07:00","0","44"
"08.01.2018 07:00 - 08.01.2018 08:00","0","51"
"08.01.2018 08:00 - 08.01.2018 09:00","0","80"
"08.01.2018 09:00 - 08.01.2018 10:00","0","56"
"08.01.2018 10:00 - 08.01.2018 11:00","0","74"
"08.01.2018 11:00 - 08.01.2018 12:00","0","58"
"08.01.2018 12:00 - 08.01.2018 13:00","0","52"
"08.01.2018 13:00 - 08.01.2018 14:00","0","77"
"08.01.2018 14:00 - 08.01.2018 15:00","0","75"
"08.01.2018 15:00 - 08.01.2018 16:00","0","86"
"08.01.2018 16:00 - 08.01.2018 17:00","0","72"
"08.01.2018 17:00 - 08.01.2018 18:00","0","32"
"08.01.2018 18:00 - 08.01.2018 19:00","0","47"
"08.01.2018 19:00 - 08.01.2018 20:00","0","60"
"08.01.2018 20:00 - 08.01.2018 21:00","0","7"
"08.01.2018 21:00 - 08.01.2018 22:00","13","0"
"08.01.2018 22:00 - 08.01.2018 23:00","0","5"
"08.01.2018 23:00 - 09.01.2018 00:00","10","0"
"09.01.2018 00:00 - 09.01.2018 01:00","0","26"
"09.01.2018 01:00 - 09.01.2018 02:00","0","20"
"09.01.2018 02:00 - 09.01.2018 03:00","0","25"
"09.01.2018 03:00 - 09.01.2018 04:00","0","12"
"09.01.2018 04:00 - 09.01.2018 05:00","0","15"
"09.01.2018 05:00 - 09.01.2018 06:00","15","0"
"09.01.2018 06:00 - 09.01.2018 07:00","38","0"
"09.01.2018 07:00 - 09.01.2018 08:00","27","0"
"09.01.2018 08:00 - 09.01.2018 09:00","25","0"
"09.01.2018 09:00 - 09.01.2018 10:00","30","0"
"09.01.2018 10:00 - 09.01.2018 11:00","3","0"
"09.01.2018 11:00 - 09.01.2018 12:00","0","12"
"09.01.2018 12:00 - 09.01.2018 13:00","0","42"
"09.01.2018 13:00 - 09.01.2018 14:00","0","42"
"09.01.2018 14:00 - 09.01.2018 15:00","0","24"
"09.01.2018 15:00 - 09.01.2018 16:00","0","25"
