"Time (CET)","Romania (RO) > Serbia (RS) [MW]","Serbia (RS) > Romania (RO) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","84","0"
"01.01.2018 01:00 - 01.01.2018 02:00","24","0"
"01.01.2018 02:00 - 01.01.2018 03:00","0","39"
"01.01.2018 03:00 - 01.01.2018 04:00","0","88"
"01.01.2018 04:00 - 01.01.2018 05:00","0","135"
"01.01.2018 05:00 - 01.01.2018 06:00","0","141"
"01.01.2018 06:00 - 01.01.2018 07:00","0","149"
"01.01.2018 07:00 - 01.01.2018 08:00","0","121"
"01.01.2018 08:00 - 01.01.2018 09:00","0","126"
"01.01.2018 09:00 - 01.01.2018 10:00","0","111"
"01.01.2018 10:00 - 01.01.2018 11:00","0","71"
"01.01.2018 11:00 - 01.01.2018 12:00","89","0"
"01.01.2018 12:00 - 01.01.2018 13:00","168","0"
"01.01.2018 13:00 - 01.01.2018 14:00","182","0"
"01.01.2018 14:00 - 01.01.2018 15:00","164","0"
"01.01.2018 15:00 - 01.01.2018 16:00","148","0"
"01.01.2018 16:00 - 01.01.2018 17:00","199","0"
"01.01.2018 17:00 - 01.01.2018 18:00","238","0"
"01.01.2018 18:00 - 01.01.2018 19:00","248","0"
"01.01.2018 19:00 - 01.01.2018 20:00","288","0"
"01.01.2018 20:00 - 01.01.2018 21:00","353","0"
"01.01.2018 21:00 - 01.01.2018 22:00","343","0"
"01.01.2018 22:00 - 01.01.2018 23:00","278","0"
"01.01.2018 23:00 - 02.01.2018 00:00","233","0"
"02.01.2018 00:00 - 02.01.2018 01:00","271","0"
"02.01.2018 01:00 - 02.01.2018 02:00","285","0"
"02.01.2018 02:00 - 02.01.2018 03:00","301","0"
"02.01.2018 03:00 - 02.01.2018 04:00","345","0"
"02.01.2018 04:00 - 02.01.2018 05:00","367","0"
"02.01.2018 05:00 - 02.01.2018 06:00","372","0"
"02.01.2018 06:00 - 02.01.2018 07:00","374","0"
"02.01.2018 07:00 - 02.01.2018 08:00","389","0"
"02.01.2018 08:00 - 02.01.2018 09:00","246","0"
"02.01.2018 09:00 - 02.01.2018 10:00","216","0"
"02.01.2018 10:00 - 02.01.2018 11:00","226","0"
"02.01.2018 11:00 - 02.01.2018 12:00","222","0"
"02.01.2018 12:00 - 02.01.2018 13:00","184","0"
"02.01.2018 13:00 - 02.01.2018 14:00","179","0"
"02.01.2018 14:00 - 02.01.2018 15:00","207","0"
"02.01.2018 15:00 - 02.01.2018 16:00","275","0"
"02.01.2018 16:00 - 02.01.2018 17:00","250","0"
"02.01.2018 17:00 - 02.01.2018 18:00","227","0"
"02.01.2018 18:00 - 02.01.2018 19:00","269","0"
"02.01.2018 19:00 - 02.01.2018 20:00","292","0"
"02.01.2018 20:00 - 02.01.2018 21:00","254","0"
"02.01.2018 21:00 - 02.01.2018 22:00","400","0"
"02.01.2018 22:00 - 02.01.2018 23:00","285","0"
"02.01.2018 23:00 - 03.01.2018 00:00","201","0"
"03.01.2018 00:00 - 03.01.2018 01:00","84","0"
"03.01.2018 01:00 - 03.01.2018 02:00","91","0"
"03.01.2018 02:00 - 03.01.2018 03:00","53","0"
"03.01.2018 03:00 - 03.01.2018 04:00","16","0"
"03.01.2018 04:00 - 03.01.2018 05:00","136","0"
"03.01.2018 05:00 - 03.01.2018 06:00","160","0"
"03.01.2018 06:00 - 03.01.2018 07:00","284","0"
"03.01.2018 07:00 - 03.01.2018 08:00","357","0"
"03.01.2018 08:00 - 03.01.2018 09:00","243","0"
"03.01.2018 09:00 - 03.01.2018 10:00","218","0"
"03.01.2018 10:00 - 03.01.2018 11:00","112","0"
