"Time (CET)","Austria (AT) > Slovenia (SI) [MW]","Slovenia (SI) > Austria (AT) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","627","0"
"01.01.2018 01:00 - 01.01.2018 02:00","771","0"
"01.01.2018 02:00 - 01.01.2018 03:00","800","0"
"01.01.2018 03:00 - 01.01.2018 04:00","764","0"
"01.01.2018 04:00 - 01.01.2018 05:00","810","0"
"01.01.2018 05:00 - 01.01.2018 06:00","792","0"
"01.01.2018 06:00 - 01.01.2018 07:00","828","0"
"01.01.2018 07:00 - 01.01.2018 08:00","739","0"
"01.01.2018 08:00 - 01.01.2018 09:00","731","0"
"01.01.2018 09:00 - 01.01.2018 10:00","694","0"
"01.01.2018 10:00 - 01.01.2018 11:00","704","0"
"01.01.2018 11:00 - 01.01.2018 12:00","749","0"
"01.01.2018 12:00 - 01.01.2018 13:00","715","0"
"01.01.2018 13:00 - 01.01.2018 14:00","621","0"
"01.01.2018 14:00 - 01.01.2018 15:00","418","0"
"01.01.2018 15:00 - 01.01.2018 16:00","306","0"
"01.01.2018 16:00 - 01.01.2018 17:00","195","0"
"01.01.2018 17:00 - 01.01.2018 18:00","370","0"
"01.01.2018 18:00 - 01.01.2018 19:00","395","0"
"01.01.2018 19:00 - 01.01.2018 20:00","418","0"
"01.01.2018 20:00 - 01.01.2018 21:00","513","0"
"01.01.2018 21:00 - 01.01.2018 22:00","478","0"
"01.01.2018 22:00 - 01.01.2018 23:00","314","0"
"01.01.2018 23:00 - 02.01.2018 00:00","133","0"
"02.01.2018 00:00 - 02.01.2018 01:00","118","0"
"02.01.2018 01:00 - 02.01.2018 02:00","75","0"
"02.01.2018 02:00 - 02.01.2018 03:00","214","0"
"02.01.2018 03:00 - 02.01.2018 04:00","218","0"
"02.01.2018 04:00 - 02.01.2018 05:00","195","0"
"02.01.2018 05:00 - 02.01.2018 06:00","232","0"
"02.01.2018 06:00 - 02.01.2018 07:00","313","0"
"02.01.2018 07:00 - 02.01.2018 08:00","506","0"
"02.01.2018 08:00 - 02.01.2018 09:00","444","0"
"02.01.2018 09:00 - 02.01.2018 10:00","440","0"
"02.01.2018 10:00 - 02.01.2018 11:00","372","0"
"02.01.2018 11:00 - 02.01.2018 12:00","350","0"
"02.01.2018 12:00 - 02.01.2018 13:00","137","0"
"02.01.2018 13:00 - 02.01.2018 14:00","271","0"
"02.01.2018 14:00 - 02.01.2018 15:00","316","0"
"02.01.2018 15:00 - 02.01.2018 16:00","178","0"
"02.01.2018 16:00 - 02.01.2018 17:00","230","0"
"02.01.2018 17:00 - 02.01.2018 18:00","236","0"
"02.01.2018 18:00 - 02.01.2018 19:00","318","0"
"02.01.2018 19:00 - 02.01.2018 20:00","193","0"
"02.01.2018 20:00 - 02.01.2018 21:00","272","0"
"02.01.2018 21:00 - 02.01.2018 22:00","398","0"
"02.01.2018 22:00 - 02.01.2018 23:00","324","0"
"02.01.2018 23:00 - 03.01.2018 00:00","367","0"
"03.01.2018 00:00 - 03.01.2018 01:00","387","0"
"03.01.2018 01:00 - 03.01.2018 02:00","427","0"
"03.01.2018 02:00 - 03.01.2018 03:00","506","0"
"03.01.2018 03:00 - 03.01.2018 04:00","549","0"
"03.01.2018 04:00 - 03.01.2018 05:00","545","0"
"03.01.2018 05:00 - 03.01.2018 06:00","544","0"
"03.01.2018 06:00 - 03.01.2018 07:00","568","0"
"03.01.2018 07:00 - 03.01.2018 08:00","616","0"
"03.01.2018 08:00 - 03.01.2018 09:00","513","0"
"03.01.2018 09:00 - 03.01.2018 10:00","447","0"
"03.01.2018 10:00 - 03.01.2018 11:00","369","0"
"03.01.2018 11:00 - 03.01.2018 12:00","488","0"
"03.01.2018 12:00 - 03.01.2018 13:00","537","0"
"03.01.2018 13:00 - 03.01.2018 14:00","533","0"
"03.01.2018 14:00 - 03.01.2018 15:00","575","0"
"03.01.2018 15:00 - 03.01.2018 16:00","600","0"
"03.01.2018 16:00 - 03.01.2018 17:00","607","0"
"03.01.2018 17:00 - 03.01.2018 18:00","611","0"
"03.01.2018 18:00 - 03.01.2018 19:00","688","0"
"03.01.2018 19:00 - 03.01.2018 20:00","615","0"
"03.01.2018 20:00 - 03.01.2018 21:00","572","0"
"03.01.2018 21:00 - 03.01.2018 22:00","746","0"
"03.01.2018 22:00 - 03.01.2018 23:00","766","0"
"03.01.2018 23:00 - 04.01.2018 00:00","786","0"
"04.01.2018 00:00 - 04.01.2018 01:00","808","0"
"04.01.2018 01:00 - 04.01.2018 02:00","855","0"
"04.01.2018 02:00 - 04.01.2018 03:00","828","0"
"04.01.2018 03:00 - 04.01.2018 04:00","842","0"
"04.01.2018 04:00 - 04.01.2018 05:00","742","0"
"04.01.2018 05:00 - 04.01.2018 06:00","767","0"
"04.01.2018 06:00 - 04.01.2018 07:00","754","0"
"04.01.2018 07:00 - 04.01.2018 08:00","844","0"
"04.01.2018 08:00 - 04.01.2018 09:00","913","0"
"04.01.2018 09:00 - 04.01.2018 10:00","843","0"
"04.01.2018 10:00 - 04.01.2018 11:00","718","0"
"04.01.2018 11:00 - 04.01.2018 12:00","844","0"
"04.01.2018 12:00 - 04.01.2018 13:00","682","0"
"04.01.2018 13:00 - 04.01.2018 14:00","656","0"
"04.01.2018 14:00 - 04.01.2018 15:00","672","0"
"04.01.2018 15:00 - 04.01.2018 16:00","717","0"
"04.01.2018 16:00 - 04.01.2018 17:00","673","0"
"04.01.2018 17:00 - 04.01.2018 18:00","898","0"
"04.01.2018 18:00 - 04.01.2018 19:00","908","0"
"04.01.2018 19:00 - 04.01.2018 20:00","805","0"
"04.01.2018 20:00 - 04.01.2018 21:00","741","0"
"04.01.2018 21:00 - 04.01.2018 22:00","776","0"
"04.01.2018 22:00 - 04.01.2018 23:00","661","0"
"04.01.2018 23:00 - 05.01.2018 00:00","652","0"
"05.01.2018 00:00 - 05.01.2018 01:00","650","0"
"05.01.2018 01:00 - 05.01.2018 02:00","715","0"
"05.01.2018 02:00 - 05.01.2018 03:00","769","0"
"05.01.2018 03:00 - 05.01.2018 04:00","721","0"
"05.01.2018 04:00 - 05.01.2018 05:00","761","0"
"05.01.2018 05:00 - 05.01.2018 06:00","778","0"
"05.01.2018 06:00 - 05.01.2018 07:00","834","0"
"05.01.2018 07:00 - 05.01.2018 08:00","943","0"
"05.01.2018 08:00 - 05.01.2018 09:00","927","0"
"05.01.2018 09:00 - 05.01.2018 10:00","810","0"
"05.01.2018 10:00 - 05.01.2018 11:00","725","0"
"05.01.2018 11:00 - 05.01.2018 12:00","725","0"
"05.01.2018 12:00 - 05.01.2018 13:00","629","0"
"05.01.2018 13:00 - 05.01.2018 14:00","588","0"
"05.01.2018 14:00 - 05.01.2018 15:00","521","0"
"05.01.2018 15:00 - 05.01.2018 16:00","495","0"
"05.01.2018 16:00 - 05.01.2018 17:00","472","0"
"05.01.2018 17:00 - 05.01.2018 18:00","521","0"
"05.01.2018 18:00 - 05.01.2018 19:00","474","0"
"05.01.2018 19:00 - 05.01.2018 20:00","418","0"
"05.01.2018 20:00 - 05.01.2018 21:00","360","0"
"05.01.2018 21:00 - 05.01.2018 22:00","277","0"
"05.01.2018 22:00 - 05.01.2018 23:00","360","0"
"05.01.2018 23:00 - 06.01.2018 00:00","372","0"
"06.01.2018 00:00 - 06.01.2018 01:00","264","0"
"06.01.2018 01:00 - 06.01.2018 02:00","158","0"
"06.01.2018 02:00 - 06.01.2018 03:00","168","0"
"06.01.2018 03:00 - 06.01.2018 04:00","154","0"
"06.01.2018 04:00 - 06.01.2018 05:00","188","0"
"06.01.2018 05:00 - 06.01.2018 06:00","276","0"
"06.01.2018 06:00 - 06.01.2018 07:00","347","0"
"06.01.2018 07:00 - 06.01.2018 08:00","325","0"
"06.01.2018 08:00 - 06.01.2018 09:00","329","0"
"06.01.2018 09:00 - 06.01.2018 10:00","375","0"
"06.01.2018 10:00 - 06.01.2018 11:00","360","0"
"06.01.2018 11:00 - 06.01.2018 12:00","335","0"
"06.01.2018 12:00 - 06.01.2018 13:00","378","0"
"06.01.2018 13:00 - 06.01.2018 14:00","289","0"
"06.01.2018 14:00 - 06.01.2018 15:00","210","0"
"06.01.2018 15:00 - 06.01.2018 16:00","183","0"
"06.01.2018 16:00 - 06.01.2018 17:00","179","0"
"06.01.2018 17:00 - 06.01.2018 18:00","377","0"
"06.01.2018 18:00 - 06.01.2018 19:00","0","72"
"06.01.2018 19:00 - 06.01.2018 20:00","149","0"
"06.01.2018 20:00 - 06.01.2018 21:00","94","0"
"06.01.2018 21:00 - 06.01.2018 22:00","103","0"
"06.01.2018 22:00 - 06.01.2018 23:00","48","0"
"06.01.2018 23:00 - 07.01.2018 00:00","7","0"
"07.01.2018 00:00 - 07.01.2018 01:00","209","0"
"07.01.2018 01:00 - 07.01.2018 02:00","229","0"
"07.01.2018 02:00 - 07.01.2018 03:00","163","0"
"07.01.2018 03:00 - 07.01.2018 04:00","121","0"
"07.01.2018 04:00 - 07.01.2018 05:00","95","0"
"07.01.2018 05:00 - 07.01.2018 06:00","156","0"
"07.01.2018 06:00 - 07.01.2018 07:00","126","0"
"07.01.2018 07:00 - 07.01.2018 08:00","207","0"
"07.01.2018 08:00 - 07.01.2018 09:00","313","0"
"07.01.2018 09:00 - 07.01.2018 10:00","358","0"
"07.01.2018 10:00 - 07.01.2018 11:00","356","0"
"07.01.2018 11:00 - 07.01.2018 12:00","480","0"
"07.01.2018 12:00 - 07.01.2018 13:00","490","0"
"07.01.2018 13:00 - 07.01.2018 14:00","465","0"
"07.01.2018 14:00 - 07.01.2018 15:00","444","0"
"07.01.2018 15:00 - 07.01.2018 16:00","421","0"
"07.01.2018 16:00 - 07.01.2018 17:00","638","0"
"07.01.2018 17:00 - 07.01.2018 18:00","810","0"
"07.01.2018 18:00 - 07.01.2018 19:00","811","0"
"07.01.2018 19:00 - 07.01.2018 20:00","767","0"
"07.01.2018 20:00 - 07.01.2018 21:00","700","0"
"07.01.2018 21:00 - 07.01.2018 22:00","671","0"
"07.01.2018 22:00 - 07.01.2018 23:00","621","0"
"07.01.2018 23:00 - 08.01.2018 00:00","374","0"
"08.01.2018 00:00 - 08.01.2018 01:00","169","0"
"08.01.2018 01:00 - 08.01.2018 02:00","258","0"
"08.01.2018 02:00 - 08.01.2018 03:00","303","0"
"08.01.2018 03:00 - 08.01.2018 04:00","306","0"
"08.01.2018 04:00 - 08.01.2018 05:00","288","0"
"08.01.2018 05:00 - 08.01.2018 06:00","379","0"
"08.01.2018 06:00 - 08.01.2018 07:00","469","0"
"08.01.2018 07:00 - 08.01.2018 08:00","506","0"
"08.01.2018 08:00 - 08.01.2018 09:00","521","0"
"08.01.2018 09:00 - 08.01.2018 10:00","291","0"
"08.01.2018 10:00 - 08.01.2018 11:00","368","0"
"08.01.2018 11:00 - 08.01.2018 12:00","330","0"
"08.01.2018 12:00 - 08.01.2018 13:00","374","0"
"08.01.2018 13:00 - 08.01.2018 14:00","317","0"
"08.01.2018 14:00 - 08.01.2018 15:00","313","0"
"08.01.2018 15:00 - 08.01.2018 16:00","347","0"
"08.01.2018 16:00 - 08.01.2018 17:00","348","0"
"08.01.2018 17:00 - 08.01.2018 18:00","457","0"
"08.01.2018 18:00 - 08.01.2018 19:00","323","0"
"08.01.2018 19:00 - 08.01.2018 20:00","238","0"
"08.01.2018 20:00 - 08.01.2018 21:00","334","0"
"08.01.2018 21:00 - 08.01.2018 22:00","210","0"
"08.01.2018 22:00 - 08.01.2018 23:00","199","0"
"08.01.2018 23:00 - 09.01.2018 00:00","0","35"
"09.01.2018 00:00 - 09.01.2018 01:00","74","0"
"09.01.2018 01:00 - 09.01.2018 02:00","0","160"
"09.01.2018 02:00 - 09.01.2018 03:00","0","257"
"09.01.2018 03:00 - 09.01.2018 04:00","0","254"
"09.01.2018 04:00 - 09.01.2018 05:00","0","256"
"09.01.2018 05:00 - 09.01.2018 06:00","0","219"
"09.01.2018 06:00 - 09.01.2018 07:00","33","0"
"09.01.2018 07:00 - 09.01.2018 08:00","208","0"
"09.01.2018 08:00 - 09.01.2018 09:00","141","0"
"09.01.2018 09:00 - 09.01.2018 10:00","50","0"
"09.01.2018 10:00 - 09.01.2018 11:00","92","0"
"09.01.2018 11:00 - 09.01.2018 12:00","232","0"
"09.01.2018 12:00 - 09.01.2018 13:00","163","0"
"09.01.2018 13:00 - 09.01.2018 14:00","0","326"
"09.01.2018 14:00 - 09.01.2018 15:00","0","233"
"09.01.2018 15:00 - 09.01.2018 16:00","0","177"
"09.01.2018 16:00 - 09.01.2018 17:00","0","170"
"09.01.2018 17:00 - 09.01.2018 18:00","0","28"
"09.01.2018 18:00 - 09.01.2018 19:00","0","264"
"09.01.2018 19:00 - 09.01.2018 20:00","0","215"
"09.01.2018 20:00 - 09.01.2018 21:00","0","178"
"09.01.2018 21:00 - 09.01.2018 22:00","0","80"
"09.01.2018 22:00 - 09.01.2018 23:00","0","21"
"09.01.2018 23:00 - 10.01.2018 00:00","0","19"
"10.01.2018 00:00 - 10.01.2018 01:00","0","202"
"10.01.2018 01:00 - 10.01.2018 02:00","0","394"
"10.01.2018 02:00 - 10.01.2018 03:00","0","495"
"10.01.2018 03:00 - 10.01.2018 04:00","0","534"
"10.01.2018 04:00 - 10.01.2018 05:00","0","529"
"10.01.2018 05:00 - 10.01.2018 06:00","0","367"
"10.01.2018 06:00 - 10.01.2018 07:00","0","352"
"10.01.2018 07:00 - 10.01.2018 08:00","0","240"
"10.01.2018 08:00 - 10.01.2018 09:00","0","126"
"10.01.2018 09:00 - 10.01.2018 10:00","0","252"
"10.01.2018 10:00 - 10.01.2018 11:00","0","261"
"10.01.2018 11:00 - 10.01.2018 12:00","0","259"
"10.01.2018 12:00 - 10.01.2018 13:00","0","279"
"10.01.2018 13:00 - 10.01.2018 14:00","0","345"
"10.01.2018 14:00 - 10.01.2018 15:00","0","538"
"10.01.2018 15:00 - 10.01.2018 16:00","0","572"
"10.01.2018 16:00 - 10.01.2018 17:00","0","527"
"10.01.2018 17:00 - 10.01.2018 18:00","0","309"
"10.01.2018 18:00 - 10.01.2018 19:00","0","249"
"10.01.2018 19:00 - 10.01.2018 20:00","0","241"
"10.01.2018 20:00 - 10.01.2018 21:00","0","382"
"10.01.2018 21:00 - 10.01.2018 22:00","0","496"
"10.01.2018 22:00 - 10.01.2018 23:00","0","434"
"10.01.2018 23:00 - 11.01.2018 00:00","0","405"
"11.01.2018 00:00 - 11.01.2018 01:00","0","404"
"11.01.2018 01:00 - 11.01.2018 02:00","0","569"
"11.01.2018 02:00 - 11.01.2018 03:00","0","641"
"11.01.2018 03:00 - 11.01.2018 04:00","0","704"
"11.01.2018 04:00 - 11.01.2018 05:00","0","665"
"11.01.2018 05:00 - 11.01.2018 06:00","0","597"
"11.01.2018 06:00 - 11.01.2018 07:00","0","444"
"11.01.2018 07:00 - 11.01.2018 08:00","0","228"
"11.01.2018 08:00 - 11.01.2018 09:00","0","188"
"11.01.2018 09:00 - 11.01.2018 10:00","0","231"
