"Time (CET)","Hungary (HU) > Slovakia (SK) [MW]","Slovakia (SK) > Hungary (HU) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","0","1322"
"01.01.2018 01:00 - 01.01.2018 02:00","0","1432"
"01.01.2018 02:00 - 01.01.2018 03:00","0","1336"
"01.01.2018 03:00 - 01.01.2018 04:00","0","1333"
"01.01.2018 04:00 - 01.01.2018 05:00","0","1363"
"01.01.2018 05:00 - 01.01.2018 06:00","0","1345"
"01.01.2018 06:00 - 01.01.2018 07:00","0","1369"
"01.01.2018 07:00 - 01.01.2018 08:00","0","1434"
"01.01.2018 08:00 - 01.01.2018 09:00","0","1405"
"01.01.2018 09:00 - 01.01.2018 10:00","0","1403"
"01.01.2018 10:00 - 01.01.2018 11:00","0","1504"
"01.01.2018 11:00 - 01.01.2018 12:00","0","1504"
"01.01.2018 12:00 - 01.01.2018 13:00","0","1435"
"01.01.2018 13:00 - 01.01.2018 14:00","0","1304"
"01.01.2018 14:00 - 01.01.2018 15:00","0","1225"
"01.01.2018 15:00 - 01.01.2018 16:00","0","1145"
"01.01.2018 16:00 - 01.01.2018 17:00","0","1074"
"01.01.2018 17:00 - 01.01.2018 18:00","0","1017"
"01.01.2018 18:00 - 01.01.2018 19:00","0","1013"
"01.01.2018 19:00 - 01.01.2018 20:00","0","1038"
"01.01.2018 20:00 - 01.01.2018 21:00","0","1140"
"01.01.2018 21:00 - 01.01.2018 22:00","0","1088"
"01.01.2018 22:00 - 01.01.2018 23:00","0","955"
"01.01.2018 23:00 - 02.01.2018 00:00","0","938"
"02.01.2018 00:00 - 02.01.2018 01:00","0","840"
"02.01.2018 01:00 - 02.01.2018 02:00","0","695"
"02.01.2018 02:00 - 02.01.2018 03:00","0","626"
"02.01.2018 03:00 - 02.01.2018 04:00","0","575"
"02.01.2018 04:00 - 02.01.2018 05:00","0","743"
"02.01.2018 05:00 - 02.01.2018 06:00","0","879"
"02.01.2018 06:00 - 02.01.2018 07:00","0","955"
"02.01.2018 07:00 - 02.01.2018 08:00","0","884"
"02.01.2018 08:00 - 02.01.2018 09:00","0","725"
"02.01.2018 09:00 - 02.01.2018 10:00","0","691"
"02.01.2018 10:00 - 02.01.2018 11:00","0","654"
"02.01.2018 11:00 - 02.01.2018 12:00","0","676"
"02.01.2018 12:00 - 02.01.2018 13:00","0","544"
"02.01.2018 13:00 - 02.01.2018 14:00","0","523"
"02.01.2018 14:00 - 02.01.2018 15:00","0","528"
"02.01.2018 15:00 - 02.01.2018 16:00","0","573"
"02.01.2018 16:00 - 02.01.2018 17:00","0","782"
"02.01.2018 17:00 - 02.01.2018 18:00","0","749"
"02.01.2018 18:00 - 02.01.2018 19:00","0","794"
"02.01.2018 19:00 - 02.01.2018 20:00","0","632"
"02.01.2018 20:00 - 02.01.2018 21:00","0","710"
"02.01.2018 21:00 - 02.01.2018 22:00","0","823"
"02.01.2018 22:00 - 02.01.2018 23:00","0","1019"
"02.01.2018 23:00 - 03.01.2018 00:00","0","1080"
"03.01.2018 00:00 - 03.01.2018 01:00","0","1087"
"03.01.2018 01:00 - 03.01.2018 02:00","0","1079"
"03.01.2018 02:00 - 03.01.2018 03:00","0","1155"
"03.01.2018 03:00 - 03.01.2018 04:00","0","1243"
"03.01.2018 04:00 - 03.01.2018 05:00","0","1183"
"03.01.2018 05:00 - 03.01.2018 06:00","0","1098"
"03.01.2018 06:00 - 03.01.2018 07:00","0","1148"
"03.01.2018 07:00 - 03.01.2018 08:00","0","1253"
"03.01.2018 08:00 - 03.01.2018 09:00","0","1164"
"03.01.2018 09:00 - 03.01.2018 10:00","0","1038"
"03.01.2018 10:00 - 03.01.2018 11:00","0","939"
"03.01.2018 11:00 - 03.01.2018 12:00","0","922"
"03.01.2018 12:00 - 03.01.2018 13:00","0","929"
"03.01.2018 13:00 - 03.01.2018 14:00","0","971"
"03.01.2018 14:00 - 03.01.2018 15:00","0","1046"
"03.01.2018 15:00 - 03.01.2018 16:00","0","1109"
"03.01.2018 16:00 - 03.01.2018 17:00","0","1168"
"03.01.2018 17:00 - 03.01.2018 18:00","0","1255"
"03.01.2018 18:00 - 03.01.2018 19:00","0","1256"
"03.01.2018 19:00 - 03.01.2018 20:00","0","1194"
"03.01.2018 20:00 - 03.01.2018 21:00","0","1124"
"03.01.2018 21:00 - 03.01.2018 22:00","0","1147"
"03.01.2018 22:00 - 03.01.2018 23:00","0","1150"
"03.01.2018 23:00 - 04.01.2018 00:00","0","1100"
"04.01.2018 00:00 - 04.01.2018 01:00","0","984"
"04.01.2018 01:00 - 04.01.2018 02:00","0","890"
"04.01.2018 02:00 - 04.01.2018 03:00","0","900"
"04.01.2018 03:00 - 04.01.2018 04:00","0","858"
"04.01.2018 04:00 - 04.01.2018 05:00","0","831"
"04.01.2018 05:00 - 04.01.2018 06:00","0","922"
"04.01.2018 06:00 - 04.01.2018 07:00","0","994"
"04.01.2018 07:00 - 04.01.2018 08:00","0","888"
"04.01.2018 08:00 - 04.01.2018 09:00","0","903"
"04.01.2018 09:00 - 04.01.2018 10:00","0","973"
"04.01.2018 10:00 - 04.01.2018 11:00","0","1159"
"04.01.2018 11:00 - 04.01.2018 12:00","0","1162"
"04.01.2018 12:00 - 04.01.2018 13:00","0","1022"
"04.01.2018 13:00 - 04.01.2018 14:00","0","971"
"04.01.2018 14:00 - 04.01.2018 15:00","0","911"
"04.01.2018 15:00 - 04.01.2018 16:00","0","921"
"04.01.2018 16:00 - 04.01.2018 17:00","0","998"
"04.01.2018 17:00 - 04.01.2018 18:00","0","1046"
"04.01.2018 18:00 - 04.01.2018 19:00","0","1045"
