"Time (CET)","Poland (PL) > Slovakia (SK) [MW]","Slovakia (SK) > Poland (PL) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","349","0"
"01.01.2018 01:00 - 01.01.2018 02:00","432","0"
"01.01.2018 02:00 - 01.01.2018 03:00","432","0"
"01.01.2018 03:00 - 01.01.2018 04:00","424","0"
"01.01.2018 04:00 - 01.01.2018 05:00","435","0"
"01.01.2018 05:00 - 01.01.2018 06:00","439","0"
"01.01.2018 06:00 - 01.01.2018 07:00","444","0"
"01.01.2018 07:00 - 01.01.2018 08:00","462","0"
"01.01.2018 08:00 - 01.01.2018 09:00","479","0"
"01.01.2018 09:00 - 01.01.2018 10:00","464","0"
"01.01.2018 10:00 - 01.01.2018 11:00","466","0"
"01.01.2018 11:00 - 01.01.2018 12:00","487","0"
"01.01.2018 12:00 - 01.01.2018 13:00","441","0"
"01.01.2018 13:00 - 01.01.2018 14:00","336","0"
"01.01.2018 14:00 - 01.01.2018 15:00","290","0"
"01.01.2018 15:00 - 01.01.2018 16:00","285","0"
"01.01.2018 16:00 - 01.01.2018 17:00","269","0"
"01.01.2018 17:00 - 01.01.2018 18:00","218","0"
"01.01.2018 18:00 - 01.01.2018 19:00","215","0"
"01.01.2018 19:00 - 01.01.2018 20:00","185","0"
"01.01.2018 20:00 - 01.01.2018 21:00","262","0"
"01.01.2018 21:00 - 01.01.2018 22:00","206","0"
"01.01.2018 22:00 - 01.01.2018 23:00","152","0"
"01.01.2018 23:00 - 02.01.2018 00:00","140","0"
"02.01.2018 00:00 - 02.01.2018 01:00","181","0"
"02.01.2018 01:00 - 02.01.2018 02:00","136","0"
"02.01.2018 02:00 - 02.01.2018 03:00","129","0"
"02.01.2018 03:00 - 02.01.2018 04:00","110","0"
"02.01.2018 04:00 - 02.01.2018 05:00","199","0"
"02.01.2018 05:00 - 02.01.2018 06:00","273","0"
"02.01.2018 06:00 - 02.01.2018 07:00","320","0"
"02.01.2018 07:00 - 02.01.2018 08:00","322","0"
"02.01.2018 08:00 - 02.01.2018 09:00","191","0"
"02.01.2018 09:00 - 02.01.2018 10:00","169","0"
"02.01.2018 10:00 - 02.01.2018 11:00","165","0"
"02.01.2018 11:00 - 02.01.2018 12:00","190","0"
"02.01.2018 12:00 - 02.01.2018 13:00","177","0"
"02.01.2018 13:00 - 02.01.2018 14:00","143","0"
"02.01.2018 14:00 - 02.01.2018 15:00","175","0"
"02.01.2018 15:00 - 02.01.2018 16:00","181","0"
"02.01.2018 16:00 - 02.01.2018 17:00","252","0"
"02.01.2018 17:00 - 02.01.2018 18:00","221","0"
"02.01.2018 18:00 - 02.01.2018 19:00","220","0"
"02.01.2018 19:00 - 02.01.2018 20:00","221","0"
"02.01.2018 20:00 - 02.01.2018 21:00","230","0"
"02.01.2018 21:00 - 02.01.2018 22:00","237","0"
"02.01.2018 22:00 - 02.01.2018 23:00","275","0"
"02.01.2018 23:00 - 03.01.2018 00:00","316","0"
"03.01.2018 00:00 - 03.01.2018 01:00","389","0"
"03.01.2018 01:00 - 03.01.2018 02:00","392","0"
"03.01.2018 02:00 - 03.01.2018 03:00","424","0"
"03.01.2018 03:00 - 03.01.2018 04:00","446","0"
"03.01.2018 04:00 - 03.01.2018 05:00","401","0"
"03.01.2018 05:00 - 03.01.2018 06:00","367","0"
"03.01.2018 06:00 - 03.01.2018 07:00","328","0"
"03.01.2018 07:00 - 03.01.2018 08:00","355","0"
"03.01.2018 08:00 - 03.01.2018 09:00","318","0"
"03.01.2018 09:00 - 03.01.2018 10:00","318","0"
"03.01.2018 10:00 - 03.01.2018 11:00","297","0"
"03.01.2018 11:00 - 03.01.2018 12:00","307","0"
"03.01.2018 12:00 - 03.01.2018 13:00","331","0"
"03.01.2018 13:00 - 03.01.2018 14:00","340","0"
"03.01.2018 14:00 - 03.01.2018 15:00","374","0"
"03.01.2018 15:00 - 03.01.2018 16:00","376","0"
"03.01.2018 16:00 - 03.01.2018 17:00","387","0"
"03.01.2018 17:00 - 03.01.2018 18:00","375","0"
"03.01.2018 18:00 - 03.01.2018 19:00","423","0"
"03.01.2018 19:00 - 03.01.2018 20:00","405","0"
"03.01.2018 20:00 - 03.01.2018 21:00","392","0"
"03.01.2018 21:00 - 03.01.2018 22:00","397","0"
"03.01.2018 22:00 - 03.01.2018 23:00","418","0"
"03.01.2018 23:00 - 04.01.2018 00:00","396","0"
"04.01.2018 00:00 - 04.01.2018 01:00","371","0"
"04.01.2018 01:00 - 04.01.2018 02:00","392","0"
"04.01.2018 02:00 - 04.01.2018 03:00","401","0"
"04.01.2018 03:00 - 04.01.2018 04:00","395","0"
"04.01.2018 04:00 - 04.01.2018 05:00","401","0"
"04.01.2018 05:00 - 04.01.2018 06:00","363","0"
