"Time (CET)","Day-ahead Total Load Forecast [MW] - Czech Republic (CZ)","Actual Total Load [MW] - Czech Republic (CZ)"
"01.01.2019 00:00 - 01.01.2019 01:00","5941","5719"
"01.01.2019 01:00 - 01.01.2019 02:00","5910","5678"
"01.01.2019 02:00 - 01.01.2019 03:00","5869","5622"
"01.01.2019 03:00 - 01.01.2019 04:00","5719","5475"
"01.01.2019 04:00 - 01.01.2019 05:00","5684","5433"
"01.01.2019 05:00 - 01.01.2019 06:00","5678","5446"
"01.01.2019 06:00 - 01.01.2019 07:00","5680","5413"
"01.01.2019 07:00 - 01.01.2019 08:00","5700","5450"
"01.01.2019 08:00 - 01.01.2019 09:00","5741","5450"
"01.01.2019 09:00 - 01.01.2019 10:00","6213","5891"
"01.01.2019 10:00 - 01.01.2019 11:00","6636","6292"
"01.01.2019 11:00 - 01.01.2019 12:00","6799","6502"
"01.01.2019 12:00 - 01.01.2019 13:00","6889","6662"
"01.01.2019 13:00 - 01.01.2019 14:00","6949","6727"
"01.01.2019 14:00 - 01.01.2019 15:00","6929","6722"
"01.01.2019 15:00 - 01.01.2019 16:00","7047","6849"
"01.01.2019 16:00 - 01.01.2019 17:00","7275","6964"
"01.01.2019 17:00 - 01.01.2019 18:00","7269","6964"
"01.01.2019 18:00 - 01.01.2019 19:00","7216","6936"
"01.01.2019 19:00 - 01.01.2019 20:00","7220","6895"
"01.01.2019 20:00 - 01.01.2019 21:00","7060","6787"
"01.01.2019 21:00 - 01.01.2019 22:00","6697","6447"
"01.01.2019 22:00 - 01.01.2019 23:00","6554","6343"
"01.01.2019 23:00 - 02.01.2019 00:00","6226","6056"
"02.01.2019 00:00 - 02.01.2019 01:00","5931","5844"
"02.01.2019 01:00 - 02.01.2019 02:00","6025","5935"
"02.01.2019 02:00 - 02.01.2019 03:00","6015","5910"
"02.01.2019 03:00 - 02.01.2019 04:00","5927","5844"
"02.01.2019 04:00 - 02.01.2019 05:00","6011","6026"
"02.01.2019 05:00 - 02.01.2019 06:00","6531","6566"
"02.01.2019 06:00 - 02.01.2019 07:00","7407","7467"
"02.01.2019 07:00 - 02.01.2019 08:00","7953","8025"
"02.01.2019 08:00 - 02.01.2019 09:00","8246","8361"
"02.01.2019 09:00 - 02.01.2019 10:00","8574","8710"
"02.01.2019 10:00 - 02.01.2019 11:00","8702","8899"
"02.01.2019 11:00 - 02.01.2019 12:00","8722","8980"
"02.01.2019 12:00 - 02.01.2019 13:00","8777","9146"
"02.01.2019 13:00 - 02.01.2019 14:00","8817","9225"
"02.01.2019 14:00 - 02.01.2019 15:00","8826","9090"
"02.01.2019 15:00 - 02.01.2019 16:00","8860","9166"
"02.01.2019 16:00 - 02.01.2019 17:00","8955","9214"
"02.01.2019 17:00 - 02.01.2019 18:00","9073","9182"
"02.01.2019 18:00 - 02.01.2019 19:00","8907","9014"
"02.01.2019 19:00 - 02.01.2019 20:00","8824","8932"
"02.01.2019 20:00 - 02.01.2019 21:00","8568","8626"
"02.01.2019 21:00 - 02.01.2019 22:00","8043","8190"
"02.01.2019 22:00 - 02.01.2019 23:00","7555","7812"
"02.01.2019 23:00 - 03.01.2019 00:00","7134","7371"
"03.01.2019 00:00 - 03.01.2019 01:00","7128","7064"
"03.01.2019 01:00 - 03.01.2019 02:00","7155","7131"
"03.01.2019 02:00 - 03.01.2019 03:00","7082","7050"
"03.01.2019 03:00 - 03.01.2019 04:00","6935","6945"
"03.01.2019 04:00 - 03.01.2019 05:00","6983","7090"
"03.01.2019 05:00 - 03.01.2019 06:00","7430","7593"
"03.01.2019 06:00 - 03.01.2019 07:00","8333","8547"
"03.01.2019 07:00 - 03.01.2019 08:00","8818","9063"
"03.01.2019 08:00 - 03.01.2019 09:00","8974","9222"
"03.01.2019 09:00 - 03.01.2019 10:00","9125","9460"
"03.01.2019 10:00 - 03.01.2019 11:00","9325","9566"
"03.01.2019 11:00 - 03.01.2019 12:00","9347","9528"
"03.01.2019 12:00 - 03.01.2019 13:00","9453","9688"
"03.01.2019 13:00 - 03.01.2019 14:00","9470","9706"
"03.01.2019 14:00 - 03.01.2019 15:00","9452","9536"
"03.01.2019 15:00 - 03.01.2019 16:00","9544","9619"
"03.01.2019 16:00 - 03.01.2019 17:00","9600","9655"
"03.01.2019 17:00 - 03.01.2019 18:00","9601","9626"
"03.01.2019 18:00 - 03.01.2019 19:00","9389","9405"
"03.01.2019 19:00 - 03.01.2019 20:00","9236","9377"
"03.01.2019 20:00 - 03.01.2019 21:00","8918","9058"
"03.01.2019 21:00 - 03.01.2019 22:00","8365","8566"
"03.01.2019 22:00 - 03.01.2019 23:00","7825","8143"
"03.01.2019 23:00 - 04.01.2019 00:00","7370","7697"
