"Time (CET)","Day-ahead Total Load Forecast [MW] - Denmark (DK)","Actual Total Load [MW] - Denmark (DK)"
"01.01.2019 00:00 - 01.01.2019 01:00","3216","3260"
"01.01.2019 01:00 - 01.01.2019 02:00","3140","3186"
"01.01.2019 02:00 - 01.01.2019 03:00","3051","3070"
"01.01.2019 03:00 - 01.01.2019 04:00","2951","2966"
"01.01.2019 04:00 - 01.01.2019 05:00","2896","2933"
"01.01.2019 05:00 - 01.01.2019 06:00","2914","2941"
"01.01.2019 06:00 - 01.01.2019 07:00","2959","3036"
"01.01.2019 07:00 - 01.01.2019 08:00","3022","3101"
"01.01.2019 08:00 - 01.01.2019 09:00","3185","3208"
"01.01.2019 09:00 - 01.01.2019 10:00","3344","3337"
"01.01.2019 10:00 - 01.01.2019 11:00","3549","3531"
"01.01.2019 11:00 - 01.01.2019 12:00","3701","3679"
"01.01.2019 12:00 - 01.01.2019 13:00","3764","3747"
"01.01.2019 13:00 - 01.01.2019 14:00","3766","3761"
"01.01.2019 14:00 - 01.01.2019 15:00","3843","3801"
"01.01.2019 15:00 - 01.01.2019 16:00","3852","3761"
"01.01.2019 16:00 - 01.01.2019 17:00","4080","4202"
"01.01.2019 17:00 - 01.01.2019 18:00","4465","4384"
"01.01.2019 18:00 - 01.01.2019 19:00","4308","4360"
"01.01.2019 19:00 - 01.01.2019 20:00","4105","4137"
"01.01.2019 20:00 - 01.01.2019 21:00","3889","3944"
"01.01.2019 21:00 - 01.01.2019 22:00","3705","3671"
"01.01.2019 22:00 - 01.01.2019 23:00","3481","3454"
"01.01.2019 23:00 - 02.01.2019 00:00","3326","3209"
"02.01.2019 00:00 - 02.01.2019 01:00","3072","3028"
"02.01.2019 01:00 - 02.01.2019 02:00","2945","2946"
"02.01.2019 02:00 - 02.01.2019 03:00","2919","2890"
"02.01.2019 03:00 - 02.01.2019 04:00","2951","2922"
"02.01.2019 04:00 - 02.01.2019 05:00","3084","3007"
"02.01.2019 05:00 - 02.01.2019 06:00","3268","3210"
"02.01.2019 06:00 - 02.01.2019 07:00","3826","3743"
"02.01.2019 07:00 - 02.01.2019 08:00","4410","4306"
"02.01.2019 08:00 - 02.01.2019 09:00","4605","4626"
"02.01.2019 09:00 - 02.01.2019 10:00","4737","4739"
"02.01.2019 10:00 - 02.01.2019 11:00","4796","4722"
"02.01.2019 11:00 - 02.01.2019 12:00","4747","4723"
"02.01.2019 12:00 - 02.01.2019 13:00","4668","4621"
"02.01.2019 13:00 - 02.01.2019 14:00","4594","4623"
"02.01.2019 14:00 - 02.01.2019 15:00","4572","4556"
"02.01.2019 15:00 - 02.01.2019 16:00","4515","4518"
"02.01.2019 16:00 - 02.01.2019 17:00","4818","4765"
"02.01.2019 17:00 - 02.01.2019 18:00","5167","5227"
"02.01.2019 18:00 - 02.01.2019 19:00","5006","5082"
"02.01.2019 19:00 - 02.01.2019 20:00","4680","4744"
"02.01.2019 20:00 - 02.01.2019 21:00","4329","4411"
"02.01.2019 21:00 - 02.01.2019 22:00","4059","4121"
"02.01.2019 22:00 - 02.01.2019 23:00","3758","3811"
"02.01.2019 23:00 - 03.01.2019 00:00","3494","3528"
"03.01.2019 00:00 - 03.01.2019 01:00","3313","3362"
"03.01.2019 01:00 - 03.01.2019 02:00","3188","3235"
"03.01.2019 02:00 - 03.01.2019 03:00","3184","3199"
