"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2019 00:00 - 01.01.2019 00:15","43769","43671"
"01.01.2019 00:15 - 01.01.2019 00:30","43572","43195"
"01.01.2019 00:30 - 01.01.2019 00:45","43025","42704"
"01.01.2019 00:45 - 01.01.2019 01:00","42487","42481"
"01.01.2019 01:00 - 01.01.2019 01:15","41978","42139"
"01.01.2019 01:15 - 01.01.2019 01:30","41481","41731"
"01.01.2019 01:30 - 01.01.2019 01:45","40956","41259"
"01.01.2019 01:45 - 01.01.2019 02:00","40688","40714"
"01.01.2019 02:00 - 01.01.2019 02:15","40384","40432"
"01.01.2019 02:15 - 01.01.2019 02:30","40156","40016"
"01.01.2019 02:30 - 01.01.2019 02:45","40122","39715"
"01.01.2019 02:45 - 01.01.2019 03:00","40088","39524"
"01.01.2019 03:00 - 01.01.2019 03:15","39911","39366"
"01.01.2019 03:15 - 01.01.2019 03:30","39866","39036"
"01.01.2019 03:30 - 01.01.2019 03:45","39936","39000"
"01.01.2019 03:45 - 01.01.2019 04:00","39923","38996"
"01.01.2019 04:00 - 01.01.2019 04:15","40077","38997"
"01.01.2019 04:15 - 01.01.2019 04:30","40235","38930"
"01.01.2019 04:30 - 01.01.2019 04:45","40329","38889"
"01.01.2019 04:45 - 01.01.2019 05:00","40391","38729"
"01.01.2019 05:00 - 01.01.2019 05:15","40666","38740"
"01.01.2019 05:15 - 01.01.2019 05:30","40500","38479"
"01.01.2019 05:30 - 01.01.2019 05:45","40556","38403"
"01.01.2019 05:45 - 01.01.2019 06:00","40474","38086"
"01.01.2019 06:00 - 01.01.2019 06:15","40006","37705"
"01.01.2019 06:15 - 01.01.2019 06:30","40324","37758"
"01.01.2019 06:30 - 01.01.2019 06:45","40564","37870"
"01.01.2019 06:45 - 01.01.2019 07:00","40867","38111"
"01.01.2019 07:00 - 01.01.2019 07:15","41525","38247"
"01.01.2019 07:15 - 01.01.2019 07:30","41872","38465"
"01.01.2019 07:30 - 01.01.2019 07:45","43367","38521"
"01.01.2019 07:45 - 01.01.2019 08:00","44210","38882"
"01.01.2019 08:00 - 01.01.2019 08:15","45432","38923"
"01.01.2019 08:15 - 01.01.2019 08:30","45508","39036"
"01.01.2019 08:30 - 01.01.2019 08:45","45981","39487"
"01.01.2019 08:45 - 01.01.2019 09:00","46523","39851"
"01.01.2019 09:00 - 01.01.2019 09:15","47770","40790"
"01.01.2019 09:15 - 01.01.2019 09:30","48702","41501"
"01.01.2019 09:30 - 01.01.2019 09:45","49191","42207"
"01.01.2019 09:45 - 01.01.2019 10:00","49505","42838"
"01.01.2019 10:00 - 01.01.2019 10:15","50058","43582"
"01.01.2019 10:15 - 01.01.2019 10:30","50685","44177"
"01.01.2019 10:30 - 01.01.2019 10:45","50903","44898"
"01.01.2019 10:45 - 01.01.2019 11:00","51736","45447"
"01.01.2019 11:00 - 01.01.2019 11:15","52116","46496"
"01.01.2019 11:15 - 01.01.2019 11:30","52792","47294"
"01.01.2019 11:30 - 01.01.2019 11:45","53530","47962"
"01.01.2019 11:45 - 01.01.2019 12:00","54019","48201"
"01.01.2019 12:00 - 01.01.2019 12:15","53272","48641"
"01.01.2019 12:15 - 01.01.2019 12:30","53430","48777"
"01.01.2019 12:30 - 01.01.2019 12:45","52745","48763"
"01.01.2019 12:45 - 01.01.2019 13:00","52196","48893"
"01.01.2019 13:00 - 01.01.2019 13:15","51567","48657"
"01.01.2019 13:15 - 01.01.2019 13:30","50919","48453"
"01.01.2019 13:30 - 01.01.2019 13:45","50679","48466"
"01.01.2019 13:45 - 01.01.2019 14:00","49845","48364"
"01.01.2019 14:00 - 01.01.2019 14:15","49755","48402"
"01.01.2019 14:15 - 01.01.2019 14:30","48901","48184"
"01.01.2019 14:30 - 01.01.2019 14:45","49140","48138"
"01.01.2019 14:45 - 01.01.2019 15:00","49448","48065"
"01.01.2019 15:00 - 01.01.2019 15:15","49573","48355"
"01.01.2019 15:15 - 01.01.2019 15:30","48991","48422"
"01.01.2019 15:30 - 01.01.2019 15:45","49223","48596"
"01.01.2019 15:45 - 01.01.2019 16:00","49148","48689"
"01.01.2019 16:00 - 01.01.2019 16:15","49763","49097"
"01.01.2019 16:15 - 01.01.2019 16:30","50689","49692"
"01.01.2019 16:30 - 01.01.2019 16:45","51389","50835"
"01.01.2019 16:45 - 01.01.2019 17:00","51647","51780"
"01.01.2019 17:00 - 01.01.2019 17:15","52960","52923"
"01.01.2019 17:15 - 01.01.2019 17:30","53621","53330"
"01.01.2019 17:30 - 01.01.2019 17:45","54419","53770"
"01.01.2019 17:45 - 01.01.2019 18:00","54430","54139"
"01.01.2019 18:00 - 01.01.2019 18:15","54695","54296"
"01.01.2019 18:15 - 01.01.2019 18:30","54933","54307"
"01.01.2019 18:30 - 01.01.2019 18:45","54783","54248"
"01.01.2019 18:45 - 01.01.2019 19:00","54669","54208"
"01.01.2019 19:00 - 01.01.2019 19:15","54284","54083"
"01.01.2019 19:15 - 01.01.2019 19:30","53696","53578"
"01.01.2019 19:30 - 01.01.2019 19:45","53138","53108"
"01.01.2019 19:45 - 01.01.2019 20:00","52626","52479"
"01.01.2019 20:00 - 01.01.2019 20:15","52110","51904"
"01.01.2019 20:15 - 01.01.2019 20:30","51008","51454"
"01.01.2019 20:30 - 01.01.2019 20:45","50328","50810"
"01.01.2019 20:45 - 01.01.2019 21:00","50048","50150"
"01.01.2019 21:00 - 01.01.2019 21:15","49275","49771"
"01.01.2019 21:15 - 01.01.2019 21:30","49130","49552"
"01.01.2019 21:30 - 01.01.2019 21:45","49810","49386"
"01.01.2019 21:45 - 01.01.2019 22:00","48964","49212"
"01.01.2019 22:00 - 01.01.2019 22:15","49365","49417"
"01.01.2019 22:15 - 01.01.2019 22:30","49039","48757"
"01.01.2019 22:30 - 01.01.2019 22:45","48152","48202"
"01.01.2019 22:45 - 01.01.2019 23:00","47386","47548"
"01.01.2019 23:00 - 01.01.2019 23:15","46354","46830"
"01.01.2019 23:15 - 01.01.2019 23:30","45674","46173"
"01.01.2019 23:30 - 01.01.2019 23:45","44859","45193"
"01.01.2019 23:45 - 02.01.2019 00:00","44388","44687"
"02.01.2019 00:00 - 02.01.2019 00:15","42873","44642"
"02.01.2019 00:15 - 02.01.2019 00:30","42643","44020"
"02.01.2019 00:30 - 02.01.2019 00:45","42345","43289"
"02.01.2019 00:45 - 02.01.2019 01:00","42006","42917"
"02.01.2019 01:00 - 02.01.2019 01:15","41574","42628"
"02.01.2019 01:15 - 02.01.2019 01:30","41290","41992"
"02.01.2019 01:30 - 02.01.2019 01:45","41004","41879"
"02.01.2019 01:45 - 02.01.2019 02:00","40889","41741"
"02.01.2019 02:00 - 02.01.2019 02:15","40448","41814"
"02.01.2019 02:15 - 02.01.2019 02:30","40381","41673"
"02.01.2019 02:30 - 02.01.2019 02:45","40398","41587"
"02.01.2019 02:45 - 02.01.2019 03:00","40497","41523"
"02.01.2019 03:00 - 02.01.2019 03:15","40594","41610"
"02.01.2019 03:15 - 02.01.2019 03:30","40683","41956"
"02.01.2019 03:30 - 02.01.2019 03:45","40868","42429"
"02.01.2019 03:45 - 02.01.2019 04:00","40974","42710"
"02.01.2019 04:00 - 02.01.2019 04:15","41642","42919"
"02.01.2019 04:15 - 02.01.2019 04:30","42073","43256"
"02.01.2019 04:30 - 02.01.2019 04:45","42517","43886"
"02.01.2019 04:45 - 02.01.2019 05:00","42850","44446"
"02.01.2019 05:00 - 02.01.2019 05:15","44210","45184"
"02.01.2019 05:15 - 02.01.2019 05:30","44797","45831"
"02.01.2019 05:30 - 02.01.2019 05:45","46092","47150"
"02.01.2019 05:45 - 02.01.2019 06:00","47590","48638"
"02.01.2019 06:00 - 02.01.2019 06:15","50154","50198"
"02.01.2019 06:15 - 02.01.2019 06:30","52396","51760"
"02.01.2019 06:30 - 02.01.2019 06:45","54111","53125"
"02.01.2019 06:45 - 02.01.2019 07:00","55625","54520"
"02.01.2019 07:00 - 02.01.2019 07:15","57127","56229"
"02.01.2019 07:15 - 02.01.2019 07:30","57859","57311"
"02.01.2019 07:30 - 02.01.2019 07:45","58967","58387"
"02.01.2019 07:45 - 02.01.2019 08:00","59639","59358"
"02.01.2019 08:00 - 02.01.2019 08:15","60214","60529"
"02.01.2019 08:15 - 02.01.2019 08:30","60729","60779"
"02.01.2019 08:30 - 02.01.2019 08:45","60708","61456"
"02.01.2019 08:45 - 02.01.2019 09:00","60680","61919"
"02.01.2019 09:00 - 02.01.2019 09:15","60308","62496"
"02.01.2019 09:15 - 02.01.2019 09:30","60941","62632"
"02.01.2019 09:30 - 02.01.2019 09:45","60965","63251"
"02.01.2019 09:45 - 02.01.2019 10:00","61512","63600"
"02.01.2019 10:00 - 02.01.2019 10:15","61810","63818"
"02.01.2019 10:15 - 02.01.2019 10:30","62234","63945"
"02.01.2019 10:30 - 02.01.2019 10:45","62353","64293"
"02.01.2019 10:45 - 02.01.2019 11:00","62460","64549"
"02.01.2019 11:00 - 02.01.2019 11:15","62922","64884"
"02.01.2019 11:15 - 02.01.2019 11:30","63179","65336"
"02.01.2019 11:30 - 02.01.2019 11:45","63551","65812"
"02.01.2019 11:45 - 02.01.2019 12:00","63403","65763"
"02.01.2019 12:00 - 02.01.2019 12:15","63115","65886"
"02.01.2019 12:15 - 02.01.2019 12:30","63283","65727"
"02.01.2019 12:30 - 02.01.2019 12:45","63085","65695"
"02.01.2019 12:45 - 02.01.2019 13:00","63066","65644"
"02.01.2019 13:00 - 02.01.2019 13:15","62963","65633"
"02.01.2019 13:15 - 02.01.2019 13:30","62865","65245"
"02.01.2019 13:30 - 02.01.2019 13:45","62623","64998"
"02.01.2019 13:45 - 02.01.2019 14:00","61659","64297"
"02.01.2019 14:00 - 02.01.2019 14:15","61335","64300"
"02.01.2019 14:15 - 02.01.2019 14:30","60808","63943"
"02.01.2019 14:30 - 02.01.2019 14:45","60908","63728"
"02.01.2019 14:45 - 02.01.2019 15:00","61352","63314"
"02.01.2019 15:00 - 02.01.2019 15:15","61665","63948"
"02.01.2019 15:15 - 02.01.2019 15:30","60686","63766"
"02.01.2019 15:30 - 02.01.2019 15:45","60638","63637"
"02.01.2019 15:45 - 02.01.2019 16:00","60354","63463"
"02.01.2019 16:00 - 02.01.2019 16:15","60899","64002"
"02.01.2019 16:15 - 02.01.2019 16:30","61535","64113"
"02.01.2019 16:30 - 02.01.2019 16:45","62340","65156"
"02.01.2019 16:45 - 02.01.2019 17:00","62344","66297"
"02.01.2019 17:00 - 02.01.2019 17:15","62862","67519"
"02.01.2019 17:15 - 02.01.2019 17:30","63312","68129"
"02.01.2019 17:30 - 02.01.2019 17:45","63660","68275"
"02.01.2019 17:45 - 02.01.2019 18:00","63654","68409"
"02.01.2019 18:00 - 02.01.2019 18:15","63381","68089"
"02.01.2019 18:15 - 02.01.2019 18:30","63481","67831"
"02.01.2019 18:30 - 02.01.2019 18:45","63656","67781"
"02.01.2019 18:45 - 02.01.2019 19:00","63401","67617"
"02.01.2019 19:00 - 02.01.2019 19:15","63091","67272"
"02.01.2019 19:15 - 02.01.2019 19:30","62438","66341"
"02.01.2019 19:30 - 02.01.2019 19:45","62215","65611"
"02.01.2019 19:45 - 02.01.2019 20:00","61547","64969"
"02.01.2019 20:00 - 02.01.2019 20:15","59969","63838"
"02.01.2019 20:15 - 02.01.2019 20:30","58357","62838"
"02.01.2019 20:30 - 02.01.2019 20:45","57924","61730"
"02.01.2019 20:45 - 02.01.2019 21:00","57328","60933"
"02.01.2019 21:00 - 02.01.2019 21:15","56523","59990"
"02.01.2019 21:15 - 02.01.2019 21:30","55734","59453"
"02.01.2019 21:30 - 02.01.2019 21:45","55824","58903"
"02.01.2019 21:45 - 02.01.2019 22:00","54411","58500"
"02.01.2019 22:00 - 02.01.2019 22:15","54292","58544"
"02.01.2019 22:15 - 02.01.2019 22:30","53474","57867"
"02.01.2019 22:30 - 02.01.2019 22:45","52447","56873"
"02.01.2019 22:45 - 02.01.2019 23:00","51384","55867"
"02.01.2019 23:00 - 02.01.2019 23:15","50138","55221"
"02.01.2019 23:15 - 02.01.2019 23:30","48960","54085"
"02.01.2019 23:30 - 02.01.2019 23:45","48098","53026"
"02.01.2019 23:45 - 03.01.2019 00:00","47114","52160"
"03.01.2019 00:00 - 03.01.2019 00:15","48167","51253"
"03.01.2019 00:15 - 03.01.2019 00:30","48188","51051"
"03.01.2019 00:30 - 03.01.2019 00:45","47837","50602"
"03.01.2019 00:45 - 03.01.2019 01:00","47259","49813"
"03.01.2019 01:00 - 03.01.2019 01:15","46680","49914"
"03.01.2019 01:15 - 03.01.2019 01:30","46148","49744"
"03.01.2019 01:30 - 03.01.2019 01:45","46452","49743"
"03.01.2019 01:45 - 03.01.2019 02:00","45926","49490"
"03.01.2019 02:00 - 03.01.2019 02:15","45638","49430"
"03.01.2019 02:15 - 03.01.2019 02:30","45350","49390"
"03.01.2019 02:30 - 03.01.2019 02:45","45846","49481"
"03.01.2019 02:45 - 03.01.2019 03:00","45832","49442"
"03.01.2019 03:00 - 03.01.2019 03:15","45690","49411"
"03.01.2019 03:15 - 03.01.2019 03:30","45828","49167"
"03.01.2019 03:30 - 03.01.2019 03:45","45948","49247"
"03.01.2019 03:45 - 03.01.2019 04:00","46027","49481"
"03.01.2019 04:00 - 03.01.2019 04:15","46698","49601"
"03.01.2019 04:15 - 03.01.2019 04:30","46506","49839"
"03.01.2019 04:30 - 03.01.2019 04:45","47270","50262"
"03.01.2019 04:45 - 03.01.2019 05:00","47602","50744"
"03.01.2019 05:00 - 03.01.2019 05:15","48599","51747"
"03.01.2019 05:15 - 03.01.2019 05:30","48698","52135"
"03.01.2019 05:30 - 03.01.2019 05:45","49585","52976"
"03.01.2019 05:45 - 03.01.2019 06:00","50358","54065"
"03.01.2019 06:00 - 03.01.2019 06:15","51443","55591"
"03.01.2019 06:15 - 03.01.2019 06:30","52955","56886"
"03.01.2019 06:30 - 03.01.2019 06:45","54322","58223"
"03.01.2019 06:45 - 03.01.2019 07:00","55626","59376"
"03.01.2019 07:00 - 03.01.2019 07:15","57218","60581"
"03.01.2019 07:15 - 03.01.2019 07:30","59077","61403"
"03.01.2019 07:30 - 03.01.2019 07:45","59800","62379"
"03.01.2019 07:45 - 03.01.2019 08:00","60766","63234"
"03.01.2019 08:00 - 03.01.2019 08:15","62003","63757"
"03.01.2019 08:15 - 03.01.2019 08:30","61813","64224"
"03.01.2019 08:30 - 03.01.2019 08:45","62098","64630"
"03.01.2019 08:45 - 03.01.2019 09:00","62291","65080"
"03.01.2019 09:00 - 03.01.2019 09:15","62275","65538"
"03.01.2019 09:15 - 03.01.2019 09:30","63547","65693"
"03.01.2019 09:30 - 03.01.2019 09:45","62864","65818"
"03.01.2019 09:45 - 03.01.2019 10:00","63369","66102"
"03.01.2019 10:00 - 03.01.2019 10:15","63272","66256"
"03.01.2019 10:15 - 03.01.2019 10:30","63513","66293"
"03.01.2019 10:30 - 03.01.2019 10:45","63437","66540"
"03.01.2019 10:45 - 03.01.2019 11:00","63312","66694"
"03.01.2019 11:00 - 03.01.2019 11:15","63951","67056"
"03.01.2019 11:15 - 03.01.2019 11:30","64062","67434"
"03.01.2019 11:30 - 03.01.2019 11:45","64344","67655"
"03.01.2019 11:45 - 03.01.2019 12:00","64453","67566"
"03.01.2019 12:00 - 03.01.2019 12:15","63557","67856"
"03.01.2019 12:15 - 03.01.2019 12:30","63758","67663"
"03.01.2019 12:30 - 03.01.2019 12:45","63575","67632"
"03.01.2019 12:45 - 03.01.2019 13:00","63118","67421"
"03.01.2019 13:00 - 03.01.2019 13:15","63040","67113"
"03.01.2019 13:15 - 03.01.2019 13:30","62545","66596"
"03.01.2019 13:30 - 03.01.2019 13:45","62041","66233"
"03.01.2019 13:45 - 03.01.2019 14:00","61723","65805"
"03.01.2019 14:00 - 03.01.2019 14:15","61556","65906"
"03.01.2019 14:15 - 03.01.2019 14:30","60903","65667"
"03.01.2019 14:30 - 03.01.2019 14:45","61102","65517"
"03.01.2019 14:45 - 03.01.2019 15:00","61601","65201"
"03.01.2019 15:00 - 03.01.2019 15:15","62261","65324"
"03.01.2019 15:15 - 03.01.2019 15:30","61407","64875"
"03.01.2019 15:30 - 03.01.2019 15:45","61545","64651"
"03.01.2019 15:45 - 03.01.2019 16:00","61617","64833"
"03.01.2019 16:00 - 03.01.2019 16:15","62036","65107"
"03.01.2019 16:15 - 03.01.2019 16:30","62932","65629"
"03.01.2019 16:30 - 03.01.2019 16:45","63856","66381"
"03.01.2019 16:45 - 03.01.2019 17:00","64047","67565"
"03.01.2019 17:00 - 03.01.2019 17:15","64725","68660"
"03.01.2019 17:15 - 03.01.2019 17:30","65246","69210"
"03.01.2019 17:30 - 03.01.2019 17:45","65134","69502"
"03.01.2019 17:45 - 03.01.2019 18:00","65753","69575"
"03.01.2019 18:00 - 03.01.2019 18:15","65354","69325"
"03.01.2019 18:15 - 03.01.2019 18:30","65390","69055"
"03.01.2019 18:30 - 03.01.2019 18:45","65429","68762"
"03.01.2019 18:45 - 03.01.2019 19:00","64208","68595"
"03.01.2019 19:00 - 03.01.2019 19:15","63916","68109"
"03.01.2019 19:15 - 03.01.2019 19:30","63504","67270"
"03.01.2019 19:30 - 03.01.2019 19:45","63310","66548"
"03.01.2019 19:45 - 03.01.2019 20:00","62120","65970"
"03.01.2019 20:00 - 03.01.2019 20:15","61241","64843"
"03.01.2019 20:15 - 03.01.2019 20:30","59329","63569"
"03.01.2019 20:30 - 03.01.2019 20:45","59304","62735"
"03.01.2019 20:45 - 03.01.2019 21:00","58658","61922"
"03.01.2019 21:00 - 03.01.2019 21:15","57393","61247"
"03.01.2019 21:15 - 03.01.2019 21:30","56898","60766"
"03.01.2019 21:30 - 03.01.2019 21:45","57269","59782"
"03.01.2019 21:45 - 03.01.2019 22:00","55931","59446"
"03.01.2019 22:00 - 03.01.2019 22:15","55934","59322"
"03.01.2019 22:15 - 03.01.2019 22:30","53703","58567"
"03.01.2019 22:30 - 03.01.2019 22:45","53919","57533"
"03.01.2019 22:45 - 03.01.2019 23:00","52486","56963"
"03.01.2019 23:00 - 03.01.2019 23:15","52536","56137"
"03.01.2019 23:15 - 03.01.2019 23:30","51228","55115"
"03.01.2019 23:30 - 03.01.2019 23:45","49510","54309"
"03.01.2019 23:45 - 04.01.2019 00:00","48894","53712"
"04.01.2019 00:00 - 04.01.2019 00:15","46541","52562"
"04.01.2019 00:15 - 04.01.2019 00:30","46419","51893"
"04.01.2019 00:30 - 04.01.2019 00:45","45802","51369"
"04.01.2019 00:45 - 04.01.2019 01:00","45222","50801"
"04.01.2019 01:00 - 04.01.2019 01:15","44633","49936"
"04.01.2019 01:15 - 04.01.2019 01:30","44267","49622"
"04.01.2019 01:30 - 04.01.2019 01:45","43943","49774"
"04.01.2019 01:45 - 04.01.2019 02:00","43742","49677"
"04.01.2019 02:00 - 04.01.2019 02:15","43470","49206"
"04.01.2019 02:15 - 04.01.2019 02:30","43262","48970"
"04.01.2019 02:30 - 04.01.2019 02:45","43432","49257"
"04.01.2019 02:45 - 04.01.2019 03:00","43454","49334"
"04.01.2019 03:00 - 04.01.2019 03:15","43468","49453"
"04.01.2019 03:15 - 04.01.2019 03:30","43510","49494"
"04.01.2019 03:30 - 04.01.2019 03:45","43672","49616"
"04.01.2019 03:45 - 04.01.2019 04:00","43738","50036"
"04.01.2019 04:00 - 04.01.2019 04:15","44152","50432"
"04.01.2019 04:15 - 04.01.2019 04:30","44399","50425"
"04.01.2019 04:30 - 04.01.2019 04:45","44715","50672"
"04.01.2019 04:45 - 04.01.2019 05:00","45130","51258"
"04.01.2019 05:00 - 04.01.2019 05:15","46100","52221"
"04.01.2019 05:15 - 04.01.2019 05:30","46234","52521"
"04.01.2019 05:30 - 04.01.2019 05:45","47047","53302"
"04.01.2019 05:45 - 04.01.2019 06:00","48090","54416"
"04.01.2019 06:00 - 04.01.2019 06:15","49443","56073"
"04.01.2019 06:15 - 04.01.2019 06:30","51116","57473"
"04.01.2019 06:30 - 04.01.2019 06:45","52461","58564"
"04.01.2019 06:45 - 04.01.2019 07:00","53546","60022"
"04.01.2019 07:00 - 04.01.2019 07:15","54918","61835"
"04.01.2019 07:15 - 04.01.2019 07:30","55631","63003"
"04.01.2019 07:30 - 04.01.2019 07:45","57450","63942"
"04.01.2019 07:45 - 04.01.2019 08:00","58233","64778"
"04.01.2019 08:00 - 04.01.2019 08:15","59070","65896"
"04.01.2019 08:15 - 04.01.2019 08:30","59593","66437"
"04.01.2019 08:30 - 04.01.2019 08:45","59872","66697"
"04.01.2019 08:45 - 04.01.2019 09:00","60150","67112"
"04.01.2019 09:00 - 04.01.2019 09:15","60138","67525"
"04.01.2019 09:15 - 04.01.2019 09:30","60766","68129"
"04.01.2019 09:30 - 04.01.2019 09:45","60685","68578"
"04.01.2019 09:45 - 04.01.2019 10:00","61017","68509"
"04.01.2019 10:00 - 04.01.2019 10:15","61401","68593"
"04.01.2019 10:15 - 04.01.2019 10:30","61662","68762"
"04.01.2019 10:30 - 04.01.2019 10:45","61330","69083"
"04.01.2019 10:45 - 04.01.2019 11:00","61494","69333"
"04.01.2019 11:00 - 04.01.2019 11:15","61675","69083"
