"Time (CET)","Day-ahead Total Load Forecast [MW] - Latvia (LV)","Actual Total Load [MW] - Latvia (LV)"
"01.01.2019 00:00 - 01.01.2019 01:00","707","678"
"01.01.2019 01:00 - 01.01.2019 02:00","678","648"
"01.01.2019 02:00 - 01.01.2019 03:00","644","624"
"01.01.2019 03:00 - 01.01.2019 04:00","623","612"
"01.01.2019 04:00 - 01.01.2019 05:00","617","614"
"01.01.2019 05:00 - 01.01.2019 06:00","608","618"
"01.01.2019 06:00 - 01.01.2019 07:00","630","638"
"01.01.2019 07:00 - 01.01.2019 08:00","637","652"
"01.01.2019 08:00 - 01.01.2019 09:00","630","655"
"01.01.2019 09:00 - 01.01.2019 10:00","660","697"
"01.01.2019 10:00 - 01.01.2019 11:00","703","733"
"01.01.2019 11:00 - 01.01.2019 12:00","729","755"
"01.01.2019 12:00 - 01.01.2019 13:00","745","753"
"01.01.2019 13:00 - 01.01.2019 14:00","761","755"
"01.01.2019 14:00 - 01.01.2019 15:00","771","770"
"01.01.2019 15:00 - 01.01.2019 16:00","823","834"
"01.01.2019 16:00 - 01.01.2019 17:00","841","861"
"01.01.2019 17:00 - 01.01.2019 18:00","831","860"
"01.01.2019 18:00 - 01.01.2019 19:00","818","845"
"01.01.2019 19:00 - 01.01.2019 20:00","806","827"
"01.01.2019 20:00 - 01.01.2019 21:00","787","805"
"01.01.2019 21:00 - 01.01.2019 22:00","729","748"
"01.01.2019 22:00 - 01.01.2019 23:00","665","688"
"01.01.2019 23:00 - 02.01.2019 00:00","706","637"
"02.01.2019 00:00 - 02.01.2019 01:00","607","599"
"02.01.2019 01:00 - 02.01.2019 02:00","588","582"
"02.01.2019 02:00 - 02.01.2019 03:00","583","578"
"02.01.2019 03:00 - 02.01.2019 04:00","585","590"
"02.01.2019 04:00 - 02.01.2019 05:00","619","635"
"02.01.2019 05:00 - 02.01.2019 06:00","706","736"
"02.01.2019 06:00 - 02.01.2019 07:00","818","868"
"02.01.2019 07:00 - 02.01.2019 08:00","916","971"
"02.01.2019 08:00 - 02.01.2019 09:00","961","1012"
"02.01.2019 09:00 - 02.01.2019 10:00","998","1029"
"02.01.2019 10:00 - 02.01.2019 11:00","995","1038"
