"Time (CET)","Day-ahead Total Load Forecast [MW] - North Macedonia (MK)","Actual Total Load [MW] - North Macedonia (MK)"
"01.01.2019 00:00 - 01.01.2019 01:00","1118","1069"
"01.01.2019 01:00 - 01.01.2019 02:00","1066","1023"
"01.01.2019 02:00 - 01.01.2019 03:00","991","951"
"01.01.2019 03:00 - 01.01.2019 04:00","922","887"
"01.01.2019 04:00 - 01.01.2019 05:00","875","836"
"01.01.2019 05:00 - 01.01.2019 06:00","848","822"
"01.01.2019 06:00 - 01.01.2019 07:00","842","820"
"01.01.2019 07:00 - 01.01.2019 08:00","785","775"
"01.01.2019 08:00 - 01.01.2019 09:00","811","799"
"01.01.2019 09:00 - 01.01.2019 10:00","878","858"
"01.01.2019 10:00 - 01.01.2019 11:00","942","919"
"01.01.2019 11:00 - 01.01.2019 12:00","989","958"
"01.01.2019 12:00 - 01.01.2019 13:00","1003","971"
"01.01.2019 13:00 - 01.01.2019 14:00","997","973"
"01.01.2019 14:00 - 01.01.2019 15:00","1087","1068"
"01.01.2019 15:00 - 01.01.2019 16:00","1109","1066"
"01.01.2019 16:00 - 01.01.2019 17:00","1104","1043"
"01.01.2019 17:00 - 01.01.2019 18:00","1125","1068"
"01.01.2019 18:00 - 01.01.2019 19:00","1105","1062"
"01.01.2019 19:00 - 01.01.2019 20:00","1095","1053"
"01.01.2019 20:00 - 01.01.2019 21:00","1063","1039"
"01.01.2019 21:00 - 01.01.2019 22:00","1053","1033"
"01.01.2019 22:00 - 01.01.2019 23:00","1151","1146"
"01.01.2019 23:00 - 02.01.2019 00:00","1147","1157"
"02.01.2019 00:00 - 02.01.2019 01:00","1044","1072"
"02.01.2019 01:00 - 02.01.2019 02:00","935","971"
"02.01.2019 02:00 - 02.01.2019 03:00","855","893"
"02.01.2019 03:00 - 02.01.2019 04:00","817","842"
"02.01.2019 04:00 - 02.01.2019 05:00","811","830"
"02.01.2019 05:00 - 02.01.2019 06:00","836","848"
"02.01.2019 06:00 - 02.01.2019 07:00","910","900"
"02.01.2019 07:00 - 02.01.2019 08:00","960","920"
"02.01.2019 08:00 - 02.01.2019 09:00","1042","1003"
"02.01.2019 09:00 - 02.01.2019 10:00","1106","1067"
"02.01.2019 10:00 - 02.01.2019 11:00","1129","1091"
"02.01.2019 11:00 - 02.01.2019 12:00","1128","1114"
"02.01.2019 12:00 - 02.01.2019 13:00","1109","1124"
"02.01.2019 13:00 - 02.01.2019 14:00","1099","1140"
"02.01.2019 14:00 - 02.01.2019 15:00","1205","1271"
"02.01.2019 15:00 - 02.01.2019 16:00","1211","1267"
"02.01.2019 16:00 - 02.01.2019 17:00","1177","1202"
"02.01.2019 17:00 - 02.01.2019 18:00","1197","1188"
"02.01.2019 18:00 - 02.01.2019 19:00","1168","1164"
"02.01.2019 19:00 - 02.01.2019 20:00","1156","1146"
"02.01.2019 20:00 - 02.01.2019 21:00","1116","1127"
"02.01.2019 21:00 - 02.01.2019 22:00","1104","1105"
"02.01.2019 22:00 - 02.01.2019 23:00","1235","1229"
"02.01.2019 23:00 - 03.01.2019 00:00","1237","1240"
"03.01.2019 00:00 - 03.01.2019 01:00","1115","1141"
"03.01.2019 01:00 - 03.01.2019 02:00","989","1024"
"03.01.2019 02:00 - 03.01.2019 03:00","893","933"
"03.01.2019 03:00 - 03.01.2019 04:00","840","874"
"03.01.2019 04:00 - 03.01.2019 05:00","827","853"
"03.01.2019 05:00 - 03.01.2019 06:00","854","872"
"03.01.2019 06:00 - 03.01.2019 07:00","934","933"
"03.01.2019 07:00 - 03.01.2019 08:00","980","968"
"03.01.2019 08:00 - 03.01.2019 09:00","1059","1064"
"03.01.2019 09:00 - 03.01.2019 10:00","1118","1127"
"03.01.2019 10:00 - 03.01.2019 11:00","1145","1163"
"03.01.2019 11:00 - 03.01.2019 12:00","1150","1185"
"03.01.2019 12:00 - 03.01.2019 13:00","1135","1195"
"03.01.2019 13:00 - 03.01.2019 14:00","1135","1199"
"03.01.2019 14:00 - 03.01.2019 15:00","1263","1335"
"03.01.2019 15:00 - 03.01.2019 16:00","1256","1334"
"03.01.2019 16:00 - 03.01.2019 17:00","1218","1264"
"03.01.2019 17:00 - 03.01.2019 18:00","1219","1254"
"03.01.2019 18:00 - 03.01.2019 19:00","1202","1236"
"03.01.2019 19:00 - 03.01.2019 20:00","1180","1220"
"03.01.2019 20:00 - 03.01.2019 21:00","1145","1183"
"03.01.2019 21:00 - 03.01.2019 22:00","1132","1169"
"03.01.2019 22:00 - 03.01.2019 23:00","1252","1296"
"03.01.2019 23:00 - 04.01.2019 00:00","1258","1287"
