"Time (CET)","Switzerland (CH) > Austria (AT) [MW]","Austria (AT) > Switzerland (CH) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","763"
"01.01.2019 01:00 - 01.01.2019 02:00","0","497"
"01.01.2019 02:00 - 01.01.2019 03:00","0","427"
"01.01.2019 03:00 - 01.01.2019 04:00","0","452"
"01.01.2019 04:00 - 01.01.2019 05:00","0","603"
"01.01.2019 05:00 - 01.01.2019 06:00","0","555"
"01.01.2019 06:00 - 01.01.2019 07:00","0","690"
"01.01.2019 07:00 - 01.01.2019 08:00","0","782"
"01.01.2019 08:00 - 01.01.2019 09:00","0","759"
"01.01.2019 09:00 - 01.01.2019 10:00","0","803"
"01.01.2019 10:00 - 01.01.2019 11:00","0","801"
"01.01.2019 11:00 - 01.01.2019 12:00","0","662"
"01.01.2019 12:00 - 01.01.2019 13:00","0","592"
"01.01.2019 13:00 - 01.01.2019 14:00","0","559"
"01.01.2019 14:00 - 01.01.2019 15:00","0","765"
"01.01.2019 15:00 - 01.01.2019 16:00","0","906"
"01.01.2019 16:00 - 01.01.2019 17:00","0","886"
"01.01.2019 17:00 - 01.01.2019 18:00","0","910"
"01.01.2019 18:00 - 01.01.2019 19:00","0","876"
"01.01.2019 19:00 - 01.01.2019 20:00","0","934"
"01.01.2019 20:00 - 01.01.2019 21:00","0","1098"
"01.01.2019 21:00 - 01.01.2019 22:00","0","1051"
"01.01.2019 22:00 - 01.01.2019 23:00","0","933"
"01.01.2019 23:00 - 02.01.2019 00:00","0","869"
"02.01.2019 00:00 - 02.01.2019 01:00","0","828"
"02.01.2019 01:00 - 02.01.2019 02:00","0","836"
"02.01.2019 02:00 - 02.01.2019 03:00","0","852"
"02.01.2019 03:00 - 02.01.2019 04:00","0","878"
"02.01.2019 04:00 - 02.01.2019 05:00","0","892"
"02.01.2019 05:00 - 02.01.2019 06:00","0","976"
"02.01.2019 06:00 - 02.01.2019 07:00","0","1067"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1292"
"02.01.2019 08:00 - 02.01.2019 09:00","0","1448"
"02.01.2019 09:00 - 02.01.2019 10:00","0","1243"
"02.01.2019 10:00 - 02.01.2019 11:00","0","1057"
"02.01.2019 11:00 - 02.01.2019 12:00","0","961"
"02.01.2019 12:00 - 02.01.2019 13:00","0","872"
"02.01.2019 13:00 - 02.01.2019 14:00","0","1092"
"02.01.2019 14:00 - 02.01.2019 15:00","0","1292"
"02.01.2019 15:00 - 02.01.2019 16:00","0","1335"
"02.01.2019 16:00 - 02.01.2019 17:00","0","1022"
"02.01.2019 17:00 - 02.01.2019 18:00","0","859"
"02.01.2019 18:00 - 02.01.2019 19:00","0","956"
"02.01.2019 19:00 - 02.01.2019 20:00","0","1091"
"02.01.2019 20:00 - 02.01.2019 21:00","0","1294"
"02.01.2019 21:00 - 02.01.2019 22:00","0","1312"
"02.01.2019 22:00 - 02.01.2019 23:00","0","1409"
