"Time (CET)","Slovenia (SI) > Austria (AT) [MW]","Austria (AT) > Slovenia (SI) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","866"
"01.01.2019 01:00 - 01.01.2019 02:00","0","983"
"01.01.2019 02:00 - 01.01.2019 03:00","0","961"
"01.01.2019 03:00 - 01.01.2019 04:00","0","859"
"01.01.2019 04:00 - 01.01.2019 05:00","0","776"
"01.01.2019 05:00 - 01.01.2019 06:00","0","792"
"01.01.2019 06:00 - 01.01.2019 07:00","0","841"
"01.01.2019 07:00 - 01.01.2019 08:00","0","904"
"01.01.2019 08:00 - 01.01.2019 09:00","0","820"
"01.01.2019 09:00 - 01.01.2019 10:00","0","854"
"01.01.2019 10:00 - 01.01.2019 11:00","0","737"
"01.01.2019 11:00 - 01.01.2019 12:00","0","793"
"01.01.2019 12:00 - 01.01.2019 13:00","0","829"
"01.01.2019 13:00 - 01.01.2019 14:00","0","756"
"01.01.2019 14:00 - 01.01.2019 15:00","0","895"
"01.01.2019 15:00 - 01.01.2019 16:00","0","920"
"01.01.2019 16:00 - 01.01.2019 17:00","0","881"
"01.01.2019 17:00 - 01.01.2019 18:00","0","813"
"01.01.2019 18:00 - 01.01.2019 19:00","0","763"
"01.01.2019 19:00 - 01.01.2019 20:00","0","813"
"01.01.2019 20:00 - 01.01.2019 21:00","0","797"
"01.01.2019 21:00 - 01.01.2019 22:00","0","863"
"01.01.2019 22:00 - 01.01.2019 23:00","0","864"
"01.01.2019 23:00 - 02.01.2019 00:00","0","1016"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1087"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1025"
"02.01.2019 02:00 - 02.01.2019 03:00","0","991"
"02.01.2019 03:00 - 02.01.2019 04:00","0","957"
"02.01.2019 04:00 - 02.01.2019 05:00","0","945"
"02.01.2019 05:00 - 02.01.2019 06:00","0","997"
"02.01.2019 06:00 - 02.01.2019 07:00","0","897"
"02.01.2019 07:00 - 02.01.2019 08:00","0","876"
"02.01.2019 08:00 - 02.01.2019 09:00","0","998"
"02.01.2019 09:00 - 02.01.2019 10:00","0","979"
"02.01.2019 10:00 - 02.01.2019 11:00","0","944"
"02.01.2019 11:00 - 02.01.2019 12:00","0","947"
"02.01.2019 12:00 - 02.01.2019 13:00","0","802"
"02.01.2019 13:00 - 02.01.2019 14:00","0","799"
"02.01.2019 14:00 - 02.01.2019 15:00","0","893"
"02.01.2019 15:00 - 02.01.2019 16:00","0","886"
"02.01.2019 16:00 - 02.01.2019 17:00","0","791"
"02.01.2019 17:00 - 02.01.2019 18:00","0","626"
"02.01.2019 18:00 - 02.01.2019 19:00","0","644"
"02.01.2019 19:00 - 02.01.2019 20:00","0","661"
"02.01.2019 20:00 - 02.01.2019 21:00","0","757"
"02.01.2019 21:00 - 02.01.2019 22:00","0","807"
"02.01.2019 22:00 - 02.01.2019 23:00","0","801"
"02.01.2019 23:00 - 03.01.2019 00:00","0","899"
"03.01.2019 00:00 - 03.01.2019 01:00","0","703"
"03.01.2019 01:00 - 03.01.2019 02:00","0","588"
"03.01.2019 02:00 - 03.01.2019 03:00","0","525"
"03.01.2019 03:00 - 03.01.2019 04:00","0","381"
"03.01.2019 04:00 - 03.01.2019 05:00","0","389"
"03.01.2019 05:00 - 03.01.2019 06:00","0","550"
"03.01.2019 06:00 - 03.01.2019 07:00","0","932"
"03.01.2019 07:00 - 03.01.2019 08:00","0","1112"
"03.01.2019 08:00 - 03.01.2019 09:00","0","1142"
"03.01.2019 09:00 - 03.01.2019 10:00","0","940"
"03.01.2019 10:00 - 03.01.2019 11:00","0","862"
"03.01.2019 11:00 - 03.01.2019 12:00","0","980"
"03.01.2019 12:00 - 03.01.2019 13:00","0","1033"
"03.01.2019 13:00 - 03.01.2019 14:00","0","1191"
"03.01.2019 14:00 - 03.01.2019 15:00","0","1098"
"03.01.2019 15:00 - 03.01.2019 16:00","0","907"
"03.01.2019 16:00 - 03.01.2019 17:00","0","833"
"03.01.2019 17:00 - 03.01.2019 18:00","0","923"
"03.01.2019 18:00 - 03.01.2019 19:00","0","841"
"03.01.2019 19:00 - 03.01.2019 20:00","0","936"
"03.01.2019 20:00 - 03.01.2019 21:00","0","1087"
"03.01.2019 21:00 - 03.01.2019 22:00","0","1013"
"03.01.2019 22:00 - 03.01.2019 23:00","0","921"
"03.01.2019 23:00 - 04.01.2019 00:00","0","809"
"04.01.2019 00:00 - 04.01.2019 01:00","0","1018"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1053"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1069"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1014"
"04.01.2019 04:00 - 04.01.2019 05:00","0","955"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1088"
"04.01.2019 06:00 - 04.01.2019 07:00","0","943"
"04.01.2019 07:00 - 04.01.2019 08:00","0","851"
"04.01.2019 08:00 - 04.01.2019 09:00","0","792"
"04.01.2019 09:00 - 04.01.2019 10:00","0","925"
"04.01.2019 10:00 - 04.01.2019 11:00","0","915"
"04.01.2019 11:00 - 04.01.2019 12:00","0","971"
"04.01.2019 12:00 - 04.01.2019 13:00","0","761"
"04.01.2019 13:00 - 04.01.2019 14:00","0","929"
"04.01.2019 14:00 - 04.01.2019 15:00","0","996"
"04.01.2019 15:00 - 04.01.2019 16:00","0","806"
"04.01.2019 16:00 - 04.01.2019 17:00","0","802"
"04.01.2019 17:00 - 04.01.2019 18:00","0","832"
"04.01.2019 18:00 - 04.01.2019 19:00","0","756"
"04.01.2019 19:00 - 04.01.2019 20:00","0","860"
"04.01.2019 20:00 - 04.01.2019 21:00","0","936"
"04.01.2019 21:00 - 04.01.2019 22:00","0","948"
"04.01.2019 22:00 - 04.01.2019 23:00","0","775"
"04.01.2019 23:00 - 05.01.2019 00:00","0","801"
"05.01.2019 00:00 - 05.01.2019 01:00","0","1020"
"05.01.2019 01:00 - 05.01.2019 02:00","0","992"
"05.01.2019 02:00 - 05.01.2019 03:00","0","1040"
"05.01.2019 03:00 - 05.01.2019 04:00","0","1143"
"05.01.2019 04:00 - 05.01.2019 05:00","0","1111"
"05.01.2019 05:00 - 05.01.2019 06:00","0","1192"
"05.01.2019 06:00 - 05.01.2019 07:00","0","1211"
"05.01.2019 07:00 - 05.01.2019 08:00","0","1139"
"05.01.2019 08:00 - 05.01.2019 09:00","0","1008"
"05.01.2019 09:00 - 05.01.2019 10:00","0","1022"
"05.01.2019 10:00 - 05.01.2019 11:00","0","884"
