"Time (CET)","Germany (DE) > Switzerland (CH) [MW]","Switzerland (CH) > Germany (DE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","3057","0"
"01.01.2019 01:00 - 01.01.2019 02:00","3034","0"
"01.01.2019 02:00 - 01.01.2019 03:00","3165","0"
"01.01.2019 03:00 - 01.01.2019 04:00","3170","0"
"01.01.2019 04:00 - 01.01.2019 05:00","2976","0"
"01.01.2019 05:00 - 01.01.2019 06:00","3233","0"
"01.01.2019 06:00 - 01.01.2019 07:00","3490","0"
"01.01.2019 07:00 - 01.01.2019 08:00","3690","0"
"01.01.2019 08:00 - 01.01.2019 09:00","3841","0"
"01.01.2019 09:00 - 01.01.2019 10:00","3738","0"
"01.01.2019 10:00 - 01.01.2019 11:00","3820","0"
"01.01.2019 11:00 - 01.01.2019 12:00","3688","0"
"01.01.2019 12:00 - 01.01.2019 13:00","3426","0"
"01.01.2019 13:00 - 01.01.2019 14:00","3466","0"
"01.01.2019 14:00 - 01.01.2019 15:00","3812","0"
"01.01.2019 15:00 - 01.01.2019 16:00","4223","0"
"01.01.2019 16:00 - 01.01.2019 17:00","4180","0"
"01.01.2019 17:00 - 01.01.2019 18:00","3781","0"
"01.01.2019 18:00 - 01.01.2019 19:00","3525","0"
"01.01.2019 19:00 - 01.01.2019 20:00","3182","0"
"01.01.2019 20:00 - 01.01.2019 21:00","3533","0"
"01.01.2019 21:00 - 01.01.2019 22:00","3580","0"
"01.01.2019 22:00 - 01.01.2019 23:00","3728","0"
"01.01.2019 23:00 - 02.01.2019 00:00","3619","0"
"02.01.2019 00:00 - 02.01.2019 01:00","3097","0"
"02.01.2019 01:00 - 02.01.2019 02:00","3395","0"
"02.01.2019 02:00 - 02.01.2019 03:00","3363","0"
"02.01.2019 03:00 - 02.01.2019 04:00","3254","0"
"02.01.2019 04:00 - 02.01.2019 05:00","3350","0"
"02.01.2019 05:00 - 02.01.2019 06:00","3714","0"
"02.01.2019 06:00 - 02.01.2019 07:00","3786","0"
"02.01.2019 07:00 - 02.01.2019 08:00","3553","0"
"02.01.2019 08:00 - 02.01.2019 09:00","3600","0"
"02.01.2019 09:00 - 02.01.2019 10:00","3323","0"
"02.01.2019 10:00 - 02.01.2019 11:00","3256","0"
"02.01.2019 11:00 - 02.01.2019 12:00","3195","0"
"02.01.2019 12:00 - 02.01.2019 13:00","2852","0"
"02.01.2019 13:00 - 02.01.2019 14:00","3305","0"
"02.01.2019 14:00 - 02.01.2019 15:00","3478","0"
"02.01.2019 15:00 - 02.01.2019 16:00","3394","0"
"02.01.2019 16:00 - 02.01.2019 17:00","3352","0"
"02.01.2019 17:00 - 02.01.2019 18:00","2572","0"
"02.01.2019 18:00 - 02.01.2019 19:00","2602","0"
"02.01.2019 19:00 - 02.01.2019 20:00","2739","0"
"02.01.2019 20:00 - 02.01.2019 21:00","3391","0"
"02.01.2019 21:00 - 02.01.2019 22:00","3574","0"
"02.01.2019 22:00 - 02.01.2019 23:00","3775","0"
"02.01.2019 23:00 - 03.01.2019 00:00","3678","0"
"03.01.2019 00:00 - 03.01.2019 01:00","3730","0"
"03.01.2019 01:00 - 03.01.2019 02:00","3552","0"
"03.01.2019 02:00 - 03.01.2019 03:00","3635","0"
"03.01.2019 03:00 - 03.01.2019 04:00","3244","0"
"03.01.2019 04:00 - 03.01.2019 05:00","3070","0"
"03.01.2019 05:00 - 03.01.2019 06:00","3498","0"
"03.01.2019 06:00 - 03.01.2019 07:00","3662","0"
"03.01.2019 07:00 - 03.01.2019 08:00","3000","0"
"03.01.2019 08:00 - 03.01.2019 09:00","3137","0"
"03.01.2019 09:00 - 03.01.2019 10:00","2681","0"
