"Time (CET)","France (FR) > Switzerland (CH) [MW]","Switzerland (CH) > France (FR) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","553"
"01.01.2019 01:00 - 01.01.2019 02:00","0","233"
"01.01.2019 02:00 - 01.01.2019 03:00","0","280"
"01.01.2019 03:00 - 01.01.2019 04:00","115","0"
"01.01.2019 04:00 - 01.01.2019 05:00","0","56"
"01.01.2019 05:00 - 01.01.2019 06:00","0","15"
"01.01.2019 06:00 - 01.01.2019 07:00","71","0"
"01.01.2019 07:00 - 01.01.2019 08:00","11","0"
"01.01.2019 08:00 - 01.01.2019 09:00","57","0"
"01.01.2019 09:00 - 01.01.2019 10:00","461","0"
"01.01.2019 10:00 - 01.01.2019 11:00","164","0"
"01.01.2019 11:00 - 01.01.2019 12:00","48","0"
"01.01.2019 12:00 - 01.01.2019 13:00","0","60"
"01.01.2019 13:00 - 01.01.2019 14:00","0","276"
"01.01.2019 14:00 - 01.01.2019 15:00","143","0"
"01.01.2019 15:00 - 01.01.2019 16:00","207","0"
"01.01.2019 16:00 - 01.01.2019 17:00","179","0"
"01.01.2019 17:00 - 01.01.2019 18:00","0","51"
"01.01.2019 18:00 - 01.01.2019 19:00","147","0"
"01.01.2019 19:00 - 01.01.2019 20:00","0","75"
"01.01.2019 20:00 - 01.01.2019 21:00","26","0"
"01.01.2019 21:00 - 01.01.2019 22:00","287","0"
"01.01.2019 22:00 - 01.01.2019 23:00","185","0"
"01.01.2019 23:00 - 02.01.2019 00:00","214","0"
"02.01.2019 00:00 - 02.01.2019 01:00","457","0"
"02.01.2019 01:00 - 02.01.2019 02:00","681","0"
"02.01.2019 02:00 - 02.01.2019 03:00","844","0"
"02.01.2019 03:00 - 02.01.2019 04:00","1032","0"
"02.01.2019 04:00 - 02.01.2019 05:00","961","0"
"02.01.2019 05:00 - 02.01.2019 06:00","847","0"
"02.01.2019 06:00 - 02.01.2019 07:00","950","0"
"02.01.2019 07:00 - 02.01.2019 08:00","436","0"
"02.01.2019 08:00 - 02.01.2019 09:00","23","0"
"02.01.2019 09:00 - 02.01.2019 10:00","0","96"
"02.01.2019 10:00 - 02.01.2019 11:00","0","3"
"02.01.2019 11:00 - 02.01.2019 12:00","137","0"
