"Time (CET)","Germany (DE) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Germany (DE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","559","0"
"01.01.2019 01:00 - 01.01.2019 02:00","1194","0"
"01.01.2019 02:00 - 01.01.2019 03:00","1363","0"
"01.01.2019 03:00 - 01.01.2019 04:00","1443","0"
"01.01.2019 04:00 - 01.01.2019 05:00","1503","0"
"01.01.2019 05:00 - 01.01.2019 06:00","1532","0"
"01.01.2019 06:00 - 01.01.2019 07:00","1414","0"
"01.01.2019 07:00 - 01.01.2019 08:00","1400","0"
"01.01.2019 08:00 - 01.01.2019 09:00","1340","0"
"01.01.2019 09:00 - 01.01.2019 10:00","1196","0"
"01.01.2019 10:00 - 01.01.2019 11:00","1208","0"
"01.01.2019 11:00 - 01.01.2019 12:00","1418","0"
"01.01.2019 12:00 - 01.01.2019 13:00","1421","0"
"01.01.2019 13:00 - 01.01.2019 14:00","1281","0"
"01.01.2019 14:00 - 01.01.2019 15:00","1324","0"
"01.01.2019 15:00 - 01.01.2019 16:00","1450","0"
"01.01.2019 16:00 - 01.01.2019 17:00","1657","0"
"01.01.2019 17:00 - 01.01.2019 18:00","1493","0"
"01.01.2019 18:00 - 01.01.2019 19:00","1369","0"
"01.01.2019 19:00 - 01.01.2019 20:00","1126","0"
"01.01.2019 20:00 - 01.01.2019 21:00","1011","0"
"01.01.2019 21:00 - 01.01.2019 22:00","996","0"
"01.01.2019 22:00 - 01.01.2019 23:00","812","0"
"01.01.2019 23:00 - 02.01.2019 00:00","757","0"
"02.01.2019 00:00 - 02.01.2019 01:00","561","0"
"02.01.2019 01:00 - 02.01.2019 02:00","782","0"
"02.01.2019 02:00 - 02.01.2019 03:00","979","0"
"02.01.2019 03:00 - 02.01.2019 04:00","889","0"
"02.01.2019 04:00 - 02.01.2019 05:00","670","0"
"02.01.2019 05:00 - 02.01.2019 06:00","746","0"
"02.01.2019 06:00 - 02.01.2019 07:00","953","0"
"02.01.2019 07:00 - 02.01.2019 08:00","456","0"
"02.01.2019 08:00 - 02.01.2019 09:00","77","0"
"02.01.2019 09:00 - 02.01.2019 10:00","0","356"
"02.01.2019 10:00 - 02.01.2019 11:00","0","238"
"02.01.2019 11:00 - 02.01.2019 12:00","0","213"
"02.01.2019 12:00 - 02.01.2019 13:00","0","12"
"02.01.2019 13:00 - 02.01.2019 14:00","0","74"
"02.01.2019 14:00 - 02.01.2019 15:00","0","419"
"02.01.2019 15:00 - 02.01.2019 16:00","0","695"
"02.01.2019 16:00 - 02.01.2019 17:00","0","661"
"02.01.2019 17:00 - 02.01.2019 18:00","0","947"
"02.01.2019 18:00 - 02.01.2019 19:00","0","1284"
"02.01.2019 19:00 - 02.01.2019 20:00","0","1351"
"02.01.2019 20:00 - 02.01.2019 21:00","0","903"
"02.01.2019 21:00 - 02.01.2019 22:00","0","1037"
"02.01.2019 22:00 - 02.01.2019 23:00","0","1258"
"02.01.2019 23:00 - 03.01.2019 00:00","0","1522"
"03.01.2019 00:00 - 03.01.2019 01:00","0","1646"
"03.01.2019 01:00 - 03.01.2019 02:00","0","2037"
"03.01.2019 02:00 - 03.01.2019 03:00","0","2133"
"03.01.2019 03:00 - 03.01.2019 04:00","0","1983"
"03.01.2019 04:00 - 03.01.2019 05:00","0","1653"
"03.01.2019 05:00 - 03.01.2019 06:00","0","1490"
"03.01.2019 06:00 - 03.01.2019 07:00","0","775"
"03.01.2019 07:00 - 03.01.2019 08:00","0","917"
"03.01.2019 08:00 - 03.01.2019 09:00","0","760"
"03.01.2019 09:00 - 03.01.2019 10:00","0","516"
"03.01.2019 10:00 - 03.01.2019 11:00","0","500"
"03.01.2019 11:00 - 03.01.2019 12:00","0","528"
"03.01.2019 12:00 - 03.01.2019 13:00","0","256"
"03.01.2019 13:00 - 03.01.2019 14:00","0","329"
"03.01.2019 14:00 - 03.01.2019 15:00","0","385"
"03.01.2019 15:00 - 03.01.2019 16:00","0","510"
"03.01.2019 16:00 - 03.01.2019 17:00","0","382"
"03.01.2019 17:00 - 03.01.2019 18:00","0","702"
"03.01.2019 18:00 - 03.01.2019 19:00","0","941"
"03.01.2019 19:00 - 03.01.2019 20:00","0","996"
"03.01.2019 20:00 - 03.01.2019 21:00","0","958"
"03.01.2019 21:00 - 03.01.2019 22:00","0","993"
"03.01.2019 22:00 - 03.01.2019 23:00","0","1575"
"03.01.2019 23:00 - 04.01.2019 00:00","0","1691"
"04.01.2019 00:00 - 04.01.2019 01:00","0","1502"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1564"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1429"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1229"
"04.01.2019 04:00 - 04.01.2019 05:00","0","793"
