"Time (CET)","Poland (PL) > Czech Republic (CZ) [MW]","Czech Republic (CZ) > Poland (PL) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","658","0"
"01.01.2019 01:00 - 01.01.2019 02:00","523","0"
"01.01.2019 02:00 - 01.01.2019 03:00","557","0"
"01.01.2019 03:00 - 01.01.2019 04:00","561","0"
"01.01.2019 04:00 - 01.01.2019 05:00","422","0"
"01.01.2019 05:00 - 01.01.2019 06:00","460","0"
"01.01.2019 06:00 - 01.01.2019 07:00","450","0"
"01.01.2019 07:00 - 01.01.2019 08:00","441","0"
"01.01.2019 08:00 - 01.01.2019 09:00","382","0"
"01.01.2019 09:00 - 01.01.2019 10:00","484","0"
"01.01.2019 10:00 - 01.01.2019 11:00","600","0"
"01.01.2019 11:00 - 01.01.2019 12:00","671","0"
"01.01.2019 12:00 - 01.01.2019 13:00","726","0"
"01.01.2019 13:00 - 01.01.2019 14:00","575","0"
"01.01.2019 14:00 - 01.01.2019 15:00","650","0"
"01.01.2019 15:00 - 01.01.2019 16:00","543","0"
"01.01.2019 16:00 - 01.01.2019 17:00","587","0"
"01.01.2019 17:00 - 01.01.2019 18:00","572","0"
"01.01.2019 18:00 - 01.01.2019 19:00","543","0"
"01.01.2019 19:00 - 01.01.2019 20:00","562","0"
"01.01.2019 20:00 - 01.01.2019 21:00","561","0"
"01.01.2019 21:00 - 01.01.2019 22:00","537","0"
"01.01.2019 22:00 - 01.01.2019 23:00","685","0"
"01.01.2019 23:00 - 02.01.2019 00:00","646","0"
"02.01.2019 00:00 - 02.01.2019 01:00","623","0"
"02.01.2019 01:00 - 02.01.2019 02:00","568","0"
"02.01.2019 02:00 - 02.01.2019 03:00","613","0"
"02.01.2019 03:00 - 02.01.2019 04:00","576","0"
"02.01.2019 04:00 - 02.01.2019 05:00","582","0"
"02.01.2019 05:00 - 02.01.2019 06:00","710","0"
"02.01.2019 06:00 - 02.01.2019 07:00","587","0"
"02.01.2019 07:00 - 02.01.2019 08:00","581","0"
"02.01.2019 08:00 - 02.01.2019 09:00","375","0"
"02.01.2019 09:00 - 02.01.2019 10:00","407","0"
"02.01.2019 10:00 - 02.01.2019 11:00","194","0"
"02.01.2019 11:00 - 02.01.2019 12:00","254","0"
"02.01.2019 12:00 - 02.01.2019 13:00","345","0"
"02.01.2019 13:00 - 02.01.2019 14:00","319","0"
"02.01.2019 14:00 - 02.01.2019 15:00","601","0"
"02.01.2019 15:00 - 02.01.2019 16:00","888","0"
"02.01.2019 16:00 - 02.01.2019 17:00","884","0"
"02.01.2019 17:00 - 02.01.2019 18:00","806","0"
"02.01.2019 18:00 - 02.01.2019 19:00","759","0"
"02.01.2019 19:00 - 02.01.2019 20:00","710","0"
"02.01.2019 20:00 - 02.01.2019 21:00","949","0"
"02.01.2019 21:00 - 02.01.2019 22:00","1042","0"
"02.01.2019 22:00 - 02.01.2019 23:00","1130","0"
"02.01.2019 23:00 - 03.01.2019 00:00","876","0"
"03.01.2019 00:00 - 03.01.2019 01:00","866","0"
"03.01.2019 01:00 - 03.01.2019 02:00","748","0"
"03.01.2019 02:00 - 03.01.2019 03:00","783","0"
"03.01.2019 03:00 - 03.01.2019 04:00","818","0"
"03.01.2019 04:00 - 03.01.2019 05:00","958","0"
"03.01.2019 05:00 - 03.01.2019 06:00","1008","0"
"03.01.2019 06:00 - 03.01.2019 07:00","1087","0"
"03.01.2019 07:00 - 03.01.2019 08:00","857","0"
"03.01.2019 08:00 - 03.01.2019 09:00","630","0"
"03.01.2019 09:00 - 03.01.2019 10:00","535","0"
