"Time (CET)","Denmark (DK) > Germany (DE) [MW]","Germany (DE) > Denmark (DK) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","719"
"01.01.2019 01:00 - 01.01.2019 02:00","0","558"
"01.01.2019 02:00 - 01.01.2019 03:00","0","1443"
"01.01.2019 03:00 - 01.01.2019 04:00","0","1434"
"01.01.2019 04:00 - 01.01.2019 05:00","0","1533"
"01.01.2019 05:00 - 01.01.2019 06:00","0","1728"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1685"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1738"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1796"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1756"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1752"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1558"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1636"
"01.01.2019 13:00 - 01.01.2019 14:00","0","1877"
"01.01.2019 14:00 - 01.01.2019 15:00","0","1832"
"01.01.2019 15:00 - 01.01.2019 16:00","0","1845"
"01.01.2019 16:00 - 01.01.2019 17:00","0","1987"
"01.01.2019 17:00 - 01.01.2019 18:00","0","1894"
"01.01.2019 18:00 - 01.01.2019 19:00","0","1829"
"01.01.2019 19:00 - 01.01.2019 20:00","0","1851"
"01.01.2019 20:00 - 01.01.2019 21:00","0","1702"
"01.01.2019 21:00 - 01.01.2019 22:00","0","2044"
"01.01.2019 22:00 - 01.01.2019 23:00","0","1782"
"01.01.2019 23:00 - 02.01.2019 00:00","0","1855"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1685"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1802"
"02.01.2019 02:00 - 02.01.2019 03:00","0","1806"
"02.01.2019 03:00 - 02.01.2019 04:00","0","2087"
"02.01.2019 04:00 - 02.01.2019 05:00","0","2084"
"02.01.2019 05:00 - 02.01.2019 06:00","0","1942"
"02.01.2019 06:00 - 02.01.2019 07:00","0","1725"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1907"
"02.01.2019 08:00 - 02.01.2019 09:00","0","2073"
"02.01.2019 09:00 - 02.01.2019 10:00","0","2089"
"02.01.2019 10:00 - 02.01.2019 11:00","0","1999"
"02.01.2019 11:00 - 02.01.2019 12:00","0","2076"
"02.01.2019 12:00 - 02.01.2019 13:00","0","2075"
"02.01.2019 13:00 - 02.01.2019 14:00","0","2112"
"02.01.2019 14:00 - 02.01.2019 15:00","0","1718"
"02.01.2019 15:00 - 02.01.2019 16:00","0","977"
"02.01.2019 16:00 - 02.01.2019 17:00","0","1005"
"02.01.2019 17:00 - 02.01.2019 18:00","185","0"
"02.01.2019 18:00 - 02.01.2019 19:00","280","0"
"02.01.2019 19:00 - 02.01.2019 20:00","148","0"
"02.01.2019 20:00 - 02.01.2019 21:00","474","0"
"02.01.2019 21:00 - 02.01.2019 22:00","859","0"
"02.01.2019 22:00 - 02.01.2019 23:00","507","0"
"02.01.2019 23:00 - 03.01.2019 00:00","0","889"
"03.01.2019 00:00 - 03.01.2019 01:00","0","1413"
"03.01.2019 01:00 - 03.01.2019 02:00","0","1642"
"03.01.2019 02:00 - 03.01.2019 03:00","0","1844"
"03.01.2019 03:00 - 03.01.2019 04:00","0","2082"
"03.01.2019 04:00 - 03.01.2019 05:00","0","2051"
"03.01.2019 05:00 - 03.01.2019 06:00","0","1739"
"03.01.2019 06:00 - 03.01.2019 07:00","0","1579"
"03.01.2019 07:00 - 03.01.2019 08:00","0","841"
"03.01.2019 08:00 - 03.01.2019 09:00","583","0"
"03.01.2019 09:00 - 03.01.2019 10:00","812","0"
"03.01.2019 10:00 - 03.01.2019 11:00","504","0"
"03.01.2019 11:00 - 03.01.2019 12:00","1852","0"
"03.01.2019 12:00 - 03.01.2019 13:00","1926","0"
"03.01.2019 13:00 - 03.01.2019 14:00","1912","0"
"03.01.2019 14:00 - 03.01.2019 15:00","1915","0"
"03.01.2019 15:00 - 03.01.2019 16:00","1898","0"
"03.01.2019 16:00 - 03.01.2019 17:00","1767","0"
"03.01.2019 17:00 - 03.01.2019 18:00","1719","0"
"03.01.2019 18:00 - 03.01.2019 19:00","1853","0"
"03.01.2019 19:00 - 03.01.2019 20:00","1834","0"
"03.01.2019 20:00 - 03.01.2019 21:00","1858","0"
"03.01.2019 21:00 - 03.01.2019 22:00","1887","0"
"03.01.2019 22:00 - 03.01.2019 23:00","1862","0"
"03.01.2019 23:00 - 04.01.2019 00:00","1893","0"
"04.01.2019 00:00 - 04.01.2019 01:00","1597","0"
"04.01.2019 01:00 - 04.01.2019 02:00","87","0"
"04.01.2019 02:00 - 04.01.2019 03:00","150","0"
"04.01.2019 03:00 - 04.01.2019 04:00","15","0"
"04.01.2019 04:00 - 04.01.2019 05:00","0","366"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1284"
"04.01.2019 06:00 - 04.01.2019 07:00","0","463"
"04.01.2019 07:00 - 04.01.2019 08:00","0","23"
