"Time (CET)","Portugal (PT) > Spain (ES) [MW]","Spain (ES) > Portugal (PT) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","15","0"
"01.01.2019 01:00 - 01.01.2019 02:00","0","738"
"01.01.2019 02:00 - 01.01.2019 03:00","0","947"
"01.01.2019 03:00 - 01.01.2019 04:00","0","1381"
"01.01.2019 04:00 - 01.01.2019 05:00","0","1984"
"01.01.2019 05:00 - 01.01.2019 06:00","0","1993"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1975"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1604"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1665"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1665"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1392"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1324"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1837"
"01.01.2019 13:00 - 01.01.2019 14:00","0","1154"
"01.01.2019 14:00 - 01.01.2019 15:00","0","1075"
"01.01.2019 15:00 - 01.01.2019 16:00","0","1329"
"01.01.2019 16:00 - 01.01.2019 17:00","0","1342"
"01.01.2019 17:00 - 01.01.2019 18:00","0","770"
"01.01.2019 18:00 - 01.01.2019 19:00","0","77"
"01.01.2019 19:00 - 01.01.2019 20:00","223","0"
"01.01.2019 20:00 - 01.01.2019 21:00","517","0"
"01.01.2019 21:00 - 01.01.2019 22:00","897","0"
"01.01.2019 22:00 - 01.01.2019 23:00","138","0"
"01.01.2019 23:00 - 02.01.2019 00:00","0","1370"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1802"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1995"
"02.01.2019 02:00 - 02.01.2019 03:00","0","2006"
"02.01.2019 03:00 - 02.01.2019 04:00","0","2021"
"02.01.2019 04:00 - 02.01.2019 05:00","0","2003"
"02.01.2019 05:00 - 02.01.2019 06:00","0","2025"
"02.01.2019 06:00 - 02.01.2019 07:00","0","2020"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1346"
"02.01.2019 08:00 - 02.01.2019 09:00","0","193"
"02.01.2019 09:00 - 02.01.2019 10:00","0","94"
"02.01.2019 10:00 - 02.01.2019 11:00","0","338"
"02.01.2019 11:00 - 02.01.2019 12:00","0","1016"
"02.01.2019 12:00 - 02.01.2019 13:00","0","1458"
"02.01.2019 13:00 - 02.01.2019 14:00","0","1572"
"02.01.2019 14:00 - 02.01.2019 15:00","0","1648"
"02.01.2019 15:00 - 02.01.2019 16:00","0","1805"
"02.01.2019 16:00 - 02.01.2019 17:00","0","1454"
"02.01.2019 17:00 - 02.01.2019 18:00","249","0"
"02.01.2019 18:00 - 02.01.2019 19:00","892","0"
"02.01.2019 19:00 - 02.01.2019 20:00","684","0"
"02.01.2019 20:00 - 02.01.2019 21:00","593","0"
"02.01.2019 21:00 - 02.01.2019 22:00","822","0"
"02.01.2019 22:00 - 02.01.2019 23:00","571","0"
"02.01.2019 23:00 - 03.01.2019 00:00","338","0"
"03.01.2019 00:00 - 03.01.2019 01:00","419","0"
"03.01.2019 01:00 - 03.01.2019 02:00","0","45"
"03.01.2019 02:00 - 03.01.2019 03:00","0","577"
"03.01.2019 03:00 - 03.01.2019 04:00","0","604"
"03.01.2019 04:00 - 03.01.2019 05:00","0","590"
"03.01.2019 05:00 - 03.01.2019 06:00","0","140"
"03.01.2019 06:00 - 03.01.2019 07:00","738","0"
"03.01.2019 07:00 - 03.01.2019 08:00","2331","0"
"03.01.2019 08:00 - 03.01.2019 09:00","3018","0"
"03.01.2019 09:00 - 03.01.2019 10:00","3385","0"
"03.01.2019 10:00 - 03.01.2019 11:00","3317","0"
"03.01.2019 11:00 - 03.01.2019 12:00","2577","0"
"03.01.2019 12:00 - 03.01.2019 13:00","1722","0"
"03.01.2019 13:00 - 03.01.2019 14:00","1286","0"
"03.01.2019 14:00 - 03.01.2019 15:00","1109","0"
"03.01.2019 15:00 - 03.01.2019 16:00","500","0"
"03.01.2019 16:00 - 03.01.2019 17:00","1408","0"
"03.01.2019 17:00 - 03.01.2019 18:00","2366","0"
"03.01.2019 18:00 - 03.01.2019 19:00","2858","0"
"03.01.2019 19:00 - 03.01.2019 20:00","2820","0"
"03.01.2019 20:00 - 03.01.2019 21:00","1846","0"
"03.01.2019 21:00 - 03.01.2019 22:00","2127","0"
"03.01.2019 22:00 - 03.01.2019 23:00","1817","0"
"03.01.2019 23:00 - 04.01.2019 00:00","845","0"
"04.01.2019 00:00 - 04.01.2019 01:00","789","0"
"04.01.2019 01:00 - 04.01.2019 02:00","333","0"
"04.01.2019 02:00 - 04.01.2019 03:00","11","0"
"04.01.2019 03:00 - 04.01.2019 04:00","0","227"
"04.01.2019 04:00 - 04.01.2019 05:00","69","0"
"04.01.2019 05:00 - 04.01.2019 06:00","50","0"
"04.01.2019 06:00 - 04.01.2019 07:00","0","30"
"04.01.2019 07:00 - 04.01.2019 08:00","607","0"
"04.01.2019 08:00 - 04.01.2019 09:00","1181","0"
"04.01.2019 09:00 - 04.01.2019 10:00","2087","0"
"04.01.2019 10:00 - 04.01.2019 11:00","1797","0"
"04.01.2019 11:00 - 04.01.2019 12:00","1368","0"
"04.01.2019 12:00 - 04.01.2019 13:00","1173","0"
"04.01.2019 13:00 - 04.01.2019 14:00","649","0"
"04.01.2019 14:00 - 04.01.2019 15:00","247","0"
"04.01.2019 15:00 - 04.01.2019 16:00","122","0"
"04.01.2019 16:00 - 04.01.2019 17:00","45","0"
"04.01.2019 17:00 - 04.01.2019 18:00","879","0"
"04.01.2019 18:00 - 04.01.2019 19:00","1497","0"
"04.01.2019 19:00 - 04.01.2019 20:00","1763","0"
"04.01.2019 20:00 - 04.01.2019 21:00","1140","0"
"04.01.2019 21:00 - 04.01.2019 22:00","659","0"
"04.01.2019 22:00 - 04.01.2019 23:00","1187","0"
"04.01.2019 23:00 - 05.01.2019 00:00","820","0"
"05.01.2019 00:00 - 05.01.2019 01:00","880","0"
"05.01.2019 01:00 - 05.01.2019 02:00","109","0"
"05.01.2019 02:00 - 05.01.2019 03:00","0","6"
"05.01.2019 03:00 - 05.01.2019 04:00","0","131"
"05.01.2019 04:00 - 05.01.2019 05:00","0","245"
"05.01.2019 05:00 - 05.01.2019 06:00","0","279"
"05.01.2019 06:00 - 05.01.2019 07:00","0","266"
"05.01.2019 07:00 - 05.01.2019 08:00","52","0"
"05.01.2019 08:00 - 05.01.2019 09:00","399","0"
"05.01.2019 09:00 - 05.01.2019 10:00","1266","0"
"05.01.2019 10:00 - 05.01.2019 11:00","1610","0"
"05.01.2019 11:00 - 05.01.2019 12:00","1402","0"
"05.01.2019 12:00 - 05.01.2019 13:00","692","0"
"05.01.2019 13:00 - 05.01.2019 14:00","0","337"
"05.01.2019 14:00 - 05.01.2019 15:00","0","410"
"05.01.2019 15:00 - 05.01.2019 16:00","0","669"
"05.01.2019 16:00 - 05.01.2019 17:00","0","615"
"05.01.2019 17:00 - 05.01.2019 18:00","1016","0"
"05.01.2019 18:00 - 05.01.2019 19:00","961","0"
"05.01.2019 19:00 - 05.01.2019 20:00","629","0"
"05.01.2019 20:00 - 05.01.2019 21:00","164","0"
"05.01.2019 21:00 - 05.01.2019 22:00","0","769"
"05.01.2019 22:00 - 05.01.2019 23:00","0","445"
"05.01.2019 23:00 - 06.01.2019 00:00","0","809"
"06.01.2019 00:00 - 06.01.2019 01:00","0","1631"
"06.01.2019 01:00 - 06.01.2019 02:00","0","2388"
"06.01.2019 02:00 - 06.01.2019 03:00","0","2412"
"06.01.2019 03:00 - 06.01.2019 04:00","0","2409"
"06.01.2019 04:00 - 06.01.2019 05:00","0","2423"
"06.01.2019 05:00 - 06.01.2019 06:00","0","2415"
"06.01.2019 06:00 - 06.01.2019 07:00","0","2412"
"06.01.2019 07:00 - 06.01.2019 08:00","0","2409"
"06.01.2019 08:00 - 06.01.2019 09:00","0","2303"
"06.01.2019 09:00 - 06.01.2019 10:00","0","1951"
"06.01.2019 10:00 - 06.01.2019 11:00","0","1139"
"06.01.2019 11:00 - 06.01.2019 12:00","0","1272"
"06.01.2019 12:00 - 06.01.2019 13:00","0","1399"
"06.01.2019 13:00 - 06.01.2019 14:00","0","1504"
"06.01.2019 14:00 - 06.01.2019 15:00","0","1662"
"06.01.2019 15:00 - 06.01.2019 16:00","0","1978"
"06.01.2019 16:00 - 06.01.2019 17:00","0","2065"
"06.01.2019 17:00 - 06.01.2019 18:00","0","1201"
"06.01.2019 18:00 - 06.01.2019 19:00","0","641"
"06.01.2019 19:00 - 06.01.2019 20:00","0","911"
"06.01.2019 20:00 - 06.01.2019 21:00","0","1047"
"06.01.2019 21:00 - 06.01.2019 22:00","0","775"
"06.01.2019 22:00 - 06.01.2019 23:00","0","722"
"06.01.2019 23:00 - 07.01.2019 00:00","0","963"
"07.01.2019 00:00 - 07.01.2019 01:00","0","1604"
"07.01.2019 01:00 - 07.01.2019 02:00","0","2053"
"07.01.2019 02:00 - 07.01.2019 03:00","0","2104"
"07.01.2019 03:00 - 07.01.2019 04:00","0","2309"
"07.01.2019 04:00 - 07.01.2019 05:00","0","2178"
"07.01.2019 05:00 - 07.01.2019 06:00","0","2035"
