"Time (CET)","Sweden (SE) > Finland (FI) [MW]","Finland (FI) > Sweden (SE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","1131","0"
"01.01.2019 01:00 - 01.01.2019 02:00","1166","0"
"01.01.2019 02:00 - 01.01.2019 03:00","1201","0"
"01.01.2019 03:00 - 01.01.2019 04:00","1294","0"
"01.01.2019 04:00 - 01.01.2019 05:00","1539","0"
"01.01.2019 05:00 - 01.01.2019 06:00","1696","0"
"01.01.2019 06:00 - 01.01.2019 07:00","1814","0"
"01.01.2019 07:00 - 01.01.2019 08:00","1894","0"
"01.01.2019 08:00 - 01.01.2019 09:00","1418","0"
"01.01.2019 09:00 - 01.01.2019 10:00","1543","0"
"01.01.2019 10:00 - 01.01.2019 11:00","1656","0"
"01.01.2019 11:00 - 01.01.2019 12:00","1718","0"
"01.01.2019 12:00 - 01.01.2019 13:00","1581","0"
"01.01.2019 13:00 - 01.01.2019 14:00","1495","0"
"01.01.2019 14:00 - 01.01.2019 15:00","1641","0"
"01.01.2019 15:00 - 01.01.2019 16:00","1753","0"
"01.01.2019 16:00 - 01.01.2019 17:00","1586","0"
"01.01.2019 17:00 - 01.01.2019 18:00","1465","0"
"01.01.2019 18:00 - 01.01.2019 19:00","1392","0"
"01.01.2019 19:00 - 01.01.2019 20:00","1269","0"
"01.01.2019 20:00 - 01.01.2019 21:00","1026","0"
"01.01.2019 21:00 - 01.01.2019 22:00","1273","0"
"01.01.2019 22:00 - 01.01.2019 23:00","1212","0"
"01.01.2019 23:00 - 02.01.2019 00:00","1389","0"
"02.01.2019 00:00 - 02.01.2019 01:00","1636","0"
"02.01.2019 01:00 - 02.01.2019 02:00","1575","0"
"02.01.2019 02:00 - 02.01.2019 03:00","1495","0"
"02.01.2019 03:00 - 02.01.2019 04:00","1559","0"
"02.01.2019 04:00 - 02.01.2019 05:00","1760","0"
"02.01.2019 05:00 - 02.01.2019 06:00","1702","0"
"02.01.2019 06:00 - 02.01.2019 07:00","1457","0"
"02.01.2019 07:00 - 02.01.2019 08:00","1401","0"
"02.01.2019 08:00 - 02.01.2019 09:00","1434","0"
"02.01.2019 09:00 - 02.01.2019 10:00","1602","0"
"02.01.2019 10:00 - 02.01.2019 11:00","1559","0"
"02.01.2019 11:00 - 02.01.2019 12:00","1701","0"
"02.01.2019 12:00 - 02.01.2019 13:00","1730","0"
"02.01.2019 13:00 - 02.01.2019 14:00","1686","0"
"02.01.2019 14:00 - 02.01.2019 15:00","1757","0"
"02.01.2019 15:00 - 02.01.2019 16:00","2102","0"
"02.01.2019 16:00 - 02.01.2019 17:00","1881","0"
"02.01.2019 17:00 - 02.01.2019 18:00","1363","0"
"02.01.2019 18:00 - 02.01.2019 19:00","1471","0"
"02.01.2019 19:00 - 02.01.2019 20:00","1334","0"
"02.01.2019 20:00 - 02.01.2019 21:00","1161","0"
"02.01.2019 21:00 - 02.01.2019 22:00","1036","0"
"02.01.2019 22:00 - 02.01.2019 23:00","914","0"
"02.01.2019 23:00 - 03.01.2019 00:00","709","0"
"03.01.2019 00:00 - 03.01.2019 01:00","545","0"
"03.01.2019 01:00 - 03.01.2019 02:00","525","0"
"03.01.2019 02:00 - 03.01.2019 03:00","572","0"
"03.01.2019 03:00 - 03.01.2019 04:00","782","0"
"03.01.2019 04:00 - 03.01.2019 05:00","1244","0"
"03.01.2019 05:00 - 03.01.2019 06:00","1947","0"
"03.01.2019 06:00 - 03.01.2019 07:00","2398","0"
"03.01.2019 07:00 - 03.01.2019 08:00","2522","0"
"03.01.2019 08:00 - 03.01.2019 09:00","2409","0"
"03.01.2019 09:00 - 03.01.2019 10:00","2571","0"
"03.01.2019 10:00 - 03.01.2019 11:00","2539","0"
"03.01.2019 11:00 - 03.01.2019 12:00","2282","0"
"03.01.2019 12:00 - 03.01.2019 13:00","2018","0"
"03.01.2019 13:00 - 03.01.2019 14:00","1592","0"
"03.01.2019 14:00 - 03.01.2019 15:00","1582","0"
"03.01.2019 15:00 - 03.01.2019 16:00","1741","0"
"03.01.2019 16:00 - 03.01.2019 17:00","1516","0"
"03.01.2019 17:00 - 03.01.2019 18:00","1461","0"
"03.01.2019 18:00 - 03.01.2019 19:00","1768","0"
"03.01.2019 19:00 - 03.01.2019 20:00","2257","0"
"03.01.2019 20:00 - 03.01.2019 21:00","2131","0"
"03.01.2019 21:00 - 03.01.2019 22:00","2192","0"
"03.01.2019 22:00 - 03.01.2019 23:00","2045","0"
"03.01.2019 23:00 - 04.01.2019 00:00","1781","0"
"04.01.2019 00:00 - 04.01.2019 01:00","1566","0"
"04.01.2019 01:00 - 04.01.2019 02:00","1642","0"
"04.01.2019 02:00 - 04.01.2019 03:00","1592","0"
"04.01.2019 03:00 - 04.01.2019 04:00","1729","0"
"04.01.2019 04:00 - 04.01.2019 05:00","2173","0"
"04.01.2019 05:00 - 04.01.2019 06:00","2428","0"
"04.01.2019 06:00 - 04.01.2019 07:00","2481","0"
"04.01.2019 07:00 - 04.01.2019 08:00","2567","0"
"04.01.2019 08:00 - 04.01.2019 09:00","2664","0"
"04.01.2019 09:00 - 04.01.2019 10:00","2706","0"
"04.01.2019 10:00 - 04.01.2019 11:00","2733","0"
"04.01.2019 11:00 - 04.01.2019 12:00","2710","0"
"04.01.2019 12:00 - 04.01.2019 13:00","2597","0"
"04.01.2019 13:00 - 04.01.2019 14:00","2561","0"
"04.01.2019 14:00 - 04.01.2019 15:00","2577","0"
"04.01.2019 15:00 - 04.01.2019 16:00","2612","0"
"04.01.2019 16:00 - 04.01.2019 17:00","2551","0"
"04.01.2019 17:00 - 04.01.2019 18:00","2637","0"
"04.01.2019 18:00 - 04.01.2019 19:00","2576","0"
"04.01.2019 19:00 - 04.01.2019 20:00","2592","0"
"04.01.2019 20:00 - 04.01.2019 21:00","2553","0"
"04.01.2019 21:00 - 04.01.2019 22:00","2551","0"
"04.01.2019 22:00 - 04.01.2019 23:00","2480","0"
"04.01.2019 23:00 - 05.01.2019 00:00","2193","0"
"05.01.2019 00:00 - 05.01.2019 01:00","1964","0"
"05.01.2019 01:00 - 05.01.2019 02:00","1832","0"
"05.01.2019 02:00 - 05.01.2019 03:00","1519","0"
"05.01.2019 03:00 - 05.01.2019 04:00","1524","0"
"05.01.2019 04:00 - 05.01.2019 05:00","1566","0"
"05.01.2019 05:00 - 05.01.2019 06:00","1788","0"
"05.01.2019 06:00 - 05.01.2019 07:00","2186","0"
"05.01.2019 07:00 - 05.01.2019 08:00","2572","0"
"05.01.2019 08:00 - 05.01.2019 09:00","2344","0"
"05.01.2019 09:00 - 05.01.2019 10:00","2533","0"
"05.01.2019 10:00 - 05.01.2019 11:00","2576","0"
"05.01.2019 11:00 - 05.01.2019 12:00","2561","0"
"05.01.2019 12:00 - 05.01.2019 13:00","2405","0"
"05.01.2019 13:00 - 05.01.2019 14:00","2533","0"
"05.01.2019 14:00 - 05.01.2019 15:00","2446","0"
"05.01.2019 15:00 - 05.01.2019 16:00","2580","0"
"05.01.2019 16:00 - 05.01.2019 17:00","2626","0"
"05.01.2019 17:00 - 05.01.2019 18:00","2492","0"
"05.01.2019 18:00 - 05.01.2019 19:00","2513","0"
"05.01.2019 19:00 - 05.01.2019 20:00","2547","0"
"05.01.2019 20:00 - 05.01.2019 21:00","2319","0"
"05.01.2019 21:00 - 05.01.2019 22:00","2301","0"
"05.01.2019 22:00 - 05.01.2019 23:00","2298","0"
"05.01.2019 23:00 - 06.01.2019 00:00","1827","0"
"06.01.2019 00:00 - 06.01.2019 01:00","1430","0"
"06.01.2019 01:00 - 06.01.2019 02:00","1189","0"
"06.01.2019 02:00 - 06.01.2019 03:00","1172","0"
"06.01.2019 03:00 - 06.01.2019 04:00","1254","0"
"06.01.2019 04:00 - 06.01.2019 05:00","1313","0"
