"Time (CET)","Switzerland (CH) > France (FR) [MW]","France (FR) > Switzerland (CH) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","553","0"
"01.01.2019 01:00 - 01.01.2019 02:00","233","0"
"01.01.2019 02:00 - 01.01.2019 03:00","280","0"
"01.01.2019 03:00 - 01.01.2019 04:00","0","115"
"01.01.2019 04:00 - 01.01.2019 05:00","56","0"
"01.01.2019 05:00 - 01.01.2019 06:00","15","0"
"01.01.2019 06:00 - 01.01.2019 07:00","0","71"
"01.01.2019 07:00 - 01.01.2019 08:00","0","11"
"01.01.2019 08:00 - 01.01.2019 09:00","0","57"
"01.01.2019 09:00 - 01.01.2019 10:00","0","461"
"01.01.2019 10:00 - 01.01.2019 11:00","0","164"
"01.01.2019 11:00 - 01.01.2019 12:00","0","48"
"01.01.2019 12:00 - 01.01.2019 13:00","60","0"
"01.01.2019 13:00 - 01.01.2019 14:00","276","0"
"01.01.2019 14:00 - 01.01.2019 15:00","0","143"
"01.01.2019 15:00 - 01.01.2019 16:00","0","207"
"01.01.2019 16:00 - 01.01.2019 17:00","0","179"
"01.01.2019 17:00 - 01.01.2019 18:00","51","0"
"01.01.2019 18:00 - 01.01.2019 19:00","0","147"
"01.01.2019 19:00 - 01.01.2019 20:00","75","0"
"01.01.2019 20:00 - 01.01.2019 21:00","0","26"
"01.01.2019 21:00 - 01.01.2019 22:00","0","287"
"01.01.2019 22:00 - 01.01.2019 23:00","0","185"
"01.01.2019 23:00 - 02.01.2019 00:00","0","214"
"02.01.2019 00:00 - 02.01.2019 01:00","0","457"
"02.01.2019 01:00 - 02.01.2019 02:00","0","681"
"02.01.2019 02:00 - 02.01.2019 03:00","0","844"
"02.01.2019 03:00 - 02.01.2019 04:00","0","1032"
"02.01.2019 04:00 - 02.01.2019 05:00","0","961"
"02.01.2019 05:00 - 02.01.2019 06:00","0","847"
"02.01.2019 06:00 - 02.01.2019 07:00","0","950"
"02.01.2019 07:00 - 02.01.2019 08:00","0","436"
"02.01.2019 08:00 - 02.01.2019 09:00","0","23"
"02.01.2019 09:00 - 02.01.2019 10:00","96","0"
"02.01.2019 10:00 - 02.01.2019 11:00","3","0"
"02.01.2019 11:00 - 02.01.2019 12:00","0","137"
"02.01.2019 12:00 - 02.01.2019 13:00","0","50"
"02.01.2019 13:00 - 02.01.2019 14:00","0","67"
"02.01.2019 14:00 - 02.01.2019 15:00","0","228"
"02.01.2019 15:00 - 02.01.2019 16:00","0","415"
"02.01.2019 16:00 - 02.01.2019 17:00","0","452"
"02.01.2019 17:00 - 02.01.2019 18:00","0","93"
"02.01.2019 18:00 - 02.01.2019 19:00","608","0"
"02.01.2019 19:00 - 02.01.2019 20:00","879","0"
"02.01.2019 20:00 - 02.01.2019 21:00","438","0"
"02.01.2019 21:00 - 02.01.2019 22:00","0","100"
"02.01.2019 22:00 - 02.01.2019 23:00","166","0"
"02.01.2019 23:00 - 03.01.2019 00:00","403","0"
"03.01.2019 00:00 - 03.01.2019 01:00","489","0"
"03.01.2019 01:00 - 03.01.2019 02:00","600","0"
"03.01.2019 02:00 - 03.01.2019 03:00","624","0"
"03.01.2019 03:00 - 03.01.2019 04:00","265","0"
"03.01.2019 04:00 - 03.01.2019 05:00","348","0"
"03.01.2019 05:00 - 03.01.2019 06:00","390","0"
"03.01.2019 06:00 - 03.01.2019 07:00","273","0"
"03.01.2019 07:00 - 03.01.2019 08:00","639","0"
"03.01.2019 08:00 - 03.01.2019 09:00","1059","0"
"03.01.2019 09:00 - 03.01.2019 10:00","1042","0"
