"Time (CET)","Slovenia (SI) > Croatia (HR) [MW]","Croatia (HR) > Slovenia (SI) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","88","0"
"01.01.2019 01:00 - 01.01.2019 02:00","282","0"
"01.01.2019 02:00 - 01.01.2019 03:00","278","0"
"01.01.2019 03:00 - 01.01.2019 04:00","233","0"
"01.01.2019 04:00 - 01.01.2019 05:00","163","0"
"01.01.2019 05:00 - 01.01.2019 06:00","81","0"
"01.01.2019 06:00 - 01.01.2019 07:00","0","130"
"01.01.2019 07:00 - 01.01.2019 08:00","0","185"
"01.01.2019 08:00 - 01.01.2019 09:00","0","202"
"01.01.2019 09:00 - 01.01.2019 10:00","0","33"
"01.01.2019 10:00 - 01.01.2019 11:00","80","0"
"01.01.2019 11:00 - 01.01.2019 12:00","196","0"
"01.01.2019 12:00 - 01.01.2019 13:00","201","0"
"01.01.2019 13:00 - 01.01.2019 14:00","31","0"
"01.01.2019 14:00 - 01.01.2019 15:00","0","78"
"01.01.2019 15:00 - 01.01.2019 16:00","59","0"
"01.01.2019 16:00 - 01.01.2019 17:00","295","0"
"01.01.2019 17:00 - 01.01.2019 18:00","303","0"
"01.01.2019 18:00 - 01.01.2019 19:00","300","0"
"01.01.2019 19:00 - 01.01.2019 20:00","212","0"
"01.01.2019 20:00 - 01.01.2019 21:00","264","0"
"01.01.2019 21:00 - 01.01.2019 22:00","177","0"
"01.01.2019 22:00 - 01.01.2019 23:00","140","0"
"01.01.2019 23:00 - 02.01.2019 00:00","52","0"
"02.01.2019 00:00 - 02.01.2019 01:00","0","32"
"02.01.2019 01:00 - 02.01.2019 02:00","0","13"
"02.01.2019 02:00 - 02.01.2019 03:00","6","0"
"02.01.2019 03:00 - 02.01.2019 04:00","0","128"
"02.01.2019 04:00 - 02.01.2019 05:00","0","182"
"02.01.2019 05:00 - 02.01.2019 06:00","0","161"
"02.01.2019 06:00 - 02.01.2019 07:00","0","207"
"02.01.2019 07:00 - 02.01.2019 08:00","0","215"
"02.01.2019 08:00 - 02.01.2019 09:00","0","175"
"02.01.2019 09:00 - 02.01.2019 10:00","0","142"
"02.01.2019 10:00 - 02.01.2019 11:00","0","82"
"02.01.2019 11:00 - 02.01.2019 12:00","0","89"
"02.01.2019 12:00 - 02.01.2019 13:00","24","0"
"02.01.2019 13:00 - 02.01.2019 14:00","2","0"
"02.01.2019 14:00 - 02.01.2019 15:00","0","100"
"02.01.2019 15:00 - 02.01.2019 16:00","0","221"
"02.01.2019 16:00 - 02.01.2019 17:00","0","247"
"02.01.2019 17:00 - 02.01.2019 18:00","0","175"
"02.01.2019 18:00 - 02.01.2019 19:00","0","167"
"02.01.2019 19:00 - 02.01.2019 20:00","0","158"
"02.01.2019 20:00 - 02.01.2019 21:00","29","0"
"02.01.2019 21:00 - 02.01.2019 22:00","129","0"
"02.01.2019 22:00 - 02.01.2019 23:00","193","0"
"02.01.2019 23:00 - 03.01.2019 00:00","0","84"
"03.01.2019 00:00 - 03.01.2019 01:00","0","255"
"03.01.2019 01:00 - 03.01.2019 02:00","0","508"
"03.01.2019 02:00 - 03.01.2019 03:00","0","628"
"03.01.2019 03:00 - 03.01.2019 04:00","0","590"
"03.01.2019 04:00 - 03.01.2019 05:00","0","530"
"03.01.2019 05:00 - 03.01.2019 06:00","0","395"
"03.01.2019 06:00 - 03.01.2019 07:00","0","307"
"03.01.2019 07:00 - 03.01.2019 08:00","0","244"
"03.01.2019 08:00 - 03.01.2019 09:00","0","337"
"03.01.2019 09:00 - 03.01.2019 10:00","0","140"
"03.01.2019 10:00 - 03.01.2019 11:00","0","34"
"03.01.2019 11:00 - 03.01.2019 12:00","42","0"
"03.01.2019 12:00 - 03.01.2019 13:00","232","0"
"03.01.2019 13:00 - 03.01.2019 14:00","252","0"
"03.01.2019 14:00 - 03.01.2019 15:00","41","0"
"03.01.2019 15:00 - 03.01.2019 16:00","0","12"
"03.01.2019 16:00 - 03.01.2019 17:00","15","0"
"03.01.2019 17:00 - 03.01.2019 18:00","24","0"
"03.01.2019 18:00 - 03.01.2019 19:00","0","215"
"03.01.2019 19:00 - 03.01.2019 20:00","0","386"
"03.01.2019 20:00 - 03.01.2019 21:00","0","345"
"03.01.2019 21:00 - 03.01.2019 22:00","0","257"
"03.01.2019 22:00 - 03.01.2019 23:00","0","377"
"03.01.2019 23:00 - 04.01.2019 00:00","0","373"
"04.01.2019 00:00 - 04.01.2019 01:00","0","351"
"04.01.2019 01:00 - 04.01.2019 02:00","0","502"
"04.01.2019 02:00 - 04.01.2019 03:00","0","538"
"04.01.2019 03:00 - 04.01.2019 04:00","0","518"
"04.01.2019 04:00 - 04.01.2019 05:00","0","479"
"04.01.2019 05:00 - 04.01.2019 06:00","0","371"
"04.01.2019 06:00 - 04.01.2019 07:00","0","163"
"04.01.2019 07:00 - 04.01.2019 08:00","0","205"
"04.01.2019 08:00 - 04.01.2019 09:00","0","305"
"04.01.2019 09:00 - 04.01.2019 10:00","0","165"
"04.01.2019 10:00 - 04.01.2019 11:00","0","142"
"04.01.2019 11:00 - 04.01.2019 12:00","0","143"
"04.01.2019 12:00 - 04.01.2019 13:00","165","0"
"04.01.2019 13:00 - 04.01.2019 14:00","95","0"
"04.01.2019 14:00 - 04.01.2019 15:00","77","0"
"04.01.2019 15:00 - 04.01.2019 16:00","155","0"
"04.01.2019 16:00 - 04.01.2019 17:00","247","0"
"04.01.2019 17:00 - 04.01.2019 18:00","385","0"
"04.01.2019 18:00 - 04.01.2019 19:00","365","0"
"04.01.2019 19:00 - 04.01.2019 20:00","238","0"
"04.01.2019 20:00 - 04.01.2019 21:00","349","0"
"04.01.2019 21:00 - 04.01.2019 22:00","355","0"
"04.01.2019 22:00 - 04.01.2019 23:00","383","0"
"04.01.2019 23:00 - 05.01.2019 00:00","392","0"
"05.01.2019 00:00 - 05.01.2019 01:00","182","0"
"05.01.2019 01:00 - 05.01.2019 02:00","303","0"
"05.01.2019 02:00 - 05.01.2019 03:00","228","0"
"05.01.2019 03:00 - 05.01.2019 04:00","101","0"
"05.01.2019 04:00 - 05.01.2019 05:00","16","0"
"05.01.2019 05:00 - 05.01.2019 06:00","167","0"
"05.01.2019 06:00 - 05.01.2019 07:00","47","0"
"05.01.2019 07:00 - 05.01.2019 08:00","0","149"
"05.01.2019 08:00 - 05.01.2019 09:00","0","2"
"05.01.2019 09:00 - 05.01.2019 10:00","75","0"
"05.01.2019 10:00 - 05.01.2019 11:00","213","0"
"05.01.2019 11:00 - 05.01.2019 12:00","273","0"
"05.01.2019 12:00 - 05.01.2019 13:00","340","0"
"05.01.2019 13:00 - 05.01.2019 14:00","261","0"
