"Time (CET)","Latvia (LV) > Lithuania (LT) [MW]","Lithuania (LT) > Latvia (LV) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","197"
"01.01.2019 01:00 - 01.01.2019 02:00","0","261"
"01.01.2019 02:00 - 01.01.2019 03:00","0","204"
"01.01.2019 03:00 - 01.01.2019 04:00","0","250"
"01.01.2019 04:00 - 01.01.2019 05:00","0","210"
"01.01.2019 05:00 - 01.01.2019 06:00","0","229"
"01.01.2019 06:00 - 01.01.2019 07:00","0","248"
"01.01.2019 07:00 - 01.01.2019 08:00","0","250"
"01.01.2019 08:00 - 01.01.2019 09:00","0","307"
"01.01.2019 09:00 - 01.01.2019 10:00","0","210"
"01.01.2019 10:00 - 01.01.2019 11:00","0","203"
"01.01.2019 11:00 - 01.01.2019 12:00","0","184"
"01.01.2019 12:00 - 01.01.2019 13:00","0","151"
"01.01.2019 13:00 - 01.01.2019 14:00","0","123"
"01.01.2019 14:00 - 01.01.2019 15:00","0","155"
"01.01.2019 15:00 - 01.01.2019 16:00","0","192"
"01.01.2019 16:00 - 01.01.2019 17:00","0","219"
"01.01.2019 17:00 - 01.01.2019 18:00","0","239"
"01.01.2019 18:00 - 01.01.2019 19:00","0","262"
"01.01.2019 19:00 - 01.01.2019 20:00","0","269"
"01.01.2019 20:00 - 01.01.2019 21:00","0","268"
"01.01.2019 21:00 - 01.01.2019 22:00","0","265"
"01.01.2019 22:00 - 01.01.2019 23:00","0","387"
"01.01.2019 23:00 - 02.01.2019 00:00","0","294"
"02.01.2019 00:00 - 02.01.2019 01:00","0","174"
"02.01.2019 01:00 - 02.01.2019 02:00","0","170"
"02.01.2019 02:00 - 02.01.2019 03:00","0","175"
"02.01.2019 03:00 - 02.01.2019 04:00","0","234"
"02.01.2019 04:00 - 02.01.2019 05:00","0","221"
"02.01.2019 05:00 - 02.01.2019 06:00","0","206"
"02.01.2019 06:00 - 02.01.2019 07:00","0","1"
"02.01.2019 07:00 - 02.01.2019 08:00","6","0"
"02.01.2019 08:00 - 02.01.2019 09:00","20","0"
"02.01.2019 09:00 - 02.01.2019 10:00","165","0"
"02.01.2019 10:00 - 02.01.2019 11:00","88","0"
"02.01.2019 11:00 - 02.01.2019 12:00","116","0"
"02.01.2019 12:00 - 02.01.2019 13:00","97","0"
"02.01.2019 13:00 - 02.01.2019 14:00","94","0"
"02.01.2019 14:00 - 02.01.2019 15:00","236","0"
"02.01.2019 15:00 - 02.01.2019 16:00","335","0"
"02.01.2019 16:00 - 02.01.2019 17:00","351","0"
"02.01.2019 17:00 - 02.01.2019 18:00","394","0"
"02.01.2019 18:00 - 02.01.2019 19:00","434","0"
"02.01.2019 19:00 - 02.01.2019 20:00","366","0"
"02.01.2019 20:00 - 02.01.2019 21:00","353","0"
"02.01.2019 21:00 - 02.01.2019 22:00","135","0"
"02.01.2019 22:00 - 02.01.2019 23:00","95","0"
"02.01.2019 23:00 - 03.01.2019 00:00","134","0"
"03.01.2019 00:00 - 03.01.2019 01:00","106","0"
"03.01.2019 01:00 - 03.01.2019 02:00","117","0"
"03.01.2019 02:00 - 03.01.2019 03:00","126","0"
"03.01.2019 03:00 - 03.01.2019 04:00","134","0"
