"Time (CET)","Netherlands (NL) > Norway (NO) [MW]","Norway (NO) > Netherlands (NL) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","84"
"01.01.2019 01:00 - 01.01.2019 02:00","0","664"
"01.01.2019 02:00 - 01.01.2019 03:00","0","692"
"01.01.2019 03:00 - 01.01.2019 04:00","0","320"
"01.01.2019 04:00 - 01.01.2019 05:00","39","0"
"01.01.2019 05:00 - 01.01.2019 06:00","0","2"
"01.01.2019 06:00 - 01.01.2019 07:00","0","150"
"01.01.2019 07:00 - 01.01.2019 08:00","0","572"
"01.01.2019 08:00 - 01.01.2019 09:00","0","32"
"01.01.2019 09:00 - 01.01.2019 10:00","0","261"
"01.01.2019 10:00 - 01.01.2019 11:00","0","625"
"01.01.2019 11:00 - 01.01.2019 12:00","0","671"
"01.01.2019 12:00 - 01.01.2019 13:00","0","703"
"01.01.2019 13:00 - 01.01.2019 14:00","0","694"
"01.01.2019 14:00 - 01.01.2019 15:00","0","336"
"01.01.2019 15:00 - 01.01.2019 16:00","0","229"
"01.01.2019 16:00 - 01.01.2019 17:00","0","477"
"01.01.2019 17:00 - 01.01.2019 18:00","0","665"
"01.01.2019 18:00 - 01.01.2019 19:00","0","404"
"01.01.2019 19:00 - 01.01.2019 20:00","164","0"
"01.01.2019 20:00 - 01.01.2019 21:00","365","0"
"01.01.2019 21:00 - 01.01.2019 22:00","322","0"
"01.01.2019 22:00 - 01.01.2019 23:00","51","0"
"01.01.2019 23:00 - 02.01.2019 00:00","141","0"
"02.01.2019 00:00 - 02.01.2019 01:00","46","0"
"02.01.2019 01:00 - 02.01.2019 02:00","359","0"
"02.01.2019 02:00 - 02.01.2019 03:00","367","0"
"02.01.2019 03:00 - 02.01.2019 04:00","643","0"
"02.01.2019 04:00 - 02.01.2019 05:00","547","0"
"02.01.2019 05:00 - 02.01.2019 06:00","712","0"
"02.01.2019 06:00 - 02.01.2019 07:00","273","0"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0"
"02.01.2019 08:00 - 02.01.2019 09:00","0","292"
"02.01.2019 09:00 - 02.01.2019 10:00","0","586"
"02.01.2019 10:00 - 02.01.2019 11:00","0","484"
"02.01.2019 11:00 - 02.01.2019 12:00","0","230"
"02.01.2019 12:00 - 02.01.2019 13:00","0","117"
"02.01.2019 13:00 - 02.01.2019 14:00","0","386"
"02.01.2019 14:00 - 02.01.2019 15:00","0","693"
"02.01.2019 15:00 - 02.01.2019 16:00","0","704"
"02.01.2019 16:00 - 02.01.2019 17:00","0","704"
"02.01.2019 17:00 - 02.01.2019 18:00","0","704"
"02.01.2019 18:00 - 02.01.2019 19:00","0","704"
"02.01.2019 19:00 - 02.01.2019 20:00","0","704"
"02.01.2019 20:00 - 02.01.2019 21:00","0","704"
"02.01.2019 21:00 - 02.01.2019 22:00","0","702"
"02.01.2019 22:00 - 02.01.2019 23:00","0","581"
"02.01.2019 23:00 - 03.01.2019 00:00","0","148"
"03.01.2019 00:00 - 03.01.2019 01:00","0","166"
"03.01.2019 01:00 - 03.01.2019 02:00","377","0"
"03.01.2019 02:00 - 03.01.2019 03:00","722","0"
"03.01.2019 03:00 - 03.01.2019 04:00","730","0"
"03.01.2019 04:00 - 03.01.2019 05:00","726","0"
"03.01.2019 05:00 - 03.01.2019 06:00","490","0"
"03.01.2019 06:00 - 03.01.2019 07:00","0","106"
"03.01.2019 07:00 - 03.01.2019 08:00","0","678"
"03.01.2019 08:00 - 03.01.2019 09:00","0","704"
"03.01.2019 09:00 - 03.01.2019 10:00","0","704"
"03.01.2019 10:00 - 03.01.2019 11:00","0","704"
"03.01.2019 11:00 - 03.01.2019 12:00","0","704"
"03.01.2019 12:00 - 03.01.2019 13:00","0","704"
"03.01.2019 13:00 - 03.01.2019 14:00","0","704"
"03.01.2019 14:00 - 03.01.2019 15:00","0","704"
"03.01.2019 15:00 - 03.01.2019 16:00","0","680"
"03.01.2019 16:00 - 03.01.2019 17:00","0","153"
"03.01.2019 17:00 - 03.01.2019 18:00","0","678"
"03.01.2019 18:00 - 03.01.2019 19:00","0","704"
"03.01.2019 19:00 - 03.01.2019 20:00","0","704"
"03.01.2019 20:00 - 03.01.2019 21:00","0","704"
"03.01.2019 21:00 - 03.01.2019 22:00","0","699"
"03.01.2019 22:00 - 03.01.2019 23:00","0","433"
"03.01.2019 23:00 - 04.01.2019 00:00","129","0"
"04.01.2019 00:00 - 04.01.2019 01:00","89","0"
"04.01.2019 01:00 - 04.01.2019 02:00","77","0"
"04.01.2019 02:00 - 04.01.2019 03:00","103","0"
"04.01.2019 03:00 - 04.01.2019 04:00","120","0"
"04.01.2019 04:00 - 04.01.2019 05:00","55","0"
"04.01.2019 05:00 - 04.01.2019 06:00","0","121"
"04.01.2019 06:00 - 04.01.2019 07:00","0","678"
"04.01.2019 07:00 - 04.01.2019 08:00","0","704"
"04.01.2019 08:00 - 04.01.2019 09:00","0","684"
"04.01.2019 09:00 - 04.01.2019 10:00","0","704"
"04.01.2019 10:00 - 04.01.2019 11:00","0","704"
"04.01.2019 11:00 - 04.01.2019 12:00","0","704"
"04.01.2019 12:00 - 04.01.2019 13:00","0","704"
"04.01.2019 13:00 - 04.01.2019 14:00","0","704"
"04.01.2019 14:00 - 04.01.2019 15:00","0","704"
"04.01.2019 15:00 - 04.01.2019 16:00","0","704"
"04.01.2019 16:00 - 04.01.2019 17:00","0","704"
"04.01.2019 17:00 - 04.01.2019 18:00","0","704"
"04.01.2019 18:00 - 04.01.2019 19:00","0","703"
"04.01.2019 19:00 - 04.01.2019 20:00","0","676"
"04.01.2019 20:00 - 04.01.2019 21:00","0","569"
"04.01.2019 21:00 - 04.01.2019 22:00","0","307"
"04.01.2019 22:00 - 04.01.2019 23:00","0","206"
"04.01.2019 23:00 - 05.01.2019 00:00","27","0"
"05.01.2019 00:00 - 05.01.2019 01:00","0","149"
"05.01.2019 01:00 - 05.01.2019 02:00","302","0"
"05.01.2019 02:00 - 05.01.2019 03:00","228","0"
"05.01.2019 03:00 - 05.01.2019 04:00","489","0"
"05.01.2019 04:00 - 05.01.2019 05:00","725","0"
"05.01.2019 05:00 - 05.01.2019 06:00","730","0"
"05.01.2019 06:00 - 05.01.2019 07:00","722","0"
"05.01.2019 07:00 - 05.01.2019 08:00","372","0"
"05.01.2019 08:00 - 05.01.2019 09:00","0","40"
"05.01.2019 09:00 - 05.01.2019 10:00","0","406"
"05.01.2019 10:00 - 05.01.2019 11:00","0","443"
"05.01.2019 11:00 - 05.01.2019 12:00","0","450"
"05.01.2019 12:00 - 05.01.2019 13:00","0","698"
"05.01.2019 13:00 - 05.01.2019 14:00","0","704"
"05.01.2019 14:00 - 05.01.2019 15:00","0","704"
"05.01.2019 15:00 - 05.01.2019 16:00","0","704"
"05.01.2019 16:00 - 05.01.2019 17:00","0","704"
"05.01.2019 17:00 - 05.01.2019 18:00","0","704"
"05.01.2019 18:00 - 05.01.2019 19:00","0","703"
"05.01.2019 19:00 - 05.01.2019 20:00","0","656"
"05.01.2019 20:00 - 05.01.2019 21:00","0","665"
"05.01.2019 21:00 - 05.01.2019 22:00","0","675"
"05.01.2019 22:00 - 05.01.2019 23:00","0","419"
"05.01.2019 23:00 - 06.01.2019 00:00","0","684"
"06.01.2019 00:00 - 06.01.2019 01:00","0","258"
"06.01.2019 01:00 - 06.01.2019 02:00","29","0"
"06.01.2019 02:00 - 06.01.2019 03:00","128","0"
"06.01.2019 03:00 - 06.01.2019 04:00","387","0"
"06.01.2019 04:00 - 06.01.2019 05:00","573","0"
"06.01.2019 05:00 - 06.01.2019 06:00","283","0"
"06.01.2019 06:00 - 06.01.2019 07:00","620","0"
"06.01.2019 07:00 - 06.01.2019 08:00","349","0"
"06.01.2019 08:00 - 06.01.2019 09:00","0","111"
"06.01.2019 09:00 - 06.01.2019 10:00","0","678"
"06.01.2019 10:00 - 06.01.2019 11:00","0","704"
"06.01.2019 11:00 - 06.01.2019 12:00","0","704"
"06.01.2019 12:00 - 06.01.2019 13:00","0","704"
"06.01.2019 13:00 - 06.01.2019 14:00","0","704"
"06.01.2019 14:00 - 06.01.2019 15:00","0","674"
"06.01.2019 15:00 - 06.01.2019 16:00","0","430"
"06.01.2019 16:00 - 06.01.2019 17:00","0","329"
"06.01.2019 17:00 - 06.01.2019 18:00","0","693"
"06.01.2019 18:00 - 06.01.2019 19:00","0","704"
"06.01.2019 19:00 - 06.01.2019 20:00","0","704"
"06.01.2019 20:00 - 06.01.2019 21:00","0","701"
"06.01.2019 21:00 - 06.01.2019 22:00","0","586"
"06.01.2019 22:00 - 06.01.2019 23:00","0","697"
"06.01.2019 23:00 - 07.01.2019 00:00","0","458"
"07.01.2019 00:00 - 07.01.2019 01:00","36","0"
"07.01.2019 01:00 - 07.01.2019 02:00","0","103"
"07.01.2019 02:00 - 07.01.2019 03:00","210","0"
"07.01.2019 03:00 - 07.01.2019 04:00","709","0"
"07.01.2019 04:00 - 07.01.2019 05:00","650","0"
"07.01.2019 05:00 - 07.01.2019 06:00","55","0"
"07.01.2019 06:00 - 07.01.2019 07:00","0","531"
"07.01.2019 07:00 - 07.01.2019 08:00","0","701"
"07.01.2019 08:00 - 07.01.2019 09:00","0","704"
"07.01.2019 09:00 - 07.01.2019 10:00","0","704"
"07.01.2019 10:00 - 07.01.2019 11:00","0","703"
"07.01.2019 11:00 - 07.01.2019 12:00","0","639"
"07.01.2019 12:00 - 07.01.2019 13:00","0","703"
"07.01.2019 13:00 - 07.01.2019 14:00","0","704"
"07.01.2019 14:00 - 07.01.2019 15:00","0","704"
"07.01.2019 15:00 - 07.01.2019 16:00","0","704"
"07.01.2019 16:00 - 07.01.2019 17:00","0","704"
"07.01.2019 17:00 - 07.01.2019 18:00","0","704"
"07.01.2019 18:00 - 07.01.2019 19:00","0","697"
"07.01.2019 19:00 - 07.01.2019 20:00","0","367"
"07.01.2019 20:00 - 07.01.2019 21:00","0","183"
"07.01.2019 21:00 - 07.01.2019 22:00","123","0"
"07.01.2019 22:00 - 07.01.2019 23:00","568","0"
"07.01.2019 23:00 - 08.01.2019 00:00","727","0"
"08.01.2019 00:00 - 08.01.2019 01:00","730","0"
"08.01.2019 01:00 - 08.01.2019 02:00","730","0"
