"Time (CET)","Sweden (SE) > Poland (PL) [MW]","Poland (PL) > Sweden (SE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","165"
"01.01.2019 01:00 - 01.01.2019 02:00","0","1"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0"
"01.01.2019 05:00 - 01.01.2019 06:00","0","112"
"01.01.2019 06:00 - 01.01.2019 07:00","0","61"
"01.01.2019 07:00 - 01.01.2019 08:00","0","104"
"01.01.2019 08:00 - 01.01.2019 09:00","0","4"
"01.01.2019 09:00 - 01.01.2019 10:00","0","306"
"01.01.2019 10:00 - 01.01.2019 11:00","0","281"
"01.01.2019 11:00 - 01.01.2019 12:00","0","291"
"01.01.2019 12:00 - 01.01.2019 13:00","0","332"
"01.01.2019 13:00 - 01.01.2019 14:00","0","332"
"01.01.2019 14:00 - 01.01.2019 15:00","0","334"
"01.01.2019 15:00 - 01.01.2019 16:00","0","352"
"01.01.2019 16:00 - 01.01.2019 17:00","0","293"
"01.01.2019 17:00 - 01.01.2019 18:00","0","257"
"01.01.2019 18:00 - 01.01.2019 19:00","0","179"
"01.01.2019 19:00 - 01.01.2019 20:00","0","64"
"01.01.2019 20:00 - 01.01.2019 21:00","0","221"
"01.01.2019 21:00 - 01.01.2019 22:00","0","221"
"01.01.2019 22:00 - 01.01.2019 23:00","0","194"
"01.01.2019 23:00 - 02.01.2019 00:00","0","174"
"02.01.2019 00:00 - 02.01.2019 01:00","0","159"
"02.01.2019 01:00 - 02.01.2019 02:00","0","166"
"02.01.2019 02:00 - 02.01.2019 03:00","0","166"
"02.01.2019 03:00 - 02.01.2019 04:00","0","209"
"02.01.2019 04:00 - 02.01.2019 05:00","0","238"
"02.01.2019 05:00 - 02.01.2019 06:00","0","275"
"02.01.2019 06:00 - 02.01.2019 07:00","0","325"
"02.01.2019 07:00 - 02.01.2019 08:00","0","348"
"02.01.2019 08:00 - 02.01.2019 09:00","0","93"
"02.01.2019 09:00 - 02.01.2019 10:00","0","0"
"02.01.2019 10:00 - 02.01.2019 11:00","0","0"
"02.01.2019 11:00 - 02.01.2019 12:00","0","0"
"02.01.2019 12:00 - 02.01.2019 13:00","0","0"
"02.01.2019 13:00 - 02.01.2019 14:00","0","0"
"02.01.2019 14:00 - 02.01.2019 15:00","1","0"
"02.01.2019 15:00 - 02.01.2019 16:00","117","0"
"02.01.2019 16:00 - 02.01.2019 17:00","555","0"
"02.01.2019 17:00 - 02.01.2019 18:00","581","0"
"02.01.2019 18:00 - 02.01.2019 19:00","366","0"
"02.01.2019 19:00 - 02.01.2019 20:00","234","0"
"02.01.2019 20:00 - 02.01.2019 21:00","0","2"
"02.01.2019 21:00 - 02.01.2019 22:00","0","304"
"02.01.2019 22:00 - 02.01.2019 23:00","0","287"
"02.01.2019 23:00 - 03.01.2019 00:00","0","250"
"03.01.2019 00:00 - 03.01.2019 01:00","0","248"
"03.01.2019 01:00 - 03.01.2019 02:00","0","271"
"03.01.2019 02:00 - 03.01.2019 03:00","0","282"
"03.01.2019 03:00 - 03.01.2019 04:00","0","293"
"03.01.2019 04:00 - 03.01.2019 05:00","0","282"
"03.01.2019 05:00 - 03.01.2019 06:00","0","288"
"03.01.2019 06:00 - 03.01.2019 07:00","0","293"
"03.01.2019 07:00 - 03.01.2019 08:00","224","0"
"03.01.2019 08:00 - 03.01.2019 09:00","5","0"
"03.01.2019 09:00 - 03.01.2019 10:00","5","0"
"03.01.2019 10:00 - 03.01.2019 11:00","205","0"
"03.01.2019 11:00 - 03.01.2019 12:00","3","0"
"03.01.2019 12:00 - 03.01.2019 13:00","150","0"
"03.01.2019 13:00 - 03.01.2019 14:00","76","0"
"03.01.2019 14:00 - 03.01.2019 15:00","2","0"
"03.01.2019 15:00 - 03.01.2019 16:00","4","0"
"03.01.2019 16:00 - 03.01.2019 17:00","352","0"
"03.01.2019 17:00 - 03.01.2019 18:00","15","0"
"03.01.2019 18:00 - 03.01.2019 19:00","64","0"
"03.01.2019 19:00 - 03.01.2019 20:00","432","0"
"03.01.2019 20:00 - 03.01.2019 21:00","583","0"
"03.01.2019 21:00 - 03.01.2019 22:00","597","0"
"03.01.2019 22:00 - 03.01.2019 23:00","588","0"
"03.01.2019 23:00 - 04.01.2019 00:00","39","0"
"04.01.2019 00:00 - 04.01.2019 01:00","0","235"
"04.01.2019 01:00 - 04.01.2019 02:00","0","282"
"04.01.2019 02:00 - 04.01.2019 03:00","0","319"
"04.01.2019 03:00 - 04.01.2019 04:00","0","70"
"04.01.2019 04:00 - 04.01.2019 05:00","0","231"
"04.01.2019 05:00 - 04.01.2019 06:00","6","0"
"04.01.2019 06:00 - 04.01.2019 07:00","547","0"
"04.01.2019 07:00 - 04.01.2019 08:00","598","0"
"04.01.2019 08:00 - 04.01.2019 09:00","598","0"
"04.01.2019 09:00 - 04.01.2019 10:00","598","0"
"04.01.2019 10:00 - 04.01.2019 11:00","598","0"
"04.01.2019 11:00 - 04.01.2019 12:00","598","0"
"04.01.2019 12:00 - 04.01.2019 13:00","598","0"
"04.01.2019 13:00 - 04.01.2019 14:00","598","0"
"04.01.2019 14:00 - 04.01.2019 15:00","598","0"
"04.01.2019 15:00 - 04.01.2019 16:00","598","0"
"04.01.2019 16:00 - 04.01.2019 17:00","598","0"
"04.01.2019 17:00 - 04.01.2019 18:00","598","0"
"04.01.2019 18:00 - 04.01.2019 19:00","598","0"
"04.01.2019 19:00 - 04.01.2019 20:00","598","0"
"04.01.2019 20:00 - 04.01.2019 21:00","593","0"
"04.01.2019 21:00 - 04.01.2019 22:00","354","0"
"04.01.2019 22:00 - 04.01.2019 23:00","67","0"
"04.01.2019 23:00 - 05.01.2019 00:00","0","242"
"05.01.2019 00:00 - 05.01.2019 01:00","0","237"
"05.01.2019 01:00 - 05.01.2019 02:00","0","241"
"05.01.2019 02:00 - 05.01.2019 03:00","0","230"
"05.01.2019 03:00 - 05.01.2019 04:00","0","241"
"05.01.2019 04:00 - 05.01.2019 05:00","0","249"
"05.01.2019 05:00 - 05.01.2019 06:00","0","300"
"05.01.2019 06:00 - 05.01.2019 07:00","0","247"
"05.01.2019 07:00 - 05.01.2019 08:00","2","0"
"05.01.2019 08:00 - 05.01.2019 09:00","546","0"
"05.01.2019 09:00 - 05.01.2019 10:00","598","0"
"05.01.2019 10:00 - 05.01.2019 11:00","598","0"
"05.01.2019 11:00 - 05.01.2019 12:00","598","0"
"05.01.2019 12:00 - 05.01.2019 13:00","598","0"
"05.01.2019 13:00 - 05.01.2019 14:00","598","0"
"05.01.2019 14:00 - 05.01.2019 15:00","598","0"
"05.01.2019 15:00 - 05.01.2019 16:00","598","0"
"05.01.2019 16:00 - 05.01.2019 17:00","598","0"
"05.01.2019 17:00 - 05.01.2019 18:00","598","0"
"05.01.2019 18:00 - 05.01.2019 19:00","598","0"
"05.01.2019 19:00 - 05.01.2019 20:00","598","0"
"05.01.2019 20:00 - 05.01.2019 21:00","593","0"
"05.01.2019 21:00 - 05.01.2019 22:00","381","0"
"05.01.2019 22:00 - 05.01.2019 23:00","0","170"
"05.01.2019 23:00 - 06.01.2019 00:00","0","377"
"06.01.2019 00:00 - 06.01.2019 01:00","0","354"
"06.01.2019 01:00 - 06.01.2019 02:00","0","332"
"06.01.2019 02:00 - 06.01.2019 03:00","0","348"
"06.01.2019 03:00 - 06.01.2019 04:00","0","352"
"06.01.2019 04:00 - 06.01.2019 05:00","0","360"
