"Time (CET)","North Macedonia (MK) > Serbia (RS) [MW]","Serbia (RS) > North Macedonia (MK) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","135"
"01.01.2019 01:00 - 01.01.2019 02:00","0","143"
"01.01.2019 02:00 - 01.01.2019 03:00","0","176"
"01.01.2019 03:00 - 01.01.2019 04:00","0","182"
"01.01.2019 04:00 - 01.01.2019 05:00","0","218"
"01.01.2019 05:00 - 01.01.2019 06:00","0","223"
"01.01.2019 06:00 - 01.01.2019 07:00","0","201"
"01.01.2019 07:00 - 01.01.2019 08:00","0","199"
"01.01.2019 08:00 - 01.01.2019 09:00","0","162"
"01.01.2019 09:00 - 01.01.2019 10:00","0","152"
"01.01.2019 10:00 - 01.01.2019 11:00","0","134"
"01.01.2019 11:00 - 01.01.2019 12:00","0","109"
"01.01.2019 12:00 - 01.01.2019 13:00","0","88"
"01.01.2019 13:00 - 01.01.2019 14:00","34","0"
"01.01.2019 14:00 - 01.01.2019 15:00","0","57"
"01.01.2019 15:00 - 01.01.2019 16:00","0","140"
"01.01.2019 16:00 - 01.01.2019 17:00","0","177"
"01.01.2019 17:00 - 01.01.2019 18:00","0","143"
"01.01.2019 18:00 - 01.01.2019 19:00","0","139"
"01.01.2019 19:00 - 01.01.2019 20:00","0","134"
"01.01.2019 20:00 - 01.01.2019 21:00","0","135"
"01.01.2019 21:00 - 01.01.2019 22:00","0","123"
"01.01.2019 22:00 - 01.01.2019 23:00","0","122"
"01.01.2019 23:00 - 02.01.2019 00:00","0","149"
"02.01.2019 00:00 - 02.01.2019 01:00","0","109"
"02.01.2019 01:00 - 02.01.2019 02:00","0","140"
"02.01.2019 02:00 - 02.01.2019 03:00","0","185"
"02.01.2019 03:00 - 02.01.2019 04:00","0","198"
"02.01.2019 04:00 - 02.01.2019 05:00","0","225"
"02.01.2019 05:00 - 02.01.2019 06:00","0","180"
"02.01.2019 06:00 - 02.01.2019 07:00","0","128"
"02.01.2019 07:00 - 02.01.2019 08:00","7","0"
"02.01.2019 08:00 - 02.01.2019 09:00","0","45"
"02.01.2019 09:00 - 02.01.2019 10:00","0","40"
"02.01.2019 10:00 - 02.01.2019 11:00","0","33"
"02.01.2019 11:00 - 02.01.2019 12:00","0","35"
"02.01.2019 12:00 - 02.01.2019 13:00","0","32"
"02.01.2019 13:00 - 02.01.2019 14:00","0","80"
"02.01.2019 14:00 - 02.01.2019 15:00","0","93"
"02.01.2019 15:00 - 02.01.2019 16:00","58","0"
"02.01.2019 16:00 - 02.01.2019 17:00","172","0"
"02.01.2019 17:00 - 02.01.2019 18:00","184","0"
"02.01.2019 18:00 - 02.01.2019 19:00","170","0"
"02.01.2019 19:00 - 02.01.2019 20:00","142","0"
"02.01.2019 20:00 - 02.01.2019 21:00","16","0"
"02.01.2019 21:00 - 02.01.2019 22:00","0","144"
"02.01.2019 22:00 - 02.01.2019 23:00","0","102"
"02.01.2019 23:00 - 03.01.2019 00:00","0","134"
"03.01.2019 00:00 - 03.01.2019 01:00","0","100"
"03.01.2019 01:00 - 03.01.2019 02:00","0","26"
"03.01.2019 02:00 - 03.01.2019 03:00","0","55"
"03.01.2019 03:00 - 03.01.2019 04:00","0","57"
"03.01.2019 04:00 - 03.01.2019 05:00","0","98"
"03.01.2019 05:00 - 03.01.2019 06:00","0","110"
"03.01.2019 06:00 - 03.01.2019 07:00","0","91"
"03.01.2019 07:00 - 03.01.2019 08:00","0","21"
"03.01.2019 08:00 - 03.01.2019 09:00","38","0"
"03.01.2019 09:00 - 03.01.2019 10:00","0","4"
"03.01.2019 10:00 - 03.01.2019 11:00","0","2"
"03.01.2019 11:00 - 03.01.2019 12:00","0","63"
"03.01.2019 12:00 - 03.01.2019 13:00","0","92"
"03.01.2019 13:00 - 03.01.2019 14:00","0","74"
"03.01.2019 14:00 - 03.01.2019 15:00","0","70"
"03.01.2019 15:00 - 03.01.2019 16:00","0","17"
"03.01.2019 16:00 - 03.01.2019 17:00","38","0"
"03.01.2019 17:00 - 03.01.2019 18:00","123","0"
"03.01.2019 18:00 - 03.01.2019 19:00","137","0"
"03.01.2019 19:00 - 03.01.2019 20:00","153","0"
"03.01.2019 20:00 - 03.01.2019 21:00","213","0"
"03.01.2019 21:00 - 03.01.2019 22:00","151","0"
