"Time (CET)","Belgium (BE) > United Kingdom (UK) [MW]","United Kingdom (UK) > Belgium (BE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","0"
"01.01.2019 01:00 - 01.01.2019 02:00","0","0"
"01.01.2019 02:00 - 01.01.2019 03:00","0","0"
"01.01.2019 03:00 - 01.01.2019 04:00","0","0"
"01.01.2019 04:00 - 01.01.2019 05:00","0","0"
"01.01.2019 05:00 - 01.01.2019 06:00","0","0"
"01.01.2019 06:00 - 01.01.2019 07:00","0","0"
"01.01.2019 07:00 - 01.01.2019 08:00","0","0"
"01.01.2019 08:00 - 01.01.2019 09:00","0","0"
"01.01.2019 09:00 - 01.01.2019 10:00","0","0"
"01.01.2019 10:00 - 01.01.2019 11:00","0","0"
"01.01.2019 11:00 - 01.01.2019 12:00","0","0"
"01.01.2019 12:00 - 01.01.2019 13:00","0","0"
"01.01.2019 13:00 - 01.01.2019 14:00","0","0"
"01.01.2019 14:00 - 01.01.2019 15:00","0","0"
"01.01.2019 15:00 - 01.01.2019 16:00","0","0"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0"
"02.01.2019 00:00 - 02.01.2019 01:00","0","0"
"02.01.2019 01:00 - 02.01.2019 02:00","0","0"
"02.01.2019 02:00 - 02.01.2019 03:00","0","0"
"02.01.2019 03:00 - 02.01.2019 04:00","0","0"
"02.01.2019 04:00 - 02.01.2019 05:00","0","0"
"02.01.2019 05:00 - 02.01.2019 06:00","0","0"
"02.01.2019 06:00 - 02.01.2019 07:00","0","0"
"02.01.2019 07:00 - 02.01.2019 08:00","0","0"
"02.01.2019 08:00 - 02.01.2019 09:00","0","0"
"02.01.2019 09:00 - 02.01.2019 10:00","0","0"
"02.01.2019 10:00 - 02.01.2019 11:00","0","0"
"02.01.2019 11:00 - 02.01.2019 12:00","0","0"
"02.01.2019 12:00 - 02.01.2019 13:00","0","0"
"02.01.2019 13:00 - 02.01.2019 14:00","0","0"
"02.01.2019 14:00 - 02.01.2019 15:00","0","0"
"02.01.2019 15:00 - 02.01.2019 16:00","0","0"
"02.01.2019 16:00 - 02.01.2019 17:00","0","0"
