,Amer 9,Bergum 10,Bergum 20,Borssele 30,Centrale Merwedekanaal 12,Claus C,Delesto 2,Diemen 33,Diemen 34,EDH,ENECOGEN-U10,ENECOGEN-U20,Eems 20,Eems 3,Eems 4,Eems 5,Eems 6,Eems 7,Eemshaven 10,Eemshaven 20,Eemshaven 30,Eemshaven A,Eemshaven B,Elsta 1,FLEVO 4,FLEVO 5,Hemweg 9,IJmond,Lage Weide 6,Maasstroom Energie,Maasvlakte 3,Moerdijk 1,Moerdijk 2,NAM Schoonebeek,NLROTTETH__1,Pergen 1,Pergen 2,Rijmond 1,RoCa 3,Sloecentrale 10,Sloecentrale 20,Swentibold 1,Velsen 24,Velsen 25
,Fossil Hard coal,Fossil Gas,Fossil Gas,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Other,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
2020-01-01 00:00:00+01:00,561.0,0.0,0.0,485.0,0.0,891.0,0.0,0.0,359.0,73.0,398.0,398.0,0.0,0.0,0.0,0.0,258.0,278.0,416.0,139.0,0.0,0.0,785.0,320.0,345.0,329.0,432.0,0.0,184.0,0.0,0.0,0.0,428.0,0.0,717.0,112.0,112.0,664.0,137.0,128.0,403.0,202.0,0.0,319.0
2020-01-01 01:00:00+01:00,543.0,0.0,0.0,485.0,0.0,892.0,0.0,0.0,359.0,70.0,416.0,416.0,0.0,0.0,0.0,0.0,16.0,283.0,182.0,0.0,0.0,0.0,766.0,320.0,362.0,320.0,408.0,0.0,168.0,0.0,0.0,0.0,427.0,0.0,714.0,114.0,113.0,734.0,138.0,0.0,423.0,211.0,0.0,321.0
2020-01-01 02:00:00+01:00,520.0,0.0,0.0,484.0,0.0,881.0,0.0,0.0,361.0,71.0,410.0,410.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,770.0,267.0,331.0,347.0,429.0,0.0,168.0,0.0,0.0,0.0,425.0,0.0,690.0,108.0,108.0,735.0,138.0,0.0,435.0,185.0,0.0,322.0
2020-01-01 03:00:00+01:00,414.0,0.0,0.0,484.0,0.0,793.0,0.0,0.0,366.0,71.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,267.0,355.0,385.0,429.0,0.0,163.0,0.0,0.0,0.0,368.0,0.0,441.0,110.0,110.0,713.0,138.0,0.0,435.0,116.0,0.0,322.0
2020-01-01 04:00:00+01:00,380.0,0.0,0.0,485.0,0.0,739.0,0.0,0.0,360.0,72.0,409.0,409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,356.0,385.0,429.0,0.0,160.0,0.0,0.0,0.0,416.0,0.0,190.0,107.0,106.0,607.0,118.0,0.0,435.0,117.0,0.0,321.0
2020-01-01 05:00:00+01:00,370.0,0.0,0.0,485.0,0.0,710.0,0.0,0.0,365.0,73.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,267.0,357.0,384.0,429.0,0.0,176.0,0.0,0.0,0.0,418.0,0.0,173.0,107.0,106.0,500.0,118.0,0.0,436.0,117.0,0.0,270.0
2020-01-01 06:00:00+01:00,369.0,0.0,0.0,485.0,0.0,710.0,0.0,0.0,362.0,70.0,372.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,357.0,385.0,421.0,0.0,202.0,0.0,0.0,0.0,427.0,0.0,177.0,107.0,107.0,462.0,118.0,0.0,436.0,117.0,0.0,213.0
2020-01-01 07:00:00+01:00,330.0,0.0,0.0,485.0,0.0,707.0,0.0,0.0,360.0,70.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,267.0,358.0,383.0,423.0,0.0,198.0,0.0,0.0,0.0,426.0,0.0,176.0,110.0,110.0,553.0,118.0,0.0,435.0,120.0,0.0,245.0
2020-01-01 08:00:00+01:00,378.0,0.0,0.0,485.0,0.0,661.0,0.0,0.0,360.0,70.0,368.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,267.0,322.0,388.0,423.0,0.0,198.0,0.0,0.0,0.0,416.0,0.0,178.0,110.0,109.0,549.0,118.0,0.0,401.0,146.0,0.0,301.0
2020-01-01 09:00:00+01:00,370.0,0.0,0.0,485.0,0.0,688.0,0.0,0.0,360.0,71.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,320.0,388.0,422.0,0.0,201.0,0.0,0.0,0.0,419.0,0.0,248.0,108.0,107.0,531.0,134.0,0.0,423.0,148.0,0.0,315.0
2020-01-01 10:00:00+01:00,394.0,0.0,0.0,485.0,0.0,783.0,0.0,0.0,364.0,85.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,321.0,384.0,418.0,0.0,204.0,0.0,0.0,0.0,417.0,0.0,247.0,107.0,106.0,500.0,163.0,0.0,435.0,151.0,0.0,327.0
2020-01-01 11:00:00+01:00,382.0,0.0,0.0,485.0,0.0,891.0,0.0,0.0,399.0,85.0,407.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,325.0,387.0,411.0,0.0,204.0,0.0,0.0,0.0,426.0,0.0,253.0,107.0,106.0,579.0,164.0,0.0,435.0,179.0,0.0,321.0
2020-01-01 12:00:00+01:00,371.0,0.0,0.0,485.0,0.0,876.0,0.0,0.0,396.0,85.0,408.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,328.0,386.0,419.0,0.0,204.0,0.0,0.0,0.0,423.0,0.0,336.0,106.0,105.0,580.0,163.0,0.0,435.0,159.0,0.0,320.0
2020-01-01 13:00:00+01:00,368.0,0.0,0.0,485.0,0.0,855.0,0.0,0.0,370.0,85.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,267.0,324.0,384.0,384.0,0.0,204.0,0.0,0.0,0.0,425.0,0.0,413.0,106.0,105.0,570.0,162.0,0.0,435.0,149.0,0.0,321.0
2020-01-01 14:00:00+01:00,376.0,0.0,0.0,485.0,0.0,641.0,0.0,0.0,369.0,84.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,267.0,330.0,383.0,393.0,0.0,204.0,0.0,0.0,0.0,381.0,0.0,490.0,106.0,105.0,568.0,161.0,71.0,435.0,121.0,0.0,322.0
2020-01-01 15:00:00+01:00,390.0,0.0,0.0,485.0,0.0,793.0,0.0,0.0,369.0,84.0,404.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,267.0,323.0,386.0,405.0,0.0,204.0,0.0,0.0,0.0,419.0,0.0,563.0,106.0,105.0,653.0,161.0,209.0,435.0,152.0,0.0,322.0
2020-01-01 16:00:00+01:00,521.0,0.0,0.0,485.0,0.0,832.0,0.0,0.0,370.0,84.0,389.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661.0,267.0,345.0,387.0,410.0,0.0,209.0,0.0,0.0,0.0,424.0,0.0,637.0,109.0,109.0,689.0,161.0,413.0,436.0,198.0,0.0,322.0
2020-01-01 17:00:00+01:00,556.0,0.0,0.0,485.0,0.0,892.0,0.0,0.0,369.0,84.0,384.0,384.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,320.0,344.0,378.0,382.0,0.0,206.0,0.0,0.0,0.0,426.0,0.0,709.0,112.0,112.0,724.0,161.0,428.0,426.0,214.0,0.0,321.0
2020-01-01 18:00:00+01:00,563.0,0.0,0.0,485.0,0.0,894.0,0.0,0.0,369.0,90.0,417.0,417.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,365.0,377.0,422.0,0.0,207.0,0.0,0.0,0.0,427.0,0.0,717.0,123.0,122.0,771.0,162.0,429.0,435.0,228.0,0.0,337.0
2020-01-01 19:00:00+01:00,568.0,0.0,0.0,485.0,0.0,894.0,0.0,0.0,369.0,90.0,417.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,339.0,380.0,424.0,0.0,207.0,0.0,0.0,0.0,426.0,0.0,711.0,115.0,114.0,773.0,161.0,428.0,436.0,237.0,0.0,337.0
2020-01-01 20:00:00+01:00,565.0,0.0,0.0,485.0,0.0,893.0,0.0,0.0,369.0,88.0,376.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,345.0,384.0,368.0,0.0,206.0,0.0,0.0,0.0,426.0,0.0,717.0,111.0,110.0,725.0,163.0,428.0,397.0,225.0,0.0,323.0
2020-01-01 21:00:00+01:00,546.0,0.0,0.0,485.0,0.0,871.0,0.0,0.0,369.0,85.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,353.0,388.0,383.0,0.0,208.0,0.0,0.0,0.0,422.0,0.0,718.0,113.0,112.0,750.0,163.0,428.0,428.0,189.0,0.0,320.0
2020-01-01 22:00:00+01:00,562.0,0.0,0.0,485.0,0.0,893.0,0.0,0.0,369.0,85.0,398.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,355.0,389.0,387.0,0.0,198.0,0.0,0.0,0.0,426.0,0.0,713.0,113.0,112.0,757.0,162.0,427.0,434.0,225.0,0.0,303.0
2020-01-01 23:00:00+01:00,572.0,0.0,0.0,485.0,0.0,896.0,0.0,0.0,369.0,85.0,384.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,354.0,388.0,379.0,0.0,198.0,0.0,0.0,0.0,426.0,0.0,553.0,106.0,105.0,599.0,156.0,427.0,434.0,179.0,0.0,299.0
2020-01-02 00:00:00+01:00,516.0,0.0,0.0,485.0,0.0,887.0,0.0,0.0,369.0,85.0,390.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,366.0,392.0,352.0,0.0,174.0,0.0,0.0,0.0,424.0,0.0,558.0,100.0,100.0,674.0,120.0,426.0,398.0,191.0,0.0,284.0
2020-01-02 01:00:00+01:00,435.0,0.0,0.0,485.0,0.0,890.0,0.0,0.0,368.0,85.0,391.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,354.0,388.0,354.0,0.0,175.0,0.0,0.0,0.0,425.0,0.0,335.0,104.0,104.0,728.0,110.0,426.0,433.0,197.0,0.0,309.0
2020-01-02 02:00:00+01:00,398.0,0.0,0.0,485.0,0.0,689.0,0.0,0.0,368.0,85.0,403.0,403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,262.0,353.0,388.0,354.0,0.0,160.0,0.0,0.0,0.0,378.0,0.0,252.0,97.0,96.0,584.0,108.0,426.0,407.0,114.0,0.0,319.0
2020-01-02 03:00:00+01:00,422.0,0.0,0.0,485.0,0.0,755.0,0.0,42.0,368.0,85.0,370.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,262.0,355.0,383.0,360.0,0.0,160.0,0.0,0.0,0.0,413.0,0.0,178.0,93.0,92.0,449.0,108.0,426.0,368.0,154.0,0.0,319.0
2020-01-02 04:00:00+01:00,413.0,0.0,0.0,485.0,0.0,852.0,0.0,90.0,368.0,85.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0,378.0,262.0,355.0,388.0,374.0,0.0,163.0,0.0,0.0,0.0,422.0,0.0,258.0,92.0,92.0,476.0,81.0,426.0,421.0,128.0,0.0,319.0
2020-01-02 05:00:00+01:00,409.0,0.0,0.0,485.0,0.0,888.0,0.0,132.0,368.0,86.0,379.0,379.0,0.0,0.0,0.0,0.0,0.0,168.0,315.0,182.0,0.0,0.0,373.0,262.0,285.0,303.0,384.0,0.0,201.0,0.0,0.0,0.0,425.0,0.0,163.0,92.0,92.0,636.0,53.0,426.0,433.0,100.0,0.0,304.0
2020-01-02 06:00:00+01:00,427.0,0.0,0.0,485.0,0.0,891.0,0.0,204.0,368.0,88.0,401.0,401.0,0.0,0.0,0.0,0.0,159.0,327.0,427.0,488.0,0.0,0.0,359.0,261.0,207.0,313.0,433.0,0.0,214.0,0.0,0.0,0.0,425.0,0.0,0.0,109.0,108.0,728.0,166.0,426.0,433.0,205.0,0.0,305.0
2020-01-02 07:00:00+01:00,412.0,0.0,0.0,485.0,0.0,889.0,0.0,181.0,394.0,85.0,349.0,349.0,0.0,0.0,0.0,0.0,340.0,359.0,423.0,498.0,0.0,0.0,378.0,315.0,307.0,359.0,427.0,0.0,212.0,0.0,0.0,0.0,425.0,0.0,0.0,105.0,105.0,729.0,153.0,426.0,424.0,221.0,0.0,291.0
2020-01-02 08:00:00+01:00,411.0,0.0,0.0,485.0,0.0,890.0,0.0,180.0,412.0,84.0,377.0,377.0,0.0,0.0,0.0,0.0,368.0,371.0,443.0,498.0,0.0,0.0,517.0,331.0,321.0,411.0,432.0,0.0,216.0,0.0,0.0,0.0,425.0,0.0,0.0,117.0,117.0,757.0,171.0,425.0,433.0,221.0,0.0,282.0
2020-01-02 09:00:00+01:00,411.0,0.0,0.0,485.0,0.0,890.0,0.0,196.0,409.0,84.0,391.0,391.0,0.0,0.0,0.0,0.0,370.0,372.0,465.0,498.0,0.0,0.0,598.0,329.0,320.0,414.0,436.0,0.0,217.0,0.0,0.0,0.0,424.0,0.0,0.0,124.0,124.0,760.0,199.0,425.0,433.0,221.0,0.0,299.0
2020-01-02 10:00:00+01:00,402.0,0.0,0.0,485.0,0.0,891.0,0.0,216.0,395.0,87.0,403.0,403.0,0.0,0.0,0.0,1.0,371.0,373.0,481.0,499.0,0.0,0.0,607.0,329.0,329.0,414.0,436.0,0.0,207.0,0.0,0.0,0.0,425.0,0.0,0.0,126.0,125.0,760.0,200.0,425.0,432.0,234.0,0.0,307.0
2020-01-02 11:00:00+01:00,399.0,0.0,0.0,485.0,0.0,891.0,0.0,198.0,392.0,87.0,400.0,400.0,0.0,0.0,0.0,1.0,371.0,373.0,478.0,498.0,0.0,0.0,604.0,311.0,321.0,414.0,436.0,0.0,207.0,0.0,0.0,0.0,424.0,0.0,0.0,124.0,123.0,759.0,194.0,425.0,432.0,220.0,0.0,312.0
2020-01-02 12:00:00+01:00,405.0,0.0,0.0,485.0,0.0,891.0,0.0,178.0,382.0,85.0,396.0,396.0,0.0,0.0,0.0,0.0,369.0,372.0,492.0,494.0,0.0,0.0,658.0,310.0,325.0,414.0,436.0,0.0,206.0,0.0,0.0,0.0,424.0,0.0,0.0,124.0,123.0,762.0,197.0,425.0,432.0,214.0,0.0,327.0
