,Bastusel G1,Forsmark block 1 G11,Forsmark block 1 G12,Forsmark block 2 G21,Forsmark block 2 G22,Forsmark block 3 G31,Gallejaur G1,Gallejaur G2,Gasturbiner Halmstad G12,Harsprånget G1,Harsprånget G2,Harsprånget G4,Harsprånget G5,KVV1 Värtaverket,KVV6 Värtaverket ,KVV8 Värtaverket,Karlshamn G1,Karlshamn G2,Karlshamn G3,Letsi G1,Letsi G2,Letsi G3,Ligga G3,Messaure G1,Messaure G2,Messaure G3,Oskarshamn G3,Porjus G11,Porjus G12,Porsi G3,Ringhals block 1 G11,Ringhals block 1 G12,Ringhals block 2 G21,Ringhals block 2 G22,Ringhals block 3 G31,Ringhals block 3 G32,Ringhals block 4 G41,Ringhals block 4 G42,Ritsem G1,Rya KVV,Seitevare G1,Stalon G1,Stornorrfors G1,Stornorrfors G2,Stornorrfors G3,Stornorrfors G4,Trängslet G1,Trängslet G2,Trängslet G3,Uppsala KVV,Vietas G1,Vietas G2,Åbyverket Örebro
,Hydro Water Reservoir,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Hydro Water Reservoir,Hydro Water Reservoir,Fossil Oil,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Fossil Oil,Fossil Hard coal,Biomass,Fossil Oil,Fossil Oil,Fossil Oil,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Nuclear,Hydro Water Reservoir,Fossil Gas,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Hydro Water Reservoir,Fossil Peat,Hydro Water Reservoir,Hydro Water Reservoir,Biomass
2020-01-01 00:00:00+01:00,0.0,497.0,495.0,557.0,562.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,132.0,38.0,1373.0,0.0,0.0,61.0,437.0,437.0,0.0,0.0,539.0,535.0,574.0,569.0,0.0,0.0,143.0,55.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,0.0,0.0,35.0
2020-01-01 01:00:00+01:00,0.0,497.0,495.0,557.0,562.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,1373.0,0.0,0.0,61.0,437.0,437.0,0.0,0.0,539.0,535.0,574.0,569.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,0.0,0.0,35.0
2020-01-01 02:00:00+01:00,0.0,497.0,495.0,557.0,562.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,1373.0,0.0,0.0,59.0,437.0,437.0,0.0,0.0,539.0,535.0,574.0,569.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,0.0,0.0,36.0
2020-01-01 03:00:00+01:00,0.0,497.0,495.0,557.0,562.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,1374.0,0.0,0.0,57.0,438.0,438.0,0.0,0.0,539.0,535.0,574.0,570.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,0.0,0.0,36.0
2020-01-01 04:00:00+01:00,0.0,497.0,495.0,557.0,561.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,128.0,0.0,1373.0,0.0,0.0,59.0,438.0,438.0,0.0,0.0,539.0,535.0,574.0,570.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,75.0,0.0,46.0,97.0,0.0,2.0,0.0,28.0
2020-01-01 05:00:00+01:00,0.0,497.0,495.0,557.0,562.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,114.0,0.0,1373.0,0.0,0.0,59.0,438.0,438.0,0.0,0.0,539.0,535.0,574.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,112.0,0.0,25.0
2020-01-01 06:00:00+01:00,0.0,497.0,495.0,557.0,561.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,111.0,0.0,1373.0,0.0,0.0,58.0,438.0,438.0,0.0,2.0,539.0,535.0,573.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,127.0,0.0,25.0
2020-01-01 07:00:00+01:00,0.0,497.0,495.0,557.0,561.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,132.0,0.0,1373.0,0.0,0.0,63.0,438.0,438.0,0.0,0.0,537.0,534.0,573.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,129.0,0.0,22.0
2020-01-01 08:00:00+01:00,4.0,497.0,494.0,557.0,561.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,135.0,0.0,1373.0,0.0,0.0,65.0,437.0,437.0,0.0,0.0,537.0,534.0,573.0,567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,47.0,97.0,0.0,114.0,0.0,21.0
