,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
2019-12-31 23:00:00+00:00,360.0,1083.0,9.0,0.0,11.0,332.0,7.0,2335.0,1.0,993.0,1.0,31.0,0.0,,38.0
2020-01-01 00:00:00+00:00,363.0,636.0,15.0,0.0,10.0,333.0,7.0,2338.0,1.0,976.0,1.0,31.0,0.0,,40.0
2020-01-01 01:00:00+00:00,359.0,464.0,17.0,0.0,10.0,28.0,82.0,2293.0,1.0,898.0,1.0,31.0,0.0,,47.0
2020-01-01 02:00:00+00:00,362.0,412.0,17.0,0.0,10.0,28.0,51.0,2297.0,1.0,679.0,1.0,32.0,0.0,,65.0
2020-01-01 03:00:00+00:00,361.0,414.0,15.0,0.0,11.0,111.0,52.0,2162.0,1.0,882.0,1.0,32.0,0.0,,87.0
2020-01-01 04:00:00+00:00,358.0,413.0,13.0,0.0,10.0,134.0,349.0,2249.0,1.0,937.0,1.0,32.0,0.0,,98.0
2020-01-01 05:00:00+00:00,360.0,413.0,12.0,0.0,10.0,81.0,351.0,2258.0,1.0,864.0,1.0,32.0,0.0,,114.0
2020-01-01 06:00:00+00:00,358.0,477.0,11.0,0.0,12.0,174.0,238.0,2249.0,1.0,949.0,1.0,31.0,0.0,,104.0
2020-01-01 07:00:00+00:00,360.0,710.0,7.0,0.0,12.0,175.0,474.0,2156.0,1.0,794.0,1.0,30.0,1.0,,105.0
2020-01-01 08:00:00+00:00,358.0,828.0,6.0,0.0,10.0,179.0,999.0,2120.0,1.0,806.0,1.0,31.0,61.0,,128.0
2020-01-01 09:00:00+00:00,357.0,827.0,6.0,0.0,10.0,234.0,389.0,2128.0,1.0,847.0,1.0,30.0,212.0,,161.0
2020-01-01 10:00:00+00:00,364.0,824.0,6.0,0.0,9.0,178.0,518.0,2156.0,1.0,840.0,0.0,31.0,348.0,,164.0
2020-01-01 11:00:00+00:00,360.0,822.0,6.0,0.0,9.0,140.0,306.0,2229.0,1.0,860.0,0.0,31.0,415.0,,124.0
2020-01-01 12:00:00+00:00,364.0,819.0,6.0,0.0,10.0,146.0,358.0,2245.0,1.0,846.0,0.0,31.0,448.0,,70.0
2020-01-01 13:00:00+00:00,364.0,816.0,6.0,0.0,10.0,103.0,463.0,2223.0,1.0,703.0,1.0,30.0,445.0,,57.0
