Date,ME-BA,BA-ME
2019-12-31 23:00:00+00:00,134.0,699.0
2020-01-01 00:00:00+00:00,122.0,650.0
2020-01-01 01:00:00+00:00,124.0,551.0
2020-01-01 02:00:00+00:00,112.0,492.0
2020-01-01 03:00:00+00:00,136.0,538.0
2020-01-01 04:00:00+00:00,126.0,509.0
2020-01-01 05:00:00+00:00,109.0,474.0
2020-01-01 06:00:00+00:00,84.0,431.0
2020-01-01 07:00:00+00:00,53.0,429.0
2020-01-01 08:00:00+00:00,46.0,444.0
2020-01-01 09:00:00+00:00,39.0,475.0
2020-01-01 10:00:00+00:00,9.0,443.0
2020-01-01 11:00:00+00:00,7.0,435.0
2020-01-01 12:00:00+00:00,9.0,468.0
2020-01-01 13:00:00+00:00,27.0,546.0
2020-01-01 14:00:00+00:00,49.0,629.0
2020-01-01 15:00:00+00:00,65.0,748.0
2020-01-01 16:00:00+00:00,62.0,751.0
2020-01-01 17:00:00+00:00,57.0,734.0
2020-01-01 18:00:00+00:00,58.0,729.0
2020-01-01 19:00:00+00:00,67.0,723.0
2020-01-01 20:00:00+00:00,56.0,637.0
2020-01-01 21:00:00+00:00,68.0,638.0
2020-01-01 22:00:00+00:00,79.0,664.0
2020-01-01 23:00:00+00:00,66.0,562.0
2020-01-02 00:00:00+00:00,90.0,559.0
2020-01-02 01:00:00+00:00,89.0,559.0
2020-01-02 02:00:00+00:00,97.0,555.0
2020-01-02 03:00:00+00:00,100.0,573.0
2020-01-02 04:00:00+00:00,102.0,636.0
2020-01-02 05:00:00+00:00,92.0,651.0
2020-01-02 06:00:00+00:00,79.0,536.0
2020-01-02 07:00:00+00:00,38.0,571.0
2020-01-02 08:00:00+00:00,23.0,566.0
2020-01-02 09:00:00+00:00,25.0,578.0
2020-01-02 10:00:00+00:00,27.0,578.0
2020-01-02 11:00:00+00:00,31.0,595.0
2020-01-02 12:00:00+00:00,27.0,578.0
2020-01-02 13:00:00+00:00,28.0,582.0
2020-01-02 14:00:00+00:00,29.0,607.0
2020-01-02 15:00:00+00:00,26.0,571.0
2020-01-02 16:00:00+00:00,20.0,563.0
2020-01-02 17:00:00+00:00,17.0,613.0
2020-01-02 18:00:00+00:00,21.0,642.0
2020-01-02 19:00:00+00:00,21.0,667.0
2020-01-02 20:00:00+00:00,19.0,667.0
2020-01-02 21:00:00+00:00,23.0,639.0
2020-01-02 22:00:00+00:00,35.0,650.0
2020-01-02 23:00:00+00:00,46.0,625.0
2020-01-03 00:00:00+00:00,40.0,526.0
2020-01-03 01:00:00+00:00,41.0,596.0
2020-01-03 02:00:00+00:00,38.0,584.0
2020-01-03 03:00:00+00:00,35.0,575.0
2020-01-03 04:00:00+00:00,37.0,614.0
2020-01-03 05:00:00+00:00,31.0,561.0
2020-01-03 06:00:00+00:00,6.0,425.0
2020-01-03 07:00:00+00:00,10.0,479.0
2020-01-03 08:00:00+00:00,4.0,447.0
2020-01-03 09:00:00+00:00,9.0,465.0
2020-01-03 10:00:00+00:00,12.0,474.0
2020-01-03 11:00:00+00:00,12.0,414.0
2020-01-03 12:00:00+00:00,9.0,402.0
2020-01-03 13:00:00+00:00,19.0,436.0
2020-01-03 14:00:00+00:00,22.0,461.0
2020-01-03 15:00:00+00:00,10.0,412.0
2020-01-03 16:00:00+00:00,8.0,491.0
2020-01-03 17:00:00+00:00,14.0,596.0
2020-01-03 18:00:00+00:00,12.0,582.0
2020-01-03 19:00:00+00:00,20.0,610.0
2020-01-03 20:00:00+00:00,28.0,628.0
2020-01-03 21:00:00+00:00,36.0,647.0
2020-01-03 22:00:00+00:00,76.0,771.0
2020-01-03 23:00:00+00:00,117.0,622.0
2020-01-04 00:00:00+00:00,124.0,604.0
2020-01-04 01:00:00+00:00,140.0,614.0
2020-01-04 02:00:00+00:00,149.0,658.0
2020-01-04 03:00:00+00:00,144.0,619.0
2020-01-04 04:00:00+00:00,145.0,587.0
2020-01-04 05:00:00+00:00,121.0,591.0
2020-01-04 06:00:00+00:00,114.0,668.0
2020-01-04 07:00:00+00:00,84.0,689.0
2020-01-04 08:00:00+00:00,88.0,696.0
2020-01-04 09:00:00+00:00,93.0,668.0
2020-01-04 10:00:00+00:00,89.0,655.0
2020-01-04 11:00:00+00:00,82.0,627.0
2020-01-04 12:00:00+00:00,76.0,596.0
2020-01-04 13:00:00+00:00,85.0,621.0
2020-01-04 14:00:00+00:00,62.0,734.0
2020-01-04 15:00:00+00:00,40.0,637.0
2020-01-04 16:00:00+00:00,31.0,707.0
2020-01-04 17:00:00+00:00,30.0,717.0
2020-01-04 18:00:00+00:00,36.0,742.0
2020-01-04 19:00:00+00:00,45.0,759.0
2020-01-04 20:00:00+00:00,59.0,675.0
2020-01-04 21:00:00+00:00,80.0,678.0
2020-01-04 22:00:00+00:00,93.0,757.0
2020-01-04 23:00:00+00:00,137.0,802.0
2020-01-05 00:00:00+00:00,130.0,743.0
2020-01-05 01:00:00+00:00,130.0,693.0
2020-01-05 02:00:00+00:00,121.0,656.0
2020-01-05 03:00:00+00:00,121.0,661.0
2020-01-05 04:00:00+00:00,120.0,583.0
2020-01-05 05:00:00+00:00,126.0,619.0
2020-01-05 06:00:00+00:00,140.0,674.0
2020-01-05 07:00:00+00:00,145.0,723.0
2020-01-05 08:00:00+00:00,132.0,768.0
2020-01-05 09:00:00+00:00,123.0,748.0
2020-01-05 10:00:00+00:00,115.0,690.0
2020-01-05 11:00:00+00:00,103.0,631.0
2020-01-05 12:00:00+00:00,104.0,643.0
2020-01-05 13:00:00+00:00,109.0,672.0
2020-01-05 14:00:00+00:00,113.0,689.0
2020-01-05 15:00:00+00:00,105.0,815.0
2020-01-05 16:00:00+00:00,85.0,788.0
2020-01-05 17:00:00+00:00,69.0,736.0
2020-01-05 18:00:00+00:00,60.0,700.0
2020-01-05 19:00:00+00:00,59.0,671.0
2020-01-05 20:00:00+00:00,39.0,583.0
2020-01-05 21:00:00+00:00,85.0,634.0
2020-01-05 22:00:00+00:00,93.0,615.0
2020-01-05 23:00:00+00:00,91.0,494.0
2020-01-06 00:00:00+00:00,97.0,461.0
2020-01-06 01:00:00+00:00,75.0,399.0
2020-01-06 02:00:00+00:00,59.0,352.0
2020-01-06 03:00:00+00:00,53.0,314.0
2020-01-06 04:00:00+00:00,83.0,450.0
2020-01-06 05:00:00+00:00,67.0,460.0
2020-01-06 06:00:00+00:00,82.0,518.0
2020-01-06 07:00:00+00:00,38.0,555.0
2020-01-06 08:00:00+00:00,16.0,534.0
2020-01-06 09:00:00+00:00,14.0,518.0
2020-01-06 10:00:00+00:00,14.0,518.0
2020-01-06 11:00:00+00:00,18.0,529.0
2020-01-06 12:00:00+00:00,21.0,544.0
2020-01-06 13:00:00+00:00,24.0,562.0
2020-01-06 14:00:00+00:00,21.0,551.0
2020-01-06 15:00:00+00:00,15.0,568.0
2020-01-06 16:00:00+00:00,8.0,461.0
2020-01-06 17:00:00+00:00,7.0,447.0
2020-01-06 18:00:00+00:00,0.0,552.0
2020-01-06 19:00:00+00:00,21.0,571.0
2020-01-06 20:00:00+00:00,27.0,504.0
2020-01-06 21:00:00+00:00,57.0,508.0
