"Time (CET)","Day-ahead Total Load Forecast [MW] - Serbia (RS)","Actual Total Load [MW] - Serbia (RS)"
"01.01.2019 00:00 - 01.01.2019 01:00","5076","5290"
"01.01.2019 01:00 - 01.01.2019 02:00","5116","5282"
"01.01.2019 02:00 - 01.01.2019 03:00","4887","5067"
"01.01.2019 03:00 - 01.01.2019 04:00","4589","4739"
"01.01.2019 04:00 - 01.01.2019 05:00","4359","4445"
"01.01.2019 05:00 - 01.01.2019 06:00","4207","4204"
"01.01.2019 06:00 - 01.01.2019 07:00","4099","4310"
"01.01.2019 07:00 - 01.01.2019 08:00","4030","4145"
"01.01.2019 08:00 - 01.01.2019 09:00","4170","4323"
"01.01.2019 09:00 - 01.01.2019 10:00","4409","4585"
"01.01.2019 10:00 - 01.01.2019 11:00","4617","4952"
"01.01.2019 11:00 - 01.01.2019 12:00","4700","5047"
"01.01.2019 12:00 - 01.01.2019 13:00","4720","5133"
"01.01.2019 13:00 - 01.01.2019 14:00","4641","5100"
"01.01.2019 14:00 - 01.01.2019 15:00","4569","5036"
"01.01.2019 15:00 - 01.01.2019 16:00","4628","5026"
"01.01.2019 16:00 - 01.01.2019 17:00","4946","5282"
"01.01.2019 17:00 - 01.01.2019 18:00","5110","5467"
"01.01.2019 18:00 - 01.01.2019 19:00","5102","5443"
"01.01.2019 19:00 - 01.01.2019 20:00","5099","5482"
"01.01.2019 20:00 - 01.01.2019 21:00","5052","5372"
"01.01.2019 21:00 - 01.01.2019 22:00","4968","5274"
"01.01.2019 22:00 - 01.01.2019 23:00","4954","5309"
"01.01.2019 23:00 - 02.01.2019 00:00","4935","5406"
"02.01.2019 00:00 - 02.01.2019 01:00","5147","5301"
"02.01.2019 01:00 - 02.01.2019 02:00","4857","5157"
"02.01.2019 02:00 - 02.01.2019 03:00","4485","4668"
"02.01.2019 03:00 - 02.01.2019 04:00","4258","4507"
"02.01.2019 04:00 - 02.01.2019 05:00","4126","4306"
"02.01.2019 05:00 - 02.01.2019 06:00","4089","4264"
"02.01.2019 06:00 - 02.01.2019 07:00","4194","4390"
"02.01.2019 07:00 - 02.01.2019 08:00","4365","4575"
"02.01.2019 08:00 - 02.01.2019 09:00","4696","4862"
"02.01.2019 09:00 - 02.01.2019 10:00","5004","5171"
"02.01.2019 10:00 - 02.01.2019 11:00","5212","5369"
"02.01.2019 11:00 - 02.01.2019 12:00","5330","5457"
"02.01.2019 12:00 - 02.01.2019 13:00","5357","5484"
"02.01.2019 13:00 - 02.01.2019 14:00","5314","5458"
"02.01.2019 14:00 - 02.01.2019 15:00","5172","5337"
"02.01.2019 15:00 - 02.01.2019 16:00","5171","5344"
"02.01.2019 16:00 - 02.01.2019 17:00","5459","5636"
"02.01.2019 17:00 - 02.01.2019 18:00","5606","5765"
"02.01.2019 18:00 - 02.01.2019 19:00","5608","5726"
"02.01.2019 19:00 - 02.01.2019 20:00","5585","5708"
"02.01.2019 20:00 - 02.01.2019 21:00","5508","5706"
"02.01.2019 21:00 - 02.01.2019 22:00","5391","5628"
"02.01.2019 22:00 - 02.01.2019 23:00","5422","5671"
"02.01.2019 23:00 - 03.01.2019 00:00","5447","5657"
"03.01.2019 00:00 - 03.01.2019 01:00","5881","5512"
"03.01.2019 01:00 - 03.01.2019 02:00","5540","5209"
"03.01.2019 02:00 - 03.01.2019 03:00","5169","4836"
"03.01.2019 03:00 - 03.01.2019 04:00","4943","4564"
"03.01.2019 04:00 - 03.01.2019 05:00","4881","4425"
"03.01.2019 05:00 - 03.01.2019 06:00","5041","4588"
"03.01.2019 06:00 - 03.01.2019 07:00","5554","4836"
"03.01.2019 07:00 - 03.01.2019 08:00","5952","5186"
"03.01.2019 08:00 - 03.01.2019 09:00","6149","5561"
"03.01.2019 09:00 - 03.01.2019 10:00","6235","5800"
"03.01.2019 10:00 - 03.01.2019 11:00","6214","5974"
"03.01.2019 11:00 - 03.01.2019 12:00","6156","5975"
"03.01.2019 12:00 - 03.01.2019 13:00","6100","6024"
"03.01.2019 13:00 - 03.01.2019 14:00","6023","5975"
"03.01.2019 14:00 - 03.01.2019 15:00","5949","5853"
"03.01.2019 15:00 - 03.01.2019 16:00","5975","5844"
"03.01.2019 16:00 - 03.01.2019 17:00","6280","6110"
"03.01.2019 17:00 - 03.01.2019 18:00","6374","6243"
"03.01.2019 18:00 - 03.01.2019 19:00","6331","6186"
"03.01.2019 19:00 - 03.01.2019 20:00","6281","6163"
"03.01.2019 20:00 - 03.01.2019 21:00","6176","6115"
"03.01.2019 21:00 - 03.01.2019 22:00","6067","6001"
"03.01.2019 22:00 - 03.01.2019 23:00","6037","6066"
"03.01.2019 23:00 - 04.01.2019 00:00","6011","6036"
"04.01.2019 00:00 - 04.01.2019 01:00","5964","5877"
"04.01.2019 01:00 - 04.01.2019 02:00","5616","5481"
"04.01.2019 02:00 - 04.01.2019 03:00","5255","5105"
"04.01.2019 03:00 - 04.01.2019 04:00","5018","4854"
"04.01.2019 04:00 - 04.01.2019 05:00","4967","4715"
"04.01.2019 05:00 - 04.01.2019 06:00","5117","4839"
"04.01.2019 06:00 - 04.01.2019 07:00","5648","5101"
"04.01.2019 07:00 - 04.01.2019 08:00","6060","5405"
"04.01.2019 08:00 - 04.01.2019 09:00","6269","5767"
"04.01.2019 09:00 - 04.01.2019 10:00","6359","6023"
"04.01.2019 10:00 - 04.01.2019 11:00","6339","6080"
"04.01.2019 11:00 - 04.01.2019 12:00","6288","6109"
"04.01.2019 12:00 - 04.01.2019 13:00","6234","6105"
"04.01.2019 13:00 - 04.01.2019 14:00","6148","6011"
"04.01.2019 14:00 - 04.01.2019 15:00","6070","5995"
"04.01.2019 15:00 - 04.01.2019 16:00","6101","5960"
"04.01.2019 16:00 - 04.01.2019 17:00","6405","6265"
"04.01.2019 17:00 - 04.01.2019 18:00","6503","6370"
"04.01.2019 18:00 - 04.01.2019 19:00","6455","6351"
"04.01.2019 19:00 - 04.01.2019 20:00","6400","6304"
"04.01.2019 20:00 - 04.01.2019 21:00","6294","6217"
"04.01.2019 21:00 - 04.01.2019 22:00","6178","6121"
"04.01.2019 22:00 - 04.01.2019 23:00","6137","6118"
"04.01.2019 23:00 - 05.01.2019 00:00","6107","6077"
"05.01.2019 00:00 - 05.01.2019 01:00","5386","5999"
"05.01.2019 01:00 - 05.01.2019 02:00","5142","5596"
"05.01.2019 02:00 - 05.01.2019 03:00","4895","5226"
"05.01.2019 03:00 - 05.01.2019 04:00","4642","4945"
