"Time (CET)","Day-ahead Total Load Forecast [MW] - Slovakia (SK)","Actual Total Load [MW] - Slovakia (SK)"
"01.01.2019 00:00 - 01.01.2019 01:00","2860","2835"
"01.01.2019 01:00 - 01.01.2019 02:00","2700","2744"
"01.01.2019 02:00 - 01.01.2019 03:00","2630","2679"
"01.01.2019 03:00 - 01.01.2019 04:00","2590","2608"
"01.01.2019 04:00 - 01.01.2019 05:00","2580","2602"
"01.01.2019 05:00 - 01.01.2019 06:00","2600","2594"
"01.01.2019 06:00 - 01.01.2019 07:00","2630","2663"
"01.01.2019 07:00 - 01.01.2019 08:00","2580","2658"
"01.01.2019 08:00 - 01.01.2019 09:00","2750","2718"
"01.01.2019 09:00 - 01.01.2019 10:00","2950","2892"
"01.01.2019 10:00 - 01.01.2019 11:00","3150","2953"
"01.01.2019 11:00 - 01.01.2019 12:00","3150","3071"
"01.01.2019 12:00 - 01.01.2019 13:00","3100","3066"
"01.01.2019 13:00 - 01.01.2019 14:00","3120","3070"
"01.01.2019 14:00 - 01.01.2019 15:00","3080","3073"
"01.01.2019 15:00 - 01.01.2019 16:00","3060","3044"
"01.01.2019 16:00 - 01.01.2019 17:00","3130","3190"
"01.01.2019 17:00 - 01.01.2019 18:00","3160","3209"
"01.01.2019 18:00 - 01.01.2019 19:00","3180","3225"
"01.01.2019 19:00 - 01.01.2019 20:00","3300","3194"
"01.01.2019 20:00 - 01.01.2019 21:00","3080","3183"
"01.01.2019 21:00 - 01.01.2019 22:00","3000","3071"
"01.01.2019 22:00 - 01.01.2019 23:00","2880","2964"
"01.01.2019 23:00 - 02.01.2019 00:00","2830","2846"
"02.01.2019 00:00 - 02.01.2019 01:00","2750","2742"
"02.01.2019 01:00 - 02.01.2019 02:00","2710","2664"
"02.01.2019 02:00 - 02.01.2019 03:00","2670","2666"
"02.01.2019 03:00 - 02.01.2019 04:00","2660","2647"
"02.01.2019 04:00 - 02.01.2019 05:00","2790","2721"
"02.01.2019 05:00 - 02.01.2019 06:00","3100","2883"
"02.01.2019 06:00 - 02.01.2019 07:00","3530","3183"
"02.01.2019 07:00 - 02.01.2019 08:00","3570","3340"
"02.01.2019 08:00 - 02.01.2019 09:00","3710","3503"
"02.01.2019 09:00 - 02.01.2019 10:00","3660","3677"
"02.01.2019 10:00 - 02.01.2019 11:00","3700","3668"
"02.01.2019 11:00 - 02.01.2019 12:00","3680","3773"
"02.01.2019 12:00 - 02.01.2019 13:00","3730","3770"
"02.01.2019 13:00 - 02.01.2019 14:00","3670","3750"
"02.01.2019 14:00 - 02.01.2019 15:00","3690","3720"
"02.01.2019 15:00 - 02.01.2019 16:00","3770","3691"
"02.01.2019 16:00 - 02.01.2019 17:00","3840","3840"
"02.01.2019 17:00 - 02.01.2019 18:00","3720","3857"
"02.01.2019 18:00 - 02.01.2019 19:00","3760","3809"
"02.01.2019 19:00 - 02.01.2019 20:00","3650","3759"
"02.01.2019 20:00 - 02.01.2019 21:00","3560","3690"
"02.01.2019 21:00 - 02.01.2019 22:00","3390","3524"
"02.01.2019 22:00 - 02.01.2019 23:00","3190","3378"
"02.01.2019 23:00 - 03.01.2019 00:00","3110","3212"
"03.01.2019 00:00 - 03.01.2019 01:00","2950","3114"
"03.01.2019 01:00 - 03.01.2019 02:00","2860","3005"
"03.01.2019 02:00 - 03.01.2019 03:00","2840","2984"
"03.01.2019 03:00 - 03.01.2019 04:00","2840","2998"
"03.01.2019 04:00 - 03.01.2019 05:00","2950","3044"
"03.01.2019 05:00 - 03.01.2019 06:00","3230","3184"
"03.01.2019 06:00 - 03.01.2019 07:00","3420","3459"
"03.01.2019 07:00 - 03.01.2019 08:00","3540","3617"
"03.01.2019 08:00 - 03.01.2019 09:00","3670","3769"
"03.01.2019 09:00 - 03.01.2019 10:00","3750","3877"
"03.01.2019 10:00 - 03.01.2019 11:00","3760","3855"
"03.01.2019 11:00 - 03.01.2019 12:00","3830","3957"
"03.01.2019 12:00 - 03.01.2019 13:00","3800","3946"
"03.01.2019 13:00 - 03.01.2019 14:00","3790","3937"
"03.01.2019 14:00 - 03.01.2019 15:00","3790","3903"
"03.01.2019 15:00 - 03.01.2019 16:00","3780","3846"
"03.01.2019 16:00 - 03.01.2019 17:00","3870","4015"
"03.01.2019 17:00 - 03.01.2019 18:00","3830","3997"
"03.01.2019 18:00 - 03.01.2019 19:00","3830","3971"
"03.01.2019 19:00 - 03.01.2019 20:00","3770","3909"
"03.01.2019 20:00 - 03.01.2019 21:00","3620","3847"
"03.01.2019 21:00 - 03.01.2019 22:00","3430","3655"
"03.01.2019 22:00 - 03.01.2019 23:00","3240","3486"
"03.01.2019 23:00 - 04.01.2019 00:00","3150","3352"
"04.01.2019 00:00 - 04.01.2019 01:00","3060","3233"
"04.01.2019 01:00 - 04.01.2019 02:00","3020","3102"
"04.01.2019 02:00 - 04.01.2019 03:00","2980","3108"
"04.01.2019 03:00 - 04.01.2019 04:00","3000","3081"
"04.01.2019 04:00 - 04.01.2019 05:00","3120","3160"
"04.01.2019 05:00 - 04.01.2019 06:00","3390","3299"
"04.01.2019 06:00 - 04.01.2019 07:00","3590","3607"
"04.01.2019 07:00 - 04.01.2019 08:00","3750","3768"
"04.01.2019 08:00 - 04.01.2019 09:00","3880","3882"
"04.01.2019 09:00 - 04.01.2019 10:00","3880","3972"
"04.01.2019 10:00 - 04.01.2019 11:00","3930","3913"
"04.01.2019 11:00 - 04.01.2019 12:00","3950","4054"
"04.01.2019 12:00 - 04.01.2019 13:00","3940","4004"
"04.01.2019 13:00 - 04.01.2019 14:00","3910","4005"
"04.01.2019 14:00 - 04.01.2019 15:00","3880","3947"
"04.01.2019 15:00 - 04.01.2019 16:00","3880","3932"
"04.01.2019 16:00 - 04.01.2019 17:00","4000","4105"
"04.01.2019 17:00 - 04.01.2019 18:00","3920","4068"
"04.01.2019 18:00 - 04.01.2019 19:00","3920","4013"
"04.01.2019 19:00 - 04.01.2019 20:00","3880","3961"
"04.01.2019 20:00 - 04.01.2019 21:00","3720","3882"
"04.01.2019 21:00 - 04.01.2019 22:00","3570","3657"
"04.01.2019 22:00 - 04.01.2019 23:00","3380","3478"
"04.01.2019 23:00 - 05.01.2019 00:00","3280","3354"
"05.01.2019 00:00 - 05.01.2019 01:00","3100","3223"
"05.01.2019 01:00 - 05.01.2019 02:00","3000","3078"
"05.01.2019 02:00 - 05.01.2019 03:00","3000","3060"
"05.01.2019 03:00 - 05.01.2019 04:00","2970","3065"
"05.01.2019 04:00 - 05.01.2019 05:00","3000","3116"
"05.01.2019 05:00 - 05.01.2019 06:00","3120","3133"
"05.01.2019 06:00 - 05.01.2019 07:00","3180","3232"
"05.01.2019 07:00 - 05.01.2019 08:00","3200","3308"
"05.01.2019 08:00 - 05.01.2019 09:00","3480","3458"
"05.01.2019 09:00 - 05.01.2019 10:00","3700","3685"
"05.01.2019 10:00 - 05.01.2019 11:00","3800","3750"
"05.01.2019 11:00 - 05.01.2019 12:00","3890","3898"
"05.01.2019 12:00 - 05.01.2019 13:00","3880","3829"
"05.01.2019 13:00 - 05.01.2019 14:00","3780","3745"
"05.01.2019 14:00 - 05.01.2019 15:00","3600","3630"
"05.01.2019 15:00 - 05.01.2019 16:00","3580","3579"
"05.01.2019 16:00 - 05.01.2019 17:00","3700","3790"
"05.01.2019 17:00 - 05.01.2019 18:00","3720","3788"
"05.01.2019 18:00 - 05.01.2019 19:00","3700","3751"
"05.01.2019 19:00 - 05.01.2019 20:00","3580","3672"
"05.01.2019 20:00 - 05.01.2019 21:00","3520","3586"
"05.01.2019 21:00 - 05.01.2019 22:00","3410","3461"
"05.01.2019 22:00 - 05.01.2019 23:00","3220","3297"
"05.01.2019 23:00 - 06.01.2019 00:00","3090","3172"
"06.01.2019 00:00 - 06.01.2019 01:00","3030","3049"
"06.01.2019 01:00 - 06.01.2019 02:00","2960","2932"
"06.01.2019 02:00 - 06.01.2019 03:00","2930","2918"
"06.01.2019 03:00 - 06.01.2019 04:00","2920","2905"
"06.01.2019 04:00 - 06.01.2019 05:00","2970","2933"
"06.01.2019 05:00 - 06.01.2019 06:00","3030","2947"
"06.01.2019 06:00 - 06.01.2019 07:00","3150","3045"
"06.01.2019 07:00 - 06.01.2019 08:00","3200","3128"
"06.01.2019 08:00 - 06.01.2019 09:00","3480","3299"
"06.01.2019 09:00 - 06.01.2019 10:00","3630","3544"
"06.01.2019 10:00 - 06.01.2019 11:00","3800","3611"
"06.01.2019 11:00 - 06.01.2019 12:00","3720","3750"
"06.01.2019 12:00 - 06.01.2019 13:00","3580","3617"
"06.01.2019 13:00 - 06.01.2019 14:00","3520","3532"
"06.01.2019 14:00 - 06.01.2019 15:00","3430","3439"
"06.01.2019 15:00 - 06.01.2019 16:00","3560","3404"
"06.01.2019 16:00 - 06.01.2019 17:00","3690","3655"
"06.01.2019 17:00 - 06.01.2019 18:00","3680","3657"
"06.01.2019 18:00 - 06.01.2019 19:00","3730","3649"
"06.01.2019 19:00 - 06.01.2019 20:00","3700","3617"
"06.01.2019 20:00 - 06.01.2019 21:00","3550","3593"
"06.01.2019 21:00 - 06.01.2019 22:00","3500","3419"
"06.01.2019 22:00 - 06.01.2019 23:00","3260","3296"
"06.01.2019 23:00 - 07.01.2019 00:00","3180","3160"
"07.01.2019 00:00 - 07.01.2019 01:00","3120","3117"
"07.01.2019 01:00 - 07.01.2019 02:00","3050","3015"
"07.01.2019 02:00 - 07.01.2019 03:00","3050","2998"
"07.01.2019 03:00 - 07.01.2019 04:00","3100","2974"
"07.01.2019 04:00 - 07.01.2019 05:00","3200","3091"
"07.01.2019 05:00 - 07.01.2019 06:00","3650","3321"
"07.01.2019 06:00 - 07.01.2019 07:00","4030","3786"
"07.01.2019 07:00 - 07.01.2019 08:00","4040","4015"
"07.01.2019 08:00 - 07.01.2019 09:00","4200","4162"
"07.01.2019 09:00 - 07.01.2019 10:00","4100","4232"
"07.01.2019 10:00 - 07.01.2019 11:00","4080","4154"
"07.01.2019 11:00 - 07.01.2019 12:00","4060","4241"
"07.01.2019 12:00 - 07.01.2019 13:00","4090","4222"
"07.01.2019 13:00 - 07.01.2019 14:00","4030","4200"
"07.01.2019 14:00 - 07.01.2019 15:00","4080","4161"
"07.01.2019 15:00 - 07.01.2019 16:00","4100","4118"
"07.01.2019 16:00 - 07.01.2019 17:00","4280","4292"
"07.01.2019 17:00 - 07.01.2019 18:00","4200","4309"
"07.01.2019 18:00 - 07.01.2019 19:00","4200","4292"
"07.01.2019 19:00 - 07.01.2019 20:00","4070","4249"
"07.01.2019 20:00 - 07.01.2019 21:00","3910","4144"
"07.01.2019 21:00 - 07.01.2019 22:00","3650","3923"
"07.01.2019 22:00 - 07.01.2019 23:00","3470","3714"
"07.01.2019 23:00 - 08.01.2019 00:00","3390","3534"
"08.01.2019 00:00 - 08.01.2019 01:00","3280","3424"
"08.01.2019 01:00 - 08.01.2019 02:00","3250","3339"
"08.01.2019 02:00 - 08.01.2019 03:00","3230","3336"
"08.01.2019 03:00 - 08.01.2019 04:00","3190","3310"
"08.01.2019 04:00 - 08.01.2019 05:00","3240","3376"
"08.01.2019 05:00 - 08.01.2019 06:00","3460","3599"
"08.01.2019 06:00 - 08.01.2019 07:00","3920","4051"
"08.01.2019 07:00 - 08.01.2019 08:00","4090","4283"
"08.01.2019 08:00 - 08.01.2019 09:00","4240","4387"
"08.01.2019 09:00 - 08.01.2019 10:00","4220","4488"
"08.01.2019 10:00 - 08.01.2019 11:00","4270","4381"
