"Time (CET)","Day-ahead Total Load Forecast [MW] - Ukraine (UA)","Actual Total Load [MW] - Ukraine (UA)"
"01.01.2019 00:00 - 01.01.2019 01:00","17524","16997"
"01.01.2019 01:00 - 01.01.2019 02:00","17008","16726"
"01.01.2019 02:00 - 01.01.2019 03:00","16596","16572"
"01.01.2019 03:00 - 01.01.2019 04:00","16493","16449"
"01.01.2019 04:00 - 01.01.2019 05:00","16390","16300"
"01.01.2019 05:00 - 01.01.2019 06:00","16184","16009"
"01.01.2019 06:00 - 01.01.2019 07:00","15977","16767"
"01.01.2019 07:00 - 01.01.2019 08:00","16802","17396"
"01.01.2019 08:00 - 01.01.2019 09:00","17524","N/A"
"01.01.2019 09:00 - 01.01.2019 10:00","18142","N/A"
"01.01.2019 10:00 - 01.01.2019 11:00","18245","N/A"
"01.01.2019 11:00 - 01.01.2019 12:00","18039","N/A"
"01.01.2019 12:00 - 01.01.2019 13:00","18142","N/A"
"01.01.2019 13:00 - 01.01.2019 14:00","18245","N/A"
"01.01.2019 14:00 - 01.01.2019 15:00","18761","N/A"
"01.01.2019 15:00 - 01.01.2019 16:00","19585","N/A"
"01.01.2019 16:00 - 01.01.2019 17:00","19791","N/A"
"01.01.2019 17:00 - 01.01.2019 18:00","19688","N/A"
"01.01.2019 18:00 - 01.01.2019 19:00","19379","N/A"
"01.01.2019 19:00 - 01.01.2019 20:00","19173","N/A"
"01.01.2019 20:00 - 01.01.2019 21:00","18864","N/A"
"01.01.2019 21:00 - 01.01.2019 22:00","18348","N/A"
"01.01.2019 22:00 - 01.01.2019 23:00","N/A","17091"
"01.01.2019 23:00 - 02.01.2019 00:00","N/A","16533"
"02.01.2019 00:00 - 02.01.2019 01:00","N/A","16580"
"02.01.2019 01:00 - 02.01.2019 02:00","N/A","16428"
"02.01.2019 02:00 - 02.01.2019 03:00","N/A","16652"
"02.01.2019 03:00 - 02.01.2019 04:00","N/A","17094"
"02.01.2019 04:00 - 02.01.2019 05:00","N/A","17839"
"02.01.2019 05:00 - 02.01.2019 06:00","N/A","18720"
"02.01.2019 06:00 - 02.01.2019 07:00","N/A","20069"
"02.01.2019 07:00 - 02.01.2019 08:00","N/A","20927"
"02.01.2019 08:00 - 02.01.2019 09:00","N/A","21551"
"02.01.2019 09:00 - 02.01.2019 10:00","N/A","21364"
"02.01.2019 10:00 - 02.01.2019 11:00","N/A","21271"
"02.01.2019 11:00 - 02.01.2019 12:00","N/A","21109"
"02.01.2019 12:00 - 02.01.2019 13:00","N/A","21238"
"02.01.2019 13:00 - 02.01.2019 14:00","N/A","21468"
"02.01.2019 14:00 - 02.01.2019 15:00","N/A","21777"
"02.01.2019 15:00 - 02.01.2019 16:00","N/A","21875"
"02.01.2019 16:00 - 02.01.2019 17:00","N/A","21653"
"02.01.2019 17:00 - 02.01.2019 18:00","N/A","21073"
"02.01.2019 18:00 - 02.01.2019 19:00","N/A","20777"
"02.01.2019 19:00 - 02.01.2019 20:00","N/A","20334"
"02.01.2019 20:00 - 02.01.2019 21:00","N/A","19533"
"02.01.2019 21:00 - 02.01.2019 22:00","N/A","18819"
"02.01.2019 22:00 - 02.01.2019 23:00","18864","17914"
"02.01.2019 23:00 - 03.01.2019 00:00","18142","17316"
"03.01.2019 00:00 - 03.01.2019 01:00","17627","16991"
"03.01.2019 01:00 - 03.01.2019 02:00","17421","16865"
"03.01.2019 02:00 - 03.01.2019 03:00","17317","17158"
"03.01.2019 03:00 - 03.01.2019 04:00","17524","17598"
"03.01.2019 04:00 - 03.01.2019 05:00","18142","18556"
"03.01.2019 05:00 - 03.01.2019 06:00","19070","19620"
"03.01.2019 06:00 - 03.01.2019 07:00","19894","20809"
"03.01.2019 07:00 - 03.01.2019 08:00","21028","21639"
"03.01.2019 08:00 - 03.01.2019 09:00","21853","22122"
"03.01.2019 09:00 - 03.01.2019 10:00","22059","21848"
"03.01.2019 10:00 - 03.01.2019 11:00","21853","21791"
"03.01.2019 11:00 - 03.01.2019 12:00","21750","21914"
"03.01.2019 12:00 - 03.01.2019 13:00","21750","21835"
"03.01.2019 13:00 - 03.01.2019 14:00","21853","22238"
"03.01.2019 14:00 - 03.01.2019 15:00","22265","22533"
"03.01.2019 15:00 - 03.01.2019 16:00","22678","22403"
"03.01.2019 16:00 - 03.01.2019 17:00","22987","22077"
"03.01.2019 17:00 - 03.01.2019 18:00","22678","21628"
"03.01.2019 18:00 - 03.01.2019 19:00","22265","21431"
"03.01.2019 19:00 - 03.01.2019 20:00","21853","20892"
"03.01.2019 20:00 - 03.01.2019 21:00","21234","19987"
"03.01.2019 21:00 - 03.01.2019 22:00","20307","19397"
"03.01.2019 22:00 - 03.01.2019 23:00","19276","18267"
"03.01.2019 23:00 - 04.01.2019 00:00","18039","17833"
"04.01.2019 00:00 - 04.01.2019 01:00","17524","17557"
"04.01.2019 01:00 - 04.01.2019 02:00","17214","17560"
"04.01.2019 02:00 - 04.01.2019 03:00","17111","17689"
"04.01.2019 03:00 - 04.01.2019 04:00","17421","18263"
"04.01.2019 04:00 - 04.01.2019 05:00","17936","19158"
"04.01.2019 05:00 - 04.01.2019 06:00","18967","19913"
"04.01.2019 06:00 - 04.01.2019 07:00","19791","21222"
"04.01.2019 07:00 - 04.01.2019 08:00","21028","22296"
"04.01.2019 08:00 - 04.01.2019 09:00","21750","22591"
"04.01.2019 09:00 - 04.01.2019 10:00","22162","22497"
