"Time (CET)","France (FR) > Belgium (BE) [MW]","Belgium (BE) > France (FR) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","152"
"01.01.2019 01:00 - 01.01.2019 02:00","0","324"
"01.01.2019 02:00 - 01.01.2019 03:00","0","190"
"01.01.2019 03:00 - 01.01.2019 04:00","0","8"
"01.01.2019 04:00 - 01.01.2019 05:00","0","291"
"01.01.2019 05:00 - 01.01.2019 06:00","0","875"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1005"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1334"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1491"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1170"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1042"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1194"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1090"
"01.01.2019 13:00 - 01.01.2019 14:00","0","892"
"01.01.2019 14:00 - 01.01.2019 15:00","0","664"
"01.01.2019 15:00 - 01.01.2019 16:00","0","557"
"01.01.2019 16:00 - 01.01.2019 17:00","0","644"
"01.01.2019 17:00 - 01.01.2019 18:00","0","279"
"01.01.2019 18:00 - 01.01.2019 19:00","0","220"
"01.01.2019 19:00 - 01.01.2019 20:00","0","329"
"01.01.2019 20:00 - 01.01.2019 21:00","0","554"
"01.01.2019 21:00 - 01.01.2019 22:00","0","156"
"01.01.2019 22:00 - 01.01.2019 23:00","0","23"
"01.01.2019 23:00 - 02.01.2019 00:00","0","50"
"02.01.2019 00:00 - 02.01.2019 01:00","0","549"
"02.01.2019 01:00 - 02.01.2019 02:00","0","741"
"02.01.2019 02:00 - 02.01.2019 03:00","0","493"
"02.01.2019 03:00 - 02.01.2019 04:00","0","573"
"02.01.2019 04:00 - 02.01.2019 05:00","0","553"
"02.01.2019 05:00 - 02.01.2019 06:00","0","700"
"02.01.2019 06:00 - 02.01.2019 07:00","0","637"
"02.01.2019 07:00 - 02.01.2019 08:00","0","399"
"02.01.2019 08:00 - 02.01.2019 09:00","0","59"
"02.01.2019 09:00 - 02.01.2019 10:00","0","461"
"02.01.2019 10:00 - 02.01.2019 11:00","0","465"
"02.01.2019 11:00 - 02.01.2019 12:00","0","570"
"02.01.2019 12:00 - 02.01.2019 13:00","0","682"
"02.01.2019 13:00 - 02.01.2019 14:00","0","673"
"02.01.2019 14:00 - 02.01.2019 15:00","0","356"
"02.01.2019 15:00 - 02.01.2019 16:00","114","0"
"02.01.2019 16:00 - 02.01.2019 17:00","87","0"
"02.01.2019 17:00 - 02.01.2019 18:00","421","0"
"02.01.2019 18:00 - 02.01.2019 19:00","0","373"
"02.01.2019 19:00 - 02.01.2019 20:00","0","823"
"02.01.2019 20:00 - 02.01.2019 21:00","0","1083"
"02.01.2019 21:00 - 02.01.2019 22:00","0","513"
"02.01.2019 22:00 - 02.01.2019 23:00","0","849"
"02.01.2019 23:00 - 03.01.2019 00:00","0","851"
"03.01.2019 00:00 - 03.01.2019 01:00","0","665"
"03.01.2019 01:00 - 03.01.2019 02:00","0","366"
"03.01.2019 02:00 - 03.01.2019 03:00","0","146"
"03.01.2019 03:00 - 03.01.2019 04:00","228","0"
"03.01.2019 04:00 - 03.01.2019 05:00","354","0"
"03.01.2019 05:00 - 03.01.2019 06:00","0","179"
"03.01.2019 06:00 - 03.01.2019 07:00","0","639"
"03.01.2019 07:00 - 03.01.2019 08:00","0","752"
"03.01.2019 08:00 - 03.01.2019 09:00","0","1328"
"03.01.2019 09:00 - 03.01.2019 10:00","0","1059"
"03.01.2019 10:00 - 03.01.2019 11:00","0","814"
"03.01.2019 11:00 - 03.01.2019 12:00","0","945"
"03.01.2019 12:00 - 03.01.2019 13:00","0","1382"
"03.01.2019 13:00 - 03.01.2019 14:00","0","696"
"03.01.2019 14:00 - 03.01.2019 15:00","0","131"
"03.01.2019 15:00 - 03.01.2019 16:00","439","0"
"03.01.2019 16:00 - 03.01.2019 17:00","938","0"
"03.01.2019 17:00 - 03.01.2019 18:00","902","0"
"03.01.2019 18:00 - 03.01.2019 19:00","0","409"
"03.01.2019 19:00 - 03.01.2019 20:00","0","1091"
"03.01.2019 20:00 - 03.01.2019 21:00","0","1895"
"03.01.2019 21:00 - 03.01.2019 22:00","0","2057"
"03.01.2019 22:00 - 03.01.2019 23:00","0","1858"
"03.01.2019 23:00 - 04.01.2019 00:00","0","1601"
"04.01.2019 00:00 - 04.01.2019 01:00","0","1737"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1806"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1861"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1833"
"04.01.2019 04:00 - 04.01.2019 05:00","0","1854"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1891"
"04.01.2019 06:00 - 04.01.2019 07:00","0","1894"
"04.01.2019 07:00 - 04.01.2019 08:00","0","2223"
"04.01.2019 08:00 - 04.01.2019 09:00","0","2035"
"04.01.2019 09:00 - 04.01.2019 10:00","0","1707"
"04.01.2019 10:00 - 04.01.2019 11:00","0","1514"
"04.01.2019 11:00 - 04.01.2019 12:00","0","1450"
"04.01.2019 12:00 - 04.01.2019 13:00","0","757"
"04.01.2019 13:00 - 04.01.2019 14:00","0","1184"
"04.01.2019 14:00 - 04.01.2019 15:00","0","1094"
"04.01.2019 15:00 - 04.01.2019 16:00","0","1109"
"04.01.2019 16:00 - 04.01.2019 17:00","0","1099"
"04.01.2019 17:00 - 04.01.2019 18:00","0","1062"
"04.01.2019 18:00 - 04.01.2019 19:00","0","1455"
"04.01.2019 19:00 - 04.01.2019 20:00","0","1150"
"04.01.2019 20:00 - 04.01.2019 21:00","0","1304"
"04.01.2019 21:00 - 04.01.2019 22:00","0","1695"
"04.01.2019 22:00 - 04.01.2019 23:00","0","1269"
"04.01.2019 23:00 - 05.01.2019 00:00","0","1226"
"05.01.2019 00:00 - 05.01.2019 01:00","0","1107"
"05.01.2019 01:00 - 05.01.2019 02:00","0","1138"
