"Time (CET)","Austria (AT) > Switzerland (CH) [MW]","Switzerland (CH) > Austria (AT) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","763","0"
"01.01.2019 01:00 - 01.01.2019 02:00","497","0"
"01.01.2019 02:00 - 01.01.2019 03:00","427","0"
"01.01.2019 03:00 - 01.01.2019 04:00","452","0"
"01.01.2019 04:00 - 01.01.2019 05:00","603","0"
"01.01.2019 05:00 - 01.01.2019 06:00","555","0"
"01.01.2019 06:00 - 01.01.2019 07:00","690","0"
"01.01.2019 07:00 - 01.01.2019 08:00","782","0"
"01.01.2019 08:00 - 01.01.2019 09:00","759","0"
"01.01.2019 09:00 - 01.01.2019 10:00","803","0"
"01.01.2019 10:00 - 01.01.2019 11:00","801","0"
"01.01.2019 11:00 - 01.01.2019 12:00","662","0"
"01.01.2019 12:00 - 01.01.2019 13:00","592","0"
"01.01.2019 13:00 - 01.01.2019 14:00","559","0"
"01.01.2019 14:00 - 01.01.2019 15:00","765","0"
"01.01.2019 15:00 - 01.01.2019 16:00","906","0"
"01.01.2019 16:00 - 01.01.2019 17:00","886","0"
"01.01.2019 17:00 - 01.01.2019 18:00","910","0"
"01.01.2019 18:00 - 01.01.2019 19:00","876","0"
"01.01.2019 19:00 - 01.01.2019 20:00","934","0"
"01.01.2019 20:00 - 01.01.2019 21:00","1098","0"
"01.01.2019 21:00 - 01.01.2019 22:00","1051","0"
"01.01.2019 22:00 - 01.01.2019 23:00","933","0"
"01.01.2019 23:00 - 02.01.2019 00:00","869","0"
"02.01.2019 00:00 - 02.01.2019 01:00","828","0"
"02.01.2019 01:00 - 02.01.2019 02:00","836","0"
"02.01.2019 02:00 - 02.01.2019 03:00","852","0"
"02.01.2019 03:00 - 02.01.2019 04:00","878","0"
"02.01.2019 04:00 - 02.01.2019 05:00","892","0"
"02.01.2019 05:00 - 02.01.2019 06:00","976","0"
"02.01.2019 06:00 - 02.01.2019 07:00","1067","0"
"02.01.2019 07:00 - 02.01.2019 08:00","1292","0"
"02.01.2019 08:00 - 02.01.2019 09:00","1448","0"
"02.01.2019 09:00 - 02.01.2019 10:00","1243","0"
"02.01.2019 10:00 - 02.01.2019 11:00","1057","0"
"02.01.2019 11:00 - 02.01.2019 12:00","961","0"
"02.01.2019 12:00 - 02.01.2019 13:00","872","0"
"02.01.2019 13:00 - 02.01.2019 14:00","1092","0"
"02.01.2019 14:00 - 02.01.2019 15:00","1292","0"
"02.01.2019 15:00 - 02.01.2019 16:00","1335","0"
"02.01.2019 16:00 - 02.01.2019 17:00","1022","0"
"02.01.2019 17:00 - 02.01.2019 18:00","859","0"
"02.01.2019 18:00 - 02.01.2019 19:00","956","0"
"02.01.2019 19:00 - 02.01.2019 20:00","1091","0"
"02.01.2019 20:00 - 02.01.2019 21:00","1294","0"
"02.01.2019 21:00 - 02.01.2019 22:00","1312","0"
"02.01.2019 22:00 - 02.01.2019 23:00","1409","0"
"02.01.2019 23:00 - 03.01.2019 00:00","1388","0"
"03.01.2019 00:00 - 03.01.2019 01:00","1328","0"
"03.01.2019 01:00 - 03.01.2019 02:00","1240","0"
"03.01.2019 02:00 - 03.01.2019 03:00","1249","0"
"03.01.2019 03:00 - 03.01.2019 04:00","1262","0"
"03.01.2019 04:00 - 03.01.2019 05:00","1165","0"
"03.01.2019 05:00 - 03.01.2019 06:00","1466","0"
"03.01.2019 06:00 - 03.01.2019 07:00","1451","0"
"03.01.2019 07:00 - 03.01.2019 08:00","1014","0"
"03.01.2019 08:00 - 03.01.2019 09:00","1293","0"
"03.01.2019 09:00 - 03.01.2019 10:00","545","0"
"03.01.2019 10:00 - 03.01.2019 11:00","342","0"
"03.01.2019 11:00 - 03.01.2019 12:00","616","0"
"03.01.2019 12:00 - 03.01.2019 13:00","849","0"
"03.01.2019 13:00 - 03.01.2019 14:00","892","0"
"03.01.2019 14:00 - 03.01.2019 15:00","751","0"
"03.01.2019 15:00 - 03.01.2019 16:00","804","0"
"03.01.2019 16:00 - 03.01.2019 17:00","890","0"
"03.01.2019 17:00 - 03.01.2019 18:00","1015","0"
"03.01.2019 18:00 - 03.01.2019 19:00","1052","0"
"03.01.2019 19:00 - 03.01.2019 20:00","1028","0"
"03.01.2019 20:00 - 03.01.2019 21:00","1193","0"
"03.01.2019 21:00 - 03.01.2019 22:00","1363","0"
"03.01.2019 22:00 - 03.01.2019 23:00","1483","0"
"03.01.2019 23:00 - 04.01.2019 00:00","1389","0"
"04.01.2019 00:00 - 04.01.2019 01:00","1422","0"
"04.01.2019 01:00 - 04.01.2019 02:00","1499","0"
"04.01.2019 02:00 - 04.01.2019 03:00","1703","0"
"04.01.2019 03:00 - 04.01.2019 04:00","1648","0"
"04.01.2019 04:00 - 04.01.2019 05:00","1532","0"
"04.01.2019 05:00 - 04.01.2019 06:00","1535","0"
"04.01.2019 06:00 - 04.01.2019 07:00","1196","0"
"04.01.2019 07:00 - 04.01.2019 08:00","1080","0"
