"Time (CET)","Germany (DE) > France (FR) [MW]","France (FR) > Germany (DE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","1044","0"
"01.01.2019 01:00 - 01.01.2019 02:00","625","0"
"01.01.2019 02:00 - 01.01.2019 03:00","388","0"
"01.01.2019 03:00 - 01.01.2019 04:00","176","0"
"01.01.2019 04:00 - 01.01.2019 05:00","706","0"
"01.01.2019 05:00 - 01.01.2019 06:00","1088","0"
"01.01.2019 06:00 - 01.01.2019 07:00","1192","0"
"01.01.2019 07:00 - 01.01.2019 08:00","1296","0"
"01.01.2019 08:00 - 01.01.2019 09:00","1309","0"
"01.01.2019 09:00 - 01.01.2019 10:00","919","0"
"01.01.2019 10:00 - 01.01.2019 11:00","1039","0"
"01.01.2019 11:00 - 01.01.2019 12:00","1089","0"
"01.01.2019 12:00 - 01.01.2019 13:00","1179","0"
"01.01.2019 13:00 - 01.01.2019 14:00","1402","0"
"01.01.2019 14:00 - 01.01.2019 15:00","1199","0"
"01.01.2019 15:00 - 01.01.2019 16:00","1192","0"
"01.01.2019 16:00 - 01.01.2019 17:00","1149","0"
"01.01.2019 17:00 - 01.01.2019 18:00","839","0"
"01.01.2019 18:00 - 01.01.2019 19:00","534","0"
"01.01.2019 19:00 - 01.01.2019 20:00","564","0"
"01.01.2019 20:00 - 01.01.2019 21:00","627","0"
"01.01.2019 21:00 - 01.01.2019 22:00","260","0"
"01.01.2019 22:00 - 01.01.2019 23:00","240","0"
"01.01.2019 23:00 - 02.01.2019 00:00","226","0"
"02.01.2019 00:00 - 02.01.2019 01:00","110","0"
"02.01.2019 01:00 - 02.01.2019 02:00","19","0"
"02.01.2019 02:00 - 02.01.2019 03:00","69","0"
"02.01.2019 03:00 - 02.01.2019 04:00","159","0"
"02.01.2019 04:00 - 02.01.2019 05:00","182","0"
"02.01.2019 05:00 - 02.01.2019 06:00","0","31"
"02.01.2019 06:00 - 02.01.2019 07:00","0","269"
"02.01.2019 07:00 - 02.01.2019 08:00","0","153"
