"Time (CET)","United Kingdom (UK) > France (FR) [MW]","France (FR) > United Kingdom (UK) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","1563"
"01.01.2019 01:00 - 01.01.2019 02:00","0","1567"
"01.01.2019 02:00 - 01.01.2019 03:00","0","1517"
"01.01.2019 03:00 - 01.01.2019 04:00","0","1518"
"01.01.2019 04:00 - 01.01.2019 05:00","0","1413"
"01.01.2019 05:00 - 01.01.2019 06:00","0","967"
"01.01.2019 06:00 - 01.01.2019 07:00","0","565"
"01.01.2019 07:00 - 01.01.2019 08:00","0","519"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1657"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1660"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1763"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1864"
"01.01.2019 12:00 - 01.01.2019 13:00","0","2013"
"01.01.2019 13:00 - 01.01.2019 14:00","0","2013"
"01.01.2019 14:00 - 01.01.2019 15:00","0","2013"
"01.01.2019 15:00 - 01.01.2019 16:00","0","2013"
"01.01.2019 16:00 - 01.01.2019 17:00","0","2014"
"01.01.2019 17:00 - 01.01.2019 18:00","0","2014"
"01.01.2019 18:00 - 01.01.2019 19:00","0","2015"
"01.01.2019 19:00 - 01.01.2019 20:00","0","2014"
"01.01.2019 20:00 - 01.01.2019 21:00","0","2013"
"01.01.2019 21:00 - 01.01.2019 22:00","0","2014"
"01.01.2019 22:00 - 01.01.2019 23:00","0","1884"
"01.01.2019 23:00 - 02.01.2019 00:00","0","649"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1501"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1912"
"02.01.2019 02:00 - 02.01.2019 03:00","0","1912"
"02.01.2019 03:00 - 02.01.2019 04:00","0","1911"
"02.01.2019 04:00 - 02.01.2019 05:00","0","1910"
"02.01.2019 05:00 - 02.01.2019 06:00","0","1911"
"02.01.2019 06:00 - 02.01.2019 07:00","0","2012"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1921"
"02.01.2019 08:00 - 02.01.2019 09:00","0","24"
"02.01.2019 09:00 - 02.01.2019 10:00","0","1603"
"02.01.2019 10:00 - 02.01.2019 11:00","0","2007"
"02.01.2019 11:00 - 02.01.2019 12:00","0","1887"
"02.01.2019 12:00 - 02.01.2019 13:00","0","2002"
"02.01.2019 13:00 - 02.01.2019 14:00","0","2013"
"02.01.2019 14:00 - 02.01.2019 15:00","0","2012"
"02.01.2019 15:00 - 02.01.2019 16:00","0","2013"
"02.01.2019 16:00 - 02.01.2019 17:00","0","2013"
"02.01.2019 17:00 - 02.01.2019 18:00","0","2013"
"02.01.2019 18:00 - 02.01.2019 19:00","0","2013"
"02.01.2019 19:00 - 02.01.2019 20:00","0","2013"
"02.01.2019 20:00 - 02.01.2019 21:00","0","2013"
"02.01.2019 21:00 - 02.01.2019 22:00","0","2013"
"02.01.2019 22:00 - 02.01.2019 23:00","0","2013"
"02.01.2019 23:00 - 03.01.2019 00:00","0","1936"
"03.01.2019 00:00 - 03.01.2019 01:00","0","2013"
"03.01.2019 01:00 - 03.01.2019 02:00","0","2012"
"03.01.2019 02:00 - 03.01.2019 03:00","0","2013"
"03.01.2019 03:00 - 03.01.2019 04:00","0","2013"
"03.01.2019 04:00 - 03.01.2019 05:00","0","2013"
"03.01.2019 05:00 - 03.01.2019 06:00","0","2012"
"03.01.2019 06:00 - 03.01.2019 07:00","0","2012"
"03.01.2019 07:00 - 03.01.2019 08:00","0","1062"
"03.01.2019 08:00 - 03.01.2019 09:00","0","1778"
"03.01.2019 09:00 - 03.01.2019 10:00","0","2012"
"03.01.2019 10:00 - 03.01.2019 11:00","0","2012"
"03.01.2019 11:00 - 03.01.2019 12:00","0","2012"
"03.01.2019 12:00 - 03.01.2019 13:00","0","2013"
"03.01.2019 13:00 - 03.01.2019 14:00","0","2013"
"03.01.2019 14:00 - 03.01.2019 15:00","0","2013"
"03.01.2019 15:00 - 03.01.2019 16:00","0","2013"
"03.01.2019 16:00 - 03.01.2019 17:00","0","2013"
"03.01.2019 17:00 - 03.01.2019 18:00","0","2014"
"03.01.2019 18:00 - 03.01.2019 19:00","0","2013"
"03.01.2019 19:00 - 03.01.2019 20:00","0","2013"
"03.01.2019 20:00 - 03.01.2019 21:00","0","2013"
"03.01.2019 21:00 - 03.01.2019 22:00","0","2013"
"03.01.2019 22:00 - 03.01.2019 23:00","0","2013"
"03.01.2019 23:00 - 04.01.2019 00:00","0","1612"
"04.01.2019 00:00 - 04.01.2019 01:00","0","2013"
"04.01.2019 01:00 - 04.01.2019 02:00","0","2013"
"04.01.2019 02:00 - 04.01.2019 03:00","0","2012"
"04.01.2019 03:00 - 04.01.2019 04:00","0","2013"
"04.01.2019 04:00 - 04.01.2019 05:00","0","2013"
"04.01.2019 05:00 - 04.01.2019 06:00","0","2013"
"04.01.2019 06:00 - 04.01.2019 07:00","0","2013"
