"Time (CET)","Croatia (HR) > Hungary (HU) [MW]","Hungary (HU) > Croatia (HR) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","1467"
"01.01.2019 01:00 - 01.01.2019 02:00","0","1475"
"01.01.2019 02:00 - 01.01.2019 03:00","0","1390"
"01.01.2019 03:00 - 01.01.2019 04:00","0","1329"
"01.01.2019 04:00 - 01.01.2019 05:00","0","1249"
"01.01.2019 05:00 - 01.01.2019 06:00","0","1276"
"01.01.2019 06:00 - 01.01.2019 07:00","0","1284"
"01.01.2019 07:00 - 01.01.2019 08:00","0","1367"
"01.01.2019 08:00 - 01.01.2019 09:00","0","1291"
"01.01.2019 09:00 - 01.01.2019 10:00","0","1334"
"01.01.2019 10:00 - 01.01.2019 11:00","0","1314"
"01.01.2019 11:00 - 01.01.2019 12:00","0","1321"
"01.01.2019 12:00 - 01.01.2019 13:00","0","1292"
"01.01.2019 13:00 - 01.01.2019 14:00","0","1251"
"01.01.2019 14:00 - 01.01.2019 15:00","0","1357"
"01.01.2019 15:00 - 01.01.2019 16:00","0","1375"
"01.01.2019 16:00 - 01.01.2019 17:00","0","1291"
"01.01.2019 17:00 - 01.01.2019 18:00","0","1254"
"01.01.2019 18:00 - 01.01.2019 19:00","0","1261"
"01.01.2019 19:00 - 01.01.2019 20:00","0","1291"
"01.01.2019 20:00 - 01.01.2019 21:00","0","1358"
"01.01.2019 21:00 - 01.01.2019 22:00","0","1370"
"01.01.2019 22:00 - 01.01.2019 23:00","0","1439"
"01.01.2019 23:00 - 02.01.2019 00:00","0","1551"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1649"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1617"
"02.01.2019 02:00 - 02.01.2019 03:00","0","1579"
"02.01.2019 03:00 - 02.01.2019 04:00","0","1535"
"02.01.2019 04:00 - 02.01.2019 05:00","0","1534"
"02.01.2019 05:00 - 02.01.2019 06:00","0","1523"
"02.01.2019 06:00 - 02.01.2019 07:00","0","1302"
"02.01.2019 07:00 - 02.01.2019 08:00","0","1096"
"02.01.2019 08:00 - 02.01.2019 09:00","0","1038"
"02.01.2019 09:00 - 02.01.2019 10:00","0","1032"
"02.01.2019 10:00 - 02.01.2019 11:00","0","1047"
"02.01.2019 11:00 - 02.01.2019 12:00","0","1087"
"02.01.2019 12:00 - 02.01.2019 13:00","0","989"
"02.01.2019 13:00 - 02.01.2019 14:00","0","981"
"02.01.2019 14:00 - 02.01.2019 15:00","0","1051"
"02.01.2019 15:00 - 02.01.2019 16:00","0","990"
"02.01.2019 16:00 - 02.01.2019 17:00","0","848"
"02.01.2019 17:00 - 02.01.2019 18:00","0","756"
"02.01.2019 18:00 - 02.01.2019 19:00","0","816"
"02.01.2019 19:00 - 02.01.2019 20:00","0","824"
"02.01.2019 20:00 - 02.01.2019 21:00","0","908"
"02.01.2019 21:00 - 02.01.2019 22:00","0","1090"
"02.01.2019 22:00 - 02.01.2019 23:00","0","1155"
"02.01.2019 23:00 - 03.01.2019 00:00","0","1221"
"03.01.2019 00:00 - 03.01.2019 01:00","0","1289"
"03.01.2019 01:00 - 03.01.2019 02:00","0","1225"
"03.01.2019 02:00 - 03.01.2019 03:00","0","1185"
"03.01.2019 03:00 - 03.01.2019 04:00","0","1119"
"03.01.2019 04:00 - 03.01.2019 05:00","0","1108"
"03.01.2019 05:00 - 03.01.2019 06:00","0","1226"
"03.01.2019 06:00 - 03.01.2019 07:00","0","1099"
"03.01.2019 07:00 - 03.01.2019 08:00","0","1035"
"03.01.2019 08:00 - 03.01.2019 09:00","0","999"
"03.01.2019 09:00 - 03.01.2019 10:00","0","987"
"03.01.2019 10:00 - 03.01.2019 11:00","0","951"
"03.01.2019 11:00 - 03.01.2019 12:00","0","901"
"03.01.2019 12:00 - 03.01.2019 13:00","0","769"
"03.01.2019 13:00 - 03.01.2019 14:00","0","761"
"03.01.2019 14:00 - 03.01.2019 15:00","0","788"
"03.01.2019 15:00 - 03.01.2019 16:00","0","670"
"03.01.2019 16:00 - 03.01.2019 17:00","0","589"
"03.01.2019 17:00 - 03.01.2019 18:00","0","595"
"03.01.2019 18:00 - 03.01.2019 19:00","0","644"
"03.01.2019 19:00 - 03.01.2019 20:00","0","686"
"03.01.2019 20:00 - 03.01.2019 21:00","0","927"
"03.01.2019 21:00 - 03.01.2019 22:00","0","1104"
"03.01.2019 22:00 - 03.01.2019 23:00","0","1217"
"03.01.2019 23:00 - 04.01.2019 00:00","0","1190"
"04.01.2019 00:00 - 04.01.2019 01:00","0","1385"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1429"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1408"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1363"
"04.01.2019 04:00 - 04.01.2019 05:00","0","1290"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1251"
"04.01.2019 06:00 - 04.01.2019 07:00","0","896"
"04.01.2019 07:00 - 04.01.2019 08:00","0","760"
"04.01.2019 08:00 - 04.01.2019 09:00","0","703"
"04.01.2019 09:00 - 04.01.2019 10:00","0","738"
"04.01.2019 10:00 - 04.01.2019 11:00","0","751"
"04.01.2019 11:00 - 04.01.2019 12:00","0","786"
"04.01.2019 12:00 - 04.01.2019 13:00","0","694"
"04.01.2019 13:00 - 04.01.2019 14:00","0","767"
"04.01.2019 14:00 - 04.01.2019 15:00","0","798"
"04.01.2019 15:00 - 04.01.2019 16:00","0","645"
"04.01.2019 16:00 - 04.01.2019 17:00","0","473"
"04.01.2019 17:00 - 04.01.2019 18:00","0","535"
"04.01.2019 18:00 - 04.01.2019 19:00","0","515"
"04.01.2019 19:00 - 04.01.2019 20:00","0","643"
"04.01.2019 20:00 - 04.01.2019 21:00","0","815"
"04.01.2019 21:00 - 04.01.2019 22:00","0","940"
"04.01.2019 22:00 - 04.01.2019 23:00","0","1091"
"04.01.2019 23:00 - 05.01.2019 00:00","0","1181"
"05.01.2019 00:00 - 05.01.2019 01:00","0","1452"
"05.01.2019 01:00 - 05.01.2019 02:00","0","1417"
"05.01.2019 02:00 - 05.01.2019 03:00","0","1357"
"05.01.2019 03:00 - 05.01.2019 04:00","0","1379"
