"Time (CET)","Germany (DE) > Sweden (SE) [MW]","Sweden (SE) > Germany (DE) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","75"
"01.01.2019 01:00 - 01.01.2019 02:00","2","0"
"01.01.2019 02:00 - 01.01.2019 03:00","68","0"
"01.01.2019 03:00 - 01.01.2019 04:00","66","0"
"01.01.2019 04:00 - 01.01.2019 05:00","66","0"
"01.01.2019 05:00 - 01.01.2019 06:00","66","0"
"01.01.2019 06:00 - 01.01.2019 07:00","65","0"
"01.01.2019 07:00 - 01.01.2019 08:00","66","0"
"01.01.2019 08:00 - 01.01.2019 09:00","66","0"
"01.01.2019 09:00 - 01.01.2019 10:00","66","0"
"01.01.2019 10:00 - 01.01.2019 11:00","66","0"
"01.01.2019 11:00 - 01.01.2019 12:00","66","0"
"01.01.2019 12:00 - 01.01.2019 13:00","66","0"
"01.01.2019 13:00 - 01.01.2019 14:00","66","0"
"01.01.2019 14:00 - 01.01.2019 15:00","66","0"
"01.01.2019 15:00 - 01.01.2019 16:00","66","0"
"01.01.2019 16:00 - 01.01.2019 17:00","66","0"
"01.01.2019 17:00 - 01.01.2019 18:00","66","0"
"01.01.2019 18:00 - 01.01.2019 19:00","66","0"
"01.01.2019 19:00 - 01.01.2019 20:00","66","0"
"01.01.2019 20:00 - 01.01.2019 21:00","66","0"
"01.01.2019 21:00 - 01.01.2019 22:00","66","0"
"01.01.2019 22:00 - 01.01.2019 23:00","66","0"
"01.01.2019 23:00 - 02.01.2019 00:00","66","0"
"02.01.2019 00:00 - 02.01.2019 01:00","67","0"
"02.01.2019 01:00 - 02.01.2019 02:00","66","0"
"02.01.2019 02:00 - 02.01.2019 03:00","66","0"
"02.01.2019 03:00 - 02.01.2019 04:00","66","0"
"02.01.2019 04:00 - 02.01.2019 05:00","66","0"
"02.01.2019 05:00 - 02.01.2019 06:00","66","0"
"02.01.2019 06:00 - 02.01.2019 07:00","66","0"
"02.01.2019 07:00 - 02.01.2019 08:00","66","0"
"02.01.2019 08:00 - 02.01.2019 09:00","66","0"
"02.01.2019 09:00 - 02.01.2019 10:00","4","0"
"02.01.2019 10:00 - 02.01.2019 11:00","64","0"
"02.01.2019 11:00 - 02.01.2019 12:00","66","0"
"02.01.2019 12:00 - 02.01.2019 13:00","66","0"
"02.01.2019 13:00 - 02.01.2019 14:00","66","0"
"02.01.2019 14:00 - 02.01.2019 15:00","66","0"
"02.01.2019 15:00 - 02.01.2019 16:00","0","94"
"02.01.2019 16:00 - 02.01.2019 17:00","0","2"
"02.01.2019 17:00 - 02.01.2019 18:00","0","373"
"02.01.2019 18:00 - 02.01.2019 19:00","0","590"
"02.01.2019 19:00 - 02.01.2019 20:00","0","610"
"02.01.2019 20:00 - 02.01.2019 21:00","0","610"
"02.01.2019 21:00 - 02.01.2019 22:00","0","610"
"02.01.2019 22:00 - 02.01.2019 23:00","0","610"
"02.01.2019 23:00 - 03.01.2019 00:00","0","114"
"03.01.2019 00:00 - 03.01.2019 01:00","231","0"
"03.01.2019 01:00 - 03.01.2019 02:00","274","0"
"03.01.2019 02:00 - 03.01.2019 03:00","286","0"
"03.01.2019 03:00 - 03.01.2019 04:00","298","0"
"03.01.2019 04:00 - 03.01.2019 05:00","287","0"
"03.01.2019 05:00 - 03.01.2019 06:00","286","0"
"03.01.2019 06:00 - 03.01.2019 07:00","29","0"
"03.01.2019 07:00 - 03.01.2019 08:00","3","0"
"03.01.2019 08:00 - 03.01.2019 09:00","0","456"
"03.01.2019 09:00 - 03.01.2019 10:00","0","88"
"03.01.2019 10:00 - 03.01.2019 11:00","3","0"
"03.01.2019 11:00 - 03.01.2019 12:00","0","178"
"03.01.2019 12:00 - 03.01.2019 13:00","0","82"
"03.01.2019 13:00 - 03.01.2019 14:00","0","523"
"03.01.2019 14:00 - 03.01.2019 15:00","0","609"
"03.01.2019 15:00 - 03.01.2019 16:00","0","355"
"03.01.2019 16:00 - 03.01.2019 17:00","0","83"
"03.01.2019 17:00 - 03.01.2019 18:00","2","0"
"03.01.2019 18:00 - 03.01.2019 19:00","0","425"
"03.01.2019 19:00 - 03.01.2019 20:00","0","605"
"03.01.2019 20:00 - 03.01.2019 21:00","0","610"
"03.01.2019 21:00 - 03.01.2019 22:00","0","610"
"03.01.2019 22:00 - 03.01.2019 23:00","0","595"
"03.01.2019 23:00 - 04.01.2019 00:00","0","104"
"04.01.2019 00:00 - 04.01.2019 01:00","0","237"
"04.01.2019 01:00 - 04.01.2019 02:00","0","23"
"04.01.2019 02:00 - 04.01.2019 03:00","2","0"
"04.01.2019 03:00 - 04.01.2019 04:00","2","0"
"04.01.2019 04:00 - 04.01.2019 05:00","2","0"
"04.01.2019 05:00 - 04.01.2019 06:00","72","0"
"04.01.2019 06:00 - 04.01.2019 07:00","5","0"
"04.01.2019 07:00 - 04.01.2019 08:00","0","54"
"04.01.2019 08:00 - 04.01.2019 09:00","0","349"
"04.01.2019 09:00 - 04.01.2019 10:00","0","383"
"04.01.2019 10:00 - 04.01.2019 11:00","0","336"
"04.01.2019 11:00 - 04.01.2019 12:00","0","33"
"04.01.2019 12:00 - 04.01.2019 13:00","3","0"
"04.01.2019 13:00 - 04.01.2019 14:00","3","0"
"04.01.2019 14:00 - 04.01.2019 15:00","3","0"
"04.01.2019 15:00 - 04.01.2019 16:00","59","0"
"04.01.2019 16:00 - 04.01.2019 17:00","0","207"
"04.01.2019 17:00 - 04.01.2019 18:00","0","557"
"04.01.2019 18:00 - 04.01.2019 19:00","0","610"
"04.01.2019 19:00 - 04.01.2019 20:00","0","302"
"04.01.2019 20:00 - 04.01.2019 21:00","39","0"
"04.01.2019 21:00 - 04.01.2019 22:00","75","0"
"04.01.2019 22:00 - 04.01.2019 23:00","75","0"
"04.01.2019 23:00 - 05.01.2019 00:00","71","0"
"05.01.2019 00:00 - 05.01.2019 01:00","61","0"
"05.01.2019 01:00 - 05.01.2019 02:00","61","0"
"05.01.2019 02:00 - 05.01.2019 03:00","61","0"
"05.01.2019 03:00 - 05.01.2019 04:00","61","0"
"05.01.2019 04:00 - 05.01.2019 05:00","61","0"
"05.01.2019 05:00 - 05.01.2019 06:00","61","0"
"05.01.2019 06:00 - 05.01.2019 07:00","61","0"
"05.01.2019 07:00 - 05.01.2019 08:00","61","0"
"05.01.2019 08:00 - 05.01.2019 09:00","61","0"
"05.01.2019 09:00 - 05.01.2019 10:00","99","0"
"05.01.2019 10:00 - 05.01.2019 11:00","194","0"
"05.01.2019 11:00 - 05.01.2019 12:00","90","0"
"05.01.2019 12:00 - 05.01.2019 13:00","5","0"
"05.01.2019 13:00 - 05.01.2019 14:00","3","0"
"05.01.2019 14:00 - 05.01.2019 15:00","3","0"
"05.01.2019 15:00 - 05.01.2019 16:00","3","0"
"05.01.2019 16:00 - 05.01.2019 17:00","0","218"
"05.01.2019 17:00 - 05.01.2019 18:00","0","154"
"05.01.2019 18:00 - 05.01.2019 19:00","0","242"
"05.01.2019 19:00 - 05.01.2019 20:00","0","410"
"05.01.2019 20:00 - 05.01.2019 21:00","0","52"
"05.01.2019 21:00 - 05.01.2019 22:00","2","0"
"05.01.2019 22:00 - 05.01.2019 23:00","2","0"
"05.01.2019 23:00 - 06.01.2019 00:00","62","0"
"06.01.2019 00:00 - 06.01.2019 01:00","4","0"
"06.01.2019 01:00 - 06.01.2019 02:00","300","0"
"06.01.2019 02:00 - 06.01.2019 03:00","39","0"
"06.01.2019 03:00 - 06.01.2019 04:00","3","0"
"06.01.2019 04:00 - 06.01.2019 05:00","323","0"
"06.01.2019 05:00 - 06.01.2019 06:00","366","0"
"06.01.2019 06:00 - 06.01.2019 07:00","119","0"
"06.01.2019 07:00 - 06.01.2019 08:00","6","0"
"06.01.2019 08:00 - 06.01.2019 09:00","3","0"
"06.01.2019 09:00 - 06.01.2019 10:00","0","459"
"06.01.2019 10:00 - 06.01.2019 11:00","0","598"
"06.01.2019 11:00 - 06.01.2019 12:00","0","609"
"06.01.2019 12:00 - 06.01.2019 13:00","0","610"
"06.01.2019 13:00 - 06.01.2019 14:00","0","610"
"06.01.2019 14:00 - 06.01.2019 15:00","0","109"
"06.01.2019 15:00 - 06.01.2019 16:00","3","0"
"06.01.2019 16:00 - 06.01.2019 17:00","0","267"
"06.01.2019 17:00 - 06.01.2019 18:00","0","463"
"06.01.2019 18:00 - 06.01.2019 19:00","0","602"
"06.01.2019 19:00 - 06.01.2019 20:00","0","610"
"06.01.2019 20:00 - 06.01.2019 21:00","0","610"
"06.01.2019 21:00 - 06.01.2019 22:00","0","610"
"06.01.2019 22:00 - 06.01.2019 23:00","0","610"
"06.01.2019 23:00 - 07.01.2019 00:00","0","609"
"07.01.2019 00:00 - 07.01.2019 01:00","0","110"
"07.01.2019 01:00 - 07.01.2019 02:00","3","0"
"07.01.2019 02:00 - 07.01.2019 03:00","3","0"
"07.01.2019 03:00 - 07.01.2019 04:00","3","0"
"07.01.2019 04:00 - 07.01.2019 05:00","267","0"
"07.01.2019 05:00 - 07.01.2019 06:00","297","0"
"07.01.2019 06:00 - 07.01.2019 07:00","0","164"
"07.01.2019 07:00 - 07.01.2019 08:00","0","309"
"07.01.2019 08:00 - 07.01.2019 09:00","0","29"
"07.01.2019 09:00 - 07.01.2019 10:00","0","190"
"07.01.2019 10:00 - 07.01.2019 11:00","0","12"
"07.01.2019 11:00 - 07.01.2019 12:00","0","243"
"07.01.2019 12:00 - 07.01.2019 13:00","0","168"
"07.01.2019 13:00 - 07.01.2019 14:00","0","250"
"07.01.2019 14:00 - 07.01.2019 15:00","0","241"
"07.01.2019 15:00 - 07.01.2019 16:00","0","105"
"07.01.2019 16:00 - 07.01.2019 17:00","0","460"
"07.01.2019 17:00 - 07.01.2019 18:00","0","315"
"07.01.2019 18:00 - 07.01.2019 19:00","30","0"
"07.01.2019 19:00 - 07.01.2019 20:00","74","0"
"07.01.2019 20:00 - 07.01.2019 21:00","74","0"
"07.01.2019 21:00 - 07.01.2019 22:00","74","0"
"07.01.2019 22:00 - 07.01.2019 23:00","74","0"
"07.01.2019 23:00 - 08.01.2019 00:00","74","0"
"08.01.2019 00:00 - 08.01.2019 01:00","75","0"
"08.01.2019 01:00 - 08.01.2019 02:00","74","0"
"08.01.2019 02:00 - 08.01.2019 03:00","75","0"
"08.01.2019 03:00 - 08.01.2019 04:00","67","0"
"08.01.2019 04:00 - 08.01.2019 05:00","61","0"
"08.01.2019 05:00 - 08.01.2019 06:00","61","0"
"08.01.2019 06:00 - 08.01.2019 07:00","61","0"
"08.01.2019 07:00 - 08.01.2019 08:00","61","0"
"08.01.2019 08:00 - 08.01.2019 09:00","61","0"
"08.01.2019 09:00 - 08.01.2019 10:00","61","0"
"08.01.2019 10:00 - 08.01.2019 11:00","61","0"
"08.01.2019 11:00 - 08.01.2019 12:00","61","0"
"08.01.2019 12:00 - 08.01.2019 13:00","61","0"
"08.01.2019 13:00 - 08.01.2019 14:00","61","0"
"08.01.2019 14:00 - 08.01.2019 15:00","61","0"
"08.01.2019 15:00 - 08.01.2019 16:00","61","0"
"08.01.2019 16:00 - 08.01.2019 17:00","61","0"
"08.01.2019 17:00 - 08.01.2019 18:00","61","0"
"08.01.2019 18:00 - 08.01.2019 19:00","61","0"
"08.01.2019 19:00 - 08.01.2019 20:00","61","0"
"08.01.2019 20:00 - 08.01.2019 21:00","61","0"
"08.01.2019 21:00 - 08.01.2019 22:00","61","0"
"08.01.2019 22:00 - 08.01.2019 23:00","61","0"
"08.01.2019 23:00 - 09.01.2019 00:00","62","0"
"09.01.2019 00:00 - 09.01.2019 01:00","61","0"
"09.01.2019 01:00 - 09.01.2019 02:00","61","0"
"09.01.2019 02:00 - 09.01.2019 03:00","61","0"
"09.01.2019 03:00 - 09.01.2019 04:00","61","0"
"09.01.2019 04:00 - 09.01.2019 05:00","61","0"
