"Time (CET)","Norway (NO) > Sweden (SE) [MW]","Sweden (SE) > Norway (NO) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","2746"
"01.01.2019 01:00 - 01.01.2019 02:00","0","2499"
"01.01.2019 02:00 - 01.01.2019 03:00","0","2546"
"01.01.2019 03:00 - 01.01.2019 04:00","0","2529"
"01.01.2019 04:00 - 01.01.2019 05:00","0","2478"
"01.01.2019 05:00 - 01.01.2019 06:00","0","2706"
"01.01.2019 06:00 - 01.01.2019 07:00","0","2611"
"01.01.2019 07:00 - 01.01.2019 08:00","0","2550"
"01.01.2019 08:00 - 01.01.2019 09:00","0","2620"
"01.01.2019 09:00 - 01.01.2019 10:00","0","2923"
"01.01.2019 10:00 - 01.01.2019 11:00","0","2960"
"01.01.2019 11:00 - 01.01.2019 12:00","0","2854"
"01.01.2019 12:00 - 01.01.2019 13:00","0","3131"
"01.01.2019 13:00 - 01.01.2019 14:00","0","3197"
"01.01.2019 14:00 - 01.01.2019 15:00","0","3154"
"01.01.2019 15:00 - 01.01.2019 16:00","0","2834"
"01.01.2019 16:00 - 01.01.2019 17:00","0","2606"
"01.01.2019 17:00 - 01.01.2019 18:00","0","2719"
"01.01.2019 18:00 - 01.01.2019 19:00","0","2787"
"01.01.2019 19:00 - 01.01.2019 20:00","0","2677"
"01.01.2019 20:00 - 01.01.2019 21:00","0","2287"
"01.01.2019 21:00 - 01.01.2019 22:00","0","2214"
"01.01.2019 22:00 - 01.01.2019 23:00","0","2195"
"01.01.2019 23:00 - 02.01.2019 00:00","0","2125"
"02.01.2019 00:00 - 02.01.2019 01:00","0","1849"
"02.01.2019 01:00 - 02.01.2019 02:00","0","1986"
"02.01.2019 02:00 - 02.01.2019 03:00","0","1999"
"02.01.2019 03:00 - 02.01.2019 04:00","0","2130"
"02.01.2019 04:00 - 02.01.2019 05:00","0","2136"
"02.01.2019 05:00 - 02.01.2019 06:00","0","2033"
"02.01.2019 06:00 - 02.01.2019 07:00","0","2644"
"02.01.2019 07:00 - 02.01.2019 08:00","0","2831"
"02.01.2019 08:00 - 02.01.2019 09:00","0","2967"
"02.01.2019 09:00 - 02.01.2019 10:00","0","2899"
"02.01.2019 10:00 - 02.01.2019 11:00","0","2553"
"02.01.2019 11:00 - 02.01.2019 12:00","0","2546"
"02.01.2019 12:00 - 02.01.2019 13:00","0","2858"
"02.01.2019 13:00 - 02.01.2019 14:00","0","2644"
"02.01.2019 14:00 - 02.01.2019 15:00","0","2224"
"02.01.2019 15:00 - 02.01.2019 16:00","0","801"
"02.01.2019 16:00 - 02.01.2019 17:00","0","593"
"02.01.2019 17:00 - 02.01.2019 18:00","124","0"
"02.01.2019 18:00 - 02.01.2019 19:00","0","15"
"02.01.2019 19:00 - 02.01.2019 20:00","0","433"
"02.01.2019 20:00 - 02.01.2019 21:00","0","323"
"02.01.2019 21:00 - 02.01.2019 22:00","0","633"
"02.01.2019 22:00 - 02.01.2019 23:00","0","441"
"02.01.2019 23:00 - 03.01.2019 00:00","0","1148"
"03.01.2019 00:00 - 03.01.2019 01:00","0","1242"
"03.01.2019 01:00 - 03.01.2019 02:00","0","1437"
"03.01.2019 02:00 - 03.01.2019 03:00","0","1428"
"03.01.2019 03:00 - 03.01.2019 04:00","0","1118"
"03.01.2019 04:00 - 03.01.2019 05:00","0","754"
"03.01.2019 05:00 - 03.01.2019 06:00","0","721"
"03.01.2019 06:00 - 03.01.2019 07:00","0","272"
"03.01.2019 07:00 - 03.01.2019 08:00","1127","0"
"03.01.2019 08:00 - 03.01.2019 09:00","1922","0"
"03.01.2019 09:00 - 03.01.2019 10:00","1324","0"
"03.01.2019 10:00 - 03.01.2019 11:00","756","0"
"03.01.2019 11:00 - 03.01.2019 12:00","1363","0"
"03.01.2019 12:00 - 03.01.2019 13:00","1569","0"
"03.01.2019 13:00 - 03.01.2019 14:00","1394","0"
"03.01.2019 14:00 - 03.01.2019 15:00","1202","0"
"03.01.2019 15:00 - 03.01.2019 16:00","1352","0"
"03.01.2019 16:00 - 03.01.2019 17:00","1869","0"
"03.01.2019 17:00 - 03.01.2019 18:00","1474","0"
"03.01.2019 18:00 - 03.01.2019 19:00","1653","0"
"03.01.2019 19:00 - 03.01.2019 20:00","1754","0"
"03.01.2019 20:00 - 03.01.2019 21:00","1533","0"
"03.01.2019 21:00 - 03.01.2019 22:00","985","0"
"03.01.2019 22:00 - 03.01.2019 23:00","429","0"
"03.01.2019 23:00 - 04.01.2019 00:00","0","1023"
"04.01.2019 00:00 - 04.01.2019 01:00","0","832"
"04.01.2019 01:00 - 04.01.2019 02:00","0","1509"
"04.01.2019 02:00 - 04.01.2019 03:00","0","1828"
"04.01.2019 03:00 - 04.01.2019 04:00","0","1749"
"04.01.2019 04:00 - 04.01.2019 05:00","0","1896"
"04.01.2019 05:00 - 04.01.2019 06:00","0","1638"
"04.01.2019 06:00 - 04.01.2019 07:00","0","527"
"04.01.2019 07:00 - 04.01.2019 08:00","867","0"
"04.01.2019 08:00 - 04.01.2019 09:00","1737","0"
"04.01.2019 09:00 - 04.01.2019 10:00","1626","0"
"04.01.2019 10:00 - 04.01.2019 11:00","1720","0"
"04.01.2019 11:00 - 04.01.2019 12:00","1291","0"
"04.01.2019 12:00 - 04.01.2019 13:00","692","0"
"04.01.2019 13:00 - 04.01.2019 14:00","441","0"
"04.01.2019 14:00 - 04.01.2019 15:00","0","96"
"04.01.2019 15:00 - 04.01.2019 16:00","247","0"
"04.01.2019 16:00 - 04.01.2019 17:00","1166","0"
"04.01.2019 17:00 - 04.01.2019 18:00","1625","0"
"04.01.2019 18:00 - 04.01.2019 19:00","1373","0"
"04.01.2019 19:00 - 04.01.2019 20:00","800","0"
"04.01.2019 20:00 - 04.01.2019 21:00","0","253"
"04.01.2019 21:00 - 04.01.2019 22:00","0","477"
"04.01.2019 22:00 - 04.01.2019 23:00","0","489"
"04.01.2019 23:00 - 05.01.2019 00:00","0","979"
"05.01.2019 00:00 - 05.01.2019 01:00","0","893"
"05.01.2019 01:00 - 05.01.2019 02:00","0","1152"
"05.01.2019 02:00 - 05.01.2019 03:00","0","1596"
"05.01.2019 03:00 - 05.01.2019 04:00","0","1545"
"05.01.2019 04:00 - 05.01.2019 05:00","0","1149"
"05.01.2019 05:00 - 05.01.2019 06:00","0","760"
"05.01.2019 06:00 - 05.01.2019 07:00","0","375"
"05.01.2019 07:00 - 05.01.2019 08:00","0","337"
"05.01.2019 08:00 - 05.01.2019 09:00","365","0"
"05.01.2019 09:00 - 05.01.2019 10:00","712","0"
"05.01.2019 10:00 - 05.01.2019 11:00","938","0"
"05.01.2019 11:00 - 05.01.2019 12:00","1124","0"
"05.01.2019 12:00 - 05.01.2019 13:00","1314","0"
"05.01.2019 13:00 - 05.01.2019 14:00","1414","0"
"05.01.2019 14:00 - 05.01.2019 15:00","1219","0"
"05.01.2019 15:00 - 05.01.2019 16:00","1698","0"
"05.01.2019 16:00 - 05.01.2019 17:00","2423","0"
"05.01.2019 17:00 - 05.01.2019 18:00","2730","0"
"05.01.2019 18:00 - 05.01.2019 19:00","2550","0"
"05.01.2019 19:00 - 05.01.2019 20:00","2227","0"
"05.01.2019 20:00 - 05.01.2019 21:00","1244","0"
"05.01.2019 21:00 - 05.01.2019 22:00","544","0"
"05.01.2019 22:00 - 05.01.2019 23:00","0","87"
"05.01.2019 23:00 - 06.01.2019 00:00","0","1127"
