"Time (CET)","Croatia (HR) > Slovenia (SI) [MW]","Slovenia (SI) > Croatia (HR) [MW]"
"01.01.2019 00:00 - 01.01.2019 01:00","0","88"
"01.01.2019 01:00 - 01.01.2019 02:00","0","282"
"01.01.2019 02:00 - 01.01.2019 03:00","0","278"
"01.01.2019 03:00 - 01.01.2019 04:00","0","233"
"01.01.2019 04:00 - 01.01.2019 05:00","0","163"
"01.01.2019 05:00 - 01.01.2019 06:00","0","81"
"01.01.2019 06:00 - 01.01.2019 07:00","130","0"
"01.01.2019 07:00 - 01.01.2019 08:00","185","0"
"01.01.2019 08:00 - 01.01.2019 09:00","202","0"
"01.01.2019 09:00 - 01.01.2019 10:00","33","0"
"01.01.2019 10:00 - 01.01.2019 11:00","0","80"
"01.01.2019 11:00 - 01.01.2019 12:00","0","196"
"01.01.2019 12:00 - 01.01.2019 13:00","0","201"
"01.01.2019 13:00 - 01.01.2019 14:00","0","31"
"01.01.2019 14:00 - 01.01.2019 15:00","78","0"
"01.01.2019 15:00 - 01.01.2019 16:00","0","59"
"01.01.2019 16:00 - 01.01.2019 17:00","0","295"
"01.01.2019 17:00 - 01.01.2019 18:00","0","303"
"01.01.2019 18:00 - 01.01.2019 19:00","0","300"
"01.01.2019 19:00 - 01.01.2019 20:00","0","212"
"01.01.2019 20:00 - 01.01.2019 21:00","0","264"
"01.01.2019 21:00 - 01.01.2019 22:00","0","177"
"01.01.2019 22:00 - 01.01.2019 23:00","0","140"
"01.01.2019 23:00 - 02.01.2019 00:00","0","52"
"02.01.2019 00:00 - 02.01.2019 01:00","32","0"
"02.01.2019 01:00 - 02.01.2019 02:00","13","0"
"02.01.2019 02:00 - 02.01.2019 03:00","0","6"
"02.01.2019 03:00 - 02.01.2019 04:00","128","0"
"02.01.2019 04:00 - 02.01.2019 05:00","182","0"
"02.01.2019 05:00 - 02.01.2019 06:00","161","0"
"02.01.2019 06:00 - 02.01.2019 07:00","207","0"
"02.01.2019 07:00 - 02.01.2019 08:00","215","0"
"02.01.2019 08:00 - 02.01.2019 09:00","175","0"
"02.01.2019 09:00 - 02.01.2019 10:00","142","0"
"02.01.2019 10:00 - 02.01.2019 11:00","82","0"
"02.01.2019 11:00 - 02.01.2019 12:00","89","0"
