,Biomass,Fossil Brown coal/Lignite,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other
0,1.0897949209720537e-12,3244.885849210521,4.066009681724658e-12,1313.4854022819272,9.83681192057162e-12,6.679101716144942e-13
1,1.0906830993917538e-12,3225.86992527972,3.973744076846142e-12,1307.5994849805147,9.862377407798828e-12,6.679101716144942e-13
2,1.0906830993917538e-12,3147.4008234009743,4.0403106207898e-12,1139.5488021575,9.851098235758027e-12,6.679101716144942e-13
3,1.0835776720341528e-12,3025.4643560491304,4.024993446177794e-12,1059.0266827911096,9.8752441770808e-12,6.394884621840902e-13
4,1.0897949209720537e-12,3009.464356048889,3.982770710453387e-12,1156.0266827908683,9.884270322797067e-12,6.750155989720952e-13
5,1.0889067425523535e-12,2983.464356048885,4.07609053931432e-12,1057.0266827908642,9.826239756767496e-12,6.465938895416912e-13
6,1.0977885267493548e-12,2995.4643560488826,4.000045683138359e-12,966.0266827908621,9.85660847645925e-12,6.323830348264892e-13
7,1.0818013151947525e-12,3002.4643560488907,3.94437222684188e-12,888.02668279087,9.842449012927024e-12,6.110667527536862e-13
8,1.092459456231154e-12,3005.4643560488967,3.940039917590954e-12,1003.0266827908757,9.852624141895583e-12,6.181721801112872e-13
9,1.0977885267493548e-12,2995.464356048933,3.9770731196167586e-12,1178.0266827909127,9.86914467249883e-12,5.826450433232822e-13
10,1.0835776720341528e-12,3012.4643560489567,3.9658129753240845e-12,1346.0266827909354,1.4511059021060646e-11,6.679101716144942e-13
11,1.0960121699099545e-12,3003.4643560490426,4.0752251833503506e-12,1404.0266827910211,2.751576744230988e-11,6.252776074688882e-13
12,1.0809131367750524e-12,3012.4643560491654,4.071639347295181e-12,1435.0266827911444,9.83361618045811e-12,6.536993168992922e-13
13,1.0889067425523535e-12,3005.4643560495547,3.970251427967697e-12,1386.0266827915334,9.821078195484945e-12,6.110667527536862e-13
14,1.0862422072932532e-12,3012.464356049303,3.9917247567251846e-12,1326.0266827912824,9.866670794191762e-12,5.968558980384842e-13
15,1.0818013151947525e-12,3008.464356049547,4.039665141026411e-12,1378.0266827915257,9.859950854916588e-12,6.394884621840902e-13
16,1.0862422072932532e-12,3185.3059524318824,4.02894904938389e-12,1516.97493182058,9.895610372789854e-12,5.826450433232822e-13
17,1.0977885267493548e-12,3223.7665725321813,4.015978521954011e-12,1623.2079424356175,9.848325280281678e-12,6.394884621840902e-13
18,1.0746958878371515e-12,3209.0760803686453,4.059469774220226e-12,1626.3290851035088,9.861981023484567e-12,6.110667527536862e-13
19,1.092459456231154e-12,3204.5532360171037,3.96656145429386e-12,1632.2022336312207,9.896725799984907e-12,6.679101716144942e-13
20,1.070254995738651e-12,3214.2405151289213,4.096408975917676e-12,1590.082913640455,1.4356515976032824e-11,5.968558980384842e-13
21,1.0942358130705543e-12,3224.1206436330917,3.981362114990894e-12,1461.276827789816,2.8880009494969272e-11,6.536993168992922e-13
22,1.0897949209720537e-12,3190.1960263351884,3.974480466961694e-12,1442.3591433511078,2.8453683853513212e-11,6.394884621840902e-13
